RA_d,DEC_d,logP,modulus_IRSB,EBV,B_mag,V_mag,I_mag,K_mag,J_mag,H_mag,Source,Gmagmean,BPmagmean,RPmagmean,M_B,M_V,M_I,M_K,M_J,M_H
91.64560871194,26.32922281127,1.053181,12.612,0.309,10.809,9.729,8.581,7.106,7.734,7.2,3430067092837622272,9.377894,9.990883,8.639617,-3.1104717000000015,-3.881070000000001,-4.637826560000001,-5.6247703300000005,-5.16943644,-5.59265067
104.34904071116,-3.84334110145,0.595294,12.989,0.792,13.133,12.734,11.085,9.013,9.846,9.198,3102535635624415872,12.161628,13.081351,11.218666,-3.2071896000000013,-2.81316,-3.4593612799999995,-4.28042104,-3.889982720000001,-4.254026960000001
280.34067607407,-1.11122288427,1.234041,12.072,1.046,14.396,12.238,9.571,6.527,7.706,6.78,4260210878780635904,10.983058,12.601045,9.773652,-2.1019397999999985,-3.212579999999999,-4.555176639999999,-5.947051019999999,-5.352545359999999,-5.903522979999999
100.78129891794,20.93911085173,0.578408,12.409,0.173,10.547,9.855,9.039,8.077,8.527,8.147,3378049163365268608,9.658727,10.019023,9.096326,-2.5940148999999995,-3.1127900000000004,-3.7097443200000004,-4.398496010000001,-4.045166680000001,-4.36314099
119.59203645793,-29.13009406419,1.478624,12.57,0.518,10.081,8.705,7.14,5.299,6.102,5.483,5597379741549105280,8.175589,9.060517,7.275941,-4.680813400000001,-5.53814,-6.4472691200000005,-7.4701036599999995,-6.95655688,-7.389838340000001
64.9452431106,48.95327159236,0.696531,10.831,0.679,11.02,9.719,8.09,6.315,7.035,6.478,270272675510149504,9.161461,10.014168,8.252593,-2.6840527000000005,-3.3051700000000004,-4.07444736,-4.77698723,-4.436405639999999,-4.74996377
71.94297884487,36.72278720912,0.810474,9.915,0.489,8.533,7.467,6.19,4.715,5.308,4.83,174489098011145216,7.062516,7.719209,6.276312,-3.4511056999999994,-4.027469999999999,-4.685317759999998,-5.38795693,-5.068205239999999,-5.370884069999999
256.52290826448,-26.58056384516,0.609329,9.11,0.235,8.2,7.337,6.366,5.178,5.701,5.285,4111834567779557376,7.045284,7.518912,6.402445,-1.9043555000000003,-2.53205,-3.2055023999999994,-4.022326949999999,-3.6306426,-3.9623880499999995
330.10477750896,43.44536989716,0.726883,11.247,0.3,9.833,8.881,7.784,6.543,7.112,6.658,1960981328902089088,8.566753,9.094334,7.880209,-2.6833899999999993,-3.335,-4.052152,-4.819311,-4.417948,-4.7643889999999995
77.6676222496,49.68761070007,0.903222,11.408,0.425,10.524,9.457,8.249,6.772,7.387,6.885,261548119462093568,9.075833,9.681504,8.31404,-2.6823025000000005,-3.3237499999999986,-3.993631999999999,-4.799357249999999,-4.421843,-4.771467749999999
121.58947930994,-30.09688082177,1.135867,12.912,0.416,11.069,9.882,8.552,6.921,7.626,7.076,5596601154188852352,9.554051,10.292623,8.719246,-3.603220800000001,-4.373680000000002,-5.176957440000001,-6.15089792,-5.678354560000001,-6.079206080000001
311.49915656971,45.30695819923,1.006127,11.89,0.885,11.837,10.221,8.324,5.924,6.886,6.155,2070224337474904064,9.436604,10.48054,8.419128,-3.7977005000000013,-4.527550000000001,-5.303998400000001,-6.30616745,-5.8386966000000005,-6.25239755
301.1106718615499,34.11227427767,1.232334,11.945,0.493,10.217,8.948,7.448,5.72,6.463,5.89,2058374144759464064,8.436952,9.221616,7.57759,-3.814030899999999,-4.58939,-5.46517312,-6.4144944100000005,-5.94697788,-6.343222590000001
280.25276379134,-6.09722473809,0.870124,10.438,0.757,12.165,10.575,8.778,6.652,7.498,6.82,4253442933709196288,9.871366,10.888835,8.886206,-1.476094100000001,-2.308110000000001,-3.1466268800000003,-4.07696809,-3.6539721200000006,-4.06056491
329.46954691412,56.16390028713,1.251989,12.78,0.649,12.223,10.577,8.773,6.537,7.457,6.726,2198162651499971200,9.79528,10.814746,8.825681,-3.303113699999999,-4.29927,-5.281532159999999,-6.492456129999999,-5.935110839999999,-6.43342487
341.60321047444,59.44220078897,0.794695,9.94,0.709,11.048,9.655,7.929,5.935,6.754,6.098,2008504454839717120,9.017748,9.921165,8.076531,-1.8919917000000002,-2.57507,-3.4033625599999997,-4.2775183299999995,-3.8547004400000002,-4.25650267
272.50888437682,-13.5459642115,0.724391,11.565,1.036,12.492,10.853,8.895,6.548,7.463,6.763,4147381366335558784,9.998526,11.085207,8.962688,-3.4566267999999987,-4.05828,-4.70453824,-5.4152073199999995,-5.079113759999999,-5.40767668
159.23237505727,-61.58132529126,1.256661,15.09,0.57,12.182,12.226,10.931,8.578,9.467,8.792,5253717937706836480,11.634785,12.473836,10.726992,-5.319841,-4.705099999999998,-5.2783888,-6.7310909,-6.160601199999999,-6.6312391
359.39566758341,62.71824621978,0.991759,12.353,0.45,11.076,9.879,8.507,6.948,7.627,7.068,2013029941628292352,9.41579,10.096132,8.609738,-3.1810849999999995,-3.9275,-4.729728,-5.5779665,-5.150422,-5.548083500000001
316.6260175130399,31.18465636013,0.397804,10.12,0.04,6.313,5.774,5.178,4.438,4.753,4.483,1853025642297186688,5.642472,5.925429,5.171116,-3.9762519999999997,-4.475199999999999,-5.0205535999999995,-5.6973747999999995,-5.4047263999999995,-5.6603851999999995
279.16500728488,-8.18482258019,0.490098,11.32,0.655,11.29,10.144,8.623,7.028,7.664,7.171,4156512638614879104,9.632742,10.37819,8.77066,-2.8015015000000005,-3.2916500000000006,-3.9833152000000007,-4.543762350000001,-4.2737698,-4.53193265
284.5614512673,17.36091598823,0.65039,8.578,0.196,6.128,5.373,4.501,3.49,3.921,3.577,4514145288240593408,5.155066,5.589286,4.543746,-3.279334799999999,-3.838079999999999,-4.4619126399999995,-5.16333652,-4.841859359999999,-5.115587479999999
287.31662539672,10.55248926978,0.786342,10.363,0.589,9.546,8.27,6.717,5.075,5.794,5.235,4312361436842603520,7.704942,8.495882,6.848412,-3.3092357000000003,-3.99547,-4.80270176,-5.51439393,-5.12452124,-5.47234707
3.61767274855,56.25293760483,0.764123,11.055,0.325,10.119,9.128,7.978,6.638,7.223,6.746,422226488141991296,8.767107,9.315993,8.04427,-2.3111724999999996,-2.976749999999999,-3.715248,-4.5419202499999995,-4.138527,-4.499004749999999
288.19714538362,3.55741768818,0.976878,10.327,0.486,9.593,8.389,6.947,5.356,6.05,5.495,4269036830424588800,7.938937,8.681309,7.089185,-2.7904117999999993,-3.5077800000000003,-4.33442624,-5.15780382,-4.73537576,-5.11613018
299.79498817538,29.4507457438,0.893092,12.108,0.63,11.159,9.896,8.43,6.638,7.356,6.799,2030063919381336832,9.315566,10.080078,8.454068,-3.614719000000001,-4.2469,-4.915219200000001,-5.712153100000001,-5.3461908000000005,-5.6773169
231.1597508569799,-52.8538603789,0.967448,10.563,0.347,8.844,7.637,6.364,4.813,5.492,4.96,5888819699572539264,7.214106,7.867964,6.425925,-3.1872611000000006,-4.046810000000001,-4.880452480000001,-5.8833763900000005,-5.3982765200000005,-5.805866610000001
293.80677884898,19.2024081202,1.708102,12.292,1.31,12.442,10.163,7.5,4.596,5.723,4.889,1825211056159949440,8.811976,10.404071,7.61673,-5.393003,-6.3603,-7.364630399999999,-8.1995247,-7.8045396,-8.1688653
204.15372943961,-64.55830970822,1.531857,12.983,0.791,11.468,9.856,7.996,5.49,6.517,5.756,5864135319959353600,9.141762,10.20977,8.130879,-4.861958300000001,-5.681930000000001,-6.5403974400000005,-7.797036670000001,-7.21203956,-7.68944233
252.91061398308,-45.42669480181,1.457818,12.237,0.869,11.747,9.81,7.658,4.947,6.025,5.218,5964193485048327808,8.895999,10.155686,7.793558,-4.1669997,-5.23387,-6.28557696,-7.62401753,-7.03160604,-7.52704347
119.74674876735,-29.30787746325,1.150646,13.423,0.462,11.685,10.448,9.074,7.353,8.094,7.518,5597327141100381568,10.047074,10.778989,9.198927,-3.6928605999999995,-4.46726,-5.25629408,-6.24757894,-5.76473992,-6.17509906
303.09512298007,32.87162271156,0.774852,10.267,0.635,10.841,9.483,7.874,6.041,6.799,6.209,2055014277739104896,8.945678,9.8022,8.039602,-2.1128755000000012,-2.835049999999999,-3.6400384,-4.470074949999999,-4.066906599999999,-4.42924005
242.83527688702,-54.35411799908,0.578244,10.706,0.263,9.756,8.869,7.865,6.619,7.136,6.733,5932565900081831040,8.601915,9.098445,7.93864,-2.062831899999999,-2.686489999999999,-3.357489919999999,-4.18808931,-3.818051079999999,-4.12675769
340.36052531544,56.43278660668,0.807281,10.772,0.319,9.753,8.842,7.816,6.527,7.058,6.619,2006989121667184384,8.574277,9.116662,7.889063,-2.368784700000001,-2.9603699999999993,-3.5824649600000003,-4.36761403,-4.0148680400000005,-4.339496970000001
354.3169203050799,62.42899232658,0.799056,10.317,0.833,11.423,9.944,8.217,6.03,6.884,6.227,2015820463470505600,9.279619,10.257002,8.301531,-2.4186729000000007,-3.0635899999999996,-3.7358787199999997,-4.60718021,-4.21865228,-4.57699679
123.26756546301,-34.57852679107,1.61742,11.288,0.457,8.442,7.01,5.489,3.647,4.44,3.827,5546476927338700416,6.53749,7.396177,5.637083,-4.7797041,-5.754110000000001,-6.69647488,-7.8166570900000005,-7.27902412,-7.728175910000001
97.1420341022863,30.4930359991278,0.571489,7.999,0.059,6.036,5.443,4.767,3.937,4.302,3.989,3435571660360952704,5.267797,5.591469,4.785621,-2.2126466999999996,-2.74657,-3.347866559999999,-4.08467783,-3.7526464400000004,-4.04449317
280.48492440502,-4.11066011245,1.29448,11.834,0.911,11.126,9.487,7.371,5.072,5.777,5.315,4258436301367796480,8.625607,9.81225,7.56462,-4.5627143000000006,-5.289529999999999,-6.252058239999999,-7.11216107,-6.91621876,-7.051597929999999
58.59069294672,58.6533329467,1.215224,11.329,0.633,10.034,8.671,7.042,5.139,5.93,5.291,473043922712140928,8.142854,8.960486,7.200003,-3.9734128999999996,-4.702590000000001,-5.530110720000001,-6.4333062100000005,-5.996020280000001,-6.40807079
24.30841451588,57.75922027157,1.170032,12.707,0.38,10.462,9.233,7.871,6.237,6.934,6.367,508915489570374272,8.742037,9.418251,7.93124,-3.852894000000001,-4.7014,-5.5822592,-6.616060600000001,-6.131400800000001,-6.5621594000000005
75.34661743047,39.96039530757,1.065337,10.796,0.263,8.631,7.669,6.59,5.269,5.819,5.355,200708636406382720,7.343334,7.886392,6.612993,-3.277831899999999,-3.97649,-4.722489919999999,-5.628089309999999,-5.225051079999999,-5.594757689999999
61.24359429263,58.65978300811,0.898288,9.506,0.532,8.888,7.669,6.223,4.599,5.266,4.724,470361114339849472,7.168684,7.908594,6.319619,-2.8690516000000006,-3.5553600000000003,-4.327762880000001,-5.11148484,-4.7417611200000005,-5.09302316
109.15681547013,-11.48730532182,0.670099,10.713,0.239,8.953,8.108,7.119,5.936,6.455,6.045,3046774762417915136,7.877729,8.350953,7.19662,-2.7712807,-3.3769699999999983,-4.06335776,-4.8688644299999995,-4.483415239999999,-4.807726569999999
358.02930081425,58.74172448295,1.084181,12.069,0.618,11.321,9.95,8.403,6.373,7.175,6.551,1999252442448732288,9.330531,10.172781,8.418761,-3.3629434000000007,-4.115140000000002,-4.87965312,-5.93354066,-5.476872880000001,-5.8793013400000005
267.71810332336,-33.70567008012,1.307927,10.337,0.718,9.462,8.018,6.255,4.143,4.999,4.365,4041690364529590144,7.448688,8.437653,6.449693,-3.9130734,-4.638139999999999,-5.49203712,-6.46997766,-6.01518888,-6.39176434
155.17096495336,-55.32139671669,1.449158,11.847,0.545,9.744,8.371,6.834,4.928,5.7,5.123,5355057622307185280,7.866588,8.706035,6.942901,-4.4090585,-5.236349999999999,-6.0832928,-7.1284816499999994,-6.6610222,-7.0426233499999995
110.38690497372,-16.68722188919,0.628882,10.942,0.443,10.698,9.698,8.469,7.027,7.629,7.177,3027940437469882880,9.286951,9.892735,8.550377,-2.1184659000000003,-2.6748899999999995,-3.342981120000001,-4.08527591,-3.7308198800000003,-4.023991090000001
90.65244653553,22.23415242364,0.742669,11.655,0.563,11.055,10.006,8.662,7.01,7.703,7.164,3423693395726613504,9.627711,10.322967,8.804928,-2.982221899999999,-3.4674899999999997,-4.098641919999999,-4.86140031,-4.482999079999999,-4.82014669
