Identifier,name,logP,IRSB,EBV,V_mag,I_mag,J_mag,K_mag
HV1005,HV1005,1.272209,18.514,0.138,14.099,13.224,12.606,12.072
HV1006,HV1006,1.152786,18.252,0.149,14.386,13.479,12.835,12.305
HV1023,HV1023,1.424235,18.368,0.138,13.789,,12.116,11.546
HV12197,HV12197,0.497456,18.343,0.1,16.09,15.368,14.942,14.472
HV12198,HV12198,0.546887,18.419,0.1,15.946,15.23,14.748,14.317
HV12199,HV12199,0.421469,18.503,0.1,16.266,15.586,15.407,14.707
HV12202,HV12202,0.491519,18.419,0.1,16.061,15.37,14.848,14.396
HV12203,HV12203,0.470427,18.661,0.1,16.126,15.445,15.031,14.583
HV12204,HV12204,0.536402,18.319,0.1,15.699,15.082,14.684,14.263
HV12452,HV12452,0.941457,18.375,0.171,14.753,13.941,13.424,12.961
HV12505,HV12505,1.158115,18.652,0.127,14.836,13.808,13.122,12.52
HV12717,HV12717,0.946628,18.217,0.151,14.733,13.95,13.446,12.985
HV12815,HV12815,1.41691,18.358,0.11,13.489,12.52,11.922,11.363
HV12816,HV12816,0.959466,18.605,0.11,14.514,13.837,13.412,13.003
HV2257,HV2257,1.595153,18.757,0.112,13.025,12.049,11.43,10.882
HV2282,HV2282,1.166636,18.415,0.097,14.329,13.428,12.855,12.338
HV2338,HV2338,1.62535,18.608,0.101,12.766,11.832,11.247,10.725
HV2369,HV2369,1.684646,18.414,0.119,12.676,,11.011,10.454
HV2405,HV2405,0.840331,17.999,0.095,15.152,14.355,13.908,13.443
HV2527,HV2527,1.112251,18.767,0.126,14.605,13.67,13.144,12.608
HV2538,HV2538,1.142118,18.55,0.106,14.478,13.468,12.937,12.397
HV2549,HV2549,1.210289,18.129,0.101,13.795,12.913,12.472,12.002
HV2827,HV2827,1.896354,18.253,0.12,12.304,11.193,10.5,9.904
HV5655,HV5655,1.152657,18.923,0.115,14.552,13.578,13.043,12.487
HV6093,HV6093,0.679885,18.372,0.062,15.309,14.628,14.213,13.8
HV873,HV873,1.537311,18.473,0.115,13.029,,11.53,11.025
HV876,HV876,1.356342,18.383,0.095,13.654,12.727,12.214,11.704
HV877,HV877,1.655215,18.24,0.122,13.336,,11.517,10.9
HV878,HV878,1.367445,18.489,0.111,13.542,12.915,12.162,11.666
HV879,HV879,1.566167,18.503,0.16,13.36,12.309,11.662,11.083
HV881,HV881,1.55282,18.575,0.081,13.105,,11.601,11.077
HV899,HV899,1.492039,18.741,0.094,13.4,12.446,11.832,11.289
HV900,HV900,1.675637,18.923,0.116,12.763,,11.227,10.674
HV909,HV909,1.574986,18.349,0.111,12.755,11.917,11.399,10.914
HV914,HV914,0.837489,18.835,0.128,14.925,14.153,13.69,13.249
U1,LMC-CEP-0079,1.353098,18.636,0.14,14.126,13.116,12.425,11.843
