,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,0,1,SSSct,0.564814,9.786,0.3444043173401429,9.165,8.218,7.095,6.381,5.937,5.845
1,1,1,2,RTAur,0.571489,8.059,0.066867622082774,6.036,5.443,4.767,4.302,3.989,3.937
2,2,2,3,ADGem,0.578408,12.188999999999998,0.1474478846274545,10.547,9.855,9.039,8.527,8.147,8.077
3,3,3,4,SUCyg,0.584952,9.51,0.0852399615493931,7.455,6.886,6.196,5.703,5.387,5.324
4,4,4,5,YAur,0.586529,11.195,0.4311090456047243,10.512,9.614,8.571,7.743,7.284,7.167
5,5,5,7,STTau,0.605768,9.877,0.3914160354513278,9.066,8.219,7.138,6.352,5.898,5.788
6,6,6,8,BFOph,0.609329,9.35,0.2751675601340523,8.2,7.337,6.366,5.701,5.285,5.178
7,7,7,9,SYCas,0.609712,11.412,0.4366154235953312,10.85,9.873,8.752,7.909,7.448,7.343
8,8,8,12,RZCMa,0.628882,11.202,0.4223199055336303,10.698,9.698,8.469,7.629,7.177,7.027
9,9,9,13,YLac,0.635863,11.536,0.1802533743175449,9.874,9.144,8.277,7.706,7.316,7.225
10,10,10,14,V0402Cyg,0.639968,11.476,0.3951337908493602,10.897,9.867,8.669,7.895,7.41,7.299
11,11,11,15,TVul,0.646934,8.61,0.0486714982024493,6.39,5.753,5.054,4.601,4.27,4.205
12,12,12,16,XYCas,0.653376,11.419,0.4938539687583247,11.085,9.953,8.736,7.832,7.335,7.212
13,13,13,17,TVel,0.666501,9.983,0.3378005903241524,8.944,8.032,6.959,6.225,5.768,5.641
14,14,14,18,WWMon,0.66858,13.554,0.6551650877190512,13.637,12.51,11.137,10.064,9.507,9.392
15,15,15,19,RYCMa,0.670099,10.332999999999998,0.2519366878539572,8.953,8.108,7.119,6.455,6.045,5.936
16,16,16,20,VZCyg,0.687034,11.212000000000002,0.2375332790520449,9.836,8.956,7.933,7.283,6.872,6.759
17,17,17,21,CFCas,0.687994,12.252,0.5981035298911699,12.338,11.128,9.691,8.701,8.132,7.966
18,18,18,22,ASPer,0.696531,10.571,0.6341692893137083,11.02,9.719,8.09,7.035,6.478,6.315
19,19,19,23,VLac,0.697493,11.021,0.3313446223285899,9.816,8.921,7.866,7.121,6.671,6.587
20,20,20,24,V350Sgr,0.712165,9.662,0.3009393717756603,8.382,7.474,6.416,5.712,5.257,5.165
21,21,21,25,V0386Cyg,0.720788,9.839,0.8595284534084957,11.167,9.627,7.742,6.482,5.809,5.587
22,22,22,27,BGLac,0.726883,11.107,0.2727507283780726,9.833,8.881,7.784,7.112,6.658,6.543
23,23,23,28,dCeph,0.729678,7.029999999999999,0.0478181329433747,4.612,3.959,3.209,2.748,2.392,2.325
24,24,24,29,V1162Aql,0.730464,10.324,0.2078090794394815,8.677,7.789,6.845,6.22,5.807,5.714
25,25,25,30,CVMon,0.730685,10.938,0.7781144759406223,11.596,10.305,8.616,7.404,6.791,6.576
26,26,26,31,SWCas,0.735675,11.355,0.4722272292541526,10.808,9.703,8.387,7.5,6.982,6.859
27,27,27,32,VCen,0.739882,9.141,0.2991122098761538,7.705,6.834,5.796,5.073,4.628,4.509
28,28,28,33,RZGem,0.742669,11.535,0.5374305773600127,11.055,10.006,8.662,7.703,7.164,7.01
29,29,29,34,YSgr,0.761428,8.323,0.2397583734983275,6.595,5.743,4.797,4.131,3.702,3.612
30,30,30,35,FMCas,0.764123,11.295,0.3383557286651392,10.119,9.128,7.978,7.223,6.746,6.638
31,31,31,36,CSVel,0.771201,12.535,0.7724506363885941,13.049,11.709,10.068,8.84,8.234,8.018
32,32,32,37,MWCyg,0.774852,10.587,0.6490346183096926,10.841,9.483,7.874,6.799,6.209,6.041
33,33,33,38,CRCep,0.794695,10.48,0.7633406587573617,11.048,9.655,7.929,6.754,6.098,5.935
34,34,34,39,RSCas,0.799056,10.577,0.8770817326972619,11.423,9.944,8.217,6.884,6.227,6.03
35,35,35,40,XVul,0.800689,9.857,0.6747400644034761,10.28,8.835,7.137,6.021,5.426,5.255
36,36,36,41,RRLac,0.807281,11.372,0.2999184184866395,9.753,8.842,7.816,7.058,6.619,6.527
37,37,37,42,XXSgr,0.807815,10.557,0.5252442417244795,9.967,8.856,7.469,6.496,5.961,5.824
38,38,38,43,AWPer,0.810474,9.495,0.41724278515078,8.533,7.467,6.19,5.308,4.83,4.715
39,39,39,44,BBSgr,0.821971,9.43,0.2855302288872205,7.924,6.94,5.822,5.099,4.639,4.51
40,40,40,45,VCar,0.82586,10.275,0.1763174474439393,8.235,7.368,6.421,5.806,5.387,5.284
41,41,41,47,USgr,0.828997,8.841000000000001,0.392142260572191,7.786,6.69,5.426,4.587,4.093,3.954
42,42,42,48,TWCMa,0.844792,12.026,0.3228670947712769,10.534,9.564,8.419,7.66,7.175,7.069
43,43,43,49,xSgr,0.845893,7.588999999999999,0.1724170407768605,5.311,4.561,3.655,3.016,2.618,2.521
44,44,44,50,UAql,0.846591,8.861,0.327442977636005,7.475,6.449,5.259,4.476,4.008,3.89
45,45,45,51,etaAql,0.85593,7.092,0.1079275885420471,4.689,3.904,3.018,2.46,2.066,1.985
46,46,46,53,V0459Cyg,0.860413,11.7,0.6952827650693415,12.035,10.601,8.837,7.715,7.073,6.903
47,47,47,55,CKSct,0.870124,11.418,0.8327959310530687,12.165,10.575,8.778,7.498,6.82,6.652
48,48,48,58,RSOri,0.878917,10.997,0.3061560907421257,9.376,8.414,7.253,6.489,6.018,5.917
49,49,49,60,GHCyg,0.893092,11.648,0.5888595887206497,11.159,9.896,8.43,7.356,6.799,6.638
50,50,50,61,VYCyg,0.895256,11.427,0.5159116600179576,10.822,9.582,8.079,7.102,6.548,6.396
51,51,51,62,RXCam,0.898288,9.646,0.4917463941355128,8.888,7.669,6.223,5.266,4.724,4.599
52,52,52,63,WGem,0.898368,9.875,0.2299782115339388,7.865,6.95,5.901,5.204,4.763,4.693
53,53,53,65,DLCas,0.903126,11.047,0.4721644085773236,10.121,8.968,7.575,6.651,6.101,5.949
