,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,SUCas,0.289884,8.196,0.259,6.673,5.971,5.094,4.53,4.205,4.13
1,1,DTCyg,0.397804,10.12,0.04,6.313,5.774,5.178,4.753,4.483,4.438
2,2,V0465Mon,0.433514,10.484,0.244,10.965,10.372,9.474,8.835,8.436,8.365
3,3,EVSct,0.490098,11.32,0.655,11.29,10.144,8.623,7.664,7.171,7.028
4,4,SZTau,0.498166,8.731,0.295,7.365,6.526,5.517,4.827,4.414,4.314
5,5,SSSct,0.564814,10.346,0.325,9.165,8.218,7.095,6.381,5.937,5.845
6,6,RTAur,0.571489,7.999,0.059,6.036,5.443,4.767,4.302,3.989,3.937
7,7,QZNor,0.578244,10.706,0.263,9.756,8.869,7.865,7.136,6.733,6.619
8,8,ADGem,0.578408,12.409,0.173,10.547,9.855,9.039,8.527,8.147,8.077
9,9,SUCyg,0.584952,9.17,0.098,7.455,6.886,6.196,5.703,5.387,5.324
10,10,YAur,0.586529,11.575,0.375,10.512,9.614,8.571,7.743,7.284,7.167
11,13,STTau,0.605768,10.137,0.368,9.066,8.219,7.138,6.352,5.898,5.788
12,14,BFOph,0.609329,9.11,0.235,8.2,7.337,6.366,5.701,5.285,5.178
13,15,SYCas,0.609712,11.472,0.442,10.85,9.873,8.752,7.909,7.448,7.343
14,18,RZCMa,0.628882,10.942,0.443,10.698,9.698,8.469,7.629,7.177,7.027
15,19,YLac,0.635863,11.936,0.217,9.874,9.144,8.277,7.706,7.316,7.225
16,20,V0402Cyg,0.639968,11.396,0.391,10.897,9.867,8.669,7.895,7.41,7.299
17,21,TVul,0.646934,8.69,0.06,6.39,5.753,5.054,4.601,4.27,4.205
18,22,FFAql,0.65039,8.578,0.196,6.128,5.373,4.501,3.921,3.577,3.49
19,23,XYCas,0.653376,11.039,0.533,11.085,9.953,8.736,7.832,7.335,7.212
20,24,TVel,0.666501,10.003,0.289,8.944,8.032,6.959,6.225,5.768,5.641
21,26,RYCMa,0.670099,10.713,0.239,8.953,8.108,7.119,6.455,6.045,5.936
22,27,VZCyg,0.687034,11.452,0.266,9.836,8.956,7.933,7.283,6.872,6.759
23,28,CFCas,0.687994,12.212,0.553,12.338,11.128,9.691,8.701,8.132,7.966
24,29,ASPer,0.696531,10.831,0.679,11.02,9.719,8.09,7.035,6.478,6.315
25,30,VLac,0.697493,11.321,0.335,9.816,8.921,7.866,7.121,6.671,6.587
26,31,V350Sgr,0.712165,9.982,0.299,8.382,7.474,6.416,5.712,5.257,5.165
27,32,V0386Cyg,0.720788,9.599,0.841,11.167,9.627,7.742,6.482,5.809,5.587
28,33,CRSer,0.724391,11.565,1.036,12.492,10.853,8.895,7.463,6.763,6.548
29,34,BGLac,0.726883,11.247,0.3,9.833,8.881,7.784,7.112,6.658,6.543
30,35,dCeph,0.729678,7.13,0.075,4.612,3.959,3.209,2.748,2.392,2.325
31,36,V1162Aql,0.730464,9.984,0.195,8.677,7.789,6.845,6.22,5.807,5.714
32,37,CVMon,0.730685,10.918,0.722,11.596,10.305,8.616,7.404,6.791,6.576
33,38,SWCas,0.735675,11.655,0.467,10.808,9.703,8.387,7.5,6.982,6.859
34,39,XLac,0.735997,11.33,0.336,9.306,8.405,7.317,6.608,6.157,6.046
35,40,VCen,0.739882,9.041,0.294,7.705,6.834,5.796,5.073,4.628,4.509
36,41,RZGem,0.742669,11.655,0.563,11.055,10.006,8.662,7.703,7.164,7.01
37,42,YSgr,0.761428,8.143,0.188,6.595,5.743,4.797,4.131,3.702,3.612
38,43,FMCas,0.764123,11.055,0.325,10.119,9.128,7.978,7.223,6.746,6.638
