Identifier,ID,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
HV1328,HV1328,1.199692,18.395,0.016,14.646,14.122,13.401,12.962,,12.567
HV1333,HV1333,1.212084,19.255,0.024,,14.682,13.841,13.253,,12.771
HV1335,HV1335,1.1578,18.624,0.024,,14.761,13.963,13.428,,12.961
HV1345,HV1345,1.12967,18.731,0.031,15.442,14.747,13.992,13.437,,12.947
HV822,HV822,1.223807,19.078,0.039,15.346,14.517,13.654,13.107,,12.596
HV837,HV837,1.630904,18.878,0.024,,13.239,12.284,11.788,,11.153
cep0320,SMC-CEP-0320,1.253893,18.665,0.031,,14.17,13.444,12.947,,12.54
cep0518,SMC-CEP-0518,1.197888,19.011,0.055,,15.193,14.173,13.461,,12.946
cep0524,SMC-CEP-0524,1.022321,18.98,0.047,,15.394,14.531,13.948,,13.486
cep0958,SMC-CEP-0958,1.379643,18.992,0.031,,14.287,13.382,12.726,,12.203
cep1365,SMC-CEP-1365,1.194727,18.96,0.055,,14.579,13.728,12.962,,12.466
cep1385,SMC-CEP-1385,1.199259,18.712,0.055,,14.772,13.864,13.19,,12.706
cep1403,SMC-CEP-1403,1.459128,18.67,0.055,,14.357,13.336,12.626,,12.019
cep1410,SMC-CEP-1410,0.963223,18.755,0.055,,15.217,14.38,13.832,,13.349
cep1680,SMC-CEP-1680,0.689176,19.021,0.031,,15.983,15.246,14.715,,14.311
cep1686,SMC-CEP-1686,1.540177,19.052,0.063,,13.559,12.652,12.094,,11.559
cep1693,SMC-CEP-1693,0.89775,18.92,0.063,,15.634,14.74,14.119,,13.639
cep1712,SMC-CEP-1712,1.006814,18.988,0.024,,15.551,14.601,13.939,,13.465
cep1717,SMC-CEP-1717,0.823504,18.937,0.024,,15.887,15.064,14.481,,14.058
cep1723,SMC-CEP-1723,1.215794,19.167,0.024,,14.994,14.0,13.302,,12.785
cep1729,SMC-CEP-1729,0.631889,18.987,0.024,,16.35,15.575,14.908,,14.616
cep1750,SMC-CEP-1750,1.310784,19.149,0.024,,14.603,13.636,12.99,,12.43
cep1761,SMC-CEP-1761,0.595415,19.016,0.024,,16.305,15.578,15.006,,14.665
cep1765,SMC-CEP-1765,0.750044,18.84,0.024,,16.048,15.268,14.714,,14.293
cep1797,SMC-CEP-1797,1.615447,18.68,0.024,,13.783,12.731,12.156,,11.443
cep1977,SMC-CEP-1977,1.838831,18.505,0.031,,12.917,11.843,11.373,,10.815
cep2533,SMC-CEP-2533,1.084483,18.515,0.024,,14.625,13.903,13.379,,13.007
cep2905,SMC-CEP-2905,1.580231,18.948,0.079,,13.994,12.887,12.268,,11.58
cep3311,SMC-CEP-3311,1.696679,18.454,0.024,,13.218,12.161,11.921,,11.2
cep3927,SMC-CEP-3927,1.517905,18.662,0.055,,13.755,12.922,12.212,,11.669
cep4017,SMC-CEP-4017,1.527325,18.66,0.039,,13.751,12.779,12.289,,11.652
cep4444,SMC-CEP-4444,1.621557,19.39,0.031,,12.98,12.131,11.522,,11.061
