,name,logP,HST,EBV,M_B,M_V,M_R,M_I,M_J,M_H,M_K,modu,excessu,M_bu,M_vu,M_ru,M_iu,M_ju,M_hu,M_ku
0,RT Aur,0.571489,8.099,0.059,-2.31,-2.84,-3.2,-3.4,-3.94,-4.15,-4.24,8.169,0.202,-1.64,-2.31,-2.79,-3.11,-3.74,-3.99,-4.12
1,QZ Nor,0.578244,10.512,0.253,-1.83,-2.47,-2.85,-3.15,-3.67,-3.91,-4.01,10.258,0.184,-2.37,-2.94,-3.27,-3.51,-3.99,-4.21,-4.29
2,SU Cyg,0.584952,9.622,0.098,-2.61,-3.08,-3.38,-3.63,-4.08,-4.28,-4.36,9.625,0.163,-2.34,-2.87,-3.22,-3.53,-4.02,-4.24,-4.33
3,Y Lac,0.635863,11.783,0.207,-2.79,-3.31,-3.65,-3.9,-4.33,-4.58,-4.66,11.979,0.263,-2.36,-2.94,-3.32,-3.62,-4.08,-4.35,-4.44
4,T Vul,0.646934,8.606,0.064,-2.48,-3.06,-3.41,-3.66,-4.12,-4.36,-4.45,8.654,0.17,-1.99,-2.67,-3.11,-3.45,-3.98,-4.25,-4.36
5,FF Aql,0.650397,7.756,0.196,-2.46,-3.02,-3.35,-3.64,-4.09,-4.29,-4.37,7.606,0.183,-2.66,-3.21,-3.53,-3.81,-4.25,-4.45,-4.52
6,T Vel,0.666501,10.022,0.289,-2.28,-2.93,-3.32,-3.64,-4.13,-4.41,-4.51,9.922,0.189,-2.8,-3.35,-3.66,-3.89,-4.32,-4.57,-4.65
7,VZ Cyg,0.687034,11.338,0.266,-2.62,-3.23,-3.62,-3.88,-4.36,-4.6,-4.7,11.476,0.291,-2.38,-3.01,-3.42,-3.7,-4.2,-4.45,-4.55
8,V350 Sgr,0.712165,9.853,0.299,-2.74,-3.34,-3.73,-4.02,-4.51,-4.78,-4.85,9.984,0.279,-2.69,-3.27,-3.65,-3.92,-4.4,-4.66,-4.73
9,BG Lac,0.726883,11.146,0.3,-2.56,-3.22,-3.62,-3.91,-4.36,-4.64,-4.73,11.196,0.282,-2.59,-3.23,-3.61,-3.89,-4.33,-4.6,-4.69
10,delta Cep,0.729678,7.183,0.075,-2.88,-3.47,-3.87,-4.11,-4.55,-4.82,-4.91,7.433,0.148,-2.32,-2.99,-3.44,-3.75,-4.23,-4.53,-4.63
11,CV Mon,0.730685,11.003,0.722,-2.46,-3.04,-3.51,-3.78,-4.35,-4.62,-4.72,10.83,0.597,-3.15,-3.61,-3.98,-4.14,-4.64,-4.87,-4.94
12,V Cen,0.739882,8.913,0.292,-2.45,-3.03,-3.4,-3.68,-4.16,-4.43,-4.52,8.578,0.307,-2.72,-3.32,-3.7,-3.99,-4.48,-4.76,-4.85
13,Y Sgr,0.761428,8.358,0.191,-2.57,-3.23,-3.63,-3.95,-4.45,-4.75,-4.83,8.248,0.103,-3.05,-3.62,-3.95,-4.2,-4.64,-4.91,-4.97
14,CS Vel,0.771201,12.407,0.737,-2.48,-3.09,-3.54,-3.79,-4.33,-4.59,-4.69,12.223,0.747,-2.62,-3.24,-3.7,-3.96,-4.5,-4.77,-4.87
15,BB Sgr,0.821971,9.481,0.281,-2.74,-3.45,-3.88,-4.19,-4.7,-4.99,-5.08,9.521,0.226,-2.93,-3.58,-3.97,-4.23,-4.71,-4.98,-5.06
16,V Car,0.82586,10.089,0.169,-2.58,-3.29,-3.7,-4.01,-4.5,-4.79,-4.89,9.945,0.157,-2.77,-3.47,-3.87,-4.17,-4.65,-4.94,-5.04
17,U Sgr,0.828997,8.76,0.403,-2.67,-3.36,-3.79,-4.1,-4.61,-4.89,-4.97,8.685,0.369,-2.89,-3.55,-3.95,-4.23,-4.72,-4.99,-5.06
18,V496 Aql,0.832958,9.853,0.397,-2.63,-3.39,-3.85,-4.16,-4.67,-4.95,-5.02,9.985,0.395,-2.5,-3.26,-3.72,-4.03,-4.54,-4.82,-4.89
19,X Sgr,0.845907,7.614,0.237,-3.31,-3.82,-4.17,-4.43,-4.87,-5.1,-5.17,7.541,0.281,-3.2,-3.75,-4.14,-4.44,-4.9,-5.15,-5.23
20,U Aql,0.846591,9.178,0.36,-2.97,-3.65,-4.07,-4.35,-4.87,-5.12,-5.21,9.342,0.416,-2.57,-3.31,-3.77,-4.1,-4.66,-4.92,-5.03
21,eta Aql,0.85593,6.91,0.13,-2.77,-3.43,-3.8,-4.14,-4.63,-4.91,-5.0,6.612,0.07,-3.32,-3.92,-4.24,-4.53,-4.98,-5.24,-5.32
22,W Sgr,0.880522,8.21,0.108,-3.25,-3.89,-4.31,-4.58,-5.1,-5.4,-5.47,8.446,0.177,-2.73,-3.44,-3.91,-4.24,-4.8,-5.12,-5.21
23,U Vul,0.902584,9.178,0.603,-3.32,-3.99,-4.47,-4.75,-5.17,-5.41,-5.46,9.558,0.593,-2.98,-3.64,-4.11,-4.39,-4.8,-5.04,-5.08
24,S Sge,0.923352,9.149,0.1,-3.16,-3.86,-4.27,-4.57,-5.07,-5.35,-5.44,9.237,0.141,-2.9,-3.64,-4.08,-4.42,-4.94,-5.24,-5.34
25,GH Lup,0.967448,10.253,0.335,-2.83,-3.71,-4.21,-4.56,-5.14,-5.47,-5.59,10.417,0.275,-2.92,-3.74,-4.19,-4.49,-5.03,-5.34,-5.45
26,S Mus,0.98498,9.568,0.212,-3.5,-4.13,-4.5,-4.8,-5.27,-5.55,-5.66,9.502,0.244,-3.43,-4.1,-4.49,-4.82,-5.31,-5.6,-5.71
27,S Nor,0.989194,9.873,0.178,-3.25,-4.02,-4.46,-4.8,-5.36,-5.68,-5.79,9.992,0.137,-3.3,-4.03,-4.44,-4.74,-5.28,-5.59,-5.69
28,beta Dor,0.993131,7.515,0.052,-3.18,-3.93,-4.34,-4.68,-5.17,-5.49,-5.59,7.46,0.042,-3.28,-4.02,-4.42,-4.75,-5.23,-5.55,-5.65
29,zeta Gem,1.006507,7.78,0.014,-3.13,-3.93,-4.4,-4.7,-5.31,-5.6,-5.71,7.919,0.075,-2.73,-3.6,-4.11,-4.47,-5.12,-5.42,-5.55
30,Z Lac,1.036854,11.379,0.37,-3.41,-4.14,-4.6,-4.89,-5.42,-5.73,-5.83,11.482,0.417,-3.11,-3.89,-4.38,-4.72,-5.27,-5.6,-5.71
31,XX Cen,1.039548,10.902,0.266,-3.22,-3.93,-4.36,-4.68,-5.2,-5.5,-5.6,10.666,0.265,-3.46,-4.17,-4.6,-4.92,-5.44,-5.74,-5.84
32,V340 Nor,1.052579,11.259,0.321,-3.1,-3.94,-4.42,-4.73,-5.36,-5.7,-5.82,12.308,0.372,-2.83,-3.73,-4.25,-4.6,-5.26,-5.62,-5.75
33,UU Mus,1.065819,12.407,0.399,-3.14,-3.89,-4.36,-4.68,-5.29,-5.6,-5.72,12.18,0.391,-3.4,-4.14,-4.6,-4.92,-5.52,-5.83,-5.95
34,U Nor,1.101875,10.458,0.862,-3.26,-4.01,-4.52,-4.8,-5.4,-5.7,-5.8,10.356,0.929,-3.08,-3.89,-4.46,-4.8,-5.44,-5.76,-5.88
35,SU Cru,1.1088,10.038,0.942,-3.47,-4.3,-4.88,-5.23,-5.99,-6.53,-6.66,11.321,0.779,-3.87,-4.54,-4.99,-5.2,-5.85,-6.35,-6.44
36,BN Pup,1.135867,12.925,0.416,-3.64,-4.42,-4.89,-5.23,-5.79,-6.11,-6.22,13.004,0.395,-3.65,-4.41,-4.86,-5.18,-5.73,-6.04,-6.15
37,TT Aql,1.138459,10.022,0.438,-3.43,-4.3,-4.8,-5.15,-5.72,-6.05,-6.15,10.142,0.397,-3.48,-4.31,-4.78,-5.09,-5.64,-5.95,-6.04
38,LS Pup,1.150646,13.389,0.461,-3.63,-4.4,-4.87,-5.2,-5.76,-6.09,-6.19,13.387,0.456,-3.65,-4.42,-4.88,-5.21,-5.77,-6.1,-6.19
39,VW Cen,1.177138,12.764,0.428,-2.94,-3.87,-4.43,-4.83,-5.55,-5.95,-6.1,12.46,0.257,-3.96,-4.72,-5.14,-5.39,-6.01,-6.36,-6.47
40,X Cyg,1.214482,10.328,0.228,-3.76,-4.66,-5.17,-5.53,-6.14,-6.48,-6.6,10.614,0.208,-3.56,-4.44,-4.93,-5.27,-5.87,-6.21,-6.32
41,CD Cyg,1.232334,12.045,0.493,-3.87,-4.68,-5.19,-5.5,-6.13,-6.45,-6.55,12.189,0.534,-3.56,-4.41,-4.95,-5.29,-5.95,-6.28,-6.39
42,Y Oph,1.233609,8.712,0.645,-3.89,-4.62,-5.16,-5.43,-5.96,-6.21,-6.28,8.742,0.686,-3.69,-4.46,-5.03,-5.34,-5.89,-6.15,-6.23
43,SZ Aql,1.234029,11.686,0.537,-3.9,-4.79,-5.33,-5.68,-6.3,-6.63,-6.74,12.095,0.523,-3.55,-4.42,-4.95,-5.29,-5.9,-6.23,-6.34
44,VY Car,1.276818,11.298,0.237,-3.69,-4.61,-5.13,-5.51,-6.13,-6.49,-6.61,11.358,0.206,-3.76,-4.65,-5.14,-5.5,-6.1,-6.45,-6.56
45,RU Sct,1.29448,11.183,0.921,-3.94,-4.69,-5.26,-5.51,-6.09,-6.38,-6.46,11.192,1.022,-3.51,-4.36,-5.01,-5.35,-5.99,-6.31,-6.41
46,RY Sco,1.307927,10.353,0.718,-3.91,-4.65,-5.19,-5.48,-6.09,-6.38,-6.49,10.165,0.761,-3.92,-4.7,-5.27,-5.6,-6.24,-6.54,-6.66
47,RZ Vel,1.309564,10.775,0.299,-3.83,-4.66,-5.14,-5.51,-6.13,-6.47,-6.59,10.541,0.267,-4.2,-5.0,-5.45,-5.79,-6.39,-6.72,-6.84
48,WZ Sgr,1.339443,11.221,0.431,-3.63,-4.6,-5.16,-5.55,-6.3,-6.7,-6.84,11.153,0.343,-4.07,-4.95,-5.44,-5.75,-6.45,-6.82,-6.94
49,WZ Car,1.361977,12.688,0.37,-3.83,-4.61,-5.09,-5.43,-6.08,-6.42,-6.54,12.172,0.389,-4.27,-5.07,-5.56,-5.92,-6.58,-6.92,-7.05
50,SW Vel,1.370016,11.884,0.344,-4.07,-4.88,-5.37,-5.73,-6.34,-6.68,-6.8,11.64,0.313,-4.44,-5.22,-5.69,-6.02,-6.61,-6.94,-7.06
51,T Mon,1.431915,10.713,0.181,-4.18,-5.17,-5.68,-6.08,-6.75,-7.14,-7.27,10.824,0.151,-4.19,-5.15,-5.64,-6.01,-6.67,-7.05,-7.17
52,RY Vel,1.449158,11.734,0.547,-4.32,-5.14,-5.65,-5.99,-6.62,-6.92,-7.04,11.535,0.559,-4.47,-5.3,-5.82,-6.17,-6.81,-7.11,-7.23
53,AQ Pup,1.478624,12.407,0.518,-4.56,-5.39,-5.93,-6.28,-6.85,-7.2,-7.31,12.406,0.483,-4.71,-5.5,-6.01,-6.33,-6.88,-7.22,-7.32
54,KN Cen,1.531857,12.843,0.797,-4.79,-5.59,-6.14,-6.43,-7.15,-7.53,-7.67,12.917,0.914,-4.23,-5.14,-5.79,-6.18,-6.97,-7.38,-7.55
55,l Car,1.550816,8.484,0.147,-4.11,-5.22,-5.8,-6.21,-6.91,-7.33,-7.46,8.582,0.17,-3.91,-5.05,-5.65,-6.08,-6.79,-7.22,-7.35
56,U Car,1.58897,10.87,0.265,-4.51,-5.43,-5.94,-6.32,-6.97,-7.32,-7.45,10.596,0.285,-4.7,-5.64,-6.17,-6.56,-7.23,-7.58,-7.72
57,RS Pup,1.61742,11.298,0.457,-4.78,-5.76,-6.32,-6.72,-7.37,-7.74,-7.87,11.405,0.412,-4.86,-5.8,-6.32,-6.68,-7.3,-7.66,-7.78
58,SV Vul,1.652569,11.686,0.461,-4.97,-5.97,-6.53,-6.9,-7.52,-7.86,-7.96,11.981,0.536,-4.36,-5.44,-6.06,-6.49,-7.16,-7.52,-7.64
