,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,plx,IRSB,EBV,DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H]
0,CSVel,0.771201,13.049,11.709,10.068,8.84,8.234,8.018,12.0446,11.1879,10.216908,12.547220228688158,12.575,0.7795457901433289,Gaia DR3 5308893149150949248,145.29271952315,-53.81603750378,3,0.905,
1,CFCas,0.687994,12.338,11.128,9.691,8.701,8.132,7.966,11.468504,10.724333,9.874154,12.252554504981491,12.388,0.5941266965765745,Gaia DR3 2011892703004353792,359.57487036665,61.2210537331,3,1.036,
2,UZSct,1.168739,13.124,11.247,9.184,7.534,6.746,6.534,11.622959,10.364139,9.268289,12.235944074870767,12.213,1.0595606271727631,Gaia DR3 4104869264724284544,277.8431918063,-12.92871602632,2,0.913,0.2063
3,LSPup,1.150646,11.685,10.448,9.074,8.094,7.518,7.353,10.928136,10.147516,9.267422,13.05227817705691,13.196,0.4720641615467066,Gaia DR3 5597327141100381568,119.74673595271,-29.30786248156,2,1.247,
4,ADGem,0.578408,10.547,9.855,9.039,8.527,8.147,8.077,10.124643,9.70913,9.139031,11.946294357261664,12.294,0.1359931229430563,Gaia DR3 3378049163365268608,100.78129641785,20.93910595532,3,0.969,-0.1667
5,CRSer,0.724391,12.492,10.853,8.895,7.463,6.763,6.548,11.121695,10.01851,8.980744,11.063017638117676,10.991,0.9813784819048385,Gaia DR3 4147381366335558784,272.50887793975,-13.54596188866,2,1.19,
6,V0459Cyg,0.860413,12.035,10.601,8.837,7.715,7.073,6.903,11.019217,10.057569,9.072442,11.8820689467904,11.946,0.6834665982695498,Gaia DR3 2165771172070496512,317.72653587334,49.14204142755,4,1.086,
7,TYSct,1.043507,12.507,10.818,8.825,7.355,6.638,6.429,11.021042,9.899057,8.871976,11.91595055784764,11.859,0.9302946123995368,Gaia DR3 4256744187345732224,280.53296920017,-4.29349280288,4,0.905,
8,SYCas,0.609712,10.85,9.873,8.752,7.909,7.448,7.343,10.227487,9.639541,8.883359,11.677891406797706,11.526,0.4127264476374719,Gaia DR3 422923956470923008,3.79086871838,58.42428046193,3,1.039,-0.2768
9,XYCas,0.653376,11.085,9.953,8.736,7.832,7.335,7.212,10.25398,9.585123,8.798761,11.621368055041328,11.545,0.4748937233689061,Gaia DR3 426881614218441600,12.47192037703,60.12737898732,3,1.18,
10,CVMon,0.730685,11.596,10.305,8.616,7.404,6.791,6.576,10.594475,9.701135,8.769544,10.978800580030445,11.026000000000002,0.7837112281793295,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,2,1.1,-1.4814
11,AAGem,1.053181,10.809,9.729,8.581,7.734,7.2,7.106,10.008104,9.393121,8.64468,12.300634761167014,12.656,0.3403626032475534,Gaia DR3 3430067092837622272,91.64560763763,26.32921983415,3,1.249,-0.2277
12,YAur,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,10.035061,9.457623,8.714322,11.204778834597668,11.222,0.415182520679227,Gaia DR3 195373217573454464,82.16349483157,42.43772581388,3,1.122,
13,BNPup,1.135867,11.069,9.882,8.552,7.626,7.076,6.921,10.428416,9.638985,8.79757,12.388919204911469,12.74,0.4185932932158278,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,3,1.249,
14,DDCas,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,10.13101,9.469182,8.650616,12.077054664486075,12.418,0.4102848248786919,Gaia DR3 2013029941628292352,359.39564965836,62.71824065724,4,1.049,-1.1153
15,UUMus,1.065819,10.936,9.794,8.486,7.528,6.989,6.828,10.127277,9.441485,8.624062,12.313232382609929,12.38,0.4536682017233362,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,3,1.006,
16,TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,9.807674,9.219297,8.575474,11.901871648972966,12.066999999999998,0.3146819127436643,Gaia DR3 3031875585286182144,110.50990452423,-14.31817971516,3,1.149,
17,RYCas,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,10.242566,9.384336,8.493246,11.996823112034368,11.862,0.6859048638389629,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,3,1.134,-1.8015
18,SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,10.004331,9.355734,8.538896,11.512722080938332,11.505,0.4564270049120058,Gaia DR3 2010285491880986112,346.79198165636,58.55419147277,3,1.123,-0.5406
19,BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,10.510661,9.456697,8.45659,11.344383530323435,11.16,0.942052086275456,Gaia DR3 2070224337474904064,311.49912578441,45.30693439453,3,1.138,-0.219
20,YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,9.470252,9.062985,8.430667,11.63388347911998,11.577,0.1784313851788143,Gaia DR3 1977074811892425600,332.26206158309,51.04584489597,2,1.053,-0.8522
21,BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,9.716227,9.128825,8.322496,11.677938427875784,11.887,0.3804760109698074,Gaia DR3 261548119462093568,77.66762373902,49.68760306511,3,1.007,-0.0671
22,RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.305975,9.329637,8.343407,10.872222441629962,10.645,0.8597332787943774,Gaia DR3 2015820463470505600,354.31690503772,62.42898845585,4,1.045,-0.1898
23,VXCyg,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,10.519523,9.421895,8.398459,12.23020280080577,12.223,0.7740698903459288,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,3,0.998,0.163
