,Unnamed: 0,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
0,0,2,SZ Tau,0.498166,8.354,0.3021717186843815,7.365,6.526,5.517,4.827,4.414,4.314
1,1,3,SS Sct,0.564814,10.066999999999998,0.3214525891876952,9.165,8.218,7.095,6.381,5.937,5.845
2,2,4,QZ Nor,0.578244,10.911,0.2832714611498159,9.756,8.869,7.865,7.136,6.733,6.619
3,3,5,AD Gem,0.578408,12.414,0.1638019435432308,10.547,9.855,9.039,8.527,8.147,8.077
4,4,6,YA ur,0.586529,11.442,0.3858023546097957,10.512,9.614,8.571,7.743,7.284,7.167
5,5,9,ST Tau,0.605768,10.129,0.3581339797861084,9.066,8.219,7.138,6.352,5.898,5.788
6,6,10,BF Oph,0.609329,9.55,0.2837486865030587,8.2,7.337,6.366,5.701,5.285,5.178
7,7,11,SY Cas,0.609712,11.686,0.3603570527254653,10.85,9.873,8.752,7.909,7.448,7.343
8,8,12,XS ct,0.62305,11.158,0.5112614716399975,11.138,10.011,8.62,7.479,6.951,6.826
9,9,13,YL ac,0.635863,11.717,0.2003221856196791,9.874,9.144,8.277,7.706,7.316,7.225
10,10,14,TV ul,0.646934,8.795,0.0452204071567478,6.39,5.753,5.054,4.601,4.27,4.205
11,11,15,XY Cas,0.653376,11.665,0.4425365338645167,11.085,9.953,8.736,7.832,7.335,7.212
12,12,16,TV el,0.666501,10.153,0.3739429842487368,8.944,8.032,6.959,6.225,5.768,5.641
13,13,17,VZ Cyg,0.687034,11.388,0.2603891418427733,9.836,8.956,7.933,7.283,6.872,6.759
14,14,18,CF Cas,0.687994,12.428,0.636079784987736,12.338,11.128,9.691,8.701,8.132,7.966
15,15,19,VL ac,0.697493,11.24,0.2749223558255786,9.816,8.921,7.866,7.121,6.671,6.587
16,16,20,V0 386Cyg,0.720788,10.044,0.9106981678801924,11.167,9.627,7.742,6.482,5.809,5.587
17,17,21,CR Ser,0.724391,10.991,0.9451412123248872,12.492,10.853,8.895,7.463,6.763,6.548
18,18,22,V1 162Aql,0.730464,10.492,0.2142314339568361,8.677,7.789,6.845,6.22,5.807,5.714
19,19,23,CV Mon,0.730685,11.106,0.7879447549959739,11.596,10.305,8.616,7.404,6.791,6.576
20,20,24,SW Cas,0.735675,11.545,0.4531333609553377,10.808,9.703,8.387,7.5,6.982,6.859
