,name,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,plx,EBV
0,V0465Mon,0.433514,10.965,10.372,9.474,8.835,8.436,8.365,12.936773181380437,0.244
1,EVSct,0.490098,11.29,10.144,8.623,7.664,7.171,7.028,11.225259479873284,0.655
2,SZTau,0.498166,7.365,6.526,5.517,4.827,4.414,4.314,8.917825582806314,0.295
3,SSSct,0.564814,9.165,8.218,7.095,6.381,5.937,5.845,10.073996745630629,0.325
4,QZNor,0.578244,9.756,8.869,7.865,7.136,6.733,6.619,11.425521266544438,0.263
5,ADGem,0.578408,10.547,9.855,9.039,8.527,8.147,8.077,11.946294357261664,0.173
6,YAur,0.586529,10.512,9.614,8.571,7.743,7.284,7.167,11.204778834597668,0.375
7,STTau,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,10.141118674761303,0.368
8,BFOph,0.609329,8.2,7.337,6.366,5.701,5.285,5.178,9.56465716912419,0.235
9,SYCas,0.609712,10.85,9.873,8.752,7.909,7.448,7.343,11.677891406797706,0.442
10,XSct,0.62305,11.138,10.011,8.62,7.479,6.951,6.826,10.8546488763081,0.589
11,YLac,0.635863,9.874,9.144,8.277,7.706,7.316,7.225,11.63388347911998,0.217
12,TVul,0.646934,6.39,5.753,5.054,4.601,4.27,4.205,8.779609271617035,0.06
13,XYCas,0.653376,11.085,9.953,8.736,7.832,7.335,7.212,11.621368055041328,0.533
14,TVel,0.666501,8.944,8.032,6.959,6.225,5.768,5.641,10.05660033600083,0.289
15,VZCyg,0.687034,9.836,8.956,7.933,7.283,6.872,6.759,11.162505097664257,0.266
16,CFCas,0.687994,12.338,11.128,9.691,8.701,8.132,7.966,12.252554504981491,0.553
17,VLac,0.697493,9.816,8.921,7.866,7.121,6.671,6.587,11.37247493244264,0.335
18,V0386Cyg,0.720788,11.167,9.627,7.742,6.482,5.809,5.587,10.159435638990368,0.841
19,CRSer,0.724391,12.492,10.853,8.895,7.463,6.763,6.548,11.063017638117676,1.036
20,V1162Aql,0.730464,8.677,7.789,6.845,6.22,5.807,5.714,10.340667869239477,0.195
21,CVMon,0.730685,11.596,10.305,8.616,7.404,6.791,6.576,10.978800580030445,0.722
22,SWCas,0.735675,10.808,9.703,8.387,7.5,6.982,6.859,11.512722080938332,0.467
23,XLac,0.735997,9.306,8.405,7.317,6.608,6.157,6.046,11.290870634889783,0.336
24,VCen,0.739882,7.705,6.834,5.796,5.073,4.628,4.509,9.197433322695396,0.294
25,FMCas,0.764123,10.119,9.128,7.978,7.223,6.746,6.638,11.492937268073236,0.325
26,CSVel,0.771201,13.049,11.709,10.068,8.84,8.234,8.018,12.547220228688158,0.737
27,MWCyg,0.774852,10.841,9.483,7.874,6.799,6.209,6.041,11.199703416360896,0.635
28,FMAql,0.786342,9.546,8.27,6.717,5.794,5.235,5.075,9.893257091898544,0.589
29,CRCep,0.794695,11.048,9.655,7.929,6.754,6.098,5.935,10.66520836988451,0.709
30,RSCas,0.799056,11.423,9.944,8.217,6.884,6.227,6.03,10.872222441629962,0.833
31,RRLac,0.807281,9.753,8.842,7.816,7.058,6.619,6.527,11.674609409067935,0.319
32,XXSgr,0.807815,9.967,8.856,7.469,6.496,5.961,5.824,10.592480841288962,0.521
33,BBSgr,0.821971,7.924,6.94,5.822,5.099,4.639,4.51,9.559813198538286,0.281
34,VCar,0.82586,8.235,7.368,6.421,5.806,5.387,5.284,10.389031150564474,0.166
35,V0495Cyg,0.827263,12.246,10.618,8.694,7.233,6.542,6.314,11.622048975110925,0.978
36,USgr,0.828997,7.786,6.69,5.426,4.587,4.093,3.954,8.923040732551554,0.402
37,TWCMa,0.844792,10.534,9.564,8.419,7.66,7.175,7.069,11.901871648972966,0.329
38,xSgr,0.845893,5.311,4.561,3.655,3.016,2.618,2.521,7.716269118243055,0.237
39,V0600Aql,0.859672,11.527,10.036,8.199,7.074,6.45,6.272,11.259348318024385,0.798
40,V0459Cyg,0.860413,12.035,10.601,8.837,7.715,7.073,6.903,11.8820689467904,0.73
41,CKSct,0.870124,12.165,10.575,8.778,7.498,6.82,6.652,11.40572101874594,0.757
42,V1344Aql,0.873787,9.131,7.766,6.311,5.279,4.729,4.59,9.712609588121726,0.546
43,RSOri,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,11.001908401272402,0.352
44,BKAur,0.903222,10.524,9.457,8.249,7.387,6.885,6.772,11.677938427875784,0.425
45,GHLup,0.967448,8.844,7.637,6.364,5.492,4.96,4.813,10.22261827152559,0.347
46,FNAql,0.976878,9.593,8.389,6.947,6.05,5.495,5.356,10.582928469687204,0.486
47,YZSgr,0.980171,8.372,7.351,6.214,5.472,5.003,4.903,10.244027307737111,0.281
48,SNor,0.989194,7.375,6.429,5.427,4.729,4.275,4.162,9.728963126792776,0.179
49,DDCas,0.991759,11.076,9.879,8.507,7.627,7.068,6.948,12.077054664486075,0.45
50,BZCyg,1.006127,11.837,10.221,8.324,6.886,6.155,5.924,11.344383530323435,0.885
51,SYAur,1.006262,10.09,9.07,7.843,7.008,6.524,6.405,11.519353307836806,0.432
52,YSct,1.014575,11.194,9.632,7.841,6.578,5.896,5.691,11.143930014246289,0.757
53,TWNor,1.032868,13.63,11.701,9.287,7.506,6.694,6.39,11.971016997017266,1.157
54,ZLac,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,11.32206851288647,0.37
55,XXCen,1.039548,8.803,7.819,6.736,5.991,5.53,5.407,11.102331520324078,0.271
56,TYSct,1.043507,12.507,10.818,8.825,7.355,6.638,6.429,11.91595055784764,0.965
57,V340Nor,1.052579,9.526,8.371,7.168,6.272,5.732,5.586,11.4064412652367,0.322
58,AAGem,1.053181,10.809,9.729,8.581,7.734,7.2,7.106,12.300634761167014,0.309
59,RXAur,1.065337,8.631,7.669,6.59,5.819,5.355,5.269,10.80361415548236,0.263
60,UUMus,1.065819,10.936,9.794,8.486,7.528,6.989,6.828,12.313232382609929,0.404
61,RYCas,1.084181,11.321,9.95,8.403,7.175,6.551,6.373,11.996823112034368,0.618
62,UNor,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,10.894666037511602,0.857
63,ZSct,1.110645,10.927,9.592,8.055,7.055,6.478,6.323,12.066442294122076,0.492
64,BNPup,1.135867,11.069,9.882,8.552,7.626,7.076,6.921,12.388919204911469,0.416
65,TTAql,1.138459,8.436,7.138,5.678,4.772,4.204,4.051,9.932871345899628,0.435
66,LSPup,1.150646,11.685,10.448,9.074,8.094,7.518,7.353,13.05227817705691,0.462
67,TXCyg,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,10.297969519686204,1.13
68,UZSct,1.168739,13.124,11.247,9.184,7.534,6.746,6.534,12.235944074870767,1.02
69,RWCas,1.170032,10.462,9.233,7.871,6.934,6.367,6.237,12.150423688538693,0.38
70,VWCen,1.177138,11.586,10.248,8.77,7.654,7.014,6.819,12.645686718721777,0.439
71,SZCyg,1.179252,10.91,9.432,7.755,6.635,5.961,5.775,11.57941626507364,0.571
72,SVMon,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,11.493701472036832,0.234
73,XCyg,1.214482,7.533,6.377,5.223,4.471,3.964,3.838,10.119499113710727,0.228
74,CDCyg,1.232334,10.217,8.948,7.448,6.463,5.89,5.72,11.831463238585702,0.493
75,YOph,1.233609,7.531,6.166,4.524,3.437,2.869,2.682,9.319633753826372,0.647
76,SZAql,1.234029,10.033,8.634,7.018,5.955,5.347,5.16,11.256058008028884,0.534
77,CPCep,1.251989,12.223,10.577,8.773,7.457,6.726,6.537,12.531832906000954,0.649
78,VYCar,1.276818,8.642,7.463,6.28,5.463,4.945,4.806,11.096359923379694,0.242
79,VXCyg,1.303917,11.769,10.062,8.161,6.816,6.083,5.905,12.23020280080577,0.753
80,RYSco,1.307927,9.462,8.018,6.255,4.999,4.365,4.143,10.476692647650534,0.718
81,RZVel,1.309564,8.216,7.09,5.867,4.979,4.46,4.308,10.793705173405876,0.3
