name,logP,B_mag,V_mag,I_mag,H_mag,J_mag,K_mag,EBV,mM0_IRSB,gmod
SSSct,0.564814,9.165,8.218,7.095,5.937,6.381,5.845,0.325,10.386,10.232409592775038
RTAur,0.571489,6.036,5.443,4.767,3.989,4.302,3.937,0.059,8.248,8.705257961739548
ADGem,0.578408,10.547,9.855,9.039,8.147,8.527,8.077,0.173,12.448,12.370890239216688
SUCyg,0.584952,7.455,6.886,6.196,5.387,5.703,5.324,0.098,9.209,9.941090847259467
YAur,0.586529,10.512,9.614,8.571,7.284,7.743,7.167,0.375,11.614,11.47881831345606
STTau,0.605768,9.066,8.219,7.138,5.898,6.352,5.788,0.368,10.173,10.274627557606351
BFOph,0.609329,8.2,7.337,6.366,5.285,5.701,5.178,0.235,9.284,9.689347326889383
SYCas,0.609712,10.85,9.873,8.752,7.448,7.909,7.343,0.442,11.511,11.979950337938845
RZCMa,0.628882,10.698,9.698,8.469,7.177,7.629,7.027,0.443,10.98,11.248615424230039
YLac,0.635863,9.874,9.144,8.277,7.316,7.706,7.225,0.217,11.974,11.944039695657828
V0402Cyg,0.639968,10.897,9.867,8.669,7.41,7.895,7.299,0.391,11.433,12.067626107143017
TVul,0.646934,6.39,5.753,5.054,4.27,4.601,4.205,0.06,8.728,8.862494675142848
XYCas,0.653376,11.085,9.953,8.736,7.335,7.832,7.212,0.533,11.076,11.952561550733574
TVel,0.666501,8.944,8.032,6.959,5.768,6.225,5.641,0.289,10.04,10.15548484848086
RYCMa,0.670099,8.953,8.108,7.119,6.045,6.455,5.936,0.239,10.75,10.482922071154569
VZCyg,0.687034,9.836,8.956,7.933,6.872,7.283,6.759,0.266,11.488,11.419983281826006
CFCas,0.687994,12.338,11.128,9.691,8.132,8.701,7.966,0.553,12.248,12.695510786217262
ASPer,0.696531,11.02,9.719,8.09,6.478,7.035,6.315,0.679,10.867,11.06446953481715
VLac,0.697493,9.816,8.921,7.866,6.671,7.121,6.587,0.335,11.357,11.627990935773592
V350Sgr,0.712165,8.382,7.474,6.416,5.257,5.712,5.165,0.299,10.017,10.556575766701506
V0386Cyg,0.720788,11.167,9.627,7.742,5.809,6.482,5.587,0.841,9.634,10.317934001442602
CRSer,0.724391,12.492,10.853,8.895,6.763,7.463,6.548,1.036,11.6,11.357825245128726
BGLac,0.726883,9.833,8.881,7.784,6.658,7.112,6.543,0.3,11.282,11.27657968361557
dCeph,0.729678,4.612,3.959,3.209,2.392,2.748,2.325,0.075,7.165,7.245740893324548
V1162Aql,0.730464,8.677,7.789,6.845,5.807,6.22,5.714,0.195,10.018,10.520678243763504
CVMon,0.730685,11.596,10.305,8.616,6.791,7.404,6.576,0.722,10.953,11.230170670674198
SWCas,0.735675,10.808,9.703,8.387,6.982,7.5,6.859,0.467,11.69,11.8010739350659
VCen,0.739882,7.705,6.834,5.796,4.628,5.073,4.509,0.294,9.075,9.28523846328284
YSgr,0.761428,6.595,5.743,4.797,3.702,4.131,3.612,0.188,8.177,8.522384407262534
FMCas,0.764123,10.119,9.128,7.978,6.746,7.223,6.638,0.325,11.089,11.751865565797353
CSVel,0.771201,13.049,11.709,10.068,8.234,8.84,8.018,0.737,12.549,12.915965640885279
MWCyg,0.774852,10.841,9.483,7.874,6.209,6.799,6.041,0.635,10.3,11.44941317444092
FMAql,0.786342,9.546,8.27,6.717,5.235,5.794,5.075,0.589,10.396,10.039221444786916
CRCep,0.794695,11.048,9.655,7.929,6.098,6.754,5.935,0.709,9.973,10.860892861585988
RSCas,0.799056,11.423,9.944,8.217,6.227,6.884,6.03,0.833,10.35,11.098773580673239
XVul,0.800689,10.28,8.835,7.137,5.426,6.021,5.255,0.742,9.47,10.38844918392802
RRLac,0.807281,9.753,8.842,7.816,6.619,7.058,6.527,0.319,10.805,11.983195378258099
XXSgr,0.807815,9.967,8.856,7.469,5.961,6.496,5.824,0.521,10.51,10.815216314702248
AWPer,0.810474,8.533,7.467,6.19,4.83,5.308,4.715,0.489,9.948,9.880446968245398
BBSgr,0.821971,7.924,6.94,5.822,4.639,5.099,4.51,0.281,9.642,9.693491718969778
VCar,0.82586,8.235,7.368,6.421,5.387,5.806,5.284,0.166,9.727,10.504455709033003
USgr,0.828997,7.786,6.69,5.426,4.093,4.587,3.954,0.402,8.913,9.021470126264507
TWCMa,0.844792,10.534,9.564,8.419,7.175,7.66,7.069,0.329,11.297,12.21969420495234
xSgr,0.845893,5.311,4.561,3.655,2.618,3.016,2.521,0.237,7.56,7.759793839221608
UAql,0.846591,7.475,6.449,5.259,4.008,4.476,3.89,0.36,8.892,8.809769484356023
etaAql,0.85593,4.689,3.904,3.018,2.066,2.46,1.985,0.129,7.062,7.1757823372808325
V0459Cyg,0.860413,12.035,10.601,8.837,7.073,7.715,6.903,0.73,11.551,12.24824663849192
RSOri,0.878917,9.376,8.414,7.253,6.018,6.489,5.917,0.352,11.168,11.277752712766006
GHCyg,0.893092,11.159,9.896,8.43,6.799,7.356,6.638,0.63,12.138,12.049693845981288
VYCyg,0.895256,10.822,9.582,8.079,6.548,7.102,6.396,0.606,11.176,11.69946889138378
WGem,0.898368,7.865,6.95,5.901,4.763,5.204,4.693,0.255,9.824,10.060998571240638
