,level_0,index,ID,logP,IRSB,plx,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,DR3Name,Gmag,BPmag,RPmag,RA_ICRS,DE_ICRS
0,1,2,EVSct,0.490098,11.401,11.225259479873284,0.655,11.29,10.144,8.623,7.664,7.171,7.028,Gaia DR3 4156512638614879104,9.644203,10.414589,8.787999,279.16500634512,-8.18483389548
1,2,3,SZTau,0.498166,8.814,8.917825582806314,0.295,7.365,6.526,5.517,4.827,4.414,4.314,Gaia DR3 3409635486731094400,6.27181,6.76536,5.595704,69.31155292631,18.54301200791
2,3,4,SSSct,0.564814,10.447,10.073996745630629,0.325,9.165,8.218,7.095,6.381,5.937,5.845,Gaia DR3 4251917636212432384,7.893511,8.452847,7.173412,280.93130508578,-7.73109359922
3,4,5,QZNor,0.578244,10.811,11.425521266544438,0.263,9.756,8.869,7.865,7.136,6.733,6.619,Gaia DR3 5932565900081831040,8.623737,9.117518,7.946957,242.83526242559,-54.35413510061
4,5,6,ADGem,0.578408,12.514,11.946294357261664,0.173,10.547,9.855,9.039,8.527,8.147,8.077,Gaia DR3 3378049163365268608,9.70913,10.124643,9.139031,100.78129641785,20.93910595532
5,6,7,YAur,0.586529,11.682,11.204778834597668,0.375,10.512,9.614,8.571,7.743,7.284,7.167,Gaia DR3 195373217573454464,9.457623,10.035061,8.714322,82.16349483157,42.43772581388
6,9,11,STTau,0.605768,10.249,10.141118674761303,0.368,9.066,8.219,7.138,6.352,5.898,5.788,Gaia DR3 3346584610911570176,8.051365,8.609181,7.311717,86.26316893008,13.57635184119
7,10,12,BFOph,0.609329,9.11,9.56465716912419,0.235,8.2,7.337,6.366,5.701,5.285,5.178,Gaia DR3 4111834567779557376,7.069333,7.575954,6.408388,256.52291020043,-26.58056513078
8,11,13,SYCas,0.609712,11.586,11.677891406797706,0.442,10.85,9.873,8.752,7.909,7.448,7.343,Gaia DR3 422923956470923008,9.639541,10.227487,8.883359,3.79086871838,58.42428046193
9,12,14,XSct,0.62305,12.098,10.8546488763081,0.589,11.138,10.011,8.62,7.479,6.951,6.826,Gaia DR3 4104857784196182400,9.592002,10.391963,8.728516,277.83228317708,-13.10818493797
10,13,15,YLac,0.635863,12.057,11.63388347911998,0.217,9.874,9.144,8.277,7.706,7.316,7.225,Gaia DR3 1977074811892425600,9.062985,9.470252,8.430667,332.26206158309,51.04584489597
11,14,16,TVul,0.646934,8.815,8.779609271617035,0.06,6.39,5.753,5.054,4.601,4.27,4.205,Gaia DR3 1857884212378132096,5.499797,5.828832,5.005271,312.86767706102,28.25048193691
12,15,17,XYCas,0.653376,11.165,11.621368055041328,0.533,11.085,9.953,8.736,7.832,7.335,7.212,Gaia DR3 426881614218441600,9.585123,10.25398,8.798761,12.47192037703,60.12737898732
13,16,18,TVel,0.666501,10.133,10.05660033600083,0.289,8.944,8.032,6.959,6.225,5.768,5.641,Gaia DR3 5521459979795304320,7.774636,8.305958,7.052883,129.42006775171,-47.36194868437
14,17,19,VZCyg,0.687034,11.588,11.162505097664257,0.266,9.836,8.956,7.933,7.283,6.872,6.759,Gaia DR3 1960750328384177408,8.745005,9.251616,8.053975,327.92264896468,43.13402308887
15,18,20,CFCas,0.687994,12.348,12.252554504981491,0.553,12.338,11.128,9.691,8.701,8.132,7.966,Gaia DR3 2011892703004353792,10.724333,11.468504,9.874154,359.57487036665,61.2210537331
16,19,21,VLac,0.697493,11.46,11.37247493244264,0.335,9.816,8.921,7.866,7.121,6.671,6.587,Gaia DR3 2003938801532007808,8.771336,9.305993,7.997581,342.15828864485,56.32153324908
17,20,22,V0386Cyg,0.720788,9.744,10.159435638990368,0.841,11.167,9.627,7.742,6.482,5.809,5.587,Gaia DR3 1968971582984827136,8.998431,10.015031,7.964559,318.66846943872,41.716336531
18,21,23,CRSer,0.724391,11.711,11.063017638117676,1.036,12.492,10.853,8.895,7.463,6.763,6.548,Gaia DR3 4147381366335558784,10.01851,11.121695,8.980744,272.50887793975,-13.54596188866
19,22,24,V1162Aql,0.730464,10.132,10.340667869239477,0.195,8.677,7.789,6.845,6.22,5.807,5.714,Gaia DR3 4190143160245024256,7.593359,8.092654,6.939383,298.08749761841,-11.3669243656
20,23,25,CVMon,0.730685,11.066,10.978800580030445,0.722,11.596,10.305,8.616,7.404,6.791,6.576,Gaia DR3 3127142323596470144,9.701135,10.594475,8.769544,99.27018871085,3.06396219477
21,24,26,SWCas,0.735675,11.805,11.512722080938332,0.467,10.808,9.703,8.387,7.5,6.982,6.859,Gaia DR3 2010285491880986112,9.355734,10.004331,8.538896,346.79198165636,58.55419147277
22,25,27,XLac,0.735997,11.48,11.290870634889783,0.336,9.306,8.405,7.317,6.608,6.157,6.046,Gaia DR3 2004036486267748352,8.115799,8.662595,7.413769,342.26322668964,56.4281966365
23,26,28,VCen,0.739882,9.191,9.197433322695396,0.294,7.705,6.834,5.796,5.073,4.628,4.509,Gaia DR3 5891675303053080704,6.637,7.228839,5.935676,218.13779279681,-56.88774644776
24,27,29,FMCas,0.764123,11.212,11.492937268073236,0.325,10.119,9.128,7.978,7.223,6.746,6.638,Gaia DR3 422226488141991296,8.797508,9.334805,8.054358,3.61765603372,56.25293038823
25,28,30,CSVel,0.771201,12.675,12.547220228688158,0.737,13.049,11.709,10.068,8.84,8.234,8.018,Gaia DR3 5308893149150949248,11.1879,12.0446,10.216908,145.29271952315,-53.81603750378
26,29,31,MWCyg,0.774852,10.428,11.199703416360896,0.635,10.841,9.483,7.874,6.799,6.209,6.041,Gaia DR3 2055014277739104896,9.016481,9.850045,8.090841,303.09510555228,32.87159966536
27,30,32,FMAql,0.786342,10.527,9.893257091898544,0.589,9.546,8.27,6.717,5.794,5.235,5.075,Gaia DR3 4312361436842603520,7.822873,8.617665,6.906029,287.31662690693,10.55246519356
28,31,33,CRCep,0.794695,10.107,10.66520836988451,0.709,11.048,9.655,7.929,6.754,6.098,5.935,Gaia DR3 2008504454839717120,9.031693,9.933943,8.090185,341.60317447817,59.44218743844
29,32,34,RSCas,0.799056,10.485,10.872222441629962,0.833,11.423,9.944,8.217,6.884,6.227,6.03,Gaia DR3 2015820463470505600,9.329637,10.305975,8.343407,354.31690503772,62.42898845585
30,33,35,RRLac,0.807281,10.943,11.674609409067935,0.319,9.753,8.842,7.816,7.058,6.619,6.527,Gaia DR3 2006989121667184384,8.684987,9.21242,7.924542,340.36049512807,56.43277230583
31,34,36,XXSgr,0.807815,10.648,10.592480841288962,0.521,9.967,8.856,7.469,6.496,5.961,5.824,Gaia DR3 4096979650282842112,8.539941,9.241948,7.664947,276.18541940721,-16.79717387453
32,35,37,BBSgr,0.821971,9.784,9.559813198538286,0.281,7.924,6.94,5.822,5.099,4.639,4.51,Gaia DR3 4085919765884068736,6.584278,7.13682,5.878089,282.74947248862,-20.29525298445
33,36,38,VCar,0.82586,9.871,10.389031150564474,0.166,8.235,7.368,6.421,5.806,5.387,5.284,Gaia DR3 5302258008774271488,7.17335,7.650739,6.511265,127.18202311384,-60.12256315649
34,37,39,V0495Cyg,0.827263,12.541,11.622048975110925,0.978,12.246,10.618,8.694,7.233,6.542,6.314,Gaia DR3 2055809495218465152,9.849618,10.934063,8.819245,303.99301316376,35.01469729736
35,38,40,USgr,0.828997,9.058,8.923040732551554,0.402,7.786,6.69,5.426,4.587,4.093,3.954,Gaia DR3 4092905375639902464,6.42923,7.129108,5.63952,277.97220951561,-19.1250998575
36,39,41,TWCMa,0.844792,11.447,11.901871648972966,0.329,10.534,9.564,8.419,7.66,7.175,7.069,Gaia DR3 3031875585286182144,9.219297,9.807674,8.575474,110.50990452423,-14.31817971516
37,40,42,xSgr,0.845893,7.711,7.716269118243055,0.237,5.311,4.561,3.655,3.016,2.618,2.521,Gaia DR3 4057701830728920064,4.327284,4.77966,3.681707,266.89007492147,-27.83083461775
38,41,43,V0600Aql,0.859672,11.325,11.259348318024385,0.798,11.527,10.036,8.199,7.074,6.45,6.272,Gaia DR3 4307944836090489600,9.388953,10.304283,8.407346,290.25978306915,8.51632750768
39,42,44,V0459Cyg,0.860413,11.706,11.8820689467904,0.73,12.035,10.601,8.837,7.715,7.073,6.903,Gaia DR3 2165771172070496512,10.057569,11.019217,9.072442,317.72653587334,49.14204142755
40,43,46,CKSct,0.870124,10.626,11.40572101874594,0.757,12.165,10.575,8.778,7.498,6.82,6.652,Gaia DR3 4253442933709196288,9.911044,10.93036,8.920671,280.25276444138,-6.09722740672
