Star,logP,BMAG,VMAG,RcMAG,IcMAG,Wvi,Wbi,JMAG,HMAG,KsMAG
RT Aur,0.571489,-2.31,-2.84,,-3.4,-4.28,-4.35,-3.94,-4.15,-4.24
QZ Nor,0.578244,-1.83,-2.47,-2.85,-3.15,-4.21,-4.29,-3.67,-3.91,-4.01
SU Cyg,0.584952,-2.61,-3.08,-3.38,-3.63,-4.47,-4.5,-4.08,-4.28,-4.36
Y Lac,0.635863,-2.79,-3.31,-3.65,-3.9,-4.81,-4.86,-4.33,-4.58,-4.66
T Vul,0.646934,-2.48,-3.06,-3.41,-3.66,-4.58,-4.68,-4.12,-4.36,-4.45
FF Aql,0.650397,-2.46,-3.02,-3.35,-3.64,-4.6,-4.65,-4.09,-4.29,-4.37
T Vel,0.666501,-2.28,-2.93,-3.32,-3.64,-4.74,-4.81,-4.13,-4.41,-4.51
VZ Cyg,0.687034,-2.62,-3.23,-3.62,-3.88,-4.9,-4.98,-4.36,-4.6,-4.7
V350 Sgr,0.712165,-2.74,-3.34,-3.73,-4.02,-5.06,-5.13,-4.51,-4.78,-4.85
BG Lac,0.726883,-2.56,-3.22,-3.62,-3.91,-4.99,-5.08,-4.36,-4.64,-4.73
delta Cep,0.729678,-2.88,-3.47,-3.87,-4.11,-5.11,-5.18,-4.55,-4.82,-4.91
CV Mon,0.730685,-2.46,-3.04,-3.51,-3.78,-4.94,-4.93,-4.35,-4.62,-4.72
V Cen,0.739882,-2.45,-3.03,-3.4,-3.68,-4.68,-4.74,-4.16,-4.43,-4.52
Y Sgr,0.761428,-2.57,-3.23,-3.63,-3.95,-5.07,-5.15,-4.45,-4.75,-4.83
CS Vel,0.771201,-2.48,-3.09,-3.54,-3.79,-4.88,-4.93,-4.33,-4.59,-4.69
BB Sgr,0.821971,-2.74,-3.45,-3.88,-4.19,-5.35,-5.45,-4.7,-4.99,-5.08
V Car,0.82586,-2.58,-3.29,,-4.01,-5.13,-5.24,-4.5,-4.79,-4.89
U Sgr,0.828997,-2.67,-3.36,-3.79,-4.1,-5.24,-5.34,-4.61,-4.89,-4.97
V496 Aql,0.832958,-2.63,-3.39,-3.85,-4.16,-5.34,-5.48,-4.67,-4.95,-5.02
X Sgr,0.845907,-3.31,-3.82,-4.17,-4.43,-5.38,-5.4,-4.87,-5.1,-5.17
U Aql,0.846591,-2.97,-3.65,-4.07,-4.35,-5.43,-5.55,-4.87,-5.12,-5.21
eta Aql,0.85593,-2.77,-3.43,,-4.14,-5.23,-5.32,-4.63,-4.91,-5.0
W Sgr,0.880522,-3.25,-3.89,-4.31,-4.58,-5.64,-5.72,-5.1,,-5.47
U Vul,0.902584,-3.32,-3.99,-4.47,-4.75,-5.92,-5.99,-5.17,-5.41,-5.46
S Sge,0.923352,-3.16,-3.86,-4.27,-4.57,-5.67,-5.79,-5.07,-5.35,-5.44
GH Lup,0.967448,-2.83,-3.71,-4.21,-4.56,-5.88,-6.07,-5.14,-5.47,-5.59
S Mus,0.98498,-3.5,-4.13,-4.5,-4.8,-5.85,-5.93,-5.27,-5.55,-5.66
S Nor,0.989194,-3.25,-4.02,-4.46,-4.8,-6.01,-6.14,-5.36,-5.68,-5.79
beta Dor,0.993131,-3.18,-3.93,-4.34,-4.68,-5.84,-5.97,-5.17,-5.49,-5.59
zeta Gem,1.006507,-3.13,-3.93,,-4.7,-5.9,-6.06,-5.31,,-5.71
Z Lac,1.036854,-3.41,-4.14,-4.6,-4.89,-6.06,-6.17,-5.42,-5.73,-5.83
XX Cen,1.039548,-3.22,-3.93,-4.36,-4.68,-5.84,-5.94,-5.2,-5.5,-5.6
V340 Nor,1.052579,-3.1,-3.94,-4.42,-4.73,-5.97,-6.14,-5.36,-5.7,-5.82
UU Mus,1.065819,-3.14,-3.89,-4.36,-4.68,-5.9,-6.01,-5.29,-5.6,-5.72
U Nor,1.101875,-3.26,-4.01,-4.52,-4.8,-6.02,-6.13,-5.4,-5.7,-5.8
SU Cru,1.1088,-3.47,-4.3,-4.88,-5.23,-6.67,-6.75,-5.99,-6.53,-6.66
BN Pup,1.135867,-3.64,-4.42,-4.89,-5.23,-6.48,-6.6,-5.79,-6.11,-6.22
TT Aql,1.138459,-3.43,-4.3,-4.8,-5.15,-6.48,-6.64,-5.72,-6.05,-6.15
LS Pup,1.150646,-3.63,-4.4,-4.87,-5.2,-6.44,-6.55,-5.76,-6.09,-6.19
VW Cen,1.177138,-2.94,-3.87,-4.43,-4.83,-6.31,-6.46,-5.55,-5.95,-6.1
X Cyg,1.214482,-3.76,-4.66,-5.17,-5.53,-6.88,-7.07,-6.14,-6.48,-6.6
CD Cyg,1.232334,-3.87,-4.68,-5.19,-5.5,-6.78,-6.91,-6.13,-6.45,-6.55
Y Oph,1.233609,-3.89,-4.62,-5.16,-5.43,-6.7,-6.77,-5.96,-6.21,-6.28
SZ Aql,1.234029,-3.9,-4.79,-5.33,-5.68,-7.05,-7.22,-6.3,-6.63,-6.74
VY Car,1.276818,-3.69,-4.61,-5.13,-5.51,-6.89,-7.09,-6.13,-6.49,-6.61
RU Sct,1.29448,-3.94,-4.69,-5.26,-5.51,-6.79,-6.87,-6.09,-6.38,-6.46
RY Sco,1.307927,-3.91,-4.65,-5.19,-5.48,-6.76,-6.84,-6.09,-6.38,-6.49
RZ Vel,1.309564,-3.83,-4.66,-5.14,-5.51,-6.82,-6.96,-6.13,-6.47,-6.59
WZ Sgr,1.339443,-3.63,-4.6,-5.16,-5.55,-7.03,-7.21,-6.3,-6.7,-6.84
WZ Car,1.361977,-3.83,-4.61,-5.09,-5.43,-6.7,-6.81,-6.08,-6.42,-6.54
SW Vel,1.370016,-4.07,-4.88,-5.37,-5.73,-7.05,-7.17,-6.34,-6.68,-6.8
T Mon,1.431915,-4.18,-5.17,-5.68,-6.08,-7.51,-7.73,-6.75,-7.14,-7.27
RY Vel,1.449158,-4.32,-5.14,-5.65,-5.99,-7.32,-7.44,-6.62,-6.92,-7.04
AQ Pup,1.478624,-4.56,-5.39,-5.93,-6.28,-7.67,-7.78,-6.85,-7.2,-7.31
KN Cen,1.531857,-4.79,-5.59,-6.14,-6.43,-7.74,-7.86,-7.15,-7.53,-7.67
l Car,1.550816,-4.11,-5.22,,-6.21,-7.74,-8.03,-6.91,-7.33,-7.46
U Car,1.58897,-4.51,-5.43,-5.94,-6.32,-7.71,-7.89,-6.97,-7.32,-7.45
RS Pup,1.61742,-4.78,-5.76,-6.32,-6.72,-8.22,-8.4,-7.37,-7.74,-7.87
SV Vul,1.652569,-4.97,-5.97,-6.53,-6.9,-8.35,-8.58,-7.52,-7.86,-7.96
