,name,logP,cluster,EBV,M_B_c,M_V_c,M_I_c,M_J_c,M_H_c,M_K_c
0,CFCas,0.687994,12.457351372009526,0.553,-0.11935137200952717,-1.3293513720095262,-2.7663513720095256,-3.756351372009526,-4.325351372009527,-4.491351372009526
1,CSVel,0.771201,12.754923255400634,0.737,0.2940767445993657,-1.0459232554006341,-2.686923255400634,-3.914923255400634,-4.520923255400634,-4.736923255400633
2,CVMon,0.730685,11.163478421109918,0.722,0.432521578890082,-0.8584784211099183,-2.5474784211099184,-3.759478421109918,-4.372478421109918,-4.587478421109918
3,EVSct,0.490098,11.487847283843116,0.655,-0.19784728384311734,-1.3438472838431164,-2.864847283843117,-3.823847283843117,-4.316847283843116,-4.459847283843117
4,GHLup,0.967448,10.283022125831511,0.347,-1.439022125831512,-2.6460221258315118,-3.9190221258315114,-4.791022125831511,-5.323022125831511,-5.470022125831512
5,QZNor,0.578244,11.447720637130637,0.263,-1.6917206371306364,-2.578720637130637,-3.5827206371306364,-4.3117206371306365,-4.714720637130637,-4.828720637130637
6,RSOri,0.878917,11.074775336001103,0.352,-1.6987753360011038,-2.6607753360011035,-3.821775336001103,-4.585775336001103,-5.056775336001103,-5.157775336001103
7,SNor,0.989194,9.846596718117892,0.179,-2.471596718117892,-3.417596718117892,-4.419596718117893,-5.117596718117892,-5.571596718117892,-5.684596718117892
8,STTau,0.605768,10.104535599921496,0.368,-1.0385355999214951,-1.8855355999214964,-2.966535599921496,-3.7525355999214955,-4.206535599921496,-4.316535599921496
9,SVVul,1.652569,11.859077559300124,0.462,-3.1590775593001243,-4.646077559300124,-6.189077559300124,-7.1910775593001235,-7.769077559300124,-7.929077559300124
10,TWNor,1.032868,11.877558100064917,1.157,1.752441899935084,-0.17655810006491635,-2.590558100064916,-4.371558100064917,-5.183558100064917,-5.487558100064917
11,USgr,0.828997,9.042605169631322,0.402,-1.2566051696313227,-2.352605169631322,-3.616605169631322,-4.455605169631323,-4.949605169631322,-5.088605169631322
12,VCen,0.739882,9.370155158361328,0.294,-1.665155158361328,-2.5361551583613284,-3.574155158361328,-4.297155158361328,-4.742155158361328,-4.861155158361328
13,VLac,0.697493,11.421236394149773,0.335,-1.605236394149772,-2.5002363941497734,-3.555236394149773,-4.300236394149772,-4.7502363941497725,-4.834236394149773
14,AAGem,1.053181,11.44856666828612,0.309,-0.6395666682861201,-1.7195666682861201,-2.86756666828612,-3.7145666682861194,-4.248566668286119,-4.3425666682861195
15,XLac,0.735997,11.421236394149773,0.336,-2.1152363941497736,-3.0162363941497734,-4.104236394149773,-4.813236394149773,-5.264236394149773,-5.3752363941497725
16,XPup,1.414321,12.198075508027443,0.421,-2.4960755080274435,-3.6910755080274438,-5.091075508027443,-6.018075508027444,-6.598075508027444,-6.767075508027443
17,YSct,1.014575,11.490433906669114,0.757,-0.2964339066691135,-1.8584339066691147,-3.649433906669114,-4.912433906669114,-5.594433906669114,-5.7994339066691145
