,name,logP,cluster,EBV,M_B0_c,M_V0_c,M_I0_c,M_J0_c,M_H0_c,M_K0_c
0,CFCas,0.687994,12.457351372009526,0.553,-2.4592602720095273,-3.1155413720095266,-3.852354892009526,-4.277918852009526,-4.648651762009527,-4.703907982009526
1,CSVel,0.771201,12.754923255400634,0.737,-2.824391355400634,-3.4264332554006343,-4.134273335400634,-4.610032175400634,-4.951795565400634,-5.020203945400633
2,CVMon,0.730685,11.163478421109918,0.722,-2.6224770211099178,-3.190538421109918,-3.9653709011099183,-4.4404399411099185,-4.7945812811099175,-4.864993561109919
3,EVSct,0.490098,11.487847283843116,0.655,-2.9693487838431176,-3.4594972838431164,-4.151162483843117,-4.441617083843116,-4.699779933843116,-4.711609633843117
4,GHLup,0.967448,10.283022125831511,0.347,-2.9072832258315118,-3.7668321258315114,-4.600474605831511,-5.118298645831511,-5.525888735831511,-5.603398515831511
5,QZNor,0.578244,11.447720637130637,0.263,-2.804552537130636,-3.428210637130637,-4.099210557130636,-4.559771717130636,-4.868478327130637,-4.929809947130637
6,RSOri,0.878917,11.074775336001103,0.352,-3.1881929360011037,-3.7977353360011037,-4.513047016001103,-4.917767656001104,-5.2625650960011034,-5.293073576001103
7,SNor,0.989194,9.846596718117892,0.179,-3.2289994181178923,-3.995766718117892,-4.771124078117893,-5.286422358117892,-5.676245488117892,-5.753398948117892
8,STTau,0.605768,10.104535599921496,0.368,-2.5956539999214954,-3.0741755999214964,-3.6892287199214957,-4.099618479921496,-4.421679439921496,-4.457983759921496
9,SVVul,1.652569,11.859077559300124,0.462,-5.113938159300124,-6.1383375593001235,-7.0963716393001235,-7.626817479300123,-8.039176619300124,-8.106656499300124
10,TWNor,1.032868,11.877558100064917,1.157,-3.1431722000649165,-3.9136681000649163,-4.862720980064916,-5.462794220064916,-5.859975010064917,-5.932274190064917
11,USgr,0.828997,9.042605169631322,0.402,-2.957587769631323,-3.6510651696313223,-4.406068849631322,-4.8347554896313225,-5.184626429631322,-5.243121909631322
12,VCen,0.739882,9.370155158361328,0.294,-2.9091573583613277,-3.4857751583613283,-4.151524118361328,-4.574444198361328,-4.914036378361328,-4.9741599383613275
13,VLac,0.697493,11.421236394149773,0.335,-3.022721894149772,-3.582286394149773,-4.213122794149773,-4.616194994149772,-4.946087444149772,-4.963000344149773
14,AAGem,1.053181,11.44856666828612,0.309,-1.94703836828612,-2.7176366682861204,-3.47439322828612,-4.006003108286119,-4.4292173382861195,-4.46133699828612
15,XLac,0.735997,11.421236394149773,0.336,-3.5369531941497736,-4.101516394149773,-4.7640866341497725,-5.1301381541497735,-5.460672074149773,-5.504384714149772
16,XPup,1.414321,12.198075508027443,0.421,-4.277452808027443,-5.050905508027443,-5.9178521480274435,-6.415145868027444,-6.844204738027444,-6.9288952780274435
17,YSct,1.014575,11.490433906669114,0.757,-3.4995280066691135,-4.303543906669114,-5.136060786669114,-5.626406026669114,-6.036998816669114,-6.090401996669114
