,name,logP,HST,EBV,A_B,A_V,A_R,A_I,A_J,A_H,A_K
0,RT Aur,0.571489,8.099,0.059,0.2496467,0.19057,0.16103164999999997,0.11586656,0.05564643999999999,0.03449317,0.02267783
1,QZ Nor,0.578244,10.512,0.253,1.0705189,0.81719,0.6905255499999999,0.49685152,0.23861947999999997,0.14791139,0.09724561
2,SU Cyg,0.584952,9.622,0.098,0.4146674,0.31654,0.2674763,0.19245632000000001,0.09242967999999999,0.05729374,0.03766826
3,Y Lac,0.635863,11.783,0.207,0.8758791,0.6686099999999999,0.5649754499999999,0.40651487999999997,0.19523411999999996,0.12101840999999999,0.07956458999999999
4,T Vul,0.646934,8.606,0.064,0.2708032,0.20672000000000001,0.17467839999999998,0.12568576,0.06036223999999999,0.03741632,0.02459968
5,FF Aql,0.650397,7.756,0.196,0.8293348,0.63308,0.5349526,0.38491264000000003,0.18485935999999997,0.11458748,0.07533652
6,T Vel,0.666501,10.022,0.289,1.2228457,0.9334699999999999,0.7887821499999998,0.56754976,0.27257323999999994,0.16895807,0.11108292999999998
7,VZ Cyg,0.687034,11.338,0.266,1.1255258000000001,0.85918,0.7260071,0.5223814400000001,0.25088056,0.15551158,0.10224242
8,V350 Sgr,0.712165,9.853,0.299,1.2651587,0.9657699999999999,0.8160756499999999,0.58718816,0.28200484,0.17480437,0.11492662999999999
9,BG Lac,0.726883,11.146,0.3,1.26939,0.969,0.8188049999999999,0.589152,0.282948,0.175389,0.115311
10,delta Cep,0.729678,7.183,0.075,0.3173475,0.24225,0.20470124999999997,0.147288,0.070737,0.04384725,0.02882775
11,CV Mon,0.730685,11.003,0.722,3.0549986,2.33206,1.9705906999999998,1.41789248,0.6809615199999999,0.42210285999999997,0.27751514
12,V Cen,0.739882,8.913,0.292,1.2355395999999998,0.9431599999999999,0.7969701999999999,0.5734412799999999,0.27540271999999993,0.17071196,0.11223604
13,Y Sgr,0.761428,8.358,0.191,0.8081783,0.61693,0.52130585,0.37509344,0.18014355999999998,0.11166432999999999,0.07341467
14,CS Vel,0.771201,12.407,0.737,3.1184681,2.38051,2.0115309499999996,1.44735008,0.6951089199999999,0.43087231,0.28328069
15,BB Sgr,0.821971,9.481,0.281,1.1889953000000002,0.90763,0.76694735,0.5518390400000001,0.26502796,0.16428103000000002,0.10800797000000001
16,V Car,0.82586,10.089,0.169,0.7150897,0.5458700000000001,0.46126015,0.33188896,0.15939404,0.09880247,0.06495853
17,U Sgr,0.828997,8.76,0.403,1.7052139000000002,1.30169,1.09992805,0.79142752,0.38009348,0.23560589,0.15490111
18,V496 Aql,0.832958,9.853,0.397,1.6798261,1.28231,1.08355195,0.7796444800000001,0.37443452,0.23209811,0.15259489
19,X Sgr,0.845907,7.614,0.237,1.0028181,0.7655099999999999,0.64685595,0.46543007999999997,0.22352891999999996,0.13855731,0.09109568999999999
20,U Aql,0.846591,9.178,0.36,1.523268,1.1628,0.9825659999999998,0.7069824,0.33953759999999994,0.21046679999999998,0.1383732
21,eta Aql,0.85593,6.91,0.13,0.550069,0.4199,0.35481549999999995,0.2552992,0.12261079999999999,0.0760019,0.0499681
22,W Sgr,0.880522,8.21,0.108,0.4569804,0.34884,0.29476979999999997,0.21209472000000001,0.10186127999999998,0.06314004,0.04151196
23,U Vul,0.902584,9.178,0.603,2.5514739,1.94769,1.6457980499999998,1.18419552,0.5687254799999999,0.35253188999999996,0.23177510999999998
24,S Sge,0.923352,9.149,0.1,0.42313,0.323,0.272935,0.196384,0.094316,0.058463,0.038437
25,GH Lup,0.967448,10.253,0.335,1.4174855000000002,1.08205,0.91433225,0.6578864000000001,0.3159586,0.19585105,0.12876395000000002
26,S Mus,0.98498,9.568,0.212,0.8970355999999999,0.6847599999999999,0.5786222,0.41633408,0.19994991999999998,0.12394155999999999,0.08148644
27,S Nor,0.989194,9.873,0.178,0.7531713999999999,0.57494,0.48582429999999993,0.34956352,0.16788247999999997,0.10406413999999999,0.06841786
28,beta Dor,0.993131,7.515,0.052,0.2200276,0.16796,0.14192619999999997,0.10211967999999999,0.04904431999999999,0.03040076,0.01998724
29,zeta Gem,1.006507,7.78,0.014,0.059238200000000005,0.04522,0.0382109,0.027493760000000003,0.013204239999999999,0.00818482,0.00538118
30,Z Lac,1.036854,11.379,0.37,1.5655810000000001,1.1951,1.0098595,0.7266208,0.3489692,0.21631309999999998,0.1422169
31,XX Cen,1.039548,10.902,0.266,1.1255258000000001,0.85918,0.7260071,0.5223814400000001,0.25088056,0.15551158,0.10224242
32,V340 Nor,1.052579,11.259,0.321,1.3582473000000002,1.03683,0.8761213499999999,0.6303926400000001,0.30275435999999994,0.18766623,0.12338277
33,UU Mus,1.065819,12.407,0.399,1.6882887000000002,1.28877,1.0890106499999999,0.7835721600000001,0.37632084,0.23326737,0.15336363
34,U Nor,1.101875,10.458,0.862,3.6473806,2.7842599999999997,2.3526996999999996,1.69283008,0.8130039199999999,0.50395106,0.33132694
35,SU Cru,1.1088,10.038,0.942,3.9858846,3.0426599999999997,2.5710476999999994,1.84993728,0.8884567199999999,0.55072146,0.36207653999999995
36,BN Pup,1.135867,12.925,0.416,1.7602208,1.34368,1.1354095999999998,0.8169574399999999,0.3923545599999999,0.24320608,0.15989792
37,TT Aql,1.138459,10.022,0.438,1.8533094,1.4147399999999999,1.1954552999999999,0.86016192,0.41310407999999993,0.25606794,0.16835406
38,LS Pup,1.150646,13.389,0.461,1.9506293000000001,1.48903,1.2582303499999998,0.9053302400000001,0.43479675999999995,0.26951443,0.17719457
39,VW Cen,1.177138,12.764,0.428,1.8109964,1.38244,1.1681617999999998,0.84052352,0.40367247999999994,0.25022163999999997,0.16451036
40,X Cyg,1.214482,10.328,0.228,0.9647364,0.73644,0.6222918,0.44775552,0.21504047999999998,0.13329564,0.08763636
41,CD Cyg,1.232334,12.045,0.493,2.0860309,1.59239,1.3455695499999998,0.96817312,0.46497787999999995,0.28822259,0.18949441
42,Y Oph,1.233609,8.712,0.645,2.7291885000000002,2.0833500000000003,1.7604307499999998,1.2666768000000002,0.6083381999999999,0.37708635,0.24791865
43,SZ Aql,1.234029,11.686,0.537,2.2722081000000003,1.73451,1.46566095,1.05458208,0.50647692,0.31394631,0.20640669
44,VY Car,1.276818,11.298,0.237,1.0028181,0.7655099999999999,0.64685595,0.46543007999999997,0.22352891999999996,0.13855731,0.09109568999999999
45,RU Sct,1.29448,11.183,0.921,3.8970273000000004,2.9748300000000003,2.51373135,1.8086966400000002,0.86865036,0.53844423,0.35400477
46,RY Sco,1.307927,10.353,0.718,3.0380734,2.31914,1.9596732999999997,1.41003712,0.6771888799999999,0.41976433999999996,0.27597765999999996
47,RZ Vel,1.309564,10.775,0.299,1.2651587,0.9657699999999999,0.8160756499999999,0.58718816,0.28200484,0.17480437,0.11492662999999999
48,WZ Sgr,1.339443,11.221,0.431,1.8236903,1.3921299999999999,1.1763498499999998,0.84641504,0.40650195999999994,0.25197553,0.16566347
49,WZ Car,1.361977,12.688,0.37,1.5655810000000001,1.1951,1.0098595,0.7266208,0.3489692,0.21631309999999998,0.1422169
50,SW Vel,1.370016,11.884,0.344,1.4555672,1.1111199999999999,0.9388963999999999,0.67556096,0.3244470399999999,0.20111271999999997,0.13222328
51,T Mon,1.431915,10.713,0.181,0.7658653,0.58463,0.49401234999999993,0.35545504,0.17071195999999997,0.10581803,0.06957097
52,RY Vel,1.449158,11.734,0.547,2.3145211000000003,1.7668100000000002,1.49295445,1.0742204800000001,0.51590852,0.31979261000000003,0.21025039
53,AQ Pup,1.478624,12.407,0.518,2.1918134,1.67314,1.4138032999999999,1.0172691200000001,0.48855687999999997,0.30283834,0.19910366
54,KN Cen,1.531857,12.843,0.797,3.3723461,2.57431,2.17529195,1.5651804800000002,0.7516985199999999,0.46595011000000003,0.30634289000000003
55,l Car,1.550816,8.484,0.147,0.6220011,0.47480999999999995,0.40121444999999994,0.28868447999999997,0.13864451999999997,0.08594060999999999,0.05650238999999999
56,U Car,1.58897,10.87,0.265,1.1212945,0.85595,0.7232777499999999,0.5204176,0.24993739999999998,0.15492695,0.10185805
57,RS Pup,1.61742,11.298,0.457,1.9337041000000001,1.47611,1.24731295,0.8974748800000001,0.43102411999999996,0.26717591,0.17565709
58,SV Vul,1.652569,11.686,0.461,1.9506293000000001,1.48903,1.2582303499999998,0.9053302400000001,0.43479675999999995,0.26951443,0.17719457
