,name,logP,d_BVVI_h,d_VVVI_h,d_RVVI_h,d_IVVI_h,d_JVVI_h,d_HVVI_h,d_KVVI_h
0,RT Aur,0.571489,-0.16422233971499134,-0.14548030649002192,-0.14916527841463142,-0.08845202634593313,-0.16471401041678932,-0.1410309522366348,-0.14642732946409956
1,QZ Nor,0.578244,0.26851121625805063,0.1717555730093451,0.14480217387179817,0.1044273883896818,0.05286228675519125,0.04190678019646785,0.028767511801454787
2,SU Cyg,0.584952,-0.31333776799972923,-0.21360166686255241,-0.14557568769433604,-0.12986981345243176,-0.11943875258146222,-0.07324652115060631,-0.0718208040928929
3,Y Lac,0.635863,-0.26627319698459556,-0.18192932244669485,-0.13516180991089016,-0.1106130280475904,-0.07493202550343239,-0.061925893081550165,-0.061758417360539275
4,T Vul,0.646934,-0.11964164318807774,-0.11550676237821048,-0.0904837459787567,-0.07022811152595246,-0.0524091675585621,-0.04462997395317006,-0.048072713742362494
5,FF Aql,0.650397,-0.09248942697927928,-0.06708160861505141,-0.02140044761016177,-0.040785618037951346,-0.012180931219095428,0.036005881424062164,0.04273729606959174
6,T Vel,0.666501,0.18411747234645964,0.1337031086742911,0.12715539060143027,0.08129149007396938,0.07027586911940208,0.04598089801533796,0.03153809475586063
7,VZ Cyg,0.687034,-0.05496668730682307,-0.05020596993985223,-0.04850062103074215,-0.03052522972342983,-0.029906149381345087,-0.006591034059701448,-0.02183377778449075
8,V350 Sgr,0.712165,-0.04665724804138538,-0.012698118177925266,-0.0005349914462386418,-0.007720455852178482,-0.015348469064647458,-0.012293494422400741,0.0013344956265534946
9,BG Lac,0.726883,0.06240118972690156,0.028559256983474994,0.025983863434423014,0.01736402824595295,0.05831344801646906,0.04410599791677186,0.04164819527565484
10,delta Cep,0.729678,-0.17040187955607838,-0.1226014693949744,-0.11859086528302193,-0.07454169339214434,-0.027166726617205067,-0.023817972038486707,-0.02868550580695592
11,CV Mon,0.730685,0.12396915683631404,0.16549087018597114,0.09019628850490957,0.10061844907307049,0.0248228586772112,0.016954734006836426,0.006137807467026673
12,V Cen,0.739882,-0.039822378773964495,-0.0200527527998568,-0.007935249248993859,-0.012192073702313233,0.014063765033100528,-0.00983349550657242,-0.004149644867756097
13,Y Sgr,0.761428,0.10696665924096549,0.08363517085691483,0.086377204538928,0.05085018388100415,0.05050512274134024,0.018874366314292394,0.02867943539613435
14,CS Vel,0.771201,0.05787860334642633,0.06737581516585592,0.010131531119356496,0.0409644956208402,0.011069305542097507,0.006451897299030562,0.001737023345538935
15,BB Sgr,0.821971,0.11819043001002266,0.07443780277664366,0.06286388104375448,0.04525818408819902,0.04574616482616748,0.03622852193714347,0.037318597769666145
16,V Car,0.82586,0.12603564530209826,0.06282966217491773,0.060083172917969246,0.038200434602349564,0.06785048819770229,0.04457244722169784,0.04087531216324816
17,U Sgr,0.828997,0.12213414912066506,0.09046094208048047,0.07423124316807803,0.0550002527849324,0.06124673611420933,0.05540496466137769,0.06937182479247106
18,V496 Aql,0.832958,0.23766426569142335,0.14622710634088726,0.10575837233816879,0.08890608065525975,0.09257017436261464,0.09317256046689082,0.11522917011814968
19,X Sgr,0.845907,-0.42948204726128403,-0.26797018896105934,-0.197010850327902,-0.16292587488832375,-0.08560574683707961,-0.03471206526104233,-0.01156919517741183
20,U Aql,0.846591,-0.0468997549863487,-0.049769361281627386,-0.04561860937772538,-0.03025977165922919,-0.03491240455191219,-0.000284002615077536,0.0016037926225706128
21,eta Aql,0.85593,0.011618450679275832,0.01122280569378735,0.05519341052861773,0.006823465861822503,0.04259962729679233,0.03405738467723873,0.04145031068093108
22,W Sgr,0.880522,-0.18044796243649294,-0.12088866822015881,-0.10461011122515002,-0.07350031027785636,-0.07440166720035926,-0.07900046944271144,-0.057798370209562355
23,U Vul,0.902584,-0.0554758437032396,0.0016706070021147434,-0.026747874309470954,0.00101572905728603,0.0973976786264617,0.16865706565839195,0.20628908948768931
24,S Sge,0.923352,-0.08465098750303984,-0.0801242892708971,-0.05185262639944359,-0.048715567876705584,-0.015626404147141726,-0.0025207839780011995,0.0034242579414353602
25,GH Lup,0.967448,0.38433122404440256,0.231312617507998,0.18152736274730583,0.14063807144486268,0.10125612976789351,0.07380461166994133,0.05046666414520383
26,S Mus,0.98498,-0.31756242120411066,-0.22301486360394576,-0.14453236311381829,-0.13559303707119952,-0.057476952684403476,-0.038909637101906494,-0.049232848767989036
27,S Nor,0.989194,0.05386274555614998,0.02465437430285128,0.04231987456210218,0.01498985957613394,-0.0017642374686596962,-0.01269572573219574,-0.026337577141226753
28,beta Dor,0.993131,0.003599048580212984,-0.02090045144943934,0.017965689196704146,-0.01270747448125872,0.048068142792197135,0.0262037555529625,0.02678135155024201
29,zeta Gem,1.006507,0.0872864619776245,0.018493973858713507,0.0003529795257563636,0.011244336106098022,-0.045258389722546685,-0.03501029875455591,-0.04394987977038672
30,Z Lac,1.036854,-0.0852892397162638,-0.06709310938738396,-0.06613913787328915,-0.04079261050752944,-0.012722618162061244,-0.01493065665771652,-0.013745634982888784
31,XX Cen,1.039548,-0.04645353645597536,-0.027699146278153036,-0.007887670863679558,-0.016841080937116698,0.029941078726559156,0.02413896278090283,0.03036835172932556
32,V340 Nor,1.052579,0.15106338052398374,0.0512047252686329,0.0272556947582398,0.03113247296332855,-0.03174426076942087,-0.07152096219767526,-0.08622120141893969
33,UU Mus,1.065819,0.07234339366381012,0.05873892839553621,0.04239350679728873,0.03571326846448564,-0.0007446200871304709,-0.014826790826034553,-0.026791972140788572
34,U Nor,1.101875,0.030580905007454334,0.0307214924707441,-0.018491115022644583,0.018678667422212025,0.0002068894585043335,0.0007034013567342179,0.01043339165217494
35,SU Cru,1.1088,0.28311602595066604,0.26423634086648723,0.17967092662604833,0.16065569524682433,-0.03941289732085218,-0.23831618922524067,-0.2722770368887964
36,BN Pup,1.135867,-0.026205322256713764,-0.010586119543495823,0.005475523354382769,-0.006436360682445769,0.009727088077499974,0.016681761887799088,0.010196708467397647
37,TT Aql,1.138459,0.17035566229004448,0.09447776068779395,0.07963459503382801,0.05744247849817871,0.06516537378794456,0.06075713894904301,0.06499103198104969
38,LS Pup,1.150646,-0.05203919645128638,-0.029638216215465616,-0.01570222153588614,-0.01802003545900281,0.004926566834916504,-0.0022690329394825966,0.004067526834856512
39,VW Cen,1.177138,0.5448601635567836,0.3977290885530167,0.3157081938632492,0.24181928584023463,0.11841704446318602,0.03121968021323851,-0.006481756788531828
40,X Cyg,1.214482,0.11861414696621006,0.05648733599130315,0.055108390959126424,0.03434430028271218,0.013049620493548242,0.018351629429415567,0.0026111654272462925
41,CD Cyg,1.232334,-0.07237172241702161,-0.053300849035845185,-0.06005092148400169,-0.032406916213794115,-0.06355934347706736,-0.046616915229394346,-0.03776823301521136
