,name,logP,EBV,d_BVVI_g,d_VVVI_g,d_IVVI_g,d_JVVI_g,d_HVVI_g,d_KVVI_g,d_BVVI_i,d_VVVI_i,d_IVVI_i,d_JVVI_i,d_HVVI_i,d_KVVI_i
0,EVSct,0.490098,0.490098,0.0013078966590527874,0.06037840265823019,0.036710068816204755,0.07665749323114213,0.11075061424222904,0.12200080568591365,0.08191220595332893,0.12912643851855332,0.07850887461928047,0.14327256969870727,0.18770500787704913,0.19947879984595718
1,SZTau,0.498166,0.498166,-0.09390295657381698,-0.08574145902206648,-0.0521308070854164,-0.10749394830487508,-0.12070084764920197,-0.137951140783805,-0.002794307784579675,-0.00828899717022391,-0.005039710279496068,-0.031392020271736876,-0.031038376659574707,-0.04620549051870654
2,SSSct,0.564814,0.564814,0.18947821424596584,0.13229054083030622,0.08043264882482637,0.07597767977601903,0.0667091300668398,0.07064090275123415,0.19019616763382807,0.13319557091873546,0.08098290711859085,0.07564569491298323,0.06431689560910814,0.0665403054831748
3,QZNor,0.578244,0.578244,0.002238719241884568,-0.04097831524973222,-0.02491481567183612,-0.1278729736369717,-0.12863435929932782,-0.16127676008696323,0.10396276548231773,0.04507646725735745,0.02740649209247384,-0.041570127176754346,-0.024088056394170804,-0.051934974383119226
4,ADGem,0.578408,0.578408,-0.10464937810741554,-0.0715330015212709,-0.04349206492493268,0.04045547942708949,0.06250854198274802,0.06348418098332032,-0.20148737816645507,-0.1535168655812653,-0.09333825427340904,-0.04150445220048711,-0.036358983028873755,-0.039582708360399066
5,YAur,0.586529,0.586529,-0.19434484609039648,-0.16014732645838659,-0.09736957448669886,-0.12492818604362355,-0.11018249003895214,-0.11575556307250301,-0.2787935595225085,-0.23166061322819542,-0.14084965284274287,-0.196344458849482,-0.19620867573804734,-0.20533676507086135
6,STTau,0.605768,0.605768,-0.21421836785403203,-0.11728487010129748,-0.07130920102158884,-0.08381358835299088,-0.07652049081942561,-0.0784534867560787,-0.22562083953844392,-0.12692461347627418,-0.07717016499357454,-0.0935074643980539,-0.08830583746046672,-0.09081339555505441
7,BFOph,0.609329,0.609329,0.0770233976505528,0.026608595488069084,0.016178026056746043,-0.01119305965267868,-0.013581722481667561,-0.03907293656816169,0.09497717470499184,0.04148147231711091,0.025220735168803743,0.005035969624223868,0.008186259349167446,-0.014612849664473737
8,SYCas,0.609712,0.609712,-0.2944769481500714,-0.25272173421056193,-0.15365481440002204,-0.14496319224650134,-0.11668452569419215,-0.09836818256925495,-0.30027888026531396,-0.25776387920788946,-0.15672043855839696,-0.14946214822744622,-0.12123915027054932,-0.10241247887552762
9,XSct,0.62305,0.62305,-0.031183248070729308,0.0035238721587253496,0.002142514272505336,-0.11367240189127797,-0.0872726393144061,-0.05627827127538959,-0.1485630172259783,-0.09537137055439693,-0.05798579329707387,-0.2145339222180367,-0.2121541267746031,-0.18905609847141924
10,YLac,0.635863,0.635863,-0.25923381840157955,-0.18679160631791367,-0.11356929664129131,-0.05384933204565345,-0.030267716672274847,-0.0412701100655431,-0.29650066515135287,-0.21818191803095865,-0.13265460616282382,-0.08589675764216453,-0.06999926371811888,-0.08355485052793377
