,name,logP,EBV,d_BBVI_g,d_VVVI_g,d_IIVI_g,d_JJVI_g,d_HHVI_g,d_KKVI_g,d_BBVI_i,d_VVVI_i,d_IIVI_i,d_JJVI_i,d_HHVI_i,d_KKVI_i
0,EVSct,0.490098,0.490098,0.06990314625301797,0.06037840265823019,0.03671006881620409,0.03357963996999458,0.02149310904608276,0.015322005116082227,0.16535154523682805,0.12912643851855332,0.07850887461928069,0.04558729970273523,0.028347799047307665,0.019084316404143764
1,SZTau,0.498166,0.498166,-0.10213641934044859,-0.08574145902206648,-0.05213080708541695,-0.013527233632827595,-0.009094377771755813,-0.004708131658376025,-0.010021412417391296,-0.00828899717022391,-0.0050397102794960125,0.002121538824089775,0.0013482998084780595,0.0012693747891391882
2,SSSct,0.564814,0.564814,0.17792019270441334,0.13229054083030622,0.08043264882482595,0.042508765886913144,0.026471091064898408,0.017675108659216364,0.17574563829552087,0.13319557091873546,0.08098290711859091,0.04380903462191277,0.027189655195510476,0.018211628066545527
3,QZNor,0.578244,0.578244,-0.03692446783256842,-0.04097831524973222,-0.02491481567183662,-0.0036890598171470668,-0.0026909272623834024,-0.0007906640691743849,0.06120848282504246,0.04507646725735745,0.02740649209247334,0.011284837351528326,0.007002245452818051,0.004501959184339363
4,ADGem,0.578408,0.578408,-0.10130995042633911,-0.0715330015212709,-0.04349206492493207,-0.030711286583627873,-0.0185463066918074,-0.013445752909635234,-0.20106294665065233,-0.1535168655812653,-0.09333825427340933,-0.04412666264002319,-0.027356493391902742,-0.01792012690772199
5,YAur,0.586529,0.586529,-0.21140775692559122,-0.16014732645838659,-0.09736957448669903,-0.05916885073456568,-0.036724223278663704,-0.025019866871127283,-0.3021700510052367,-0.23166061322819542,-0.1408496528427432,-0.06750178160564119,-0.04185022927018109,-0.027350152344110173
6,STTau,0.605768,0.605768,-0.16656306540180432,-0.11728487010129748,-0.07130920102158839,-0.03685988543954353,-0.023012199660833774,-0.01519739997071905,-0.16931430558047572,-0.12692461347627418,-0.07717016499357401,-0.036827426258884605,-0.022828743816320232,-0.014925519596792156
7,BFOph,0.609329,0.609329,0.04303671682772221,0.026608595488069084,0.016178026056746495,0.006350509757955864,0.003930248954282596,0.0023127262038604244,0.05594001299110174,0.04148147231711091,0.025220735168802855,0.0066125235324661635,0.004066760578044948,0.0022590756352208197
8,SYCas,0.609712,0.609712,-0.32449157023253583,-0.25272173421056193,-0.15365481440002157,-0.07767534946913585,-0.04822403605147815,-0.031677854271112305,-0.335927728219621,-0.25776387920788946,-0.15672043855839748,-0.07745480514887451,-0.048021551876494206,-0.031670146428790236
9,XSct,0.62305,0.62305,-0.007122695268623969,0.0035238721587253496,0.0021425142725059465,-0.011705763830903632,-0.006806338727051886,-0.004809969320968388,-0.1253606687816684,-0.09537137055439693,-0.05798579329707354,-0.019379020007912584,-0.011946062080048447,-0.007024866351556525
10,YLac,0.635863,0.635863,-0.24903623199004388,-0.18679160631791367,-0.11356929664129085,-0.057478883335592715,-0.0355394540441461,-0.023862960457448346,-0.28610573114344084,-0.21818191803095865,-0.13265460616282304,-0.0608435480324398,-0.037699198767813746,-0.02452699804361702
11,TVul,0.646934,0.646934,-0.1646473715264975,-0.12919932781383472,-0.07855319131081141,-0.03959201051120692,-0.024360638584813656,-0.0163254207307387,-0.1761908578856869,-0.13549679667921422,-0.08238205238096281,-0.04002306966049277,-0.024803216951310582,-0.016311928744531894
12,XYCas,0.653376,0.653376,-0.4127430858187203,-0.33102876319598806,-0.20126548802316033,-0.10065497928173489,-0.06253386097956676,-0.041195578135168345,-0.4202833444024856,-0.32465676084289485,-0.19739131059248027,-0.10107397604566892,-0.0626924954305581,-0.04165632714536016
13,TVel,0.666501,0.666501,0.11367976380826608,0.08826838818421129,0.05366718001600024,0.02219012706350773,0.013762581338250146,0.008448067827162606,0.08718127463614185,0.06655194041039092,0.040463579769517366,0.018296214065372254,0.011327387733654687,0.007385352126733281
14,VZCyg,0.687034,0.687034,0.025878852755132215,0.020672444217395447,0.012568846084177437,0.003472981473231551,0.002850501042891862,0.001129721122281907,-0.02069718732708195,-0.016282298017032543,-0.00989963719435566,-0.00225110115357105,-0.0013666547962897513,-0.0007363381405382785
15,CFCas,0.687994,0.687994,0.20041397118199292,0.15387020758405823,0.09355308621110839,0.04158496852298871,0.02574481991924396,0.016349345150566602,0.16616655004509936,0.12659369527498296,0.0769689667271903,0.03568253336202315,0.02209532605079989,0.014417099398929878
16,VLac,0.697493,0.697493,-0.23213411503362594,-0.177973706782376,-0.10820801372368419,-0.05026061877582985,-0.03153374620974417,-0.02018777052532761,-0.21463813264502743,-0.1638179118924392,-0.09960129043060359,-0.04587717722039322,-0.02842859044433485,-0.01849391207561482
17,V0386Cyg,0.720788,0.720788,0.34818527988938,0.2658248194351042,0.16162149021654482,0.08627951382942906,0.053387628146395444,0.03548219790561741,0.4132350678163453,0.3164112201594562,0.1923780218569496,0.090585393611255,0.05613584929612575,0.03664118366607322
18,CRSer,0.724391,0.724391,-0.19828280023356049,-0.15588734628855794,-0.09477950654344283,-0.043120204590166175,-0.026888490691858474,-0.017179907344274284,-0.216851495091548,-0.16701868338841452,-0.10154735950015481,-0.04107346106310228,-0.025414532339181117,-0.016094763153059688
19,V1162Aql,0.730464,0.730464,0.02943273662250359,0.013346191631981641,0.008114484512245057,0.00044325921560445236,0.0004839324555549751,-0.000175860407687356,0.007482726154845631,0.0032825442654304537,0.0019957869133817585,-0.003155528060167334,-0.001980072227443619,-0.0016238902745079886
20,CVMon,0.730685,0.730685,0.2465568310574782,0.20779456691294743,0.12633909668307275,0.05806293681233887,0.03639341339522431,0.023385729228407676,0.24095132299052047,0.18856645161686486,0.11464840258305425,0.05431120281259662,0.033668470623505586,0.022066386815903435
21,SWCas,0.735675,0.735675,0.06159918660563265,0.04773524956196848,0.029023031733676458,0.01556342279935527,0.009645964810062116,0.006502488864197159,0.054631025042236714,0.04172020349623051,0.02536588372570786,0.015402692580858801,0.009564929193413785,0.006515451753377033
22,XLac,0.735997,0.735997,-0.2517938691463566,-0.19374444945736763,-0.11779662527007995,-0.04470847821462198,-0.028389946916098696,-0.01754055141526989,-0.17476189691018318,-0.13280873470631605,-0.0807477107014406,-0.03145668575362137,-0.01945484385009244,-0.012217443450052823
23,VCen,0.739882,0.739882,-0.10835183738189291,-0.07766703604457359,-0.04722155791510001,-0.026281057169801433,-0.0162387533761483,-0.011159150003817647,-0.12322451643333676,-0.09303453473598808,-0.05656499711948121,-0.02894036853963844,-0.01795121177074452,-0.01190395849373839
24,FMCas,0.764123,0.764123,0.07260823311804021,0.05360419275171702,0.03259134919304371,0.018143272697435146,0.011091091426856416,0.00746677168167445,0.10005794458093653,0.07637340641129914,0.046435031098069623,0.019951613906337984,0.01234827647520964,0.007902706571961515
25,CSVel,0.771201,0.771201,0.015100937617177373,0.019552676957835274,0.011888027590364392,-0.00019253219167750246,0.00023553306111556704,-0.0005238936628088886,-0.017465274527908303,-0.01184703744326393,-0.007202998765503607,-0.004718937854453528,-0.002924627444510844,-0.001973074511350495
26,MWCyg,0.774852,0.774852,0.18465821173401054,0.13287606373915106,0.08078864675340425,0.05299945531895034,0.03238895917583828,0.022616146543571913,0.3116074839130075,0.2377695393571867,0.14456387992916983,0.06713237403408262,0.04160340242494054,0.02707346215263373
27,FMAql,0.786342,0.786342,0.22788205396621375,0.175287100354355,0.10657455701544744,0.06262993405846075,0.03919905009838558,0.026132611960910934,0.24679365416341448,0.18881427236248483,0.11479907759639096,0.06491254095523846,0.040303219311587535,0.02708550281841471
28,CRCep,0.794695,0.794695,0.32577347572427884,0.2556741899671734,0.15544990750004242,0.07880086391936214,0.048453927714896206,0.03236893478478448,0.3795483653193626,0.29226059212217853,0.17769444001028462,0.08034714864580483,0.049755949777966824,0.03223825285968662
29,RSCas,0.799056,0.799056,-0.16381081420845894,-0.13008866201695524,-0.07909390650630876,-0.04018238979600407,-0.02540196519872498,-0.016365617771234367,-0.14586137086609696,-0.11222639019505842,-0.06823364523859587,-0.037140025418268274,-0.023055608324229315,-0.015417369619569354
30,RRLac,0.807281,0.807281,-0.36139762428859146,-0.2796917772962305,-0.170052600596108,-0.08168066659495962,-0.05086980990792722,-0.03301932556565629,-0.30955233514379654,-0.2363599891108784,-0.143706873379414,-0.07604365255944523,-0.04717258098313826,-0.031513607112378605
31,XXSgr,0.807815,0.807815,0.008349947397932215,0.01800102160684848,0.010944621136965205,0.003636338203140632,0.002497387820300956,0.001560295732671163,0.005581443227358433,0.007020913381175123,0.004268715335755818,0.0015461668404635684,0.0009605140457744424,0.0005796501478758098
32,BBSgr,0.821971,0.821971,0.09635519779119786,0.07033423100159235,0.042763212448967594,0.023070458205563957,0.014360377116591536,0.009311958341111301,0.09550049478564798,0.07206615891171164,0.04381622461832019,0.023975598766997203,0.014881487475332134,0.00999359526836785
33,VCar,0.82586,0.82586,0.020743634167675835,0.010438471061352282,0.00634659040530218,0.0037569365174842176,0.002277863366614983,0.0013343330387354316,0.04847102834667294,0.0361926919008162,0.022005156675696136,0.00515323121763267,0.003161343280360218,0.0016442954171813629
34,V0495Cyg,0.827263,0.827263,-0.24993615973779193,-0.20001636337703477,-0.12160994893323757,-0.049396662455882034,-0.031346883705253514,-0.01921105247250643,-0.22313374153059717,-0.1724198663553964,-0.10483127874408082,-0.035745504599014044,-0.022063547388219362,-0.01327070838515998
35,USgr,0.828997,0.828997,0.07158613908961532,0.05256680044075374,0.031960614667978615,0.0171683032902656,0.010899833946515506,0.0070573676101612325,0.07057174510377967,0.05333085058310649,0.03242515715452979,0.017189718990027247,0.01067280909766058,0.00710651392314568
36,TWCMa,0.844792,0.844792,0.010270286922026778,0.014081709212233146,0.008561679201038203,0.00026518913104564557,0.0003080974840520556,-0.0002663029749500889,0.0073800599749699325,0.007216425409418359,0.004387586648925801,-0.005109434642358357,-0.003218451121351884,-0.002714408794182499
37,xSgr,0.845893,0.845893,-0.44825571252485596,-0.33354937932454237,-0.2027980226293225,-0.09896256233586256,-0.061237023996273975,-0.040391246118598026,-0.43860154636356324,-0.3325957404716645,-0.2022182102067731,-0.09754161502880199,-0.06045411193999966,-0.039727722715661926
38,V0600Aql,0.859672,0.859672,0.19419904460516296,0.15164234032194301,0.0921985429157412,0.05852300860405232,0.03690212000146309,0.025024566022591663,0.26071318981849095,0.2006966611804466,0.12202356999771163,0.06348330087215939,0.03940009540150563,0.02604210182380509
39,V0459Cyg,0.860413,0.860413,0.26400741405390693,0.206410290934191,0.12549745688798833,0.07020185829777584,0.04352637606804163,0.029256935648081434,0.32304737902934877,0.24859708752965753,0.15114702921803194,0.07347698106835303,0.04554689985818282,0.02984657095588908
40,CKSct,0.870124,0.870124,0.3571371678194201,0.26229314129343084,0.15947422990640592,0.07450499714256772,0.046085630283860646,0.03043510423028009,0.3676569000528308,0.2784942581855051,0.16932450897678608,0.0715144309766943,0.044256949601442996,0.02827460010695937
41,V1344Aql,0.873787,0.873787,0.06516680725205168,0.029634784741468037,0.01801794912281192,0.010688306532750144,0.006739042460087302,0.004871392113243861,-0.011029471310000094,-0.014605441687557619,-0.008880108546034826,0.011778541658184372,0.0074075106177531325,0.006159944299798825
42,RSOri,0.878917,0.878917,-0.11117737059300081,-0.07682885153857694,-0.04671194173545484,-0.022161555182835142,-0.013473765011155873,-0.008867659512721796,-0.12228525262037987,-0.09162644107398504,-0.0557088761729832,-0.023778474050505316,-0.01471585464181549,-0.009471352675378159
43,BKAur,0.903222,0.903222,-0.2088590767438726,-0.15748777578844197,-0.0957525676793724,-0.0541859490656178,-0.033256197304514123,-0.022509644472602675,-0.237420972066111,-0.18102190818199004,-0.11006132017465031,-0.06173744254142022,-0.038323545697821815,-0.025882942021341337
44,GHLup,0.967448,0.967448,0.22178523805065814,0.15500276712911915,0.09424168241450441,0.045224756910850226,0.02778425075869269,0.01811717488665532,0.1992947733391338,0.14835976159590525,0.0902027350503101,0.04463305937887778,0.027663224186254998,0.018306375567260946
45,FNAql,0.976878,0.976878,0.15861820421643244,0.12814614129974294,0.07791285391024333,0.04069738100723433,0.025597145163704954,0.016718569423434665,0.18941287963687814,0.1468059047135471,0.08925799006583646,0.038184247222425194,0.02364072107001236,0.015032512110110585
46,YZSgr,0.980171,0.980171,0.0333695173567477,0.02463353923122341,0.014977191852583699,0.006059570576935444,0.004119940089155602,0.002511945808634286,0.022492877744822393,0.016846226971465122,0.010242505998650564,0.003119506594573912,0.0019287966441417503,0.0010833949140996169
47,SNor,0.989194,0.989194,0.003809211140956198,-0.0030745589815778865,-0.0018693318607996764,-0.0031096166528923642,-0.002134577201037696,-0.0016428415798277994,-0.008678538294511068,-0.0082204590601829,-0.0049980391085918535,-0.003451426012074564,-0.0021518056949976425,-0.0014435867889242074
48,DDCas,0.991759,0.991759,0.11627675226636017,0.09131098555926148,0.05551707922003132,0.024192905897448602,0.01519496211192728,0.009578028622467094,0.07884114605472123,0.060291472524534734,0.03665721529491761,0.016196688106768636,0.01001696166848487,0.006396761911865945
49,BZCyg,1.006127,1.006127,-0.028968491433057436,-0.022465606622127692,-0.01365908882625373,-0.008148687754108548,-0.005790011235588463,-0.003579811133414365,-0.047347965083112564,-0.03655296776867356,-0.022224204403353487,-0.007039292078101167,-0.0043630874917086615,-0.0024876149434404637
50,SYAur,1.006262,1.006262,-0.28665269238764834,-0.20425592281363814,-0.12418760107069204,-0.06756414600180449,-0.040901737569790264,-0.027823383210020314,-0.35543179024404,-0.26880352993539824,-0.163432546200723,-0.078383748794459,-0.04857070113713527,-0.031951007938407563
51,YSct,1.014575,1.014575,0.13691142789485714,0.09861363868506716,0.05995709232052057,0.03163992881580457,0.01923254592814788,0.012923041992483536,0.15094976766393597,0.11401112895797276,0.06931876640644748,0.03338222519045492,0.020679418657032086,0.013582577584992123
52,TWNor,1.032868,1.032868,0.4223768040452045,0.3330158650893749,0.20247364597434075,0.10577082839246005,0.06562499335364269,0.04404936217792593,0.5197826026956129,0.4007188779189426,0.24363707777471721,0.11616637919297289,0.07202416848286822,0.04723872275506308
53,ZLac,1.036854,1.036854,-0.010379926054832483,-0.005860099522378093,-0.0035629405096058303,0.0019283136039932001,0.0011748756048289462,0.0007771508087314159,0.012058772423538991,0.010028836010658737,0.006097532294481255,0.002428912115146939,0.0014976592914727888,0.0008787799700732124
54,XXCen,1.039548,1.039548,-0.1796328129199382,-0.13826179958503435,-0.0840631741477011,-0.04136208473444596,-0.02552766423222532,-0.016993705846039677,-0.16890994541818383,-0.12900400420756908,-0.07843443455820193,-0.04091730496947232,-0.025376476196196762,-0.016925110517584052
