,name,p_BBBV_g,p_VBBV_g,p_IBBV_g,p_JBBV_g,p_HBBV_g,p_KBBV_g,p_BBBV_i,p_VBBV_i,p_IBBV_i,p_JBBV_i,p_HBBV_i,p_KBBV_i,p_BVVI_g,p_VVVI_g,p_IVVI_g,p_JVVI_g,p_HVVI_g,p_KVVI_g,p_BVVI_i,p_VVVI_i,p_IVVI_i,p_JVVI_i,p_HVVI_i,p_KVVI_i,p_BVVK_g,p_VVVK_g,p_IVVK_g,p_JVVK_g,p_HVVK_g,p_KVVK_g,p_BVVK_i,p_VVVK_i,p_IVVK_i,p_JVVK_i,p_HVVK_i,p_KVVK_i,p_BJJK_g,p_VJJK_g,p_IJJK_g,p_JJJK_g,p_HJJK_g,p_KJJK_g,p_BJJK_i,p_VJJK_i,p_IJJK_i,p_JJJK_i,p_HJJK_i,p_KJJK_i
0,EVSct,0.01652780157899777,-0.06595466489774438,-0.11736567580695449,-0.14530681985461597,-0.15328547139328852,-0.15718281060492278,-0.16657451931852302,-0.23483495662593504,-0.28996963887269883,-0.3288295774937544,-0.34059231214230407,-0.34552105497017943,0.18793018445440376,-0.004944713065375971,-0.23688235392849474,-0.3565875924570556,-0.3914881330581609,-0.41717786091620385,-0.29959883153600014,-0.3851434395229707,-0.5162602686999774,-0.6000194103710577,-0.6254677222076517,-0.6407634639135892,0.07076524278785504,-0.04527774555694624,-0.1717493742933133,-0.26398914780927873,-0.28606682989491833,-0.30478892546294795,-0.2505482111064296,-0.2942982800040021,-0.3605479314002098,-0.4176193207359335,-0.4328495900300994,-0.44278781672571627,0.040429244313955164,-0.05884821857374026,-0.1653933895647655,-0.24303540122798892,-0.26177561099536195,-0.27859008164935917,-0.24447420777861714,-0.28156188195179993,-0.3385273928985975,-0.38818928911238726,-0.4016057603435961,-0.4106201956920478
1,SZTau,0.031020828241349087,-0.12378950229584848,-0.220282198647872,-0.27272458950224493,-0.2876996227996698,-0.2950144910054939,-0.17090066230520948,-0.24093390624195316,-0.29750050328517463,-0.33736968180448307,-0.3494379089870185,-0.3544946572643781,0.1814924713687519,-0.004775327588007437,-0.22876774139792766,-0.34437237212506655,-0.3780773641368042,-0.40288706786419093,-0.17479643600127462,-0.22470615199912178,-0.30120429560811934,-0.35007230811527557,-0.3649197432286906,-0.3738438138683743,0.12475279907612673,-0.07982061915648703,-0.30277879844060146,-0.4653892761119881,-0.5043102566497535,-0.5373156380300501,-0.2396872793204208,-0.281540840907758,-0.34491865801114197,-0.3995160785096077,-0.4140861358822595,-0.4235935536659376,0.07998635165523013,-0.11642696728561629,-0.32721892391670065,-0.48082805892520475,-0.517904215899735,-0.5511704365637441,-0.2543304320980224,-0.2929133332706395,-0.35217546625974916,-0.40383953191978733,-0.4177969017236153,-0.42717476312716873
2,SSSct,0.009726961236016317,-0.03881571700437268,-0.06907218564771325,-0.08551614062517984,-0.09021174601839646,-0.09250541267781144,-0.18956421928631237,-0.2672455871165177,-0.32998965528772006,-0.37421282913418524,-0.38759899179247614,-0.393207972626109,0.039572705583607426,-0.0010412147197088133,-0.04988062815549804,-0.07508711733582096,-0.08243616997431029,-0.08784568968505162,-0.18653796861441052,-0.2398002504397257,-0.3214369739224161,-0.37358757831598655,-0.38943235437978746,-0.3989558781253515,0.007899803773841819,-0.005054533710766647,-0.019173061544701723,-0.029470152068422757,-0.031934770988486835,-0.034024792521599394,-0.19507280436693647,-0.22913590381357676,-0.2807168160424829,-0.3251516811635422,-0.3370097236909923,-0.344747467031434,0.004044132461761138,-0.005886580248761118,-0.01654428092955224,-0.02431080204791101,-0.026185382984224,-0.027867332467897424,-0.20240763013331065,-0.2331136432737565,-0.28027712188707377,-0.321393715788309,-0.33250162026353214,-0.339964945382566
3,QZNor,0.032552772766553384,-0.12990277073744064,-0.23116069955677926,-0.28619292563195703,-0.3019074917392816,-0.30958360021288056,0.003938107910931157,0.005551901960967978,0.006855380603504814,0.007774096337027396,0.008052187599503298,0.008168711550470003,0.15156285273893327,-0.00398783633581588,-0.19104203738823622,-0.2875825026245963,-0.31572926101251186,-0.33644763816706913,0.076414050029901,0.09823259291603792,0.13167453891137668,0.1530376904607392,0.15952839859831175,0.16342964736476914,0.11596662645180131,-0.07419895981029893,-0.2814544930159063,-0.43261253244201564,-0.4687923604265294,-0.4994732169826413,0.058351278570571784,0.06854042518810484,0.08396959886590469,0.0972612065881557,0.1008082512162697,0.10312280868947013,0.07369597955534912,-0.10727079336929647,-0.3014854238011955,-0.44301426514523434,-0.4771746393821214,-0.5078247023891924,0.06444262500951596,0.07421881817498019,0.08923474600546939,0.10232546417998059,0.10586200340168296,0.10823817994034994
4,ADGem,-0.021947207991253107,0.08758096118140811,0.15584945678694553,0.1929524009986486,0.20354722354488833,0.20872248620044265,-0.028049822657194017,-0.03954433675700132,-0.0488285782220799,-0.05537228245277154,-0.05735303330353379,-0.05818299434925941,-0.14620508276005062,0.003846865712641552,0.1842886722058952,0.2774164172602115,0.30456818344278974,0.324554162802479,-0.02221660610499015,-0.028560125037652914,-0.03828302993893926,-0.0444941484825536,-0.046381255709280846,-0.04751550402000463,-0.0925742060867482,0.05923178078958692,0.22468038467364568,0.34534730343856956,0.37422905118358424,0.39872106258933065,-0.03948614768592895,-0.04638111482271381,-0.05682199367640834,-0.06581638760163279,-0.06821666282207921,-0.06978291741757785,-0.05755617458494673,0.08377792856925091,0.23545853914711629,0.34599182400677436,0.3726708976187697,0.39660843652005623,-0.04940295419897522,-0.056897571668738725,-0.06840907038182362,-0.07844466639163178,-0.08115584529172878,-0.08297746786981476
5,YAur,-0.015241227501847946,0.060820554246733785,0.10822957653091601,0.1339956973944137,0.1413532665591702,0.14494722509578933,-0.044327954245333756,-0.06249307069957006,-0.07716522873409049,-0.08750643570991078,-0.09063667414874357,-0.09194828583734355,-0.12934643570246487,0.003403290495535147,0.16303867444398956,0.24542802548695541,0.26944896998795487,0.28713040175077176,-0.006925565467343296,-0.008903025726298707,-0.011933939363980654,-0.013870126551886384,-0.014458393030611213,-0.014811971380743605,-0.043953990868002515,0.02812309456352683,0.10667765886007821,0.16396999621475708,0.1776829744869845,0.18931171742925085,-0.11702698412133371,-0.13746192794142173,-0.16840605988213875,-0.19506317526955244,-0.2021769857213656,-0.2068189693642189,-0.026933665572303922,0.03920425092001741,0.11018386116283495,0.1619083989815264,0.17439298906462525,0.1855946658967038,-0.12932893245129298,-0.14894862710743667,-0.17908386625693123,-0.2053554311765828,-0.21245285841588896,-0.21722157128281924
6,STTau,-0.010390396302686442,0.04146317361222934,0.07378330857483774,0.09134883647750869,0.09636470934188082,0.09881481734573863,0.05500075816073719,0.0775394742840122,0.09574423535388837,0.10857528595503582,0.11245918924565046,0.11408659656713904,-0.013132038020133008,0.00034552278103548023,0.01655267932141181,0.024917348084602695,0.027356100685347957,0.02915122733803592,-0.006993212516290118,-0.008989988071817159,-0.012050506853536603,-0.014005606193827302,-0.014599618700290615,-0.014956650708044283,0.00875100766041711,-0.005599159737260749,-0.02123895899881789,-0.03264556106550067,-0.03537574268354358,-0.037690964044771125,-0.054410175168601554,-0.06391113668751687,-0.07829820862631981,-0.09069208794064107,-0.09399956164600536,-0.09615779160496571,0.005938108081945718,-0.0086434235477462,-0.024292411098466377,-0.035696202210058155,-0.03844869964020717,-0.040918351145656624,-0.059102059095230364,-0.0680680679458367,-0.08183957793439356,-0.09384542653281289,-0.09708888146722644,-0.09926813667584462
7,BFOph,0.006748853512197627,-0.02693149295829974,-0.04792432614799345,-0.059333628664093654,-0.06259157862204842,-0.06418299241661428,0.13485060622506978,0.1901109268896683,0.23474527646137802,0.2662043873887697,0.2757269236368759,0.2797169934325779,-0.00873974265424404,0.00022995518157956828,0.011016276170200965,0.016583199770803532,0.018206258590401876,0.019400966140914123,0.22135811302791955,0.28456260854156,0.38143806611268993,0.44332337272117267,0.4621258168395755,0.47342705090657766,0.0057691808859522,-0.0036912966582933514,-0.014001975663641815,-0.021521881161430837,-0.023321778066702575,-0.024848108672532017,0.2578003584643349,0.3028167782377037,0.3709840335641613,0.42970736095825446,0.44537847218353604,0.45560436201653687,0.005151442069030002,-0.0074983639687666945,-0.021074211981976357,-0.030967256781429368,-0.03335511009445315,-0.03549758821803203,0.26701625266451695,0.3075236414305892,0.3697417273478859,0.4239827597566231,0.43863631321197427,0.4484819356541163
8,SYCas,0.00394110338202638,-0.01572708576192088,-0.027986194028634098,-0.034648842825424776,-0.03655137598525177,-0.03748070809723666,0.022695880455782986,0.031996406918813634,0.03950854120177205,0.044803231680668604,0.046405911493335825,0.04707745572757026,-0.021746903454031036,0.000572192263594244,0.027411550176477183,0.04126359992984867,0.04530222038429551,0.04827498408966351,0.08751631545658392,0.11250489388265841,0.15080565001408824,0.17527267289023774,0.18270642179743665,0.1871744864738449,0.005175890582775578,-0.0033116915537201065,-0.012562042239681841,-0.01930861663538888,-0.020923415967586602,-0.022292781977265964,0.06296353387414316,0.07395806036812134,0.09060680094948258,0.10494901612561822,0.1087764295099753,0.11127393635879702,0.002030217374149971,-0.0029551548096814336,-0.008305486257828466,-0.01220440061344896,-0.013145469389543772,-0.013989834181370966,0.07227389273517068,0.08323811922493167,0.10007882919259035,0.11476037205387607,0.1187266824939815,0.12139161937776127
9,XSct,-0.022215889474415,0.08865314232428255,0.15775739255791835,0.1953145573741031,0.20603908355447687,0.2112777026627791,-0.2738824902468239,-0.3861165740165155,-0.4767692388687909,-0.5406629052225376,-0.5600032405321477,-0.5681070991835624,-0.12052814431552389,0.0031712685839838384,0.15192338911912062,0.22869578364734283,0.2510790820327074,0.2675550687704948,-0.3379803953582128,-0.4344841109433836,-0.5823982985126867,-0.6768878119454339,-0.7055963034026097,-0.7228515804094182,-0.04884176797201331,0.03125044238762631,0.11854044101452747,0.18220380792141272,0.19744169849177662,0.2103635823384111,-0.5196152696664523,-0.6103491198414245,-0.7477451536168391,-0.8661062675476189,-0.8976925257429285,-0.9183035463590591,-0.036454616673103075,0.05306280852892938,0.149133448303597,0.2191424188134551,0.23604026528661415,0.2512016934224604,-0.5286014591072793,-0.6087923261151917,-0.7319629970783085,-0.8393418123700033,-0.8683508695352888,-0.8878418568321358
