,name,logP,r_BBBV_g,r_VVBV_g,r_IIBV_g,r_JJBV_g,r_HHBV_g,r_KKBV_g,r_BBBV_i,r_VVBV_i,r_IIBV_i,r_JJBV_i,r_HHBV_i,r_KKBV_i,r_BBVI_g,r_VVVI_g,r_IIVI_g,r_JJVI_g,r_HHVI_g,r_KKVI_g,r_BBVI_i,r_VVVI_i,r_IIVI_i,r_JJVI_i,r_HHVI_i,r_KKVI_i,r_BBVK_g,r_VVVK_g,r_IIVK_g,r_JJVK_g,r_HHVK_g,r_KKVK_g,r_BBVK_i,r_VVVK_i,r_IIVK_i,r_JJVK_i,r_HHVK_i,r_KKVK_i,r_BBJK_g,r_VVJK_g,r_IIJK_g,r_JJJK_g,r_HHJK_g,r_KKJK_g,r_BBJK_i,r_VVJK_i,r_IIJK_i,r_JJJK_i,r_HHJK_i,r_KKJK_i
0,EVSct,0.490098,0.4723931103796302,0.3606054277707099,0.12372520332780512,0.05349707698390971,0.03437940573950049,0.029275109647325492,0.5324926529984131,0.406482941220163,0.21918158061729348,0.12037024790568729,0.07869782203614145,0.05586687069267071,0.23566903975721382,0.2995954759383415,0.18215404937051163,0.11762527323679045,0.08078854194102941,0.06305808169684801,0.6778466911732253,0.5567914241171985,0.338529185863256,0.18584446064964344,0.12059580161314398,0.0837350195487927,0.40370287357090173,0.3399285084299118,0.15428998131786434,0.08045881637452834,0.05134889475749982,0.040451492503159214,0.616575036446804,0.4659462645982299,0.2535713507891559,0.12629346815341103,0.07997902352284175,0.0554476054871883,0.45009272185910354,0.3138278699735891,0.1119984380532236,0.034972885860123676,0.016698098350042545,0.014252648689571157,0.4127750889797146,0.2937623970775366,0.13639142821502154,0.05712399546578273,0.03354002927029298,0.02327998445352053
1,SZTau,0.498166,-1.1489392323832874,-0.8770528491475481,-0.5867086231873191,-0.3107802238529779,-0.2028516837093432,-0.12540310333702143,-0.7906876728781428,-0.6035783762428568,-0.35950382310866497,-0.1649927608183402,-0.1005183430860675,-0.06299096053386177,-1.3274979037248797,-0.9960670238553891,-0.6056087505040761,-0.30422526570087177,-0.19559805599352775,-0.11977450699852643,-0.8038879420297729,-0.6198061304856883,-0.37684212733529915,-0.1787928216439349,-0.11043027656602139,-0.0704467209576905,-1.2652292523823943,-0.9210217322869096,-0.5543612541073991,-0.27678019527668074,-0.17951538224032898,-0.10960158614214177,-0.7270649628423081,-0.5629714415770521,-0.3460225448070391,-0.16780811951259755,-0.10458012170995767,-0.06699360154766942,-0.7490402415995838,-0.6234998753512637,-0.44321978412308755,-0.2349416973249332,-0.15658963395012493,-0.09574678760844857,-0.6189975231927609,-0.48961496583330594,-0.3132627559226626,-0.15560015537176547,-0.09834493136071093,-0.06341239208643923
2,SSSct,0.564814,-0.3952048662278053,-0.301683103990691,-0.18744722119374085,-0.07382636496477478,-0.04337509602085567,-0.024841640370740277,-0.5183393286879961,-0.39567887686106545,-0.23028115419125234,-0.09321641658182023,-0.055568718712042886,-0.03262000372806684,-0.4242884375137236,-0.3394576062753549,-0.20639022461541592,-0.08546952518520595,-0.05165305794598101,-0.031185376768292396,-0.5419770862150947,-0.4231242135378576,-0.2572595218310179,-0.11270380140125025,-0.06909661626687102,-0.04234790568048541,-0.38276974808515435,-0.33544428728429704,-0.22195777065756223,-0.10141078480433152,-0.06328197601166129,-0.039917870186830774,-0.5400606430504985,-0.4337885601640066,-0.2765647009792661,-0.1307762442923121,-0.08199361983841019,-0.0516208386595175,-0.44410207103411764,-0.3568549054240597,-0.23424343073013615,-0.11305879353139227,-0.07143218423848588,-0.04607533024053276,-0.5307644677188814,-0.4274276292618693,-0.2810710774588433,-0.13840152277351525,-0.08810067457341086,-0.05640336030838472
3,QZNor,0.578244,-1.1606993797380931,-0.8860300608687733,-0.5662276548087076,-0.3016696334091715,-0.19092109025745452,-0.11905745442359761,-0.46737411459041506,-0.35677413327512597,-0.19734974380839843,-0.09681770494657747,-0.057280423237325254,-0.039177569274713525,-1.287716080701123,-1.011944995270398,-0.6152625571244019,-0.3210232573817572,-0.20275888257176883,-0.12724876711830607,-0.5556964446646435,-0.4494548242301959,-0.27326853313195953,-0.1406295704537041,-0.08557156944321101,-0.0583515593937705,-1.2593195696915105,-0.9417338717959151,-0.5561361398804096,-0.28418376332929685,-0.18021433654507174,-0.11206633074371342,-0.5377145225038433,-0.4197626565022628,-0.2468265808788383,-0.12246914362337513,-0.0735423206796722,-0.049951756123770244,-0.8330853497505555,-0.69107116453501,-0.4734019286306472,-0.25449357007102347,-0.1657686912674986,-0.10371484533716324,-0.6093829961458778,-0.4670288496596153,-0.2758883048717585,-0.13512269910418376,-0.08166336794277754,-0.055067127374650846
4,ADGem,0.578408,-0.8357544439562474,-0.6379804915696546,-0.3369894858164471,-0.1362663518645973,-0.07628093044291018,-0.05859995865491607,-1.3471728797205502,-1.0283762440614888,-0.6222611991605277,-0.2961462852850225,-0.18404937817007272,-0.12093636290970136,-0.6818003445682715,-0.5542463961008881,-0.33698180882933915,-0.15328924802028387,-0.09039635328856871,-0.06884624208193657,-1.3572642380894415,-1.0393604557808374,-0.6319311571147492,-0.3023041326249275,-0.1882274346647834,-0.12392758121521603,-0.746725566964658,-0.6096313111778334,-0.36728812542882383,-0.16697046508803226,-0.09745718543194748,-0.0725461260301627,-1.3365396296905807,-1.0215394659957764,-0.6202580825162943,-0.29668127430539104,-0.18467014042354504,-0.12156319645349778,-1.0437891567882454,-0.7594978575247104,-0.4069449331795132,-0.1728284200720978,-0.09761314214938499,-0.07043349996088832,-1.2066738662830292,-0.9221048209296357,-0.5594051707237147,-0.265912980103936,-0.16507745465480883,-0.10836864600126171
5,YAur,0.586529,-0.12514764894744448,-0.09553255644843114,-0.0022957379182705073,-0.01602010112686758,-0.007487271932431427,-0.01083984321287812,-0.5233322832883857,-0.39949029258655405,-0.23047613611739878,-0.12086443396301252,-0.07556808483753263,-0.04886365823825123,0.024932773025237442,-0.03811529269723249,-0.023174097959916568,-0.04393758369331288,-0.028208715024696213,-0.025732538989668985,-0.5737872096041422,-0.4530803375598254,-0.2754728452363744,-0.14823069933530428,-0.09388592820954048,-0.06170441832310067,-0.09517260206381785,-0.06283509676522417,0.0025869554448002263,-0.011961515677226447,-0.004242056903838859,-0.007477376515061307,-0.4353100840728392,-0.32452143534470235,-0.18181070640067387,-0.09493921725144802,-0.05963601556731102,-0.03861805080601988,-0.1900826484297189,-0.11846282795033897,-0.02013870569235146,-0.009227015923483045,-0.0006819495137704856,-0.003760324982514246,-0.29768801682677154,-0.22873236231479466,-0.13269041610497437,-0.06923454684980215,-0.04383646657454182,-0.028215448887418754
6,STTau,0.605768,-0.4867591616749217,-0.3715718791411618,-0.24303000319375695,-0.14581540021481684,-0.09568079353269966,-0.0657508635596899,-0.6106380599557278,-0.4661359236303268,-0.30306417069735664,-0.16022625456453143,-0.10123780654803163,-0.06698443644421333,-0.5009159240203518,-0.33045422830996796,-0.20091617081246027,-0.11281942175516774,-0.07178146660086948,-0.047966666221015045,-0.5289520228458454,-0.3796064612744974,-0.23080072845489438,-0.11768269491631277,-0.07361270228312894,-0.048341537580082805,-0.5269679547598262,-0.3245095457916717,-0.17999378011412118,-0.09435638798238397,-0.05889905111907319,-0.038616635949207806,-0.45960815260252785,-0.3246853126587977,-0.19103642458018377,-0.09518873702727655,-0.05919957207817293,-0.03863755220639728,-0.40618125950041645,-0.2907340152871299,-0.1699002889437725,-0.08683748456899482,-0.05424847002029002,-0.03538924884832232,-0.3956325033357372,-0.2921120780775518,-0.1756009689601079,-0.08717600406362327,-0.05440997956594605,-0.03552720713551753
7,BFOph,0.609329,-0.7887023882634034,-0.6020628918041249,-0.3422480402004359,-0.15843142102205302,-0.09527527432321395,-0.06413556878513908,-0.4128563432731604,-0.31515751394897784,-0.17475755060585013,-0.08796946383600457,-0.05412608203599817,-0.039948418852080336,-0.7527056458346085,-0.6292243399440042,-0.3825683986859542,-0.19044525207528962,-0.11820872345127934,-0.08060265104215862,-0.5045929575787154,-0.4096091956008694,-0.24904239092532887,-0.12780825770692267,-0.07910204168194668,-0.0563035176572832,-0.7805257526796586,-0.6253030881041313,-0.36871996627881065,-0.17873343201351952,-0.11006377452761879,-0.07441106748439087,-0.5525905257552746,-0.4278633652970131,-0.24875527608185483,-0.11936632328159397,-0.07218212829764598,-0.05091574047034475,-0.7112479172940056,-0.5542773555306253,-0.33081180234835017,-0.15645700569879223,-0.09559577792548007,-0.06376158793889088,-0.5812052254527965,-0.43071158040528684,-0.23755771232522205,-0.10745922453373119,-0.06303929210470771,-0.04379331410792403
8,SYCas,0.609712,-0.24861965922806142,-0.18978599941073412,-0.08925802313016692,-0.05501443290371813,-0.03236543337842584,-0.0192208057369473,-0.12620347392115497,-0.09633852971080527,-0.04202940987479416,-0.02636146742467141,-0.015553503002257066,-0.01058547503112088,-0.20176905848082038,-0.20608527743624924,-0.12529984868123933,-0.08365702408615106,-0.052751061565644256,-0.03426040315164153,-0.20318036425648572,-0.17684701667465,-0.10752298613818756,-0.06384645416737546,-0.039805185570256474,-0.026902962772595976,-0.24667504936055135,-0.20220139361893488,-0.10355899436655273,-0.0631092708517009,-0.03851299078179807,-0.02406196584065282,-0.1752417239083669,-0.13830018316011294,-0.07391605834145175,-0.04106629425592706,-0.024653868461141745,-0.01645772179605473,-0.3053313825857166,-0.2406531468228188,-0.13829639531049026,-0.0794164267384232,-0.049853404484871994,-0.03236491363654784,-0.2897052344729515,-0.22116646939266965,-0.1260043275054854,-0.0652102370250866,-0.03983710688376628,-0.02657540481501805
9,XSct,0.62305,0.9065133647093817,0.6919949348926576,0.4520754112951843,0.1771467770575146,0.11485559370784162,0.0745071377577258,-0.03627722043445536,-0.027692534682789927,-0.020640900373718574,-0.018620713959265678,-0.009818231126003218,0.0019320125951919342,1.0197245603444771,0.7774768086329563,0.47270589964883786,0.18368892999611017,0.11836746253490837,0.07664090585227312,0.013402937020848105,0.020675002244077922,0.012570401364398576,-0.0062070867066499336,-0.003734003048724399,0.004724655026594582,0.926355221602298,0.7493976348293139,0.4857870595088614,0.20697079094192544,0.13535735542771596,0.08917831854468902,0.24233625289688687,0.19654001114211883,0.12044494014884388,0.043388380555471895,0.025622293504403704,0.023388261325911874,0.5164331429012974,0.4302889864714884,0.300875089620547,0.11861630738240836,0.07730442376819766,0.04834020746063972,0.15642433659833216,0.09066657168316883,0.01920562919970492,-0.017356647350380894,-0.016793657204731915,-0.007073428201010978
10,YLac,0.635863,-1.1355843000595214,-0.8668582443202456,-0.5172466234527269,-0.24869243885423964,-0.15303181279465422,-0.10554665959281534,-1.4258240648745402,-1.0884153166981223,-0.6622414498043461,-0.3158959932460161,-0.19566656727104603,-0.1274868689247317,-1.1015104547017684,-0.842582396646417,-0.5122900971610213,-0.24853798972781593,-0.1533002135450306,-0.10532345273864446,-1.4128535147600594,-1.076053012267482,-0.6542402314586289,-0.3133488337386806,-0.19460127063156601,-0.12730155841521396,-1.1303881634820807,-0.850352908622308,-0.50736373192258,-0.24216742275905453,-0.14836453666795796,-0.10119199612605473,-1.3395997787159493,-1.0195986938210897,-0.6196457938106728,-0.2979080175298143,-0.18535963727638172,-0.12133224456471026,-1.0780397795258168,-0.8110997291514708,-0.4771271216916797,-0.2212624797426621,-0.1339755736010944,-0.0901720379773173,-1.1446028674494295,-0.8797219178142142,-0.5409149704702714,-0.2601992079382704,-0.1622317201946742,-0.10604008816662391
