,-0.14,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.140000
0,EVSct,-0.15079729396771674,-0.12279817526127462,-0.15079729396771685,-0.1227981752612748,-0.24201870175250795,-0.1964725425120759,-0.37801458536362414,-0.27140143764992225,-0.49697897766621746,-0.3180667793290832,-0.6990011892835385,-0.42451792424110446,-0.35293467366688697,0.19797356308584152
1,SZTau,-0.17288388413190425,-0.07432970799433834,-0.17288388413190448,-0.07432970799433862,-0.22547533132855274,-0.08614030937306512,-0.4201590825692463,-0.1431996800982453,-0.6351869864014829,-0.1929215796143281,-0.974992825801961,-0.30851646470410676,-0.4335969990608419,0.2924567851210109
2,SSSct,-0.015310517080710982,-0.0306721171334152,-0.015310517080711161,-0.030672117133415566,-0.028605986426332424,-0.039710980179569255,-0.025644067146581358,-0.01908971905107667,-0.03578368421785752,-0.00988895825863571,-0.03070593040330224,0.01698615625737018,-0.02522678372591595,0.007634647132320952
3,QZNor,-0.13251399349616597,0.04533243359497662,-0.13251399349616633,0.04533243359497608,-0.16246292697952275,0.07535121574261544,-0.3433200243796765,0.09264009483549175,-0.49418763650584313,0.18217498243752378,-0.8017265243015568,0.20639602609447413,-0.3444541831931553,0.24306291800537397
4,ADGem,0.03452112881348172,-0.07272446492187486,0.034521128813481496,-0.07272446492187548,0.06360841351696303,-0.07564427932245615,0.16248080295855252,-0.08094737592075626,0.2609047697360922,-0.10983333787235723,0.3809897301840393,-0.16759272872133024,0.15617099567043505,0.12891706139600959
5,YAur,0.0015442183987699981,-0.07890559026693629,0.0015442183987698444,-0.07890559026693662,0.03591845562042742,-0.06715068051412768,0.002191442401317648,-0.17389970534921223,-0.0015482209662902283,-0.2672299435269737,-0.03002212169389142,-0.4216775796239098,0.0016046653598505427,0.01909616963574007
6,STTau,-0.07434936337908439,-0.08988712763361363,-0.07434936337908464,-0.08988712763361413,-0.10215352494817928,-0.12291568013022429,-0.2350345547022674,-0.27305357658838086,-0.37158434955733066,-0.4305436911060686,-0.5726372552774751,-0.6605022812337231,-0.23835140187390358,0.18341767024531555
7,BFOph,-0.012134570599327628,0.09058318607287998,-0.012134570599327803,0.09058318607287942,-0.0018732104362933868,0.13120563498027124,-0.010287117426668975,0.2214830121700953,-0.010610908381605158,0.3418417442202426,-0.0741439257502078,0.44706897952664343,-0.02019738386557179,0.024379419332039194
8,SYCas,-0.09154469077621362,-0.04879888563212392,-0.09154469077621392,-0.04879888563212424,-0.07972244934985788,-0.02190118627289966,-0.14200039862974967,-0.03411443708251119,-0.17529461058888382,-0.006813462782924647,-0.21310219646749823,0.0386581531589261,-0.13220150609806955,0.049257757956093946
9,XSct,0.03646701361070587,-0.1728590124205712,0.036467013610705534,-0.17285901242057175,0.048621277594971,-0.21661354865099203,-0.07563185395241405,-0.5200115412757047,-0.11128926550456704,-0.7762603076810719,-0.10539339043974903,-1.082392760258583,-0.028459867513391284,0.06997282227439688
10,YLac,-0.07251600358958123,-0.12742160648961115,-0.07251600358958152,-0.1274216064896117,-0.07642797001088159,-0.14381589309494253,-0.10240137731461203,-0.2087360362560915,-0.13047902188120344,-0.28539878979624617,-0.22854598760809747,-0.4536412704868506,-0.11381439399899289,0.055347634914556805
11,TVul,-0.06162988673068608,-0.03905251538657477,-0.06162988673068646,-0.03905251538657525,-0.05698360702253294,-0.02424493682912851,-0.08656092758987873,-0.01927638565216816,-0.08965248157163964,0.018982077102745045,-0.17307943053189465,-0.008702454585945693,-0.08825603669621974,0.03999104103138673
12,XYCas,-0.09630703783216041,0.021200161761964306,-0.09630703783216076,0.021200161761963824,-0.05478650737698204,0.10002127937571281,-0.027484347706281234,0.2496881261881147,0.022125749671799068,0.4482712808422884,0.1000718650454253,0.7330066588376528,-0.02544788600506,0.06943270049823792
13,TVel,0.022321440135973876,0.02041035609821141,0.022321440135973744,0.02041035609821091,0.026601652675381473,0.024815976811635165,0.02536580331380205,0.02428774572295724,0.012569169165597116,0.012179546207081577,-0.06262250215836739,-0.06246121301458598,0.0077595005447268104,0.03179588018431077
14,VZCyg,0.003987294245892625,-0.0499253269845274,0.0039872942458923704,-0.04992532698452778,0.01061045319599935,-0.05518014956999387,0.06160153586542306,-0.04103627260879951,0.14056974690670213,-0.008165445990448248,0.15950894304862137,-0.056108402250156446,0.06337754458475515,0.06460367079503174
15,CFCas,0.05142130213547089,0.04495989561021505,0.051421302135470685,0.04495989561021455,0.06131908488843422,0.05354349243695699,0.11558101084523456,0.1037923965254466,0.13263855435897404,0.11579008407006644,0.15859535545634268,0.13431593657190646,0.09516276830332117,0.04245990052199964
