,0.2,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.200000
0,EVSct,-0.06633420212103153,-0.07179372943329028,-0.06633420212103164,-0.07179372943329052,-0.12994143464739155,-0.13358861612161874,-0.1750240655992373,-0.17129123785692513,-0.18349578840997047,-0.1716162854674698,-0.23258715086311166,-0.21135927466209586,-0.14228614062696235,0.061392270065672036
1,SZTau,-0.08842079228521905,-0.023325262166354024,-0.08842079228521924,-0.02332526216635433,-0.11339806422343635,-0.02325638298260795,-0.2171685628048595,-0.04308948030524813,-0.32170379714523584,-0.046471085752714636,-0.5085787873815342,-0.0953578151250981,-0.22294846602091736,0.15251632902889256
2,SSSct,0.06915257476597424,0.020332328694569128,0.06915257476597406,0.020332328694568715,0.08347128067878398,0.023172946210887897,0.17734645261780546,0.08102048074192052,0.2776995050383895,0.13656153560297776,0.4357081080171246,0.23014480583637875,0.18542174931400865,0.13457005358191054
3,QZNor,-0.04805090164948075,0.09633687942296094,-0.0480509016494811,0.09633687942296038,-0.050385659874406324,0.13823514213307259,-0.1403295046152897,0.19275029462848892,-0.1807044472495961,0.32862547629913724,-0.3353124858811299,0.4195546756734828,-0.13380565015323065,0.10369322643516037
4,ADGem,0.11898422066016694,-0.021720019093890534,0.1189842206601667,-0.021720019093891194,0.1756856806220794,-0.012760352931998993,0.3654713227229393,0.01916282387224092,0.5743879589923392,0.03661715598925621,0.8474037686044662,0.04556592085767839,0.36681952871035967,0.2687701962214212
5,YAur,0.08600731024545522,-0.027901144438951964,0.08600731024545508,-0.027901144438952332,0.14799572272554382,-0.004266754123670515,0.20518196216570447,-0.07378950555621507,0.3119349682899568,-0.12077944966536028,0.4363919167265355,-0.20851893004490116,0.21225319839977516,0.12664234048114303
6,STTau,0.010113728467600827,-0.03888268180562931,0.010113728467600587,-0.038882681805629836,0.009923742156937126,-0.06003175373976712,-0.03204403493788059,-0.17294337679538374,-0.058101160301083636,-0.28409319724445514,-0.10622321685704823,-0.4473436316547145,-0.02770286883397899,0.04355896160861743
7,BFOph,0.07232852124735759,0.1415876319008643,0.07232852124735742,0.1415876319008637,0.11020405666882302,0.1940895613707284,0.19270340233771785,0.32159321196309243,0.30287228087464185,0.488292238081856,0.39227011267021905,0.660227629105652,0.1904511491743528,0.12091318086129763
8,SYCas,-0.0070815989295283975,0.0022055601958604087,-0.007081598929528695,0.0022055601958600435,0.03235481775525852,0.0409827401175575,0.06099012113463712,0.06599576271048598,0.13818857866736317,0.13963703107868883,0.2533118419529286,0.2518168027379347,0.07844702694185506,0.09238171132713968
9,XSct,0.1209301054573911,-0.12185456659258685,0.12093010545739073,-0.12185456659258743,0.1606985447000874,-0.15372962226053485,0.12735866581197278,-0.4199013414827074,0.20219392375168005,-0.6298098138194583,0.3610206479806779,-0.8692341106795742,0.18218866552653332,0.08500437717205869
10,YLac,0.011947088257103987,-0.07641716066162683,0.011947088257103703,-0.07641716066162743,0.03564929709423482,-0.08093196670448535,0.10058914244977478,-0.10862583646309434,0.18300416737504355,-0.13894829593463276,0.2378680508123294,-0.24048262090784192,0.0968341390409317,0.08706812061908678
11,TVul,0.02283320511599913,0.011951930441409558,0.02283320511599876,0.011951930441409034,0.055093660082583464,0.03863898956132865,0.11642959217450809,0.08083381414082899,0.22383070768460736,0.1654325709643585,0.2933346078885322,0.20445619499306297,0.12239249634370482,0.10319860363009146
