,-0.84,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.840000
0,EVSct,-0.3246918948285392,-0.22780732843653642,-0.32469189482853933,-0.2278073284365364,-0.41761315466161497,-0.24010348788614572,-0.4663149628674878,-0.208648109373509,-0.4952456823554219,-0.19899025331206818,-0.44402636758911385,-0.17089520922100823,-0.41209732618845285,0.06605869633801009
1,SZTau,-0.34677848499272673,-0.17933886116960018,-0.3467784849927269,-0.1793388611696002,-0.41825345236878864,-0.1735694252896325,-0.49146023807549216,-0.150014512817861,-0.5399655974436888,-0.14434759082433055,-0.4853821358174443,-0.11893737791217561,-0.43810306561514456,0.0736349542455091
2,SSSct,-0.18920511794153344,-0.13568127030867702,-0.18920511794153363,-0.13568127030867716,-0.23547392569449496,-0.12847412107193656,-0.260690888408737,-0.09460485336350853,-0.28762015424509335,-0.08815330026376433,-0.24420655346616132,-0.06061101328989135,-0.23440029294959228,0.03583776445435884
3,QZNor,-0.3064085943569884,-0.05967671958028522,-0.3064085943569888,-0.05967671958028559,-0.3646580270906387,-0.04773935464024439,-0.4386352096226815,-0.034484058739479094,-0.47637915807997594,-0.02714086868147497,-0.4256986275047546,-0.01374966685011852,-0.386364701835338,0.06536959537963431
4,ADGem,-0.13937347204734077,-0.17773361809713667,-0.139373472047341,-0.17773361809713709,-0.15763696799463758,-0.17424853164088935,-0.17289607955323288,-0.15596026149104422,-0.18989437715632082,-0.15411921246312782,-0.17806455496950147,-0.13659500368577096,-0.16287315396139576,0.01911923964910968
5,YAur,-0.17235038246205248,-0.1839147434421981,-0.17235038246205261,-0.18391474344219821,-0.18812296551989796,-0.17562547045737445,-0.24637315900382503,-0.17100913484188623,-0.2732067544296159,-0.16945829252736605,-0.2547832178177469,-0.1499783500540327,-0.2178644769491985,0.041364495952848336
6,STTau,-0.24824396423990683,-0.19489628080887544,-0.2482439642399071,-0.1948962808088758,-0.3011871569922832,-0.20295720877907922,-0.3744909299156462,-0.20311876078523827,-0.4145778240516358,-0.203744401012212,-0.3881501247500295,-0.18750513040090855,-0.3291489940315681,0.06671859010820637
7,BFOph,-0.1860291714601501,-0.014425967102381858,-0.18602917146015027,-0.014425967102382285,-0.21810829415554497,-0.003870708277147728,-0.2542176439303823,0.007259222378406125,-0.28021628168370594,0.010611194636322908,-0.25027520728751873,0.016591838099001197,-0.2291459616629087,0.03540987893745989
8,SYCas,-0.26543929163703606,-0.15380803880738578,-0.2654392916370364,-0.15380803880738592,-0.296332630428686,-0.14341277755218995,-0.3516415928153711,-0.13455098482566027,-0.37968610207776593,-0.13054122903080095,-0.34048631919089933,-0.11413241632910023,-0.3165042046311325,0.04363460613648798
9,XSct,-0.1374275872501166,-0.277868165595833,-0.13742758725011697,-0.27786816559583327,-0.16566419220236575,-0.27784783723133916,-0.25050946063790613,-0.2716734468732177,-0.27287997684565685,-0.26605877294291225,-0.24166147348552255,-0.2268642203648298,-0.20092837961194746,0.05568178195711302
