,0.98,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.980000
0,EVSct,0.12743406740959923,0.045216469819144345,0.12743406740959914,0.04521646981914394,0.13031663537004884,0.028674107595993262,0.17350982547655544,0.026722057367577923,0.21178419332852794,0.030612544228657473,0.1896872364464221,0.021124970468973096,0.16002767090679212,0.03353512472906658
1,SZTau,0.10534747724541171,0.0936849370860806,0.10534747724541153,0.09368493708608014,0.12967633766287512,0.09520817019250649,0.1483645502685511,0.08535565392322599,0.16706427824026113,0.08525520671639503,0.14833146821809123,0.07308280177780573,0.1340219314801003,0.02296955619845633
2,SSSct,0.262920844296605,0.13734252794700375,0.26292084429660484,0.1373425279470032,0.3124558643371689,0.1403034744102024,0.37913389993530644,0.1407653133775784,0.4194097214388565,0.1414494972769616,0.3895070505693747,0.1314091664000903,0.33772470414565275,0.06177691600857343
3,QZNor,0.14571736788115,0.2133470786753956,0.1457173678811497,0.2133470786753948,0.1832717629410251,0.22103824084189463,0.20118957872136184,0.20088610800160783,0.23065071760397388,0.2024619288592508,0.20801497653078121,0.1782705128398628,0.18576029525990698,0.031521285147377745
4,ADGem,0.3127524901907977,0.09529018015854408,0.3127524901907975,0.09529018015854322,0.3902928220370262,0.09452906384124968,0.46692870879081044,0.07940990525004271,0.517135498527629,0.07548358507759793,0.4556490490660344,0.055425176004210666,0.4092518431338492,0.07756921572511186
5,YAur,0.27977557977608597,0.08910905481348265,0.27977557977608586,0.08910905481348211,0.3598068245117658,0.0931521250247645,0.3934516293402184,0.06436103189920069,0.43382312125433403,0.06014450501335971,0.3789303862177888,0.04204182963594864,0.3542605201460465,0.057156987037069014
6,STTau,0.2038819979982316,0.07812751744680531,0.20388199799823137,0.07812751744680459,0.24674263303938063,0.06582038670305976,0.26533385842839713,0.03225140595584864,0.29245205163231414,0.025858396528513766,0.24556347928550645,0.004515049289072792,0.24297600306367687,0.03168942535810762
7,BFOph,0.26609679077798837,0.25859783115329893,0.2660967907779882,0.2585978311532981,0.3298214958761188,0.2649068872049912,0.385607144413661,0.24262938911949294,0.426813594000244,0.24021399217704875,0.3834383967480173,0.2086120177889824,0.3429790354323363,0.0612062479613369
8,SYCas,0.1866866706011024,0.11921575944829503,0.18668667060110208,0.11921575944829446,0.2515971596029778,0.12536481792994902,0.2881831955286722,0.10081918191542664,0.32734377360618394,0.0990615685099248,0.29322728484463634,0.0778877633608811,0.25562079246411246,0.053445860958950916
9,XSct,0.31469837498802183,-0.004844367340152229,0.31469837498802156,-0.004844367340152931,0.38226559782929803,-0.00907024174920022,0.38931532770613725,-0.036303280132130716,0.43414989883829297,-0.0364559754021867,0.3920521305500134,-0.03484404067484849,0.37119661748329746,0.04326850443218204
10,YLac,0.20571535778773475,0.04059303859080778,0.20571535778773448,0.04059303859080701,0.26230037083656954,0.03805936752181745,0.31148721752539815,0.022357720487647635,0.3495986820239857,0.019501712815606063,0.29726589152196425,0.002275803553330621,0.2720138129138978,0.05338625029240833
11,TVul,0.21660147464662988,0.12896212969384416,0.21660147464662954,0.12896212969384346,0.277318244065733,0.13309228695871658,0.32643603635382956,0.1157444798598406,0.36978062632972425,0.11529338505502053,0.3240257156400468,0.09292135804923514,0.28846059528043216,0.05740438105796635
12,XYCas,0.18192432354515556,0.18921480684238323,0.18192432354515523,0.1892148068423825,0.26340587808673943,0.20844564726773435,0.32545424056698335,0.1908451621746729,0.3710627804274249,0.19042497431061664,0.34134043574176925,0.16314100756296201,0.2775186636522046,0.07483010350953047
13,TVel,0.30055280151328984,0.18842500117863037,0.3005528015132897,0.18842500117862962,0.36192194894166385,0.18775035197366552,0.41736848260313214,0.16776197453812614,0.45551558022352134,0.16346680505767267,0.4021758137343449,0.13861482021264568,0.37301457142154026,0.058092636385960794
14,VZCyg,0.28221865562320864,0.11808931809589154,0.28221865562320836,0.11808931809589095,0.34494951818815367,0.11902905292810902,0.41716164755708063,0.11160125405204702,0.4704322436308475,0.11259341483832057,0.4162163401365405,0.09399929257367277,0.3688661767931732,0.0712714865922948
15,CFCas,0.3296526635127869,0.212974540690634,0.3296526635127867,0.2129745406906334,0.3944149360549713,0.21355246120658303,0.466505941510928,0.19913636377088953,0.5050423170930142,0.19399165620652542,0.4561353744414544,0.17035721262318734,0.4135673160209903,0.06761701580357633
16,VLac,0.16043915134885123,0.07212151467636839,0.16043915134885103,0.07212151467636788,0.205145335440783,0.07062921310715789,0.2349826995472015,0.051416189388063825,0.26213456474995445,0.048199773251739755,0.23451912581251286,0.03395381403089865,0.20961000470802568,0.038467619016957805
17,V0386Cyg,0.2701860898172499,0.2648550118715486,0.27018608981724973,0.264855011871548,0.30504074238274115,0.2595432538936738,0.3785713113338942,0.25075694165588375,0.41025301622140986,0.24679185287985034,0.3773039921117432,0.2201426683591151,0.33525687361404805,0.05575235494185616
18,CRSer,0.17648011875539701,0.010026824382642232,0.17648011875539674,0.010026824382641632,0.22766942672915094,0.014756999490495222,0.2793849492968651,0.01497441751894318,0.31417822397057504,0.01545430230544332,0.2903588268600046,0.013497771736250353,0.24409194406123158,0.054330354026554686
