,-0.22,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.220000
0,EVSct,-0.09495281020419775,-0.06834877741549189,-0.09546857966976266,-0.06993808764596433,-0.12693217862729764,-0.10226404335435377,-0.1389514187354604,-0.11464266891185854,-0.1283719891033303,-0.1048932623231744,-0.1389514187354591,-0.1146426689118575,-0.12060473251258465,0.02041130059273833
1,SZTau,-0.1105885417376144,-0.04056993723184386,-0.10783862526539771,-0.04198087311853764,-0.10093797148590763,-0.03895095163952356,-0.09707742596855659,-0.03888530355550632,-0.08916616547884382,-0.02803328741502038,-0.09707742596855548,-0.038885303555505235,-0.10044769265081262,0.0065011878906914644
2,SSSct,-0.015435517106583432,-0.02552789491087126,-0.024325542529101775,-0.032514387960137794,-0.036446157670155944,-0.04274275378677752,-0.03646884061682131,-0.04029856380919986,-0.03588672466977782,-0.04388900552320354,-0.03646884061681961,-0.04029856380919861,-0.030838603868209986,0.009257689712886165
3,QZNor,-0.08702651476056268,0.00720114216338093,-0.08795123530950133,0.003926504645480149,-0.0761905440447514,0.012174371720694736,-0.08457917987434499,-0.0026710508881255,-0.06298870257720125,0.02247046317480418,-0.08457917987434392,-0.002671050888124832,-0.08055255940678425,0.005742241579830832
4,ADGem,0.01632583398983954,-0.04787201522221674,0.009838396125378105,-0.047075375156266176,0.0073097627813222205,-0.04307925196293254,0.014108423967845953,-0.02985601404172657,0.029232447805724607,-0.024251534783946697,0.014108423967848695,-0.029856014041725252,0.015153881439659853,0.0048023701376942425
5,YAur,-0.005235851880604551,-0.042916079295970515,-0.005483151595019648,-0.03857014026226027,0.013952835100809404,-0.014910823308018944,-0.0012100831919015643,-0.02557751423142315,0.0128359378208912,-0.018407705832652735,-0.0012100831918998487,-0.0255775142314224,0.0022749338437124986,0.0081412301493739
6,STTau,-0.0512898424794263,-0.04520126566671205,-0.042907845754023295,-0.03446525305194511,-0.03463775314854975,-0.024501561547189646,-0.04179034013792049,-0.030805925363461797,-0.03323388668266098,-0.0256930793464581,-0.04179034013791963,-0.03080592536346025,-0.04094166805675007,0.006152441712250786
7,BFOph,-0.014202658649036807,0.022990336124269345,-0.02021835014918529,0.020746320820980674,-0.014221198963408586,0.028373103355656158,-0.008442708757754415,0.03177177455823365,0.011413527908163796,0.04935257278558021,-0.008442708757752687,0.03177177455823524,-0.009019016228162332,0.006702426137851259
8,SYCas,-0.05847723115527254,-0.0438872410500745,-0.06338193318099572,-0.04559028419551335,-0.055626117686398684,-0.035893199544374026,-0.07843867677604652,-0.05883701990234748,-0.07491774514137109,-0.05863482487512691,-0.07843867677604409,-0.058837019902345813,-0.06821339678602144,0.00976129996161207
9,XSct,0.014589586594717067,-0.07293501114496741,0.016423528487876687,-0.06743611748058527,0.0240517529793082,-0.05470792432500458,-0.04222037551935074,-0.11159471860859636,-0.04550240447021605,-0.12419252870853621,-0.04222037551935007,-0.11159471860859475,-0.012479714574502485,0.030770113586012428
10,YLac,-0.04803290349535103,-0.06872578046150166,-0.04793039114620634,-0.0658052510996558,-0.043459403994744294,-0.058614889468485504,-0.03472487196279262,-0.04660857398720184,-0.014262011019037416,-0.03130685303651706,-0.03472487196279158,-0.04660857398720004,-0.037189075596820546,0.008341968907161405
