,0.26,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.260000
0,EVSct,-0.028985585890940333,-0.03188802286693427,-0.029729754696200653,-0.03347094580322872,-0.06203772784736904,-0.06618002278190387,-0.07590598123179917,-0.07959783306394302,-0.06777193372359164,-0.07127432378517794,-0.0759059812317977,-0.07959783306394219,-0.05672282743694976,0.01993446863980771
1,SZTau,-0.04462131742435696,-0.0041091826832862334,-0.042099800291835694,-0.005513731275802034,-0.036043520705979055,-0.002866931067073676,-0.034031988464895344,-0.003840467707590813,-0.028566110099105157,0.005585651122976063,-0.03403198846489411,-0.0038404677075899755,-0.03656578757517771,0.005363840914952905
2,SSSct,0.05053170720667399,0.010932859637686363,0.041413282444460235,0.003952753882597813,0.02844829310977264,-0.006658733214327631,0.02657659688683993,-0.005253727961284359,0.024713330709960832,-0.010270066985207094,0.026576596886841802,-0.005253727961283333,0.0330433012074249,0.00957461894584433
3,QZNor,-0.02105929044730526,0.043661896711938555,-0.02221241033593932,0.04039364648821576,-0.011296093264822803,0.04825839229314463,-0.02153374237068373,0.03237378495979,-0.002388647197462598,0.05608940171280065,-0.021533742370682472,0.03237378495979042,-0.016670654331149365,0.00741768238242825
4,ADGem,0.08229305830309697,-0.011411260673659123,0.07557722109894012,-0.010608233313530575,0.07220421356125081,-0.006995231390482661,0.0771538614715072,0.005188821806188943,0.08983250318546321,0.009367403754049774,0.07715386147151014,0.005188821806190007,0.07903578651529473,0.005670012608186938
5,YAur,0.060731372432652864,-0.006455324747412887,0.06025567337854236,-0.002102998419524669,0.07884728588073797,0.02117319726443094,0.06183535431175968,0.009467321616492351,0.07343599320062985,0.015211232705343728,0.06183535431176152,0.009467321616492866,0.06615683891934739,0.007253084756341372
6,STTau,0.01467738183383112,-0.00874051111815443,0.02283097921953871,0.002001888790790498,0.030256697631378834,0.011582459025260236,0.02125509736574074,0.004238910484453714,0.02736616869707765,0.007925859191538372,0.02125509736574178,0.004238910484455008,0.022940237018884802,0.004951187929700768
7,BFOph,0.05176456566422061,0.05945109067282697,0.045520474824376725,0.05721346266371628,0.05067325181652,0.06445712392810606,0.05460272874590683,0.06681661040614915,0.07201358328790244,0.08297151132357664,0.054602728745908685,0.06681661040615042,0.054862888847472556,0.008253434145088012
8,SYCas,0.007489993157984874,-0.007426486501516873,0.0023568917925662755,-0.009123142352777749,0.009268333093529897,0.0001908210280758499,-0.01539323927238529,-0.023792184054431977,-0.014317689761632434,-0.02501588633713044,-0.015393239272382672,-0.02379218405443047,-0.0043314917103865576,0.010907840321242533
9,XSct,0.0805568109079745,-0.03647425659640978,0.08216235346143869,-0.03096897563784966,0.08894620375923679,-0.018623903752554682,0.0208250619843105,-0.07654988276068087,0.015097650909522602,-0.0905735901705397,0.020825061984311305,-0.07654988276067941,0.05140219050113239,0.032643717158547705
10,YLac,0.01793432081790638,-0.03226502591294403,0.017808433827355665,-0.029338109256920195,0.02143504678518428,-0.02253086889603562,0.028320565540868623,-0.01156373813928634,0.046338044360701235,0.002312085501479401,0.028320565540869792,-0.011563738139284761,0.026692829478814326,0.009785378173915333
11,TVul,0.024028812272542194,0.0023894270570735377,0.019550465856951926,0.0009730562953102858,0.02372490634050498,0.0075246298552225635,0.02050189780317986,0.0056922728049330264,0.04200239683420946,0.024669784610961577,0.02050189780318065,0.005692272804933537,0.025051729485094845,0.007765283650484936
12,XYCas,0.006646721471625815,0.009733927556341544,-0.00825813852062471,-0.0005365646600679199,-0.0015928564153421109,0.00871165207824248,-0.017312158777842673,-0.008277229313008063,-0.016614656403006467,-0.00936225165255232,-0.017312158777841376,-0.008277229313007983,-0.009073874570505253,0.009095513929660707
13,TVel,0.07127035770553732,0.038753344329912925,0.06970344140301879,0.041306575586901144,0.07482960628669051,0.04972764039144611,0.08761948981487985,0.06470882787395317,0.10541561535481193,0.07891693507292676,0.08761948981488012,0.06470882787395311,0.08274300006330308,0.012422299857776988
14,VZCyg,0.06315055128105646,-8.130883989805651e-05,0.05534369520147646,-0.003107210125591392,0.047093356243465896,-0.0068120839674612734,0.05050749579153344,0.0015456919820512121,0.07726468934898773,0.02269072541240174,0.05050749579153501,0.0015456919820530162,0.057311213943009164,0.01027209771387456
15,CFCas,0.08904114899727186,0.04673351445115355,0.08337827023463562,0.04632105825128325,0.08140092651034644,0.04856714511789022,0.09800409723556003,0.06804469646460386,0.10283209018940212,0.06825093287817871,0.09800409723556075,0.06804469646460408,0.09211010506712947,0.00800821649502368
16,VLac,-0.009399271049948478,-0.020390515356107385,-0.009447431077133283,-0.019357173780912177,-0.007222048629299886,-0.01619736427413057,-0.021747603000543642,-0.029916496690482137,-0.030565903229811557,-0.039816139037468896,-0.021747603000543,-0.029916496690481575,-0.016688309997879975,0.008553274284469444
17,V0386Cyg,0.05302982794446781,0.06674038918055564,0.047848124885842634,0.06432327894683473,0.03131824806912611,0.04899811835986968,0.05664798001641641,0.07245299268329335,0.05687255809763524,0.07228851519404693,0.05664798001641711,0.07245299268329354,0.05039411983831756,0.009105947029347637
18,CRSer,0.001599763818170838,-0.04968638045206031,-0.005742684010357907,-0.05610701966923123,-0.012538799817151012,-0.06091962798113881,-0.026531265182593494,-0.07027802998088499,-0.0390935591641407,-0.08614342537452291,-0.026531265182592963,-0.0702780299808843,-0.018139634923110874,0.013872055041264375
19,V1162Aql,0.06798706849252985,0.04726801402741156,0.05518323940926493,0.03982216171866163,0.054831063042399375,0.04314403028782054,0.055435671804901054,0.044567658741754876,0.06887115983763133,0.05456243720439118,0.05543567180490283,0.04456765874175525,0.05962397906527156,0.006234683433747647
20,CVMon,0.07482856882283054,0.03717005707569275,0.0855572529325586,0.05258913312632967,0.08238153016055068,0.05318248993920778,0.08327272583395277,0.056628628651185356,0.10306000931821895,0.07229488078275852,0.08327272583395348,0.056628628651185606,0.08539546881701084,0.008581156123303152
21,SWCas,0.0421309676926592,0.0028735934043378182,0.037113018963424685,0.0007068848157077782,0.028053965047659824,-0.005597546010776009,0.025333765207436455,-0.005223784100008758,0.01994026541270839,-0.014052149912848404,0.02533376520743922,-0.0052237841000079815,0.02965095792188796,0.007588996859288451
22,XLac,-0.06308352783307261,-0.046494659889824284,-0.05773046152362308,-0.04482810304048251,-0.05663196950300546,-0.04632358172787014,-0.04338599341119655,-0.033860813827628976,-0.04006578012142823,-0.0280406910485441,-0.04338599341119474,-0.03386081382762682,-0.05071395430058678,0.008737298036436896
23,VCen,0.03639549269358642,0.010999112208149996,0.038618079943416726,0.017185075139780653,0.044510994330646154,0.02608090957663494,0.04791945687086652,0.031043357449880425,0.06553916922534785,0.045545819993995255,0.04791945687086825,0.031043357449882222,0.046817108322455316,0.009434848607824188
24,FMCas,0.039014268728701146,0.03878656314777069,0.034257405252419625,0.037323936085586706,0.02916808204123425,0.03413922679594894,0.034823549509005534,0.03912029914001593,0.03371575041301817,0.03660782408944025,0.034823549509007255,0.03912029914001651,0.034300434242231,0.002870896506891346
25,CSVel,0.061552557677014494,0.021029434975615286,0.06477800305553956,0.028915357536406967,0.07018706600298057,0.03815738483400907,0.06199114156454808,0.03279243569158424,0.08539786986563173,0.05192802722752401,0.06199114156454925,0.032792435691585534,0.06764962995504396,0.008474433262912646
26,MWCyg,-0.004275262377430421,0.05942519657869477,-0.00945886014341535,0.05378254308080852,-0.021826402473640167,0.03934657867260278,-0.01302966748283561,0.04224265161679465,-0.020902034001777932,0.03818316360007854,-0.013029667482833485,0.042242651616795794,-0.013753648993655493,0.006131912147986644
27,FMAql,0.03295707200208136,-0.020150131473598835,0.023459051685493944,-0.028354757971531138,-0.007706180650750767,-0.057270802494683734,0.01887684966598747,-0.025960738674771482,0.022052431287538803,-0.026348702379700287,0.01887684966598857,-0.025960738674771534,0.018086012276056565,0.012464874067911054
28,CRCep,0.06523031410406048,0.07493527865984567,0.06427593535525197,0.07869740689370779,0.049587000978656426,0.06645133049439121,0.055617560275799324,0.07057187490633782,0.028103070390272312,0.04161612516188876,0.05561756027580082,0.07057187490633916,0.05307190689664023,0.012395598597320853
29,RSCas,0.017072875444689776,0.028572788902892467,0.015026460493658867,0.029285354356005922,0.025585444860451105,0.041108423572307734,0.006162748726368983,0.020020195755682535,-0.002356833243515592,0.010988338447975447,0.0061627487263697005,0.02002019575568407,0.011275574168003807,0.009042259575479565
30,RRLac,-0.021142941957953115,0.015074641695549255,-0.021995434360000204,0.017077854370582353,-0.014590550478471395,0.0251025857979259,-0.03786945215371391,-0.0021895360821188948,-0.03673361307773049,-0.00020258088890314573,-0.03786945215371321,-0.002189536082117413,-0.028366907363597052,0.009426627471574927
31,XXSgr,0.04228518165595623,0.007692161482983086,0.04543819027486169,0.015415009369190926,0.03802871270878923,0.01161833740762067,0.02345496209330933,-0.0006636331499711369,0.022956042175102234,-0.005058497567194208,0.023454962093311018,-0.0006636331499706432,0.03260300850022162,0.009560004356419396
32,BBSgr,0.043386921234813976,0.016050675306902185,0.03843588780077918,0.01299189058346497,0.03576583773567108,0.012186294845597363,0.05085814647607644,0.029452713894430854,0.0690249854769782,0.04526709963731513,0.0508581464760782,0.029452713894431718,0.04805498753339952,0.010960515036975673
33,VCar,0.04025058707335891,0.05438880718420908,0.03473876258959983,0.05258096099338248,0.03692940749227504,0.056505492895695834,0.04776260216537612,0.06522513996524669,0.06412077365897997,0.08082168307120166,0.04776260216537659,0.06522513996524651,0.045260789190827745,0.009776197629276246
34,V0495Cyg,-0.05457863385054584,-0.0772664657089957,-0.05365302198845881,-0.08204041537254933,-0.04659999446794205,-0.07762903262624214,-0.06457480529796521,-0.092263796422161,-0.07077000784767694,-0.09734000114203666,-0.06457480529796449,-0.09226379642215858,-0.05912521145842556,0.008190387813135956
35,USgr,0.04469974591177992,0.015586894285735458,0.03810753319502823,0.012019622247367707,0.03060822821158682,0.007087748904549742,0.03446179301184581,0.013043441760380931,0.04814141520194794,0.023791142052001932,0.03446179301184744,0.013043441760382326,0.03841341809067269,0.006142706805860488
36,TWCMa,0.06278986642489578,0.046778910417340454,0.05987265603586118,0.051014746179945905,0.05382315078894248,0.049540292379397985,0.05552250551475765,0.05123621377095519,0.05501697769196087,0.04679907615917218,0.05552250551475841,0.051236213770955795,0.05709127699519606,0.003165318448203158
37,xSgr,-0.027682883635762975,-0.04164525980011348,-0.019847799068198564,-0.03143925730326483,-0.013041604974438285,-0.022871525638478673,-0.023636904426560322,-0.03265302099984009,-0.003607936988301627,-0.014418939964614888,-0.023636904426560267,-0.03265302099984027,-0.01857567225330367,0.008066915433127472
38,V0600Aql,0.016019466550627748,-0.005712581035858902,0.005062830670774891,-0.013959446681583398,-0.03770574107934573,-0.05455120488827981,-0.027966689552233675,-0.04333838179048764,-0.03497873724360003,-0.05272988228365264,-0.027966689552232273,-0.04333838179048648,-0.017922593367668178,0.02067383960206854
39,V0459Cyg,0.039120402036230434,0.030642599437774667,0.03324617404281954,0.02810260916419418,0.0046108198473864236,0.001628549505262162,0.02033159228524445,0.017443253746953845,0.0023055668745492262,-0.002473050145141436,0.02033159228524614,0.01744325374695387,0.019991024561912703,0.013485734152162004
40,CKSct,0.11066292604476378,0.11442074291633306,0.09214577952328157,0.10362360081928439,0.07938650491302449,0.09520623879598815,0.06472429491003438,0.07855953699922218,0.036256543404797836,0.04704374843089799,0.06472429491003645,0.07855953699922304,0.0746500572843231,0.023439867656757686
41,TZMon,0.07964212568866584,-0.06486435224541327,0.1358559313190116,-0.002029122607419353,0.13213863760899672,0.0021611287782784603,0.13853530195984542,0.0207649688845202,0.14860809427555363,0.019830687292088027,0.1385353019598467,0.02076496888452064,0.12888589880198664,0.022580588309337117
42,V1344Aql,0.04802232461848136,-0.050228830946813276,0.026845768602047956,-0.07215826740490486,0.018537554934597456,-0.078117957608119,-0.004306827264361433,-0.09155261071364525,-0.009867725509860568,-0.10237725951038276,-0.004306827264359292,-0.09155261071364258,0.012487378019424246,0.020693564888062635
43,RSOri,0.022181568364115632,-0.025574080525614034,0.021847743890060427,-0.02228479683485646,0.011076922704195745,-0.029615578754546307,0.0019069590965261622,-0.035054477493196845,0.001896798430199187,-0.03930840308110892,0.0019069590965279377,-0.03505447749319528,0.010136158596937514,0.009004301457592127
44,BKAur,0.053851060725878135,0.029801231967652834,0.04668505578777003,0.031022123846069997,0.044322038385161994,0.03417276255652742,0.02611058417894509,0.01645414020430966,0.026066773621057672,0.011500743295236215,0.026110584178947772,0.016454140204310262,0.03719101614629345,0.011458956243954559
45,GHLup,0.07793522717419554,0.050593411418681775,0.06450638072133981,0.039674664769179704,0.06706387765734546,0.04445278454855845,0.08124422548505401,0.06067725975576499,0.08819463967516472,0.06501387629119634,0.08124422548505654,0.060677259755766565,0.076698096033026,0.00833158329407614
46,FNAql,0.057541092696660294,0.04469957619827624,0.05158487152851951,0.045228679520755856,0.02839049015339933,0.0261348487606937,0.04052931746285754,0.03811287000334039,0.03741633424343023,0.03153043570900558,0.040529317462859225,0.038112870003342625,0.042665237257954354,0.009498198469981607
