,-0.74,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.740000
0,EVSct,-0.10498728037954509,-0.09429173280127931,-0.12072668549581612,-0.1025785374774148,-0.1667906940254827,-0.12274182011422977,-0.19323005137131033,-0.13224641984248314,-0.2126576411721581,-0.13805249059430016,-0.1932300513713096,-0.1322464198424816,-0.165270400635937,0.039643291030654226
1,SZTau,-0.061556921396102464,-0.02875958696858886,-0.08109524578307463,-0.03631368160704956,-0.12298305508947262,-0.04889704535472851,-0.1513560586044065,-0.056489054486130924,-0.17649710752887515,-0.062319142040711775,-0.1513560586044062,-0.05648905448612958,-0.12414074116772293,0.04081161091338736
2,SSSct,-0.03288932177699541,-0.028710296441729465,-0.04656852705955803,-0.037158133454080644,-0.07512389455648613,-0.051340103181511644,-0.09074747325267124,-0.05790231473982451,-0.10670638407175108,-0.06413053115767878,-0.09074747325267016,-0.057902314739823,-0.07379717899502201,0.026058438083782942
3,QZNor,-0.048573947086132024,-0.003407821140123093,-0.06870301770027562,-0.0083242223974139,-0.10748900549072703,-0.014180477611880838,-0.13885781251019486,-0.02027480181875014,-0.16118839954383876,-0.02229282418159634,-0.1388578125101944,-0.020274801818749095,-0.11061166580689379,0.040349431925611794
4,ADGem,-0.02609591780363077,-0.031982892557016314,-0.030237036367954002,-0.03674856620758767,-0.03827556776288764,-0.0445484181824536,-0.04017020866800395,-0.04745976497235118,-0.04574145116720643,-0.051716301211678056,-0.040170208668001695,-0.04745976497234959,-0.03678173173961408,0.006614269007939516
5,YAur,-0.02560126028169148,-0.02418798617255227,-0.03158471258157591,-0.02904186719720833,-0.04046066370590397,-0.03537796281993841,-0.055488715827751486,-0.04318126516204779,-0.06534124646978459,-0.04808076716660408,-0.05548871582775032,-0.04318126516204535,-0.04566088578240962,0.014189542043580942
6,STTau,-0.048738185971083356,-0.031721351900738326,-0.055986340157155826,-0.0346052701904804,-0.07767245794869225,-0.04218642111115157,-0.0960689727737704,-0.04840967629408643,-0.11113889812575616,-0.052785654733542735,-0.0960689727737701,-0.04840967629408447,-0.08094563795837136,0.022509493141900837
7,BFOph,-0.014430801405344971,0.018366529513885316,-0.026984524599884926,0.016011829326217003,-0.048863321863165055,0.014779253159946621,-0.06272134139360432,0.014168023627609046,-0.07606388728977459,0.013561252226151298,-0.0627213413936032,0.014168023627612188,-0.04863086965756284,0.02155580432558666
8,SYCas,-0.07646490270415689,-0.05877754282692725,-0.08836740916975322,-0.06337673914491898,-0.1097249619448298,-0.06911927811207211,-0.13271730941189647,-0.07644077083297209,-0.1479831488875001,-0.0799019461782169,-0.13271730941189455,-0.07644077083296887,-0.11466250692167183,0.025616028351652862
9,XSct,-0.04905111301365935,-0.08097050665850707,-0.05340373187678596,-0.09053893480574687,-0.06587265053238703,-0.10891062522441797,-0.09649900815520067,-0.12919846953922096,-0.10755486790427725,-0.13898630327956824,-0.09649900815520054,-0.12919846953921763,-0.07814672993958514,0.022905147575334753
10,YLac,-0.05075686592257571,-0.04392350439213488,-0.059301934435885814,-0.049554098245122066,-0.07838294502064785,-0.059425000610525594,-0.08900350459864254,-0.06421232491782651,-0.10063447760473505,-0.0691341193467258,-0.08900350459864213,-0.06421232491782415,-0.07784720536352151,0.017541790022816882
11,TVul,-0.04753148858006713,-0.030423272743440956,-0.059141192525397845,-0.035411998457122555,-0.08097995360147398,-0.04230851109898538,-0.09682217233633134,-0.04695631397360713,-0.10925381166532212,-0.04989854837879967,-0.09682217233633124,-0.04695631397360602,-0.08175846517415393,0.021960030565834048
12,XYCas,-0.08004329058843195,-0.05230649425446463,-0.09512875293027108,-0.056441445185756035,-0.11532698383392131,-0.057505510788537606,-0.13463622891735383,-0.06092581609154822,-0.14948686433693023,-0.062315533220517916,-0.1346362289173533,-0.060925816091547465,-0.11820972492071029,0.024206189604459125
13,TVel,0.004754000279020188,0.022365103756621568,-0.003933866069893097,0.018854596886802463,-0.021561271166401812,0.013606496721905054,-0.029704580324631313,0.012060241095413001,-0.0410243335037578,0.009092280164407081,-0.02970458032463165,0.01206024109541359,-0.020195771851715914,0.015829661793886805
14,VZCyg,-0.030658059139395514,-0.029806729310662864,-0.03972587170226477,-0.03620405304605377,-0.05840795526818018,-0.04683367069906087,-0.06681657434797772,-0.051102894796488926,-0.07472669315124295,-0.05487631444687015,-0.06681657434797691,-0.05110289479648657,-0.05619195465950635,0.01579727816793499
15,CFCas,0.010587141618006814,0.02495929791195204,0.002022053185228609,0.02118707751214905,-0.01476992853459165,0.01568804864729067,-0.019319972903951134,0.015396109686063685,-0.030828965735531007,0.011965768632172392,-0.0193199729039511,0.015396109686064554,-0.01193827421246491,0.014000836540185121
16,VLac,-0.07481631531450844,-0.05835591672029416,-0.08752795895409807,-0.06421036460094352,-0.11577399516070301,-0.07455810428330023,-0.1390716731400548,-0.08256508346902226,-0.15848395503099783,-0.08832135871263523,-0.13907167314005484,-0.08256508346902114,-0.1191242617900695,0.029770591337264566
17,V0386Cyg,-0.005542717214206745,0.027572093464116598,-0.019350683023201826,0.024387017369182674,-0.05186165946761499,0.017905905053370294,-0.06067609012309476,0.019804405904753235,-0.0781040264649892,0.017503743150197076,-0.060676090123094814,0.019804405904755316,-0.04603521106936706,0.02530735465039257
18,CRSer,-0.08096698735505174,-0.08495313821198862,-0.09481121791413731,-0.09522624573902552,-0.1230428700701194,-0.11231729231282876,-0.14385533532210465,-0.12292661675942512,-0.1621287674595916,-0.131525357294669,-0.14385533532210484,-0.12292661675942373,-0.12477675224051825,0.028703637399854858
19,V1162Aql,-0.019915756349488067,0.0006626919534111227,-0.03220987184032978,-0.0034808569101030637,-0.0507017847740058,-0.006638806031525705,-0.06188839833461011,-0.008080928036785234,-0.0730365166900155,-0.009569140293860244,-0.061888398334609095,-0.008080928036784271,-0.04994012105384305,0.01841815452225868
20,CVMon,-0.00033520136595111374,0.014885501222466128,-0.0036108758839155336,0.014108287964370383,-0.02303803587963556,0.007165644123356854,-0.03405134430555839,0.003980041872645244,-0.04423281597073314,0.0012849229706285484,-0.03405134430555845,0.003980041872646082,-0.023219936285225368,0.01625032995556663
21,SWCas,-0.04019440392787392,-0.033321149484751754,-0.05151239414014822,-0.039966165366209845,-0.07711682320814582,-0.051976028439156274,-0.09199030493207468,-0.05787237087854889,-0.1077004490692236,-0.06370801822357237,-0.09199030493207266,-0.057872370878547574,-0.07675078003492315,0.023790218563423476
22,XLac,-0.08036919333657772,-0.05609992569275209,-0.09739064317299619,-0.06411599097896975,-0.1380185244529492,-0.07952448311393111,-0.1607100635507077,-0.08650940060616914,-0.184802305596643,-0.09374752532653342,-0.16071006355070663,-0.08650940060616634,-0.13700013227676341,0.03693774368462673
23,VCen,-0.030916410416935027,-0.011272889445276381,-0.03873123464221154,-0.013828941519872311,-0.05739219165363672,-0.018797415806211804,-0.06940461326864467,-0.021605229328659683,-0.08124591765771932,-0.024273881741345756,-0.06940461326864367,-0.021605229328657216,-0.05784916348463182,0.017821065061424963
24,FMCas,-0.029732303039734242,-0.002916633112636796,-0.04219966861602916,-0.006390008300555815,-0.06866916265821395,-0.011922923155382016,-0.08250052063050564,-0.013528287638524213,-0.09890736362206379,-0.016333654918851224,-0.08250052063050342,-0.013528287638521801,-0.06741825653284171,0.024167079120285893
25,CSVel,-0.01899836430914669,-0.006368203516648212,-0.025040018512086162,-0.009028275162063065,-0.04136887933995142,-0.014973485898974074,-0.05533292857496308,-0.019856151086955896,-0.06489597771274315,-0.022532488244571495,-0.055332928574962595,-0.01985615108695391,-0.04349484950397551,0.016750456927936794
26,MWCyg,-0.04501328384123685,0.0016366044492143786,-0.06483168668972725,-0.002397883898092796,-0.10797743443215568,-0.009178963929062159,-0.13035373762234675,-0.010405935161745492,-0.15472321119514845,-0.012767286533530089,-0.13035373762234553,-0.010405935161743807,-0.10554218190049343,0.03868036240054631
27,FMAql,-0.043061623839780155,-0.04486721362369769,-0.05710888629193295,-0.05503327560221533,-0.09208577177973444,-0.07492750629945674,-0.0984472204735237,-0.07860932545331162,-0.1139770784623446,-0.08605852510123946,-0.09844722047352218,-0.07860932545330976,-0.083854633553473,0.02510114588322569
28,CRCep,-0.011641590533057244,0.021442231587211993,-0.021619758569582755,0.020909027720037932,-0.049490530100038614,0.01728501337068849,-0.061706509863711824,0.017923288127797657,-0.08081999529457787,0.015294654894688684,-0.06170650986370985,0.01792328812780086,-0.047830815704113024,0.024058227744856733
29,RSCas,-0.050903739700576586,-0.021088745874149627,-0.06355136649020525,-0.024013653483580054,-0.08727531837331926,-0.02706712714899233,-0.11116132141314218,-0.03262839102285764,-0.12974857306573795,-0.03560127734427877,-0.11116132141314218,-0.03262839102285545,-0.09230027340935391,0.027926320428402082
30,RRLac,-0.08817681811649038,-0.04829964064416522,-0.10147563823575581,-0.0494455563768419,-0.12858231773149742,-0.050294914339953145,-0.15519352229322508,-0.054838122860659054,-0.17342481232103216,-0.05562123404665052,-0.15519352229322517,-0.054838122860657014,-0.13367443849853766,0.03065659267447255
31,XXSgr,-0.04854876022399249,-0.03658570190325433,-0.05514233377150211,-0.03932014833555946,-0.07722969484880006,-0.047657375534755436,-0.09386910804620187,-0.053312219928511276,-0.10723239997510407,-0.05715020542812646,-0.09386910804620091,-0.05331221992851008,-0.07931523415196691,0.02136294745271493
32,BBSgr,-0.016947358981237726,-0.0028685404390753717,-0.0296778090524741,-0.009470337729753657,-0.05546585001112617,-0.019901489520900383,-0.06646592366343473,-0.02319587288410928,-0.08037950346619487,-0.027653370906521032,-0.06646592366343378,-0.023195872884107814,-0.05256706147298357,0.02221475758350431
33,VCar,-0.02030708351234311,0.015462704611886582,-0.033189287926597165,0.013383543018423498,-0.057192058602845534,0.011989037586473418,-0.06956146797413501,0.012576553186706519,-0.0836781852776218,0.012054830956354918,-0.06956146797413539,0.012576553186707024,-0.05558159187794633,0.02209295608617107
34,V0495Cyg,-0.08857225616153308,-0.09016976431187985,-0.10785864919448233,-0.10432063109736028,-0.14808602265774773,-0.1281616043220518,-0.1818988754374764,-0.14491238320070127,-0.20773138895391857,-0.15680443448421186,-0.1818988754374764,-0.14491238320069794,-0.15267434464043908,0.04257934071320954
35,USgr,-0.03234567623644111,-0.01964917669256425,-0.0444869878987223,-0.025684860395256,-0.06984032870477627,-0.035607182383141936,-0.08286227712766538,-0.03960514501815918,-0.09611327198069743,-0.04351371659627663,-0.0828622771276644,-0.039605145018157276,-0.06808513651266114,0.02258157983031781
36,TWCMa,-0.029452803203727358,-0.0024453882128475267,-0.03624269000867079,-0.0021141836094219204,-0.053358558355391376,-0.0024151507997972046,-0.06180156462475351,-0.0014123730075849166,-0.07322480088880685,-0.0019819370749755024,-0.06180156462475344,-0.0014123730075836902,-0.05264699695101722,0.015267811800024882
37,xSgr,-0.08971207098045225,-0.06939583870321851,-0.09778378954853013,-0.07205718312085027,-0.12110275893651429,-0.07916838529485892,-0.1409609745660715,-0.08530160777838024,-0.15470331846320512,-0.08842813731263277,-0.14096097456607215,-0.08530160777837971,-0.12420398117680759,0.023766710625919476
38,V0600Aql,-0.07889819372103275,-0.068990825856496,-0.093623308959418,-0.07639128985814019,-0.1333340607779412,-0.09306533129060934,-0.14529075969174485,-0.09598696856902776,-0.1621902096788207,-0.10095704079005247,-0.14529075969174413,-0.09598696856902596,-0.1264378820867836,0.029926204727094712
39,V0459Cyg,-0.040512735162129256,-0.01955777138889351,-0.05307696250697171,-0.023963310108788324,-0.0871601917029477,-0.03477455952045311,-0.09699247785426672,-0.035205333031586294,-0.11540508455745926,-0.039514394068634065,-0.09699247785426578,-0.03520533303158573,-0.08168998827300673,0.026297131133290977
40,CKSct,-0.004196406928538724,0.02638162400146022,-0.017415584712690512,0.024739049246605596,-0.038194647659191026,0.025726499024184137,-0.05259977522947678,0.025910950220682037,-0.06832910263541954,0.025326780351778017,-0.05259977522947531,0.025910950220683435,-0.03888921539913199,0.022014601446118023
41,TZMon,0.004849563423372618,-0.014764836618455467,0.02612610027369187,-0.009712495804506978,0.020744251790699296,-0.025053221977640813,0.021211231820334235,-0.03188361789401991,0.0166264049296731,-0.040167550571616646,0.021211231820334908,-0.03188361789401904,0.018461464009684337,0.00667996375409867
42,V1344Aql,-0.05102304030637232,-0.08269252632578741,-0.06987371593900467,-0.10102194878539576,-0.0982839141651146,-0.12737471800942962,-0.12163089740387262,-0.14420119749218538,-0.1385559933191593,-0.15664594401102067,-0.12163089740387122,-0.14420119749218194,-0.10016640975623246,0.030907039207184427
43,RSOri,-0.06769394862352734,-0.06357409116529975,-0.07603259867714016,-0.06894811128295833,-0.10003613137443529,-0.08107019657221134,-0.11541711104298501,-0.08770306427173698,-0.1291301864808558,-0.09310090278175485,-0.115417111042984,-0.08770306427173481,-0.10062118120698793,0.022134986563010405
44,BKAur,-0.05856110857331253,-0.035915872889699586,-0.06535216432748607,-0.03586766570843759,-0.07834802451577495,-0.03479645526648315,-0.09121348596056607,-0.036194446574230474,-0.1008673163940543,-0.036217191876682854,-0.09121348596056399,-0.0361944465742294,-0.08092593095529299,0.015048253043438145
45,GHLup,0.012079894405080763,0.026704700369146385,-0.0031692116350183004,0.01900614942774199,-0.025688862784315463,0.010793664072281365,-0.03607984465445716,0.008028672977224876,-0.05093441441433933,0.0033971410172019393,-0.03607984465445543,0.00802867297722698,-0.023312047289584154,0.021420399473776674
46,FNAql,-0.036901859848275785,-0.011379060374082367,-0.045790345993056175,-0.012407898862164044,-0.07070550957964535,-0.016709168846643675,-0.07679475267665363,-0.014535716775199742,-0.08945963654258622,-0.015617255190089555,-0.0767947526766527,-0.014535716775196954,-0.0660744762194783,0.018532171724421835
47,YZSgr,-0.0441637222997794,-0.031186000481960362,-0.05461159943916237,-0.03551681628974671,-0.07635582221808228,-0.04256262349469384,-0.08993615009056861,-0.04622087960115952,-0.1021510392805511,-0.04909086837762364,-0.08993615009056886,-0.046220879601157755,-0.07619241390311877,0.020588128218681626
48,SNor,-0.012861667431061643,0.008039663310238691,-0.024901036440654212,0.003277062546069896,-0.045792352284293195,-0.0022570916372112153,-0.05962716291340043,-0.005562814299811782,-0.07383051260271768,-0.008934820638492361,-0.059627162913400436,-0.005562814299809879,-0.04610664909758793,0.021170839976992893
49,DDCas,-0.026898403001621128,-0.020290898859962072,-0.03483457291967392,-0.024377642695587263,-0.052192055508691854,-0.031529313708599044,-0.05624922256811785,-0.03225909618224301,-0.06767942223054003,-0.03619045405423364,-0.05624922256811724,-0.032259096182240946,-0.04901714979946034,0.01386452690907404
50,BZCyg,-0.019963444672965364,-0.008713286264571631,-0.03074540620255903,-0.015082929370894773,-0.05340399193786503,-0.02558274038348077,-0.07070032935541445,-0.032692498369271406,-0.089524062825643,-0.039943947002382546,-0.07070032935541341,-0.032692498369270184,-0.05583959405831005,0.02414910232916541
51,SYAur,-0.08569145261528971,-0.092468568834164,-0.08812687800174596,-0.09582195414347089,-0.10070603463469469,-0.10518996922349069,-0.11166666722778831,-0.11161052511378024,-0.11723663998146326,-0.11511115735652143,-0.11166666722778774,-0.11161052511377895,-0.10251572328146162,0.012093764671904613
52,YSct,-0.017276665186731887,0.0035992705590519552,-0.031028288929449248,-0.0019226046697860893,-0.05761381213402236,-0.009794046860986607,-0.07038798543746141,-0.012206631155918262,-0.088169494087024,-0.016765767040792516,-0.07038798543746047,-0.012206631155914893,-0.05581070520202489,0.024407570570912532
53,TWNor,-0.01843988376038818,0.014851073779959274,-0.030228147902021763,0.012856682573299392,-0.06772094989061299,0.0039813326868216115,-0.09504975647922327,-0.0022507148955823865,-0.11499172772814155,-0.004998842491404064,-0.0950497564792224,-0.002250714895581599,-0.07024670370660169,0.035412593951713665
54,ZLac,-0.03978562843134931,-0.017233415832305705,-0.05085249225575147,-0.020961487700742326,-0.07717931935254439,-0.028313904087965837,-0.08582153077795467,-0.02865050050160139,-0.10070467731203882,-0.03188197257716813,-0.08582153077795376,-0.028650500501598716,-0.0733608631512654,0.02123960295804788
55,XXCen,-0.0519419126324859,-0.0258395501343452,-0.06291659558276766,-0.02865016892312898,-0.08565335596599535,-0.03276329192430237,-0.10121183922756695,-0.035467447332538475,-0.1144112935626082,-0.037139561212276094,-0.10121183922756712,-0.03546744733253709,-0.08622447269983187,0.02222092263319495
56,TYSct,-0.08266186349949411,-0.05810411296193548,-0.09509204117739807,-0.061150335050987,-0.12384049427852153,-0.06721226095963502,-0.14943652558946724,-0.0736273732948272,-0.16792835770578077,-0.07655573270260907,-0.14943652558946682,-0.07362737329482603,-0.12806596797335476,0.030738354868662755
57,V340Nor,0.0035016742694741016,0.039336495067096355,-0.011094292331397788,0.03572355560876807,-0.03274616708238024,0.03462654058989544,-0.048224679119024935,0.03321515132927398,-0.06631402038668212,0.030519473718066695,-0.0482246791190254,0.03321515132927589,-0.03385036062817273,0.023739431570624813
58,AAGem,-0.0055136040882104225,-0.002661377680276196,-0.010099111829997343,-0.005423069422417495,-0.013553024049580673,-0.007067887644019683,-0.020746820697463846,-0.010273616785402577,-0.029883425891642033,-0.014022461083072089,-0.020746820697462972,-0.010273616785401226,-0.016757134542392884,0.00801194195540162
59,RXAur,-0.06258885498920057,-0.04946820603063332,-0.06924541366795871,-0.051329915853633945,-0.08551962442133103,-0.05536951762153028,-0.10440078184004836,-0.06132454899110198,-0.11569288221203017,-0.0635426440792767,-0.1044007818400477,-0.061324548991100784,-0.09030805649510276,0.01947869489420293
60,UUMus,-0.008546459607889993,0.01974165166670344,-0.014305373021364259,0.020627592591629742,-0.027854690672107645,0.02200253154408483,-0.03941329708206281,0.02144885511717205,-0.048827314999374434,0.02166718373715245,-0.03941329708206247,0.021448855117172927,-0.0297267387441436,0.014389916302623472
61,RYCas,-0.030045686714471623,-0.012061372208276864,-0.03885885493860687,-0.015064009981865419,-0.05513796334505184,-0.018717215513708817,-0.07811054518019764,-0.026390985123271028,-0.09316106462942698,-0.030062674655133348,-0.07811054518019679,-0.026390985123268512,-0.06223744333132528,0.022706281378318052
62,UNor,-0.047235893770661674,-0.00952036661212355,-0.05961128740932384,-0.011325177207873462,-0.09032366280734448,-0.015917944949783647,-0.11437792190934411,-0.020373853938647404,-0.13317355606703155,-0.022452476415307725,-0.11437792190934357,-0.020373853938646304,-0.09318337397884154,0.03094098217978858
63,ZSct,-0.026782061243566305,-0.016983576586067313,-0.03905856715775373,-0.023183770691883075,-0.06787844361769096,-0.0350148639725258,-0.08122310959278921,-0.03913289289597569,-0.09569903086563453,-0.043510177199511134,-0.08122310959278804,-0.03913289289597477,-0.06531072034503714,0.02452917990669833
64,BNPup,-0.010575072906881663,-0.011818412629506243,-0.014752850559001258,-0.015611719626808657,-0.023090890682177016,-0.021794428903749004,-0.02661400860026231,-0.024445360366117247,-0.03230868921201907,-0.027836146335771153,-0.02661400860026166,-0.0244453603661147,-0.02232592009343383,0.007443678046240049
65,TTAql,-0.020265184589269538,-5.347153799706149e-05,-0.033903267868015424,-0.005307455437685926,-0.06320544966419732,-0.014188344921223998,-0.07061232030222926,-0.013906718762952018,-0.08562371796324167,-0.01716287650266881,-0.07061232030222855,-0.013906718762949914,-0.057370376781530286,0.022768757791728357
66,LSPup,-0.016680654780593416,-0.007903254188417513,-0.023732292930503156,-0.011916158905124747,-0.03676753408251437,-0.01762821432256948,-0.04365077565541628,-0.02019666746468018,-0.053867801072361624,-0.024083957165422755,-0.04365077565541519,-0.020196667464678235,-0.03639163902946734,0.012647329162458839
67,TXCyg,-0.051872721151480804,-0.033248495499426024,-0.06180809849689029,-0.03719190619140011,-0.08959531088820369,-0.04680538048780356,-0.11956611718719032,-0.05752814895997348,-0.14138079800328968,-0.06387963456427984,-0.11956611718718946,-0.05752814895997055,-0.0972981938190407,0.032448296443258334
68,UZSct,-0.05499829737498171,-0.05762169682276916,-0.06828411862727769,-0.06646695063563414,-0.08566542460843092,-0.07652744646179162,-0.11434430135270057,-0.08993403281763633,-0.13326378486924573,-0.09786734289764797,-0.11434430135269925,-0.08993403281763306,-0.09515003803088933,0.02772903106212701
69,RWCas,-0.014614122821473995,-0.013087595591837663,-0.025072110920413913,-0.020289660149991895,-0.046588740956978875,-0.032232815849917655,-0.05983974296316177,-0.038578491291675204,-0.07508990042074205,-0.04527895831105667,-0.059839742963161635,-0.03857849129167323,-0.0468407268409887,0.02100973897522252
70,VWCen,0.06930653365411713,0.09394322475745473,0.062208458645073704,0.09237142211986564,0.05151191232711265,0.09231537564359905,0.04553731765498324,0.09252162969984191,0.03271437763363901,0.08955582997459718,0.04553731765498322,0.09252162969984266,0.05113598626165149,0.011937026447210583
71,SZCyg,0.03063564845439544,0.05107618756554889,0.02036282026499753,0.04746309562564361,-0.0005104694925938924,0.04209124158268222,-0.0022390493747136407,0.044336905490465,-0.017288280846454125,0.0404297170208183,-0.002239049374713477,0.04433690549046605,0.0047869366051529715,0.015941929781391622
72,SVMon,-0.006462286951411849,0.008698964842465445,-0.0126127942120549,0.00714231591374597,-0.02270504693547285,0.006161374838254505,-0.030517525537341952,0.00498563243622151,-0.0412738637585716,0.002546972823063442,-0.030517525537340755,0.004985632436223147,-0.024014840488698983,0.011706537091441798
73,XCyg,-0.015343446648843885,0.0028259646999675785,-0.03211006788466498,-0.005060695481351074,-0.057780661776223395,-0.013526260207289198,-0.06875148767909774,-0.015762868386932583,-0.08496382784905879,-0.020279552865383216,-0.06875148767909701,-0.015762868386930563,-0.05461682991949762,0.0237328190000426
74,CDCyg,-0.04674487491572937,-0.0314347058345968,-0.05515118338158451,-0.034778662058244855,-0.08131752610601903,-0.044218662079478756,-0.09247707191958034,-0.0468412071180903,-0.1050408972362554,-0.050012222403310505,-0.09247707191957888,-0.04684120711808841,-0.07886810424645792,0.02103892012649523
75,YOph,-0.13418034446441257,-0.09423525576996179,-0.1511350849631762,-0.0977839316702179,-0.1991222318011683,-0.10906934751752709,-0.22899724539214836,-0.11467074700099057,-0.250330009230904,-0.11643647564524402,-0.22899724539214766,-0.11467074700098775,-0.19879369354065954,0.04267481050845446
76,SZAql,-0.01780534939705202,-0.010778372147955115,-0.028540188646991548,-0.017146939202575158,-0.05561749174850676,-0.029968879177945374,-0.06546500273662985,-0.03362343522985552,-0.07854759409804411,-0.038493083849167796,-0.06546500273662924,-0.033623435229852866,-0.05190677156064225,0.021602693989658278
77,CPCep,0.04097130265839291,0.05149753278873966,0.029216881271837795,0.04538959997845964,0.011314453123048409,0.03849216238633348,0.0003640665952188917,0.03488737292728026,-0.01712878679282104,0.028693458484498745,0.0003640665952206173,0.034887372927281675,0.0108503305751496,0.019354469882851496
78,VYCar,-0.002826136464459722,0.008997735106082035,-0.015773136414857423,0.002308146091486169,-0.03390862363797902,-0.004457912669192376,-0.044091677509392545,-0.007599308947963073,-0.05618747597007775,-0.011439121865193712,-0.044091677509391365,-0.0075993089479613855,-0.032813121251026305,0.018218820792268366
79,VXCyg,-0.03135391393822781,-0.01924427057245843,-0.046610289259493516,-0.026686288227460338,-0.07599354259269263,-0.03787465220904795,-0.09523810744386711,-0.04413669764817706,-0.11687714928369732,-0.05097119978043116,-0.09523810744386652,-0.04413669764817544,-0.07688518499364082,0.029618343737486185
80,RYSco,-0.07377658335463078,-0.051693592362841774,-0.08014411054170531,-0.05249549033971044,-0.10697051792133584,-0.05986338118266474,-0.12650070886139836,-0.06488064925556626,-0.13856216994641118,-0.06641799618664683,-0.12650070886139603,-0.0648806492555623,-0.10874246658114624,0.024370555343769952
81,RZVel,-0.03340507420956077,-0.00889328535190051,-0.04288232866313442,-0.011330492782560597,-0.06348427074445802,-0.01529275204893393,-0.0805302883620378,-0.019224238937785184,-0.09348436754591935,-0.021244714887023668,-0.08053028836203713,-0.019224238937784775,-0.06571943631452458,0.021526578657898816
82,WZSgr,0.04474203985650628,0.05905829198770033,0.03552140082541671,0.05427031047597363,0.017982457356276526,0.04740231274879944,0.011293180931179427,0.04555142242579638,-0.002220267891314049,0.04075091938239011,0.0112931809311808,0.04555142242579883,0.019768665334874282,0.01582292380038002
83,WZCar,-0.01868046520299422,-0.012488753734074121,-0.01988379562609801,-0.013331367288478514,-0.025980249677783427,-0.016252362754862627,-0.03275910588504839,-0.019229272885179637,-0.037645017507243354,-0.021188157106261363,-0.03275910588504744,-0.019229272885177402,-0.027951289964035803,0.007013275482911507
84,VZPup,-0.08064341879068587,-0.07753151267074128,-0.08328468690616936,-0.07976147059040464,-0.0956645991966267,-0.08668016401324745,-0.10477542759813174,-0.09104440149128613,-0.11122680409924454,-0.09393280558276954,-0.10477542759812988,-0.09104440149128484,-0.09672839403149802,0.011403981338092811
85,SWVel,-0.035327878891406865,-0.025295012801074757,-0.04153236339263317,-0.0287303872408122,-0.05833954658318384,-0.03608829009389536,-0.07037115453324777,-0.04075978800826353,-0.08080256880086327,-0.04444414312242412,-0.07037115453324608,-0.04075978800826208,-0.05945744445576351,0.016322921663090805
86,XPup,-0.031469858633451434,-0.02815820641539851,-0.03277761123677945,-0.02998743903054353,-0.045136506306127325,-0.037508704378338545,-0.04560887643282376,-0.038365077821051786,-0.05242449039106576,-0.041970644909786484,-0.04560887643282266,-0.0383650778210503,-0.04217103657217839,0.0075312289898120345
