,0.18,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.180000
0,EVSct,-0.058618621952010695,-0.06734720104014633,-0.06118971801796164,-0.06991983600370213,-0.07786375012864805,-0.07994927743727133,-0.08529190684296005,-0.08380972000622623,-0.08648433393371902,-0.0846183796299958,-0.08529190684295866,-0.08380972000622536,-0.07579003961970969,0.011599325721775829
1,SZTau,-0.015188262968568072,-0.00181505520745589,-0.021558278305220134,-0.0036549801333369027,-0.03405611119263796,-0.0061045026777700835,-0.04341791407605625,-0.008052354649874024,-0.05032380029043611,-0.008885031076407314,-0.043417914076055074,-0.00805235464987313,-0.0346603801514956,0.012582561296486782
2,SSSct,0.013479336650538984,-0.0017657646805964882,0.012968440418296454,-0.004499431980367994,0.013803049340348532,-0.008547560504553199,0.017190671275679033,-0.009465614903567562,0.01946692316668802,-0.010696420193374292,0.01719067127568088,-0.009465614903566509,0.01568318202120532,0.0024022003818280546
3,QZNor,-0.0022052886585976397,0.023536710621009885,-0.009166050222421136,0.024334479076298755,-0.01856206159389237,0.028612065065077595,-0.030919667981844614,0.028161898017506792,-0.035015092305399564,0.031141286782708045,-0.030919667981843518,0.02816189801750727,-0.02113130479066647,0.012195259173120476
4,ADGem,0.020272740623903617,-0.005038360795883339,0.029299931109900482,-0.00408986473387503,0.05065137613394702,-0.0017558755054951592,0.06776793586034632,0.0009769348639057228,0.0804318560712326,0.0017178097526263313,0.06776793586034927,0.0009769348639068315,0.05269862927661321,0.021704179499641582
5,YAur,0.02076739814584291,0.0027565455885807037,0.02795225489627857,0.0036168342765043153,0.048466280190930675,0.007414579857020042,0.05244942870059881,0.005255434674209141,0.060832060768654495,0.005353343797700369,0.05244942870060064,0.005255434674210941,0.043819475233817684,0.014394095988038414
6,STTau,-0.002369527543548969,-0.0047768201396053474,0.0035506273206986592,-0.0019465687167677628,0.0112544859481424,0.000606121565806859,0.011869171754579853,2.70235421704944e-05,0.015034409112682947,0.000648456230761677,0.011869171754580838,2.702354217185243e-05,0.008534723057855955,0.005994775735425178
7,BFOph,0.03193785702218941,0.04531106127501829,0.032552442877969566,0.04867053079992965,0.04006362203366959,0.05757179583690506,0.04521680313474593,0.06260472346386595,0.050109419948664476,0.06699536319045568,0.04521680313474776,0.06260472346386856,0.040849491358664454,0.0067425135326143505
8,SYCas,-0.030096244276622497,-0.03183301106579428,-0.02883044169189875,-0.03071803767120634,-0.02079801804799513,-0.026326735435113678,-0.024779164883546177,-0.02800407099671519,-0.02180984164906098,-0.02646783521391251,-0.024779164883543595,-0.028004070996712416,-0.025182145905444518,0.003375801767066667
9,XSct,-0.002682454586124959,-0.054025974897374096,0.006133235601068534,-0.057880233332034244,0.02305429336444763,-0.06611808254745956,0.011439136373149597,-0.08076176970296407,0.018618439334161845,-0.08555219231526394,0.011439136373150423,-0.08076176970296127,0.011333631076642177,0.008306216436673472
