,-0.38,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.380000
0,EVSct,-0.3475244107426973,-0.15528686995573843,-0.3183484488171614,-0.13903878972177572,-0.31834844881716123,-0.13903878972177544,-0.29391433876771134,-0.011790370500342411,-0.2322891372462384,0.1833404037576779,-0.16107999050456243,0.4095642255894913,-0.27858412914925534,0.0633780046813868
1,SZTau,-0.36919001598016643,-0.1326377015001976,-0.36901495368228715,-0.14303183607209075,-0.36901495368228754,-0.14303183607209058,-0.5346592423301011,-0.19668740281990948,-0.7272066021190108,-0.24184949330045313,-1.0111851906745102,-0.3525748890704077,-0.5633784930780605,0.238557756325451
2,SSSct,-0.13384026304283203,-0.07950329702419193,-0.13791493795024756,-0.09222340058787483,-0.137914937950248,-0.09222340058787447,-0.14597394327031604,-0.05764057391372189,-0.18182659911835747,-0.0399609123881174,-0.1878138158139088,0.014224303891406042,-0.15421408285765165,0.02200647553437452
3,QZNor,-0.3087271856579238,-0.004176209150771434,-0.3206716736460911,-0.021686679189058054,-0.32067167364609117,-0.02168667918905786,-0.5318142488653291,-0.11052844468011383,-0.7147114292694334,-0.12912253530580345,-1.0589388153772759,-0.27664592620510636,-0.5425891710770241,0.2737228846355071
4,ADGem,-0.0247138936889552,-0.13351911610841774,-0.027270647661472146,-0.13894651164673846,-0.027270647661472056,-0.13894651164673807,-0.007476453370494884,-0.14962472323502538,-0.008605067501444014,-0.19407487170404067,-0.03343150699094793,-0.2732529183250589,-0.021461369479131038,0.009850726799700418
5,YAur,-0.0694517786373129,-0.15078190186580148,-0.07928668079981349,-0.16346413097667617,-0.07928668079981377,-0.1634641309766761,-0.2463689701681516,-0.35141514396548307,-0.3991181209712065,-0.5343261330233808,-0.63996756426489,-0.8135034369712644,-0.2522466326068647,0.21022906172070668
6,STTau,-0.19874449647429554,-0.13492520023458354,-0.18164478731258102,-0.12242361522540281,-0.1816447873125813,-0.12242361522540259,-0.30756898732627297,-0.21338194041607106,-0.44015692673103035,-0.30067911743196646,-0.6282649800024208,-0.4363213914046682,-0.32300416085986366,0.16459677599588424
7,BFOph,-0.11625853170477429,0.0488453389212991,-0.12973858517483952,0.03483939881694301,-0.12973858517483974,0.03483939881694326,-0.21446996833158172,0.009630730641449458,-0.30814287760785725,-0.0028549940370346883,-0.5027275786974309,-0.09896702494143046,-0.23351268778188725,0.13765634369045224
8,SYCas,-0.2136218720856233,-0.12091597232363718,-0.22589599226207122,-0.13594574663425046,-0.2258959922620715,-0.13594574663425033,-0.3810176491959382,-0.2509509510801986,-0.5186745812574965,-0.33523476159096444,-0.6855964993551003,-0.4388014846987662,-0.3751170977363835,0.17685003579205152
9,XSct,-0.030017171139194488,-0.23921491253040925,-0.02412491586770308,-0.24230237656286974,-0.024124915867703125,-0.24230237656286946,-0.23999685241242869,-0.5073476476513042,-0.3580098929635158,-0.6977028693621362,-0.4522919027510085,-0.885145818508651,-0.1880942751669256,0.17326562147599145
