,0.98,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.980000
0,EVSct,0.18762640018521343,0.08224607271744627,0.21035313583445162,0.10875534104401488,0.21035313583445203,0.10875534104401524,0.44062787310393825,0.2916600905783528,0.7804206693563779,0.5687252554008946,1.186357577850643,0.9005147435542383,0.5026231320275126,0.36936299189748273
1,SZTau,0.16596079494774424,0.10489524117298707,0.15968663096932592,0.10476229469369983,0.15968663096932567,0.10476229469370016,0.1998829695415485,0.10676305825878551,0.28550320448360533,0.1435353583427633,0.33625237768069477,0.1383756288943394,0.2178287680987074,0.06877176648284693
2,SSSct,0.40131054788507864,0.15802964564899274,0.3907866467013655,0.15557073017791576,0.39078664670136526,0.15557073017791626,0.5885682686013335,0.2458098871649731,0.8308832074842587,0.3454239392550992,1.1596237525412965,0.5051748218561531,0.6269931783191164,0.28555870590634347
3,QZNor,0.22642362526998683,0.23335673352241326,0.2080299110055219,0.22610745157673254,0.20802991100552207,0.22610745157673287,0.2027279630063204,0.1929220163985812,0.2979983773331829,0.2562623163374132,0.28849875297792943,0.21430459175964078,0.2386180900997439,0.039416956243389256
4,ADGem,0.5104369172389555,0.10401382656476693,0.5014309369901409,0.10884761911905211,0.5014309369901412,0.10884761911905266,0.7270657585011547,0.1538257378436697,1.0041047391011722,0.19130997993917587,1.314006061364257,0.21769759963968818,0.7597458916976368,0.3064832158225812
5,YAur,0.4656990322905977,0.0867510408073832,0.44941490385179955,0.0843299997891144,0.4494149038517995,0.08432999978911462,0.488173241703498,-0.047964682886788,0.6135916856314098,-0.14894128138016424,0.7074700040903152,-0.3225529190065173,0.5289606285699033,0.09776561946912266
6,STTau,0.33640631445361513,0.10260774243860116,0.347056797339032,0.12537051554038778,0.34705679733903194,0.12537051554038817,0.4269732245453767,0.09006852066262401,0.5725528798715859,0.08470573421125,0.7191725883527844,0.054629126560078706,0.45820310031690425,0.14241822758372877
7,BFOph,0.4188922792231364,0.2863782815944838,0.3989629994767735,0.2826335295827336,0.3989629994767735,0.28263352958273397,0.5200722435400679,0.3130811917201445,0.7045669289947589,0.38252985760618174,0.8447099896577742,0.3919834930233169,0.5476945733948808,0.17050038108466795
8,SYCas,0.32152893884228734,0.1166169703495475,0.30280559238954186,0.11184838413154011,0.30280559238954174,0.11184838413154038,0.3535245626757114,0.0524995099984965,0.4940352253451196,0.05015009005225198,0.6618410690001051,0.05214903326598103,0.40609016344038446,0.13190401050994038
9,XSct,0.5051336397887162,-0.0016819698572245504,0.50457666878391,0.005491754202920826,0.5045766687839102,0.0054917542029212585,0.49454535945922085,-0.20389718657260925,0.6546999136391005,-0.31231801771891987,0.8951456656041968,-0.39419530054390417,0.5931129860098424,0.14614489984198267
