,-0.96,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.960000
0,EVSct,-0.6120108013546498,-0.26071699230786205,-0.5438241246244669,-0.2447156984307158,-0.5438241246244672,-0.2447156984307161,-0.5226543297653728,-0.20074425043725774,-0.535484950945689,-0.18990069268961762,-0.4474937615339744,-0.1553282534252635,-0.5342153488081034,0.04811910973916484
1,SZTau,-0.6225344321364962,-0.24687309207489525,-0.5944906294895927,-0.24870874478103086,-0.5944906294895933,-0.24870874478103117,-0.6317410362989028,-0.2330241192842101,-0.6768348851201069,-0.23301126916175074,-0.5925326233588385,-0.20598785062789782,-0.618770705982255,0.03005917832867884
2,SSSct,-0.3785519411074534,-0.19479064324082893,-0.3633906137575531,-0.19790030929681493,-0.36339061375755366,-0.19790030929681499,-0.36435982225090513,-0.17059274889035092,-0.39137747801514144,-0.1697839416002716,-0.32700048208916616,-0.13971792332114571,-0.36467849182962886,0.01969923723717255
3,QZNor,-0.5560628082023242,-0.11803765719277046,-0.5461473494533967,-0.12736358789799815,-0.5461473494533969,-0.1273635878979984,-0.5997243200259245,-0.12722381669110205,-0.6377759707791203,-0.1246061823853353,-0.5625862706872345,-0.11157752064528163,-0.5747406781002328,0.03348974921942652
4,ADGem,-0.2607674433485825,-0.24391293629826424,-0.25274632346877773,-0.24462342035567855,-0.25274632346877757,-0.2446234203556786,-0.2605639816633645,-0.23028320449572404,-0.2804441134644483,-0.2329495220091784,-0.25621830722196126,-0.21360947624104917,-0.2605810821059853,0.009454943399975449
5,YAur,-0.30362642467256507,-0.2638073274927951,-0.30476235660711903,-0.26914103968561626,-0.3047623566071193,-0.26914103968561665,-0.36810254289699224,-0.27778432246442064,-0.4001009192506261,-0.2829692209941541,-0.3685361227082463,-0.2629784829748911,-0.3416484537904447,0.038743385064938345
6,STTau,-0.4487408663196981,-0.23815224055128445,-0.40712046311988653,-0.2281005239343429,-0.4071204631198867,-0.22810052393434274,-0.4483352952805506,-0.2245359164490365,-0.48222966917922216,-0.2268238097016826,-0.42953919734055074,-0.20672082545635034,-0.43718099239329916,0.02630937827176505
7,BFOph,-0.3550614910711768,-0.06183902977917249,-0.3552142609821451,-0.07083750989199708,-0.3552142609821453,-0.07083750989199729,-0.38352122816818457,-0.06910505183129569,-0.41375522242657825,-0.06968823786050952,-0.3680218849707373,-0.06392443863590022,-0.3717980581001612,0.02137854519481258
8,SYCas,-0.4522289967357346,-0.23367325732187616,-0.45137166806937673,-0.24162265534319058,-0.4513716680693773,-0.24162265534319088,-0.5021896088141334,-0.24526644064245004,-0.5340184820214388,-0.2466091541591623,-0.4773929879804834,-0.2291034715472007,-0.4780955686150907,0.031106810342376275
9,XSct,-0.2704986103098716,-0.35264885904777016,-0.24960059167500864,-0.3479792852718098,-0.24960059167500886,-0.34797928527181005,-0.32707208248681646,-0.35167282512212705,-0.3472045088500872,-0.35227340142414076,-0.29585629025352633,-0.3087036389652166,-0.28997211254171984,0.037250313617976406
10,YLac,-0.43199018824238605,-0.30617738598790856,-0.41140413693342787,-0.30463700374924624,-0.41140413693342814,-0.3046370037492464,-0.4340622567133215,-0.29074043874855365,-0.4623079894143292,-0.29238373209411866,-0.4220086318125117,-0.27035385532714035,-0.4288628900082341,0.017378075535621578
11,TVul,-0.419306996315463,-0.21447659205520417,-0.41272271737527483,-0.22008256381224273,-0.4127227173752749,-0.2200825638122428,-0.4440831726208945,-0.2133271593820528,-0.4699198755959648,-0.21267853722914126,-0.4252311633607791,-0.197109923241424,-0.4306644404406086,0.02050761831023973
12,XYCas,-0.44420539241362594,-0.1816760476376789,-0.4735218746488618,-0.2030235800388669,-0.47352187464886186,-0.20302358003886659,-0.5174621185674003,-0.2092145060593681,-0.550943609071988,-0.21134034948609773,-0.4973272046440125,-0.20248503605271145,-0.4928303456657918,0.034433795282790926
13,TVel,-0.3064939351256786,-0.1285014908134362,-0.2924745029865402,-0.12977271975937238,-0.2924745029865405,-0.12977271975937268,-0.31343853522432935,-0.12050638146532684,-0.3437062344312305,-0.12303394926704636,-0.3063516287461776,-0.10927802346263772,-0.3091565565834161,0.017241203448359707
14,VZCyg,-0.3281360672797791,-0.21707527405390664,-0.3160485784463027,-0.21891328771328109,-0.31604857844630274,-0.21891328771328125,-0.31913295525030866,-0.19781104181529272,-0.3333287285174209,-0.19502605621747368,-0.29849915774226893,-0.17485580187184,-0.3185323442803972,0.010993876809269427
15,CFCas,-0.2649783008485674,-0.10071403476626507,-0.25453389896017264,-0.10321445198300142,-0.2545338989601731,-0.10321445198300136,-0.25960889608660614,-0.08793692697951185,-0.29102211682106305,-0.09175641771152203,-0.25036947840899215,-0.07619487704304023,-0.2625077650142624,0.013552849200685425
16,VLac,-0.5125289088909656,-0.2698639664006462,-0.4889907291531233,-0.26953459573960514,-0.4889907291531235,-0.26953459573960536,-0.5263699388211046,-0.26073255486340713,-0.5648427192418163,-0.2629689590500278,-0.4943414478784339,-0.23656129184142208,-0.5126774121897612,0.02697854731818581
17,V0386Cyg,-0.38840970318630613,-0.021623675887440606,-0.3558459962069804,-0.018750729831291016,-0.35584599620698054,-0.018750729831290804,-0.3329578586550755,0.01101352349015119,-0.3648007455890944,0.011476356498060909,-0.2991435909535715,0.025641519203973607,-0.3495006484663348,0.027802972032830976
18,CRSer,-0.48614908164305065,-0.3566576293563625,-0.47356707223876904,-0.3606730116267671,-0.4735670722387688,-0.3606730116267668,-0.4940097859301497,-0.3378726416775974,-0.5274999594362615,-0.3393628015765218,-0.45634954921956794,-0.30094251682507456,-0.48519042011776126,0.022251582822333183
19,V1162Aql,-0.3082292010362336,-0.09373302276301507,-0.32199736230060516,-0.10754283332059497,-0.3219973623006054,-0.10754283332059486,-0.3414414264852185,-0.10139250234853346,-0.36697292063328424,-0.10187616575105815,-0.32507116559810595,-0.09220179127929046,-0.3309515730590088,0.01879191168574742
20,CVMon,-0.3160937611461647,-0.10820297322552491,-0.2528677302212874,-0.0877857394965,-0.25286773022128733,-0.08778573949649983,-0.2672104766939508,-0.07512607453964178,-0.28817818856688004,-0.07401569903752062,-0.2480176357888309,-0.058876500943546274,-0.2708725871064002,0.02425059455886892
21,SWCas,-0.39272273556025694,-0.2084703459159007,-0.37019913027862156,-0.20760177969365207,-0.37019913027862184,-0.2076017796936524,-0.37803724760519386,-0.18588322302141178,-0.4080798441687395,-0.18684403402933086,-0.3463585305843131,-0.15930347567670447,-0.37759943641262445,0.01933685760172136
22,XLac,-0.6675002147346673,-0.34640371967131595,-0.6242867145296292,-0.3409602829618586,-0.6242867145296299,-0.3409602829618588,-0.6444172497754334,-0.3150395940012625,-0.6889267812415389,-0.31593298413518,-0.6078172998435362,-0.2838090809539989,-0.6428724957757391,0.027837736099003314
23,VCen,-0.38982378200972523,-0.18602828161281856,-0.3649363582099541,-0.18272810998785685,-0.364936358209954,-0.18272810998785693,-0.3939952082816206,-0.17737619807500477,-0.42309438138700184,-0.17891508988865337,-0.3825627400539524,-0.16565644616608433,-0.38655813802536804,0.019798305707526307
24,FMCas,-0.4003720182122108,-0.10433662500795406,-0.382080409613645,-0.1061013409705199,-0.38208040961364514,-0.10610134097052022,-0.3917743763837776,-0.091798205544615,-0.4253010987634279,-0.09308245246669926,-0.3648913088906178,-0.07801534301115955,-0.39108327024622075,0.018733837895168057
25,CSVel,-0.3281514715312175,-0.16516080757103385,-0.29980141172620406,-0.159466029548305,-0.2998014117262043,-0.1594660295483049,-0.335163407633372,-0.156727402735807,-0.3573176382053305,-0.15641785299417854,-0.3216763938011045,-0.14213542925464417,-0.3236519557705721,0.02011523919564357
26,MWCyg,-0.5373525564730094,-0.040503082089118805,-0.509151833761901,-0.0426849409789438,-0.5091518337619014,-0.04268494097894378,-0.5083264688073501,-0.019980768054921043,-0.5478519171207138,-0.0182506899966172,-0.45830350020134303,-0.002711505154874479,-0.5116896850210364,0.028403542421444775
27,FMAql,-0.4431716791926975,-0.25625742827981096,-0.4047296168846955,-0.25052520677607226,-0.40472961688469544,-0.2505252067760724,-0.3548456864374939,-0.1947539267297023,-0.3756844085492058,-0.19126447989714362,-0.30911508300904195,-0.15485178025868268,-0.3820460151596384,0.042553274773194524
28,CRCep,-0.35217568402948396,0.012365616653753339,-0.30941237391448456,0.021133474189349577,-0.30941237391448473,0.02113347418934979,-0.30163853417449815,0.03942454778426911,-0.3407857938788703,0.03595482157316021,-0.26702098794090795,0.05050718321296909,-0.31340762464212163,0.027612443423985986
29,RSCas,-0.436603504775766,-0.14380416848464658,-0.4306205381661174,-0.15043674080294622,-0.43062053816611756,-0.15043674080294633,-0.4852837093084308,-0.15767592343867742,-0.526659017326996,-0.1614393939350576,-0.46209375587087664,-0.14703093508487927,-0.4619801772690508,0.034969627995863194
30,RRLac,-0.5327165139317552,-0.15289026694148108,-0.5185724054680318,-0.15693847385559645,-0.5185724054680317,-0.15693847385559634,-0.5710749442461565,-0.16589496309998716,-0.6062174916703422,-0.16604749790959503,-0.5403653417628858,-0.15838078410193734,-0.5479198504245338,0.03147890944027586
31,XXSgr,-0.39013193214932923,-0.17501905042548113,-0.34474413596716097,-0.1630588263238151,-0.344744135967161,-0.16305882632381472,-0.36261909880775156,-0.15107546244549647,-0.3871399188510399,-0.15063820111663118,-0.3315689796414627,-0.13021147771531702,-0.36015803356398424,0.022079492953938074
32,BBSgr,-0.3882842991505431,-0.18810891452756057,-0.373782531994745,-0.19120802106398108,-0.3737825319947452,-0.19120802106398135,-0.3813010088971375,-0.1693896948528223,-0.40979148634602947,-0.16929098205637552,-0.3604381034050764,-0.14798233059119512,-0.38122999363137944,0.015322963184142915
33,VCar,-0.3883023983571417,-0.06720473698159456,-0.38207379382336837,-0.0739943468992131,-0.38207379382336837,-0.07399434689921341,-0.4008817561186981,-0.06770613890760417,-0.4320233025216696,-0.06816637382955716,-0.3836284897348611,-0.06261296259421754,-0.3948305890631845,0.01785819377753524
34,V0495Cyg,-0.6382689153951944,-0.46971187621085886,-0.6167347198971371,-0.47319036733661524,-0.6167347198971378,-0.4731903673366154,-0.668906608987583,-0.451446006963615,-0.7144580766654333,-0.4528390395481831,-0.6245737241967904,-0.4021778177253764,-0.6466127941732126,0.0352153756636877
35,USgr,-0.38470479336187857,-0.17541698462191452,-0.36911174650006456,-0.1777508722976879,-0.3691117465000648,-0.17775087229768766,-0.3752706706755474,-0.15732929472336632,-0.39921300307696267,-0.15581485495627825,-0.3474409351408223,-0.13533487569544053,-0.3741421492092234,0.015837484340493785
36,TWCMa,-0.32850745635285333,-0.06006778313278027,-0.3042408656934706,-0.056606153301332895,-0.30424086569347036,-0.056606153301332965,-0.3120651546727286,-0.05003651314978513,-0.3393402044606677,-0.051863108657518364,-0.2940404810797958,-0.04578725424274511,-0.3137391713254977,0.015517686087955406
37,xSgr,-0.548112261619607,-0.3081525114193186,-0.5065106920517685,-0.2986003006057173,-0.5065106920517688,-0.2986003006057179,-0.5481590767394725,-0.29562808850694217,-0.5755328473598231,-0.2948050121166895,-0.5264227135969555,-0.2783464295466994,-0.5352080472365659,0.0247810273373717
38,V0600Aql,-0.4951431610713652,-0.17742118386559255,-0.44570335700379876,-0.1680467242557993,-0.4457033570037994,-0.16804672425579953,-0.3873731658526455,-0.114174672884871,-0.4021461673507404,-0.10703306705372126,-0.3220284502991109,-0.07717388799136207,-0.41634960976357666,0.05457343963657002
