,0.3,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.300000
0,EVSct,-0.4525618474141918,-0.21288514854928559,-0.4018926037649651,-0.20022746385269138,-0.4018926037649651,-0.20022746385269155,-0.3786972474975246,-0.1667942256778788,-0.37646668673449596,-0.15621347954194562,-0.3298222299394712,-0.13605414024406282,-0.39022220318593565,0.03275458878338809
1,SZTau,-0.46308547819603824,-0.19904124831631878,-0.4525591086300909,-0.20422051020300638,-0.45255910863009124,-0.20422051020300666,-0.4877839540310547,-0.19907409452483116,-0.5178166209089143,-0.199324056014079,-0.4748610917643353,-0.1867137374466975,-0.4747775603600875,0.017980477303254607
2,SSSct,-0.21910298716699536,-0.14695879948225243,-0.22145909289805124,-0.1534120747187905,-0.22145909289805155,-0.15341207471879056,-0.22040273998305696,-0.136642724130972,-0.23235921380394858,-0.13609672845259985,-0.2093289504946629,-0.12044381013994503,-0.22068534620746108,0.0009722518055285974
3,QZNor,-0.3966138542618662,-0.07020581343419398,-0.4042158285938949,-0.08287535331997373,-0.4042158285938949,-0.08287535331997391,-0.4557672377580763,-0.09327379193172305,-0.4787577065679272,-0.09091896923766372,-0.44491473909273127,-0.09230340746408121,-0.43074753247806513,0.02827965816121291
4,ADGem,-0.10131848940812449,-0.19608109253968778,-0.11081480260927584,-0.20013518577765418,-0.11081480260927547,-0.20013518577765413,-0.11660689939551631,-0.19633317973634495,-0.12142584925325543,-0.19926230886150664,-0.13854677562745804,-0.19433536305984847,-0.1165879364838176,0.008657576494842254
5,YAur,-0.14417747073210702,-0.21597548373421865,-0.1628308357476172,-0.22465280510759186,-0.1628308357476172,-0.22465280510759217,-0.22414546062914398,-0.24383429770504175,-0.24108265503943307,-0.2492820078464825,-0.25086459111374304,-0.24370436979369098,-0.1976553081682769,0.038688160440256046
6,STTau,-0.2892919123792401,-0.19032039679270799,-0.2651889422603847,-0.1836122893563185,-0.2651889422603846,-0.1836122893563182,-0.30437821301270246,-0.19058589168965742,-0.32321140496802914,-0.19313659655401083,-0.3118676657460477,-0.18744671227514967,-0.29318784677113147,0.02066567146870778
7,BFOph,-0.1956125371307188,-0.014007186020596009,-0.2132827401226432,-0.026349275313972655,-0.21328274012264328,-0.02634927531397279,-0.2395641459003363,-0.03515502707191666,-0.25473695821538533,-0.03600102471283782,-0.250350353376234,-0.04465032545469971,-0.2278049124779935,0.019977584820355308
8,SYCas,-0.2927800427952766,-0.18584141356329967,-0.3094401472098749,-0.1971344207651661,-0.3094401472098752,-0.1971344207651664,-0.35823252654628523,-0.21131641588307098,-0.3750002178102459,-0.21292194101149065,-0.3597214563859802,-0.2098293583660002,-0.334102422992923,0.029606826477575437
9,XSct,-0.1110496563694136,-0.30481701528919375,-0.10766907081550678,-0.30349105069378546,-0.10766907081550679,-0.30349105069378557,-0.18311500021896826,-0.3177228003627478,-0.1881862446388943,-0.31858618827646873,-0.17818475865902297,-0.28942952578401665,-0.14597896691955212,0.037196901698020694
10,YLac,-0.272541234301928,-0.25834554222933215,-0.26947261607392603,-0.2601487691712218,-0.26947261607392603,-0.2601487691712218,-0.29010517444547324,-0.25679041398917457,-0.30328972520313635,-0.2586965189464469,-0.3043371002180085,-0.25107974214593964,-0.2848697443860664,0.012782263192825737
11,TVul,-0.259858042375005,-0.1666447482966277,-0.27079119651577294,-0.17559432923421828,-0.27079119651577277,-0.17559432923421828,-0.30012609035304627,-0.1793771346226737,-0.310901611384772,-0.1789913240814697,-0.3075596317662758,-0.17783581006022334,-0.28667129481844084,0.01873724281796987
12,XYCas,-0.28475643847316795,-0.13384420387910242,-0.3315903537893599,-0.15853534546084247,-0.33159035378935975,-0.15853534546084205,-0.3735050362995522,-0.1752644812999891,-0.3919253448607953,-0.17765313633842608,-0.3796556730495093,-0.18321092287151086,-0.3488372000436241,0.036434027914970475
13,TVel,-0.14704498118522052,-0.08066964705485974,-0.15054298212703837,-0.08528448518134796,-0.1505429821270384,-0.08528448518134817,-0.1694814529564812,-0.08655635670594779,-0.18468797022003763,-0.08934673611937478,-0.18868009715167455,-0.09000391028143731,-0.16516341096124845,0.013914352866858841
14,VZCyg,-0.16868711333932104,-0.16924343029533015,-0.17411705758680082,-0.1744250531352567,-0.17411705758680068,-0.17442505313525672,-0.17517587298246048,-0.16386101705591355,-0.17431046430622793,-0.16133884306980215,-0.18082762614776565,-0.15558168869063949,-0.17453919865822945,0.0029584059450695863
15,CFCas,-0.10552934690810933,-0.052882191007688595,-0.11260237810067081,-0.05872621740497699,-0.11260237810067096,-0.05872621740497687,-0.11565181381875797,-0.053986902220132776,-0.13200385260987021,-0.05806920456385027,-0.132697946814489,-0.056920763861839536,-0.11851461939209472,0.007853695808504903
