,-0.64,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.640000
0,EVSct,-0.1456607760679284,-0.2091502262993348,-0.16010217393961754,-0.20509315213058907,-0.3187761931430971,-0.3496551252490778,-0.3419134300448564,-0.3665555106679852,-0.1876197448026042,-0.244403074160387,-0.16010217393960577,-0.2050931521305821,-0.21902908198961824,0.09206701090316945
1,SZTau,-0.23499026525907735,-0.08161956693889902,-0.24339105835147204,-0.08396137361134766,-0.23102503781291003,-0.06965738128969078,-0.2384714749283264,-0.08260064808569335,-0.1723670962643387,-0.02313287677778015,-0.243391058351468,-0.08396137361134808,-0.22727266516126543,0.010710480743405918
2,SSSct,0.27708841530392014,-0.00010319440295983022,0.21341526834844915,-0.02923865743383464,0.13662179317721443,-0.07781474567656464,0.13232397638396368,-0.06541501868989887,0.19310955866861662,-0.06387334059092346,0.21341526834846006,-0.02923865743382905,0.194329046705104,0.05997531326044761
3,QZNor,-0.11332250988769096,0.17559831096744294,-0.1390009050548119,0.16484311424363604,-0.09861014006790228,0.20884206723700208,-0.15962693611600487,0.1301437917776679,-0.013691394783559963,0.27671718737506285,-0.13900090505481072,0.16484311424363166,-0.11054213182746346,0.029022933669591744
4,ADGem,0.4649759437902854,-0.11562673552315343,0.4097528214417096,-0.10915088432815799,0.3712567357146886,-0.09695530700026332,0.37626616831563625,-0.061675803771328454,0.48915925141438643,-0.048792781841635456,0.4097528214417153,-0.10915088432815906,0.4201939570197369,0.04012152134692712
5,YAur,0.34306956918882475,-0.0919927568261633,0.3198654036414174,-0.06669288202236281,0.3945493311245765,0.04780955353982235,0.29009220093243976,-0.032839536274652616,0.3972307371361162,-0.006069764527465477,0.3198654036414212,-0.06669288202235922,0.3441121076107993,0.038894258487138976
6,STTau,0.09520206535988313,-0.09851212185476373,0.1168361942888651,-0.039331277696332746,0.1375974371005185,0.009309648861491954,0.08045376143734277,-0.03792615073006612,0.16367718667404438,-0.008190572588216717,0.11683619428887161,-0.039331277696325564,0.11843380652492091,0.024248684109187006
7,BFOph,0.28554430057870156,0.2581058710439309,0.23171009289012892,0.24964186730794008,0.2357451730398239,0.28190448846532734,0.23098239003432353,0.27299206552142735,0.35716454758989163,0.3561984850302193,0.23171009289013925,0.24964186730794274,0.2621427661705015,0.028024905796848625
8,SYCas,0.05837659577521384,-0.08240369499025932,0.015568305223859144,-0.0841473497371784,0.04130679188600147,-0.029845518739546162,-0.07553890725205922,-0.14155801284058908,0.004218463675635999,-0.11247707575891112,0.01556830522386309,-0.08414734973717454,0.009916592422085719,0.05164373347638879
9,XSct,0.44091443019743326,-0.24263382233680397,0.4408790512134654,-0.20220113663021358,0.4852270613132081,-0.11651577386774938,0.19891631604797314,-0.35907624056423254,0.304032049977344,-0.35194295483327726,0.4408790512134686,-0.20220113663020686,0.385141326660482,0.11282092212339503
10,YLac,0.1181856660950127,-0.2271547124641267,0.09512576959833853,-0.20999238853704832,0.09017998463754334,-0.1819049368665538,0.09773634262891572,-0.1544812273326566,0.22515271279626445,-0.0952484393768254,0.09512576959833814,-0.20999238853704708,0.12025104089240217,0.022620372967928237
11,TVul,0.14436200330937576,-0.04062065743151492,0.10113499576736178,-0.04380802688035738,0.10398744046780678,-0.01189647249256668,0.07284378053554591,-0.03447737624980047,0.23100469293244805,0.0696631619088102,0.10113499576736863,-0.04380802688035717,0.1257446514633178,0.032496612586750434
12,XYCas,0.0564100483618449,0.010857723093129705,-0.03793605686291953,-0.0358941774022799,-0.017777240652779015,0.014169891745066849,-0.10029578065244714,-0.07186360990671786,-0.03433971316426484,-0.051630864171680904,-0.03793605686291317,-0.03589417740228189,-0.028645799972246467,0.05606391781279776
13,TVel,0.39161422424941006,0.14025541365057007,0.35970775014501055,0.15438567557626567,0.358733375113986,0.18741776676971306,0.3868449857873965,0.22704527911838548,0.5030191549725832,0.28025209676499113,0.3597077501450151,0.1543856755762646,0.393271206735567,0.02430745429935527
14,VZCyg,0.3540061604363112,-0.0568439685792339,0.2947712805883138,-0.06808460901423154,0.23591804827956853,-0.08798831711111897,0.24368624161399824,-0.057978378893903566,0.43677855345489,0.05713484287306735,0.29477128058832397,-0.06808460901422048,0.30998859416023433,0.05488979981162296
15,CFCas,0.48665485384628243,0.1828479904196482,0.43445310486974864,0.18207889418159057,0.39834640906477525,0.18425441501593623,0.449054140924498,0.24861993809608632,0.5037984780966143,0.2329850009685064,0.43445310486975464,0.18207889418159018,0.4511266819452789,0.03290255234303318
16,VLac,-0.035034089409820404,-0.1563107381898444,-0.05288299225946575,-0.14453691229159762,-0.052747972567041765,-0.12269053849667827,-0.12326271921309447,-0.1861181855436658,-0.10152336675736477,-0.20738424252810045,-0.05288299225945682,-0.14453691229159393,-0.06972235541104066,0.03406442491263044
17,V0386Cyg,0.2872067856770505,0.2929761815593676,0.23893440043655628,0.2839208562816061,0.13320719764198763,0.20218775843520573,0.23871271596141258,0.30298522487957696,0.27765834474267576,0.3050735352494133,0.23893440043655492,0.2839208562816053,0.2357756408160396,0.05741091440138536
18,CRSer,0.02496644362822078,-0.3138992031754584,-0.028420677279132178,-0.3391888334768197,-0.07069103631499578,-0.35534412752183936,-0.12877661364354154,-0.3904866051706536,-0.11437622545086336,-0.43738611875253747,-0.028420677279127372,-0.3391888334768131,-0.05761979772323991,0.05680498575281382
19,V1162Aql,0.37530152973159175,0.19551693378895108,0.2896746199104839,0.16134408423017882,0.2690260834272781,0.17599482520178125,0.2568484546446266,0.16868449713099487,0.3750495856613624,0.22737561453129435,0.28967461991048726,0.1613440842301752,0.3092624822143049,0.04772587930056286
20,CVMon,0.4100264359072436,0.13839649952400723,0.4447451592198604,0.2209855232434554,0.41091802546974227,0.22267691840579332,0.4033598629029754,0.22753593973250114,0.5573842361481316,0.31585949959186055,0.44474515921986224,0.2209855232434509,0.44519647981130256,0.03225852842610097
21,SWCas,0.2368575304488757,-0.039703379001217745,0.19340725656313648,-0.04491459915359128,0.13479389687683777,-0.07326159122005932,0.12189348098175878,-0.07058807830738531,0.16056321183687627,-0.09303492864534386,0.19340725656314806,-0.04491459915359142,0.1734871055451055,0.046291710007557565
22,XLac,-0.32434311916280867,-0.3046277935588154,-0.319665272121349,-0.29258894837365335,-0.3359965008670522,-0.3030285913613153,-0.29490982228617707,-0.258351733009699,-0.24823982009919324,-0.23072206276911006,-0.3196652721213404,-0.2925889483736421,-0.3071366344429868,0.018943446782607627
23,VCen,0.21161700273702225,0.002699850531357459,0.20076899728458547,0.03675235643772003,0.2079949053796792,0.0763261943801495,0.19945595165594637,0.07662829196100662,0.3264946531097893,0.14501487592633408,0.20076899728459122,0.03675235643772508,0.22451675124193568,0.02019513800456772
24,FMCas,0.21848831835987842,0.15104586115831603,0.1739632405220789,0.14787111571607156,0.1300602154086393,0.13091980957080554,0.1450358745097171,0.145751020864575,0.188545659729087,0.14486944717781317,0.17396324052208909,0.14787111571608053,0.17167609150858162,0.034052158296867016
25,CSVel,0.34265423647642845,0.05551684624105956,0.33925798126521856,0.09979480836001839,0.3493580637049434,0.1456785389864906,0.29609882373829943,0.10599200291232856,0.46924916707280034,0.21218320946419253,0.33925798126522555,0.09979480836002526,0.3559793755871526,0.03196359891014478
26,MWCyg,-0.022924206023315553,0.2619835249983838,-0.06838134227195329,0.23948992801948388,-0.14511400538051883,0.1709463649501108,-0.10491032490917886,0.19140905792154989,-0.09062681462181581,0.2017902196989271,-0.06838134227194585,0.23948992801949115,-0.08338967257978804,0.045150731890244176
27,FMAql,0.18784881946634815,-0.16740019166278466,0.12019882924723997,-0.20434031225108168,-0.05410794774583681,-0.35067950701144246,0.07376725537558795,-0.19946230769256898,0.1461552180662299,-0.19117231432939627,0.12019882924724497,-0.20434031225107518,0.0990101672761357,0.09003280966986435
28,CRCep,0.3541593574390107,0.34473231964053785,0.3307889421912432,0.3694374286987695,0.24208083513800355,0.31003065089454185,0.26994906731839086,0.33168493531324905,0.19168072955411236,0.2106118144940652,0.3307889421912494,0.36943742869877355,0.28657464563866836,0.046847375369723554
