,0.12,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.120000
0,EVSct,-0.26868553714239374,-0.19580838711024343,-0.2562983568097971,-0.19841314707221705,-0.39183973015377294,-0.34407518118179636,-0.39786174697882665,-0.3508888133939534,-0.3068171908749038,-0.24564162339059278,-0.25629835680978574,-0.19841314707221003,-0.31296681979491336,0.060345344992298364
1,SZTau,-0.35801502633354265,-0.0682777277498076,-0.3395872412216516,-0.07728136855297563,-0.3040885748235859,-0.06407743722240936,-0.29441979186229655,-0.06693395081166162,-0.2915645423366383,-0.02437142600798581,-0.33958724122164763,-0.077281368552976,-0.32121040296656045,0.025559628206995567
2,SSSct,0.15406365422945476,0.013238644786131556,0.11721908547826948,-0.022558652375462607,0.06355825616653861,-0.07223480160928322,0.0763756594499934,-0.04974832141586704,0.07391211259631691,-0.06511188982112899,0.1172190854782802,-0.022558652375456987,0.10039130889980889,0.031837194734464926
3,QZNor,-0.23634727096215635,0.18894015015653437,-0.23519708792499158,0.17152311930200806,-0.17167367707857814,0.21442201130428354,-0.2155752530499751,0.14581048905169983,-0.13288884085585967,0.27547863814485707,-0.23519708792499058,0.1715231193020035,-0.20447986963275858,0.039215761013326446
4,ADGem,0.34195118271582,-0.10228489633406204,0.31355663857153,-0.10247087926978593,0.2981931987040128,-0.09137536293298192,0.320317851381666,-0.04600910649729663,0.36996180534208695,-0.05003133107184102,0.31355663857153493,-0.10247087926978674,0.32625621921444176,0.02345870900031309
5,YAur,0.22004480811435942,-0.0786509176370719,0.22366922077123771,-0.060012876963990755,0.32148579411390066,0.05338949760710377,0.23414388399846955,-0.017172839000620832,0.27803329106381675,-0.007308313757671206,0.22366922077124082,-0.060012876963987154,0.25017436980550417,0.03748611197082693
6,STTau,-0.02782269571458221,-0.08517028266567232,0.020640011418685458,-0.032651272637960686,0.06453390008984267,0.014889592928773378,0.02450544450337251,-0.02225945345603441,0.044479740601744595,-0.009429121818422311,0.020640011418691744,-0.032651272637953734,0.02449606871962579,0.028193872379076154
7,BFOph,0.16251953950423623,0.27144771023302244,0.13551391001994928,0.2563218723663121,0.1626816360291481,0.28748443253260875,0.17503407310035338,0.28865876279545943,0.23796710151759212,0.3549599358000137,0.13551391001995908,0.2563218723663152,0.16820502836520637,0.034432624515920635
8,SYCas,-0.06464816529925153,-0.0690618558011679,-0.0806278776463205,-0.07746734467880635,-0.031756745124674426,-0.024265574672264704,-0.13148722418602946,-0.12589131556655728,-0.11497898239666372,-0.11371562498911665,-0.08062787764631636,-0.07746734467880269,-0.08402114538320933,0.03250980552862309
9,XSct,0.3178896691229679,-0.22929198314771254,0.3446828683432857,-0.19552113157184156,0.41216352430253234,-0.11093582980046791,0.14296799911400276,-0.3434095432902008,0.1848346039050443,-0.3531815040634831,0.34468286834328904,-0.1955211315718348,0.291203588855187,0.09517673959346848
10,YLac,-0.0048390949794526236,-0.21381287327503531,-0.0010704132718411168,-0.20331238347867628,0.017116447626867523,-0.17632499279927238,0.04178802569494569,-0.13881453005862476,0.1059552667239646,-0.09648698860703106,-0.0010704132718416183,-0.20331238347867522,0.026313303087107078,0.0390237092689233
11,TVul,0.021337242234910417,-0.027278818242423526,0.0049388128971821444,-0.03712802182198535,0.030923903457130964,-0.006316528425285283,0.016895463601575754,-0.018810678975768606,0.11180724686014867,0.06842461267860474,0.0049388128971883495,-0.0371280218219849,0.03180691365802272,0.03691564270727911
12,XYCas,-0.06661471271262048,0.024199562282221167,-0.13413223973309918,-0.029214172343907774,-0.09084077766345487,0.019749835812348265,-0.1562440975864174,-0.05619691263268646,-0.1535371592365644,-0.052869413401886965,-0.13413223973309335,-0.029214172343909415,-0.1225835377775416,0.03290900889979329
13,TVel,0.26858946317494475,0.1535972528396615,0.2635115672748309,0.16106568063463772,0.28566983810331015,0.1929977108369945,0.3308966688534263,0.2427119763924174,0.38382170890028394,0.2790135475347852,0.26351156727483577,0.16106568063463647,0.29933346893027196,0.04440871584179219
14,VZCyg,0.2309813993618458,-0.043502129390142495,0.1985750977181341,-0.06140460395585952,0.1628545112688927,-0.0824083730438375,0.18773792468002812,-0.04231168161987178,0.3175811073825902,0.05589629364286169,0.1985750977181444,-0.061404603955848625,0.21605085635493923,0.049621216058295434
15,CFCas,0.3636300927718171,0.19618982960873965,0.338256921999569,0.1887588992399626,0.3252828720540994,0.18983435908321758,0.3931058239905277,0.26428663537011815,0.38460103202431456,0.23174645173830088,0.3382569219995747,0.18875889923996184,0.35718894413998376,0.02522490031917468
16,VLac,-0.15805885048428578,-0.142968899000753,-0.14907917512964536,-0.13785690723322555,-0.12581150957771764,-0.11711059442939686,-0.17921103614706468,-0.1704514882696341,-0.22072081282966433,-0.20862279175830617,-0.14907917512963648,-0.13785690723322208,-0.1636600932163357,0.02996345857017708
17,V0386Cyg,0.16418202460258519,0.30631802074845893,0.14273821756637667,0.2906008613399781,0.06014366063131179,0.207767702502487,0.1827643990274424,0.3186519221536084,0.15846089867037613,0.3038349860192069,0.14273821756637503,0.29060086133997654,0.14183790301074453,0.039000282480095676
18,CRSer,-0.09805831744624459,-0.30055736398636695,-0.12461686014931182,-0.33250882841844764,-0.14375457332567168,-0.3497641834545579,-0.18472493057751174,-0.3748199078966219,-0.23357367152316305,-0.4386246679827433,-0.1246168601493073,-0.3325088284184411,-0.15155753552853504,0.04509503888485148
19,V1162Aql,0.2522767686571263,0.20885877297804245,0.1934784370403042,0.1680240892885508,0.19596254641660224,0.18157476926906257,0.20090013771065632,0.18435119440502662,0.2558521395890628,0.22613706530108882,0.1934784370403077,0.16802408928854687,0.21532474440900992,0.027523953618950145
