,-0.96,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.960000
0,EVSct,-1.1822784279724117,-0.5305513553272564,-1.0810110384100828,-0.5448979276521372,-1.1548367196991445,-0.6063291523426262,-1.1764792250845404,-0.597211842167996,-1.2453448285915212,-0.6025920420300226,-1.0810110384100793,-0.5448979276521242,-1.1534935463612968,0.058170440539679055
1,SZTau,-1.2770588548660702,-0.40656661917423853,-1.1642999228219373,-0.4237661491328958,-1.1540734065290486,-0.44754031879521106,-1.2267050887423936,-0.45694431359653026,-1.341446098087037,-0.47330755967476107,-1.1642999228219293,-0.4237661491328778,-1.2213138823114027,0.06902992234753086
2,SSSct,-0.7426753997433218,-0.3398900476768975,-0.7074935961220162,-0.3690434329553827,-0.7315037876275686,-0.4059823915171504,-0.7566813588084755,-0.404301982830652,-0.834778633652893,-0.4224573479401857,-0.7074935961220078,-0.3690434329553715,-0.7467710620127138,0.04316412364210983
3,QZNor,-1.1504469322721518,-0.15658728628450427,-1.0599097695252773,-0.17496166127791207,-1.0340076911638054,-0.1811665136491024,-1.1264050181217071,-0.19751348539789637,-1.2222106423828247,-0.1995965158481133,-1.0599097695252726,-0.1749616612778985,-1.1088149704985064,0.06491118910291843
4,ADGem,-0.5495463125180562,-0.4376410450295476,-0.5111560430287557,-0.44895565984970603,-0.5041930627891708,-0.46610230250217455,-0.5165866757812422,-0.4669615912814389,-0.5632268401297121,-0.48432906345696297,-0.5111560430287521,-0.4489556598496884,-0.5259774962126148,0.022155145080437293
5,YAur,-0.6829793921031552,-0.40316185926228815,-0.6010434608290479,-0.40649765754391093,-0.5398540865237116,-0.4024011681640192,-0.6205204474142508,-0.4298958155390899,-0.6811260972293732,-0.44735243235176686,-0.6010434608290466,-0.40649765754389466,-0.621094490821431,0.049729191960671715
6,STTau,-0.9458640269207987,-0.3919967938123532,-0.8040726701816002,-0.37913605321788085,-0.7769099944869389,-0.3882633749574092,-0.8416099551910909,-0.4031426672257329,-0.9196577518162617,-0.41772210562621254,-0.8040726701815962,-0.37913605321786803,-0.848697844796381,0.06280010801850183
7,BFOph,-0.7365134755326187,-0.07465620485180488,-0.6891987715803365,-0.09016290821360805,-0.6705037121003254,-0.09202574086336288,-0.7163128903037516,-0.09621641637476899,-0.7888240867632957,-0.10104043342643929,-0.6891987715803286,-0.09016290821358779,-0.7150919513101094,0.039212720681335744
8,SYCas,-0.9663830700677253,-0.4097763148044748,-0.9053405592466063,-0.42395212525872644,-0.8751763553470352,-0.42757579434922355,-0.9563549215527053,-0.4488699558838258,-1.0294519452816913,-0.4585956044537177,-0.905340559246604,-0.42395212525871123,-0.9396745684570611,0.05093987223270773
9,XSct,-0.5905458248446366,-0.5419951544308834,-0.480029813257,-0.5420059121517617,-0.4342541668015203,-0.5589921482285265,-0.5545380756527691,-0.6071077878309535,-0.5962028438490192,-0.6269292451146125,-0.4800298132569984,-0.5420059121517415,-0.5226000896103239,0.06121476163888969
10,YLac,-0.9101180549760891,-0.5422503781436878,-0.8257830948721269,-0.5497971640585964,-0.8097157841934981,-0.5677664126060886,-0.846016492427304,-0.5732141513266332,-0.91356477478431,-0.5902364472188752,-0.8257830948721289,-0.5497971640585826,-0.8551635493542428,0.04144532752023476
11,TVul,-0.8801542565646103,-0.36818513589935936,-0.8197738687031036,-0.38361280240190554,-0.8014307205929082,-0.39478517256613704,-0.8534608256816877,-0.40409996534823006,-0.9171786280442349,-0.4123809674995071,-0.8197738687030992,-0.3836128024018873,-0.8486286947149407,0.04001906759833138
12,XYCas,-0.9550098519050462,-0.3427115388611185,-0.958844921333385,-0.37569895292382793,-0.9308629851133552,-0.37267990452686234,-1.0000511010861544,-0.3875469716235037,-1.0762959514392978,-0.3941849094064658,-0.958844921333381,-0.37569895292381283,-0.9799849553684367,0.04762524540773296
13,TVel,-0.6341034119097905,-0.17829720067580893,-0.5612011143254548,-0.18541909994528244,-0.5424805644052199,-0.1950833909095403,-0.5732768436699553,-0.19694083448007335,-0.6435905321571427,-0.2107903789006552,-0.5612011143254518,-0.18541909994527211,-0.5859755967988359,0.03854952118443224
14,VZCyg,-0.6633481754564445,-0.3878495110012486,-0.6261375838821517,-0.40788938453577966,-0.6355298671060517,-0.4347346740101583,-0.6524628091831545,-0.43317882028492616,-0.696640260296079,-0.4428045448508085,-0.626137583882143,-0.4078893845357568,-0.650042713301004,0.024858790205712585
15,CFCas,-0.5326089065400066,-0.14408701064582818,-0.48645575960071674,-0.15772588133995755,-0.48412856773049767,-0.17323611020746157,-0.49594700429223265,-0.16800904106105738,-0.5713740287291359,-0.18584507790883034,-0.48645575960071313,-0.15772588133994736,-0.5094950044155505,0.032279725685880854
16,VLac,-1.0682922465178852,-0.47476934241117824,-0.973791856729931,-0.4843416878131457,-0.9604553328409549,-0.5019728719056696,-1.0289444891864414,-0.5163426284538041,-1.122431218474896,-0.5342790464855969,-0.9737918567299239,-0.48434168781313064,-1.0212845000800053,0.058751386128450614
17,V0386Cyg,-0.7376340486152968,-0.03944444009290928,-0.681974464033909,-0.05588391923994203,-0.7230242081061207,-0.08707684155507357,-0.7148684636613067,-0.06602358282381846,-0.8082106017977969,-0.07821465179510001,-0.6819744640339125,-0.05588391923993308,-0.7246143750413904,0.04260609594264192
18,CRSer,-0.9981004754631722,-0.6500004657103609,-0.9493295417495975,-0.6789936089983678,-0.9562938128005148,-0.7146494918644827,-1.006789774297117,-0.7247728085621457,-1.0942974076537042,-0.7497023574504597,-0.9493295417495952,-0.6789936089983486,-0.9923567589522836,0.05104967677750749
19,V1162Aql,-0.6365637871033377,-0.15060425928851914,-0.6312342445599816,-0.17846069129136932,-0.6221481900053444,-0.18638000908946462,-0.6572714986970524,-0.18901954288845474,-0.7204281262151023,-0.19616378602718357,-0.631234244559974,-0.17846069129135,-0.6498133485234654,0.03335003476830207
20,CVMon,-0.6317854428523343,-0.14337221341646222,-0.47616370525060503,-0.11881925227809272,-0.47397722368340056,-0.1354546473057172,-0.504407988286765,-0.13736164142629287,-0.5602748883111663,-0.1457143958516067,-0.4761637052506056,-0.11881925227807924,-0.5204621589391462,0.05819681915810096
21,SWCas,-0.7872544859079583,-0.36719559643929595,-0.7275016079073289,-0.3847193746751394,-0.7409436908447635,-0.4145840565565059,-0.7712313930670835,-0.4155400654318993,-0.8517197735053585,-0.43448419290962154,-0.7275016079073198,-0.3847193746751269,-0.7676920931899688,0.043592606701496686
22,XLac,-1.3684248458377715,-0.6207552258895428,-1.2405741365918144,-0.6323937238952014,-1.2435919357391811,-0.6661741987841995,-1.2924346824253807,-0.6676594003357469,-1.4079796870731813,-0.690236683240537,-1.2405741365918077,-0.632393723895177,-1.2989299040431894,0.06662916271358366
23,VCen,-0.8198736728615179,-0.3053455301908315,-0.7201398671858799,-0.3030524190838281,-0.6978925733142453,-0.310297933592445,-0.742038098576516,-0.3170894003566524,-0.8098405133038654,-0.3279585229225793,-0.7201398671858766,-0.30305241908381164,-0.7516540987379835,0.046562917629914276
24,FMCas,-0.8063391720439801,-0.17784501643022754,-0.7469456239483865,-0.19193365980547653,-0.7541093027613701,-0.2093455689598984,-0.7834857646764298,-0.20646386418914722,-0.8702030152779476,-0.21887094141307406,-0.7469456239483787,-0.19193365980545618,-0.7846714171094155,0.043907223083718465
25,CSVel,-0.6895882925097072,-0.246711886796453,-0.5816508832052468,-0.24000996716152975,-0.5562635327607898,-0.24698126756040825,-0.6100320943365486,-0.2595712415324912,-0.6619962500907284,-0.26701708712870204,-0.5816508832052415,-0.24000996716151146,-0.6135303226847104,0.047360463550029035
26,MWCyg,-1.0535915605965047,-0.0777653183210058,-0.9892902067424187,-0.10031484750206429,-1.0226729705688846,-0.12806657589540008,-1.0535405978646843,-0.11764176061754583,-1.166447838418537,-0.12629246994322726,-0.9892902067424136,-0.10031484750204721,-1.0458055634889072,0.059997359607902936
27,FMAql,-0.8310561526009408,-0.5100363601746177,-0.8007100352232254,-0.5441450877726297,-0.8761571735816224,-0.6093303917703142,-0.8412174137768704,-0.5820998000604014,-0.9206219559526527,-0.6046252799990642,-0.800710035223222,-0.5441450877726165,-0.8450787943930891,0.04246832787509972
28,CRCep,-0.6751125924972735,0.029237382629453884,-0.5901199222792223,0.029632653177221392,-0.619613596051466,0.008623753570440278,-0.631683872470816,0.01988176011424971,-0.7348671816977904,0.003897319938275774,-0.5901199222792118,0.029632653177242597,-0.6402528478792967,0.051142123005010795
29,RSCas,-0.9273816049525199,-0.21915273184262649,-0.847225425896648,-0.2271945373054107,-0.811531310709447,-0.2248773144932505,-0.8964707998347153,-0.2451235856517689,-0.9889123998560613,-0.25687210333010096,-0.8472254258966426,-0.227194537305392,-0.8864578278576722,0.05911048999137321
30,RRLac,-1.1286309418220506,-0.27639586582217895,-1.0380757369760258,-0.2794181612412573,-1.010312256422877,-0.27533987281020755,-1.0974443377900553,-0.2939070115598917,-1.1807537921300157,-0.29574481012535797,-1.0380757369760247,-0.2794181612412385,-1.082215467019508,0.05938970106059656
31,XXSgr,-0.7923127139526988,-0.30693446824891074,-0.6794432320998615,-0.2990497754709552,-0.6842614116086325,-0.3188662950883128,-0.7272075766184077,-0.3254582391955322,-0.792990401750814,-0.33646004208658836,-0.6794432320998599,-0.2990497754709465,-0.725943094688379,0.04993946970421489
32,BBSgr,-0.7828323526881491,-0.31117008702231413,-0.727536340865626,-0.3323885949840326,-0.7313095004729104,-0.3581034323385023,-0.7538106044775964,-0.3546255250479903,-0.8294000540974628,-0.3698302061081383,-0.7275363408656211,-0.33238859498401785,-0.758737532244561,0.037187257221254086
33,VCar,-0.7977752388950029,-0.10005112583106814,-0.7462569518361567,-0.11464813154438767,-0.7371014816891244,-0.12032415323930193,-0.77177131131602,-0.11886548742965196,-0.8491505092958588,-0.1243424983577077,-0.7462569518361541,-0.11464813154437438,-0.7747187408113861,0.0389777343523381
34,V0495Cyg,-1.3252554672341297,-0.7984328631915265,-1.2185720994010358,-0.8272497328843976,-1.2001374579692525,-0.8662845417554272,-1.2955627752372667,-0.8909944227370652,-1.4086614325814137,-0.921713446620331,-1.218572099401038,-0.8272497328843772,-1.277793555304023,0.07386881468296051
35,USgr,-0.7718413492347543,-0.3068118187259156,-0.7239804249847609,-0.3274497967011648,-0.7354640181405422,-0.35367089574587873,-0.7609765084678554,-0.3517633612710996,-0.828710147154061,-0.36332143124512123,-0.7239804249847502,-0.327449796701146,-0.757492145494454,0.036563536962980134
36,TWCMa,-0.6697826940047121,-0.11435146472695437,-0.6019722830469711,-0.11290693844254045,-0.6051491943785468,-0.11976593975439724,-0.6264811573307312,-0.1164149436818206,-0.6948363303889135,-0.12386391923273697,-0.6019722830469717,-0.11290693844253091,-0.6333656570328078,0.03633065103087305
37,xSgr,-1.1641083139314097,-0.5587352020424812,-1.0231353175651132,-0.5465866738905588,-0.9978494884108399,-0.5553164806525385,-1.0650412729476753,-0.570194907226815,-1.1312444385742673,-0.5776800093312411,-1.0231353175651154,-0.5465866738905475,-1.0674190248324036,0.06081415628288889
38,V0600Aql,-0.9199820726842183,-0.4163975257312211,-0.8915204363696398,-0.44585603359642345,-0.9912395165303473,-0.5113941911453405,-0.9585707864459475,-0.48182297929520645,-1.0331188181692497,-0.4934570498073511,-0.891520436369634,-0.4458560335964028,-0.947658677761506,0.052266620935347355
39,V0459Cyg,-0.8050840984723437,-0.2189047798631749,-0.7496474137522111,-0.23507939008380682,-0.8161925311600884,-0.28079257860925694,-0.7974786242450496,-0.2569259698392287,-0.8918783914224734,-0.2739577314784379,-0.7496474137522123,-0.23507939008380127,-0.8016547454673963,0.047941594774330194
40,CKSct,-0.4112807832680556,0.2027984245810713,-0.4363522849848662,0.1720356434827538,-0.4523933980568101,0.16493640124483083,-0.4836431319225783,0.16625397194983615,-0.5674215317607508,0.15824137693511556,-0.43635228498485773,0.17203564348276382,-0.4645739024963198,0.05086372478107568
41,TZMon,-0.6374667195519208,-0.552644056853638,-0.20037825441148177,-0.42194048751953445,-0.1930948721855105,-0.45224215711154586,-0.20013653626342576,-0.4555107286024292,-0.24545174135184938,-0.484827253213251,-0.20037825441147436,-0.421940487519516,-0.2794843963626104,0.16103020498328272
42,V1344Aql,-0.7446191022040072,-0.7049802217032727,-0.7814354255127449,-0.7736588443715853,-0.7896341096089609,-0.8249904234351321,-0.8475099975353677,-0.8421701254302612,-0.922374458096983,-0.8733592015305862,-0.7814354255127398,-0.7736588443715567,-0.8111680864118006,0.05823534624236291
43,RSOri,-0.8915186914488831,-0.49411531761171223,-0.8009715068485793,-0.4982275262177316,-0.8157276160229326,-0.5281403991412585,-0.8482372143492672,-0.5310580007803687,-0.9158917540013738,-0.5463227063737348,-0.8009715068485774,-0.4982275262177158,-0.845553048253269,0.04459477305712437
44,BKAur,-0.7062072941800756,-0.20198509740863452,-0.6627471671652858,-0.20613276829526497,-0.6503713056728109,-0.20409141283604168,-0.6967748136842833,-0.2128337648337267,-0.751377663854946,-0.2157084822941989,-0.6627471671652796,-0.20613276829525654,-0.6883709019537801,0.03443771080234018
45,GHLup,-0.5928610069640138,-0.1570458527313399,-0.5932467903391646,-0.19657620041191204,-0.5833062887718746,-0.21416283265036262,-0.6131710820165889,-0.21435631402503946,-0.6991453596999021,-0.23375156017982274,-0.593246790339154,-0.1965762004118866,-0.6124962196884497,0.03976431316746451
46,FNAql,-0.6971116043206268,-0.13345737208520875,-0.6460569456709655,-0.14056102879934887,-0.6944979724575996,-0.16917390013378522,-0.6798498168315601,-0.1489680896684395,-0.750045142226656,-0.15636614864266227,-0.6460569456709641,-0.14056102879933086,-0.6856030711963953,0.035414775978678675
