,0.14,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.140000
0,EVSct,-0.801365953149112,-0.44422909964772334,-0.755727999539824,-0.4553321603271981,-0.8170149103598872,-0.4997292638352959,-0.8064800580606024,-0.48585695887805186,-0.8179338184417547,-0.48068560814246325,-0.7557279995398188,-0.4553321603271877,-0.7923751231818331,0.023610987880896394
1,SZTau,-0.8961463800427704,-0.3202443634947056,-0.8390168839516785,-0.33420038180795664,-0.8162515971897912,-0.3409404302878808,-0.8567059217184558,-0.34558943030658573,-0.9140350879372711,-0.3514011257872018,-0.8390168839516696,-0.33420038180794054,-0.8601954591319393,0.03034897294289157
2,SSSct,-0.36176292492002193,-0.25356779199736457,-0.3822105572517573,-0.2794776656304437,-0.3936819782883116,-0.29938250300981994,-0.3866821917845375,-0.2929470995407078,-0.4073676235031269,-0.3005509140526272,-0.3822105572517471,-0.27947766563043464,-0.3856526388332504,0.012728871000933884
3,QZNor,-0.769534457448852,-0.07026503060497129,-0.7346267306550183,-0.08539589395297299,-0.6961858818245481,-0.07456662514177202,-0.7564058510977693,-0.08615860210795198,-0.7947996322330582,-0.07769008196055409,-0.7346267306550122,-0.0853958939529626,-0.747696547319043,0.029055615027326107
4,ADGem,-0.16863383769475643,-0.3513187893500147,-0.18587300415849678,-0.359389892524767,-0.1663712534499136,-0.3595024139948443,-0.1465875087573043,-0.3556067079914946,-0.13581582997994596,-0.36242262956940424,-0.18587300415849162,-0.35938989252475234,-0.16485907303315145,0.014070988773807898
5,YAur,-0.30206691727985535,-0.3168396035827552,-0.2757604219587891,-0.31693189021897183,-0.20203227718445435,-0.2958012796566889,-0.2505212803903128,-0.3185409322491457,-0.2537150870796074,-0.32544599846420813,-0.27576042195878603,-0.3169318902189586,-0.2599760676419675,0.03697181804765791
6,STTau,-0.5649515520974988,-0.30567453813282025,-0.4787896313113413,-0.2895702858929417,-0.4390881851476818,-0.28166348645007894,-0.4716107881671529,-0.29178778393578836,-0.49224674166649546,-0.29581567173865353,-0.4787896313113355,-0.289570285892932,-0.48757942161691764,0.04655669730900265
7,BFOph,-0.355601000709319,0.011666050827728076,-0.3639157327100775,-0.0005971408886689727,-0.3326819027610683,0.014574147643967424,-0.3463137232798135,0.015138466915175387,-0.36141307661352945,0.020866000461119746,-0.36391573271006805,-0.0005971408886513379,-0.353973528130646,0.012384486466189079
8,SYCas,-0.5854705952444254,-0.32345405912494185,-0.5800575203763473,-0.3343863579337874,-0.5373545460077782,-0.3209759058418932,-0.5863557545287673,-0.33751507259388125,-0.6020409351319254,-0.336689170566159,-0.5800575203763436,-0.334386357933775,-0.5785561452775978,0.021263051476638022
9,XSct,-0.20963335002133673,-0.45567289875135053,-0.15474677438674106,-0.45244014482682254,-0.09643235746226309,-0.4523922597211961,-0.18453890862883104,-0.4957529045410097,-0.1687918336992534,-0.5050228112270537,-0.15474677438673803,-0.4524401448268042,-0.16148166643086057,0.04221075816220079
10,YLac,-0.5292055801527892,-0.45592812246415493,-0.5005000560018679,-0.4602313967336573,-0.4718939748542409,-0.4611665240987582,-0.476017325403366,-0.4618592680366886,-0.4861537646345437,-0.46833001333131646,-0.5005000560018688,-0.4602313967336465,-0.49404512617477936,0.022877930131960957
11,TVul,-0.49924178174131045,-0.2818628802198264,-0.49449082983284454,-0.2940470350769664,-0.46360891125365106,-0.2881852840588067,-0.4834616586577497,-0.2927450820582856,-0.4897676178944688,-0.29047453361194825,-0.49449082983283893,-0.29404703507695085,-0.48751027153547727,0.013910632762457934
12,XYCas,-0.5740973770817464,-0.25638928318158555,-0.633561882463126,-0.28613318559888884,-0.593041175774098,-0.26608001601953196,-0.6300519340622163,-0.2761920883335592,-0.6488849412895318,-0.2722784755189067,-0.6335618824631206,-0.2861331855988764,-0.6188665321889731,0.027442179294455905
13,TVel,-0.2531909370864907,-0.09197494499627597,-0.23591807545519586,-0.09585333262034333,-0.20465875506596268,-0.08848350240220994,-0.20327767664601729,-0.08558595119012896,-0.21617952200737672,-0.08888394501309639,-0.23591807545519144,-0.09585333262033587,-0.22485717361937244,0.0212061105775794
14,VZCyg,-0.28243570063314477,-0.3015272553217156,-0.3008545450118926,-0.31832361721084057,-0.2977080577667945,-0.328134785502828,-0.28246364215921665,-0.32182393699498146,-0.2692292501463129,-0.3208981109632495,-0.3008545450118827,-0.3183236172108203,-0.2889242901215407,0.008708147355157948
15,CFCas,-0.15169643171670685,-0.057764754966295205,-0.16117272073045774,-0.06816011401501842,-0.14630675839124047,-0.06663622170013121,-0.1259478372682946,-0.056654157771112997,-0.1439630185793696,-0.06393864402127115,-0.16117272073045247,-0.0681601140150107,-0.14837658123608696,0.01305847728254427
16,VLac,-0.6873797716945855,-0.38844708673164524,-0.6485088178596722,-0.3947759204882066,-0.6226335235016976,-0.39537298339833926,-0.6589453221625035,-0.4049877451638597,-0.6950202083251297,-0.41237261259803837,-0.6485088178596637,-0.39477592048819377,-0.660166076900542,0.0239095152578259
17,V0386Cyg,-0.3567215737919969,0.0468778155866237,-0.3566914251636501,0.03368184808499707,-0.38520239876686346,0.019523046952256724,-0.3448692966373687,0.045331300466125914,-0.38079959164803096,0.04369178209245888,-0.3566914251636522,0.033681848085003366,-0.3634959518619271,0.015085720930016122
18,CRSer,-0.6171880006398724,-0.563678210030828,-0.6240465028793386,-0.5894278416734288,-0.6184720034612576,-0.6080496033571524,-0.6367906072731789,-0.6134179252722014,-0.6668863975039383,-0.6277959235629009,-0.6240465028793345,-0.5894278416734113,-0.6312383357728201,0.010523085778644548
19,V1162Aql,-0.25565131228003785,-0.06428200360898617,-0.30595120568972256,-0.08889492396643026,-0.2843263806660872,-0.07978012058213428,-0.28727233167311433,-0.07766465959851013,-0.2930171160653364,-0.07425735213962455,-0.3059512056897134,-0.08889492396641355,-0.28869492534400193,0.01878009272505376
20,CVMon,-0.2508729680290345,-0.05704995773692923,-0.15088066638034606,-0.029253484953153643,-0.13615541434414333,-0.028854758798386893,-0.13440882126282688,-0.02600675813634854,-0.13286387816140052,-0.023807961964047653,-0.1508806663803449,-0.029253484953143307,-0.15934373575968272,0.04901191720942034
21,SWCas,-0.4063420110846585,-0.280873340759763,-0.40221856903706993,-0.2951536073502003,-0.4031218815055064,-0.3079841680491755,-0.40123222604314557,-0.30418518214195517,-0.42430876335559237,-0.3125777590220628,-0.402218569037059,-0.29515360735019125,-0.4065736700105053,0.003855724247350589
22,XLac,-0.9875123710144715,-0.5344329702100099,-0.9152910977215554,-0.5428279565702623,-0.9057701263999238,-0.5595743102768692,-0.9224355154014431,-0.5563045170458027,-0.9805686769234153,-0.5683302493529783,-0.915291097721548,-0.5428279565702406,-0.9378114808637261,0.03255923389922963
23,VCen,-0.4389611980382182,-0.2190232745112985,-0.3948568283156209,-0.21348665175888898,-0.36007076397498805,-0.2036980450851146,-0.3720389315525782,-0.20573451706670792,-0.3824295031540995,-0.2060520890350201,-0.394856828315616,-0.2134866517588751,-0.39053567555852015,0.03014110136174406
24,FMCas,-0.42542669722068027,-0.09152276075069456,-0.4216625850781275,-0.10236789248053743,-0.4162874934221131,-0.10274568045256809,-0.4134865976524918,-0.09510898089920283,-0.4427920051281818,-0.09696450752551483,-0.42166258507811827,-0.10236789248052024,-0.4235529939299521,0.006348311612015797
25,CSVel,-0.30867581768640745,-0.16038963111692003,-0.2563678443349878,-0.1504441998365906,-0.21844172342153254,-0.14038137905307793,-0.24003292731261053,-0.1482163582425468,-0.23458523994096236,-0.14511065324114292,-0.2563678443349813,-0.1504441998365749,-0.252411899505247,0.03349809623059534
26,MWCyg,-0.6726790857732049,0.008556937358527143,-0.6640071678721597,-0.010749080177125217,-0.6848511612296274,-0.021466687388069696,-0.6835414308407464,-0.0062868773276012835,-0.7390368282687707,-0.004386036055668514,-0.6640071678721532,-0.01074908017711056,-0.6846871403094438,0.011970737099287528
27,FMAql,-0.450143677777641,-0.42371410449508484,-0.4754269963529664,-0.45457932044769067,-0.5383353642423652,-0.5027305032629841,-0.47121824675293256,-0.47074491677045727,-0.49321094580288644,-0.4827188461115055,-0.475426996352962,-0.45457932044768007,-0.4839603712136256,0.032921834867239555
28,CRCep,-0.2942001176739737,0.11555963830898684,-0.2648368834089632,0.11919842050216047,-0.28179178671220884,0.11522364207777067,-0.2616847054468781,0.13123664340419425,-0.3074561715480242,0.1258037538258348,-0.2648368834089516,0.11919842050217905,-0.27913442469983324,0.013628546021375209
