,-0.16,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.160000
0,EVSct,-0.6089618032635551,-0.5683615493410903,-0.46485633836912643,-0.4338637781229705,-0.4128911373848373,-0.39057046717268934,-0.254850480391396,-0.23875036885107648,-0.17599420925545964,-0.1635214815382788,-0.1533496390563734,-0.14125298918133863,-0.3451506012867913,0.1554579572130546
1,SZTau,-0.7022954584735088,-0.3635431876646823,-0.5361034034148928,-0.27751388371349894,-0.38044478506946705,-0.17417692604843596,-0.2945478777592724,-0.11799258431852913,-0.25668985306540487,-0.09045283267256693,-0.2592948156553807,-0.09672339664939433,-0.4048960322396544,0.1720729290594154
2,SSSct,-0.036420907386208234,-0.17905465854271677,-0.027802219378785548,-0.13668294545245688,0.00567315590004891,-0.08311553201732153,0.0770598141872377,-0.0010890081063574253,0.09328433304826023,0.0164146010867244,0.10318950870733021,0.028227609461624163,0.03583061417964721,0.05449481419916966
3,QZNor,-0.5317001141740986,0.1421258622772616,-0.4058779497512215,0.1084930246391291,-0.25685916621717597,0.1425548393397375,-0.22217044230329056,0.10415326819970058,-0.17436442619085396,0.1285551600093208,-0.19278291282135457,0.10093655949586736,-0.29729250190966583,0.13602932279952476
4,ADGem,0.17415798332796095,-0.3567597411326592,0.1329450254411908,-0.2723356802539404,0.18653236611141552,-0.15359116388466096,0.2542613047378799,-0.059354930061023346,0.2665121077762116,-0.041940020558706555,0.2612275203521484,-0.04262686573987693,0.21260605129113452,0.05059429357182959
5,YAur,0.0348039425432114,-0.3828799804940478,0.026567895071153202,-0.2922747942702667,0.13222431965627465,-0.13693275073800382,0.1032790683420329,-0.1469100274581496,0.11327342610804628,-0.13383932902156329,0.10345200301836213,-0.14016266334441552,0.0856001091231801,0.04623693178077573
6,STTau,-0.28590764496965715,-0.4292858319467811,-0.21825011066386124,-0.32769910835632315,-0.13857491965247656,-0.2463041048237675,-0.12017251602650525,-0.2403065771414956,-0.10277992639188377,-0.2291934848661316,-0.10484219342178777,-0.23184053267205357,-0.16175455185436197,0.07223589784154515
7,BFOph,-0.022999972255201118,0.33334678403872414,-0.01755723072916182,0.25446319392268824,0.0581038907450287,0.252101571263914,0.0915250700524455,0.2255149838826174,0.1079819860365237,0.22177994672761786,0.08651492339674388,0.19332391903918392,0.05059477787439648,0.05429677503595805
8,SYCas,-0.3585717704220419,-0.2556548738114536,-0.27371890871911697,-0.19515639222248482,-0.09458106815641394,-0.048185355581014694,-0.03254034320981115,-0.015241323155321562,0.011827953457435189,0.018210293606413762,0.033172877540751745,0.03654685988512473,-0.11906854325153286,0.14947014518235746
9,XSct,0.18238091585816624,-0.7799089579819887,0.13922207317417157,-0.5953503496045734,0.15713824146441177,-0.4300728275999829,0.029974544034646916,-0.47292504710503913,0.04919881623247178,-0.4310473803502463,0.07451916114495225,-0.3937920391364352,0.10540562531813676,0.062118554185235514
10,YLac,-0.278160221343047,-0.5878992748543835,-0.21233604682675444,-0.4487780724079282,-0.08811963771093786,-0.28729549025134393,0.004759380093479787,-0.17972360366721007,0.037994474606113084,-0.14444759087555786,0.027244454490005586,-0.15243259628857667,-0.08476959944852348,0.12419721420753127
11,TVul,-0.23215759848771592,-0.21446859954800396,-0.17721954083031874,-0.16371648820458484,-0.04998359675314437,-0.05278213086548933,0.019680061769680193,-0.0012648360015791033,0.06183190620621324,0.03327156044288542,0.048536455432160876,0.018366497557254564,-0.05488538544385411,0.11399025895017384
12,XYCas,-0.3786965273358816,0.04014755227324179,-0.28908131857701,0.030646986468121834,-0.045674446480580014,0.19093999640078013,0.07532638862777849,0.2520823816028164,0.12709597025480165,0.28392106327145755,0.15339130760539013,0.30308709271018425,-0.05960643765091689,0.2078931061247164
13,TVel,0.12260446020687943,0.03680998640383443,0.09359119099761737,0.028099226262467303,0.11395136420276519,0.04344056427510526,0.12510782120153432,0.03976976516466807,0.1215161603463418,0.029299760145740004,0.09093766342070844,-0.002269929065352512,0.11128477672930775,0.012643036198950002
14,VZCyg,0.04512790821976187,-0.2604149969458038,0.034448784900580676,-0.19879007400443172,0.0825879794173964,-0.11345506424112203,0.15923954347596445,-0.02176124565105121,0.19625198154356763,0.017420909862666138,0.17620747625822994,0.00016873055067041093,0.11564394563591683,0.060329177670064356
15,CFCas,0.24557484478539898,0.1405515888577853,0.18746171357663977,0.10729128920441452,0.18204232802707507,0.09978356266283323,0.21008472636017397,0.11465801688830321,0.191621188475378,0.08979494515606343,0.1758567765050649,0.07326710577591397,0.19877359628828842,0.026106476938214915
16,VLac,-0.4694887066170386,-0.45466603720249843,-0.35838832566186224,-0.34707331084160287,-0.2121512511837308,-0.21316276657745026,-0.136226485732237,-0.15071388012226555,-0.10593726699762618,-0.12651844749723065,-0.07961015688406002,-0.10128821509685153,-0.2269670321794258,0.1453802540655599
17,V0386Cyg,-0.005719385992515369,0.3597884186868115,-0.004365943505737491,0.2746476478525266,-0.028421322196850562,0.17479186881919373,0.060694839326451006,0.20763322259325442,0.054372354566173946,0.18237386122410792,0.046173507641696025,0.16756718225885095,0.020455674973202928,0.036432807195858084
18,CRSer,-0.4017026830603453,-0.7170661800566316,-0.30664326951171483,-0.5473787634020103,-0.1581985872199046,-0.3453298912356043,-0.04259719142580038,-0.19519764457481606,-0.0059115455817421725,-0.14998555990114304,0.031942331031193365,-0.10720522179209144,-0.14718515762805232,0.1591115948818459
19,V1162Aql,0.08092433572432489,0.26574070739941996,0.061774302079636134,0.20285550183161646,0.14528495124613702,0.23965627926344463,0.2021957973101199,0.25782602317530634,0.22269677164752907,0.2645259835642526,0.21324604100152103,0.2508178436566007,0.154353699834878,0.06390212221475866
20,CVMon,0.16112495533274052,-0.08225956561468126,0.1229961491089615,-0.06279356153792617,0.039239420584277346,-0.13792484471128935,-0.001598514201366169,-0.19295799014591034,-0.0060281208516311455,-0.20459350763570644,-0.03872251632503702,-0.2378160430025648,0.04616856227465751,0.07322423950328649
21,SWCas,-0.09803635486167181,-0.25613557679410365,-0.0748369121081473,-0.19552334106420272,-0.026766103140851982,-0.13140081308724522,0.04182099714300262,-0.05883653379863432,0.054077708979482254,-0.04753782154885446,0.0686602668767145,-0.031729904752197134,-0.005846732851911955,0.06318307482281896
22,XLac,-0.844021472412523,-0.7633596938984029,-0.6442912003149038,-0.582717323586568,-0.46943414002236805,-0.41834452324724336,-0.32139889339569283,-0.27462010235430123,-0.2790479535866859,-0.23513441567752658,-0.27378858518947274,-0.2301447280886574,-0.4719970408202743,0.21838831560188404
23,VCen,-0.13490553625670101,-0.1936688970977979,-0.10298132538679572,-0.1478388527464123,-0.028180943776425202,-0.08588269217352029,0.01056486041295776,-0.06892937761102266,0.029159382434546417,-0.05940527208971642,0.010780468983675177,-0.0795970206761181,-0.03592718226479042,0.0642543518211851
24,FMCas,-0.11612916253685215,0.12392828359995256,-0.08864821567698705,0.09460174320606926,-0.0326618030353272,0.09442618821582405,0.03647870430230611,0.11876696700666725,0.04465869805035944,0.11134687358539058,0.04830476804737869,0.10994138382320665,-0.017999501808187032,0.0667149329317119
25,CSVel,0.05108022494261805,-0.14542189804016542,0.038992538124134946,-0.11100908247341054,0.06173920871395072,-0.08051736028694981,0.044093075944240445,-0.10857300563553463,0.06168429600074749,-0.09678731427411466,0.03520620059295745,-0.12350116953961093,0.04879925738644151,0.00852884868852839
