,0.48,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.480000
0,EVSct,0.013622471201676353,-0.1258870622379776,0.010398832978378535,-0.09609699407479298,-0.07382788821948547,-0.16043718307352564,-0.007399282132410034,-0.08368865426337835,0.04359579898251435,-0.02978325596547933,0.058163563911263025,-0.013749051696924405,0.007425582786989461,0.04233157230208782
1,SZTau,-0.0797111840082774,0.07893129943843041,-0.060848232067387875,0.0602529003346786,-0.041381535904115245,0.05595635805072779,-0.0470966795002864,0.037069130269169,-0.03709984482743091,0.04328539290023254,-0.04778161268774429,0.03078054083501989,-0.052319848165873685,0.014272297526589907
2,SSSct,0.5861633670790233,0.263419828560396,0.4474529519687195,0.20108383859572068,0.3447364050654007,0.14701775208184223,0.3245110124462237,0.15397270648134073,0.3128743412862342,0.1501528266595239,0.3147027116749666,0.15573154694603844,0.388406798253428,0.09976750297669208
3,QZNor,0.0908841602911329,0.5846003493803743,0.06937722159628353,0.44625980868730664,0.08220408294817588,0.37268812343890123,0.025280755955695455,0.2592149827873987,0.045225582047120017,0.26229338558212023,0.018730290146281817,0.22844049698028157,0.055283682164114924,0.027471868344464634
4,ADGem,0.7967422577931924,0.08571474597045353,0.6082001967886957,0.06543110379423711,0.5255956152767673,0.0765421202145028,0.501712502996866,0.0957067845266748,0.4861021160141855,0.09179820501409292,0.47274072331978484,0.08487707174453729,0.5651822353649153,0.11244642786280712
5,YAur,0.6573882170084429,0.0595945066090649,0.5018230664186583,0.04549198977791086,0.4712875688216265,0.09320053336115991,0.3507302666010189,0.008151687129548557,0.3328634343460203,-0.00010110344876379518,0.31496520598599853,-0.012658725860001274,0.43817629319696083,0.12049876463726467
6,STTau,0.33667662949557436,0.013188655156331608,0.2570050606836438,0.010067675691854405,0.2004883295128753,-0.01617082072460374,0.1272786822324808,-0.08524486255379743,0.11681008184609021,-0.0954552592933321,0.10667100954584863,-0.10433659518763932,0.19082163221941886,0.08400805005903275
7,BFOph,0.5995843022100303,0.7758212711418369,0.45769794061834324,0.5922299779708657,0.39716713991038055,0.48223485536307775,0.33897626831143157,0.3805766984703155,0.3275719942744977,0.3555181723004174,0.29802812636438025,0.32082785652359813,0.4031709619481773,0.1020446111543213
8,SYCas,0.2640125040431896,0.18681961329165914,0.20153626262838803,0.14261039182569268,0.2444821810089379,0.18194792851814906,0.21491085504917487,0.13982039143237657,0.23141796169540915,0.15194851917921326,0.24468608050838817,0.16405079736953893,0.23350764082224795,0.020608739852353283
9,XSct,0.8049651903233978,-0.337434470878876,0.6144772445216766,-0.2575835655563959,0.49620149062976354,-0.19993954350081913,0.2774257422936329,-0.317863332517341,0.2687888244704457,-0.2973091547774468,0.28603236411258864,-0.26628810165202094,0.4579818093919175,0.20178789298600205
10,YLac,0.3444240531221845,-0.14542478775127082,0.2629191245207506,-0.11101128835975074,0.250943611454414,-0.05716220615218015,0.2522105783524658,-0.024661889079511945,0.2575844828440871,-0.010709365302758372,0.238757657457642,-0.024928658804162424,0.26780658462525736,0.03504770690403375
11,TVul,0.39042667597751557,0.22800588755510875,0.2980356305171863,0.17405029584359266,0.28907965241220746,0.1773511532336744,0.2671312600286662,0.15379687858611907,0.2814219144441872,0.16700978601568495,0.26004965839979727,0.1458704350416688,0.2976907986299267,0.04337747327364681
12,XYCas,0.24388774712934988,0.4826220393763545,0.18617385277049503,0.36841377051629937,0.2933888026847718,0.42107328049994386,0.3227775868867645,0.4071440961905145,0.3466859784927756,0.41765928884425696,0.36490451057302653,0.43059103019459855,0.29296974642286394,0.061594280576009
13,TVel,0.7451887346721109,0.47928447350694714,0.5688463623451224,0.3658660103106448,0.453014613368117,0.27357384837426896,0.37255901946052034,0.1948314797523662,0.34110616858431575,0.16303798571853945,0.30245086638834484,0.12523400841906174,0.4638609608030886,0.15261219710117882
14,VZCyg,0.6677121826849933,0.18205949015730893,0.5097039562480857,0.13897671004374582,0.42165122858274817,0.11667821985804172,0.40669074173495046,0.13330046893664693,0.4158419897815416,0.15115913543546564,0.38772067922586634,0.12767266803508467,0.4682201297096977,0.09720780684682354
15,CFCas,0.8681591192506305,0.5830260759608981,0.6627168849241448,0.445058073252592,0.5211055771924269,0.32991684676199695,0.45753592461916,0.2697197314760013,0.411211196713352,0.22353317072886286,0.3873699794727013,0.20077104326032819,0.5513497803620692,0.16783659626109101
16,VLac,0.1530955678481929,-0.01219155009938569,0.11686684568564278,-0.009306526793425363,0.12691199798162106,0.01697051752171347,0.11122471252674904,0.004347834465432604,0.1136527412403478,0.007219778075568867,0.1319030460835764,0.02621572238756273,0.12560915189435498,0.014277659375600816
17,V0386Cyg,0.6168648884727161,0.8022629057899242,0.4708892278417675,0.6124144319007041,0.3106419269685013,0.40492515291835746,0.308146037585437,0.3626949371809526,0.27396236280414793,0.3161120867969074,0.25768671060933246,0.29507111974326516,0.3730318590469837,0.129262364122856
18,CRSer,0.22088159140488625,-0.2745916929535188,0.16861190183579022,-0.2096119793538328,0.18086466194544726,-0.11519660713644059,0.20485400683318566,-0.04013592998711793,0.2136784626562318,-0.016247334328343577,0.24345553399882977,0.020298715692322805,0.2053910264457285,0.02487328181568672
19,V1162Aql,0.7035086101895563,0.7082151945025327,0.5370294734271411,0.540622285879794,0.48434820041148885,0.46978956336260835,0.4496469955691059,0.41288773776300447,0.442286779885503,0.39826420913705207,0.42475924396915743,0.378321781141015,0.5069298839086588,0.0951062455075944
20,CVMon,0.783709229797972,0.3602149214884314,0.5982513204564666,0.27497322251025136,0.3783026697496292,0.09220843938787437,0.24585268405761984,-0.03789627555821218,0.21356188738634285,-0.07085528206290703,0.17279068664259933,-0.11031210551815052,0.3987447463484383,0.22253925353669807
21,SWCas,0.5245479196035597,0.18633891030900906,0.4004182592393577,0.14224344298397484,0.31229714602449987,0.09873247101191852,0.2892721954019887,0.09622518078906381,0.2736677172174562,0.08620040402394502,0.28017346984435093,0.0957740327322171,0.3467294512218689,0.0901448198958775
22,XLac,-0.22143719794729158,-0.3208852067952901,-0.1690360289673988,-0.24495053953839052,-0.13037089085701625,-0.18821123914807963,-0.07394769513670682,-0.11955838776660305,-0.05945794534871193,-0.10139619010472711,-0.062275382221836366,-0.10264079060424318,-0.11942085674649365,0.06043986937756894
23,VCen,0.48767873820853047,0.24880559000531483,0.37227384596070934,0.18992793130176522,0.31088230538892664,0.14425059192564343,0.2580160586719438,0.08613233697667544,0.24874939067252044,0.07433295348308311,0.2222936719513116,0.047906916808296174,0.31664900180899036,0.09067309072831153
24,FMCas,0.5064551119283793,0.5664027707030652,0.386606955670518,0.43236852725424674,0.3064014461300246,0.3245594723149878,0.28392990256129214,0.27382868159436535,0.2642487062883334,0.2450850991581901,0.25981797101501514,0.23744532130762086,0.3345766822655938,0.08769566054690975
25,CSVel,0.6736644994078496,0.2970525890629473,0.51424770947164,0.226757701574767,0.4008024578793025,0.14961592381221395,0.29154427420322643,0.046488708952163504,0.28127430423872146,0.036950911298684885,0.24671940356059385,0.004002767944803365,0.40137544146022236,0.15126547678170263
26,MWCyg,0.2058043053766654,0.7833220591546989,0.15710252318829332,0.5979557703470966,0.09058461043703865,0.4276735911929974,0.108737098355069,0.3763014970828365,0.10057305299296267,0.34730116949981105,0.10462332738531828,0.34237953789379505,0.12790415295589122,0.04076372707797676
27,FMAql,0.45378538601570595,-0.025946069144299977,0.34640105802725524,-0.019806159652139027,0.21925725546166047,-0.06693135775036921,0.3114112717772055,0.07525444228991854,0.3096899594325423,0.08830983807575776,0.30844762081664745,0.09368453156893353,0.32483209192183615,0.0694239055047374
28,CRCep,0.7053102442067752,0.8705221120431897,0.5384047665700568,0.6645206962161735,0.35156662839506514,0.422253576253825,0.2937019091674061,0.3123160571150775,0.23273237851593093,0.23483322627065006,0.2498434674769796,0.24589397259723633,0.395259899055369,0.1714671641748898
29,RSCas,0.3480246312527724,0.4794959901635375,0.265667657444864,0.3660274734072788,0.26397240083524054,0.32358515830492734,0.1907678335918424,0.21314511349570886,0.178156125809396,0.18877056072365506,0.18843942408657371,0.1946940750081011,0.23917134550344818,0.060284975409618455
30,RRLac,0.06417005432935027,0.43146774820914946,0.04898477429721338,0.32936469328942486,0.10653589362607718,0.3030391077821757,0.08911060018313863,0.21904069452971076,0.11233213969876912,0.22168028277344554,0.1256151472192407,0.22683729787911633,0.09112476822563155,0.027028485579882827
31,XXSgr,0.5291434244665113,0.20911337629393317,0.4039262782187104,0.15962853152208434,0.2862766740616085,0.06872831818282937,0.22203548370281395,0.004571718476719555,0.21086824285855477,-0.007653857078895765,0.2143159389872294,-0.0033955859114790377,0.3110943403825714,0.11840741662336425
32,BBSgr,0.5404077190259724,0.28893819093333695,0.41252497635570345,0.2205635045292631,0.3296960965766255,0.1707402368167501,0.3092134945911317,0.1653088039186159,0.2990426288273049,0.15921961415056562,0.2681369107163533,0.130572839037455,0.3598369710155152,0.09215736787508445
33,VCar,0.5157536159939673,0.7387891774302906,0.3937050503770737,0.5639612041452584,0.3389523296995184,0.45196612948900194,0.3107816775976443,0.375482405142906,0.30113350011747075,0.35074992522564685,0.2735182239597803,0.3173464761354765,0.35564073295757576,0.08071659282318687
34,V0495Cyg,-0.1609357903886111,-0.6688868776867078,-0.12285174838825298,-0.5106006699898537,-0.059045846245705774,-0.34449058268836263,-0.06769007857525791,-0.2781849538217819,-0.04762458134644483,-0.2352682130704804,-0.03247438241563575,-0.21073305756819238,-0.08177040455998473,0.04521344065786444
35,USgr,0.5431836202967021,0.3270163363464046,0.41464398495931365,0.24963079110412398,0.33326743965742767,0.19218418965462772,0.31757799970519285,0.1838797569076625,0.31650529009173245,0.18449489530122562,0.299605982811081,0.16893630363997372,0.37079738625357495,0.0855337998800166
36,TWCMa,0.6693486464485051,0.6776860948124072,0.510953165227866,0.5173176296277903,0.4053809328240405,0.3763367669384694,0.36852998602101233,0.2960903895311432,0.3437747957580247,0.2571347146546926,0.3418825745181198,0.25052427705858826,0.439978350132928,0.11749320001331018
37,xSgr,0.018175672616731087,-0.21537727509594615,0.01387455924941211,-0.16441013366102947,0.047211733885950735,-0.11549420173367975,0.04543472053086378,-0.12213804841263654,0.07733475187283578,-0.09262638397128331,0.0672946356609676,-0.10260844771862954,0.044887678969460186,0.023223298689229822
38,V0600Aql,0.3233911380073538,0.21459217813087336,0.24686346412775073,0.16381082300066568,0.12695070739430697,0.05435585446718677,0.24924366184196226,0.17838262591686208,0.2679384437173559,0.19727667721845848,0.2947701575574752,0.22456852216395917,0.25152626210770085,0.0617116620097809
39,V0459Cyg,0.5042311702527152,0.4950806057291259,0.38490929026924803,0.3779241265107815,0.23217394639524766,0.21069835214360266,0.2773851490980638,0.23684133063467805,0.25070311450743593,0.2038760275186407,0.27044420472388464,0.2215759929134813,0.3199744792077659,0.09569187752161823
40,CKSct,1.0140502381743872,1.3948198063918598,0.7740841512781571,1.0647479438105778,0.6282246585680142,0.8306878302027915,0.5466635427374794,0.678552354258955,0.4953863303015047,0.6054269564440392,0.5232574847895148,0.6247052680830708,0.6636110676415096,0.1816312778005493
41,TZMon,0.8478033356446705,-1.0344215785919975,0.6471781188127251,-0.78963479281832,0.20071129255248232,-0.9932834221234572,-0.04814134881551024,-1.1347619514406864,-0.14039508584033222,-1.1981967765945338,-0.18798403004727327,-1.2294495482633638,0.21986204705112702,0.39691004083711645
42,V1344Aql,0.5542237258370893,-0.3195405902688382,0.4230715464405254,-0.24392411470903852,0.41151025126746277,-0.08663191937307646,0.3951178981536361,0.016992411447745992,0.4057357682254786,0.06399688803174142,0.4249694635355321,0.09840986612915059,0.4357714422432874,0.053932629786782794
43,RSOri,0.3743356441345049,-0.07095096367626957,0.28575240010267444,-0.054161040974253394,0.21924326731916557,-0.06473903989721469,0.2169948621999942,-0.043477466677939114,0.22146899871427927,-0.03280587205625818,0.23217448520399925,-0.018440462593931894,0.25832827627910293,0.05699197039826964
44,BKAur,0.5897561440640244,0.6010835968340325,0.4501955298198653,0.4588424403313208,0.41848801418927006,0.3904801117285651,0.38841754238544085,0.31576798481837065,0.3885211820073031,0.301272666582445,0.4017701260973476,0.3096610092014087,0.4395247564272086,0.07043271470243602
45,GHLup,0.7890629949080311,0.6434177209712401,0.6023381640519314,0.4911585656268998,0.516743196505413,0.4256984770821555,0.4605911665961421,0.3795373361135067,0.4253467254197492,0.3470745037882486,0.39923404715928423,0.3224080137182421,0.5322193824400919,0.1325155730815053
46,FNAql,0.6293411537666322,0.6785877087850393,0.48041309447834457,0.5180058845687305,0.3372409688177491,0.3377720645673634,0.36342918981987044,0.32276207501293774,0.345816234381118,0.2918079052139454,0.3509278430183794,0.29233669105360427,0.41786141404701566,0.10627756670128477
47,YZSgr,0.6161442493432661,0.46860152500304364,0.4703391216360804,0.35771108778858113,0.38859999349071206,0.28096340490726923,0.36943800934166116,0.2526637148612652,0.36709421097054457,0.24682307664888992,0.3714640481371599,0.2505732791348481,0.43051327215323737,0.09040709486677069
48,SNor,0.5764943517571186,0.45593811785428273,0.44007202424207453,0.34804436477425993,0.38741210634545775,0.30128623356909684,0.3213008444474059,0.2299879303780929,0.30177366001449274,0.20835085875865955,0.2747488642670671,0.1810664884530716,0.3836336418456028,0.102336984414468
49,DDCas,0.8026420255057481,0.4819222293936921,0.6127038362639292,0.3678795644226642,0.4872644628145518,0.272789232334975,0.49095914363930443,0.28099654521465045,0.4566911196332696,0.2471197410520669,0.4735336092815309,0.26525384627967213,0.5539656995230556,0.12222972218202575
50,BZCyg,0.4720186158537305,0.07053554399975673,0.3603195540868161,0.05384392671736975,0.29984534493496695,0.04946945546463792,0.211686533225441,-0.010403217646850635,0.16870550146396696,-0.04547209849213728,0.16506328960599642,-0.045047084697572085,0.27960647319515297,0.11103973063873684
51,SYAur,0.49680899100949466,-0.17899109541818575,0.37924350458739964,-0.13663442398334985,0.32278498880323403,-0.1119153663108638,0.32504057649825535,-0.07861425981424236,0.3523151340626342,-0.04345372430428951,0.36295353846961104,-0.027762461126730198,0.37319112223843814,0.058762058561486294
52,YSct,0.5781103022436854,0.5315833739584696,0.44130557423182015,0.4057888350827996,0.35578007503284015,0.3169420208111343,0.3293337000983261,0.28149443234645216,0.29500657808998276,0.24405803704449947,0.29433621379955643,0.24252984915897752,0.3823120739160351,0.10057322035672075
53,TWNor,0.5357236973083077,0.6769725317591304,0.4089493872582498,0.5167729250069684,0.19319495829764563,0.2561251492595683,0.05066586104415577,0.0721963412172234,0.029210917995378394,0.037646338375489474,0.009156080580268539,0.01275647487249798,0.2044834837473343,0.20173701667129376
