,-0.46,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.460000
0,EVSct,-0.29402826345570615,-0.3781836820697636,-0.22444905607305857,-0.28868983364104184,-0.2052115694860628,-0.21209428785999374,-0.09564469251237699,-0.09676114747992073,-0.05174114574959917,-0.05714765454004321,-0.0362199509823368,-0.037309264256306554,-0.15121577970985675,0.08910977685755606
1,SZTau,-0.3873619186656599,-0.17336532039335556,-0.295696121118825,-0.13233993923157025,-0.20646737918271316,-0.08160167476747747,-0.11932991948249717,-0.04153208233718126,-0.0778518058495227,-0.025243390313331955,-0.052095229753857365,-0.017364161270012758,-0.18980039567551255,0.1177798119240428
2,SSSct,0.27851263242164076,0.011123208728610001,0.2126050629172824,0.00849099902947184,0.15201633764945008,0.006843308988519703,0.09803991955844646,0.010660242052079709,0.06948537227610885,0.007566824497837563,0.04048507443905459,0.005025636762412609,0.1418573998769972,0.0801608695150313
3,QZNor,-0.21676657436624958,0.3323037295485883,-0.16547066745515357,0.2536669691210576,-0.10135119025008357,0.16518762508680632,-0.06957215074630126,0.06729015182697198,-0.040725529962967806,0.04319021197007735,-0.029184463659631225,0.023014347169938335,-0.10384509607339786,0.06657669572684681
4,ADGem,0.4890915231358099,-0.16658187386133244,0.3733523077372587,-0.1271617357720119,0.3046772095252993,-0.08293359948220055,0.18073696531911476,-0.047132593990631334,0.12654461631826308,-0.03094875649598442,0.0658750674103531,-0.024142411163747653,0.2567129482410165,0.1375476849998981
5,YAur,0.34973748235106034,-0.19270211322272107,0.2669751773672211,-0.14710084978833812,0.24488531760478857,-0.08563417625775852,0.11152629693339572,-0.061307661792069625,0.07790093797482311,-0.03990480001736222,0.0364250000589298,-0.02927988928575789,0.18124170204836984,0.10565486770790403
6,STTau,0.0290258948381919,-0.23910796467545434,0.022157171632206707,-0.18252516387439466,0.023133613039594436,-0.13923965012742454,-0.00915237760290033,-0.0915528578419367,-0.004641525256098185,-0.05992346335851421,-0.014770683569914171,-0.04368533077375214,0.007625348846846726,0.017256561109382354
7,BFOph,0.2919335675526478,0.5235246513100509,0.22285005156690604,0.3996371384046166,0.18607538273229388,0.2512267766634604,0.10413729822838053,0.10660962952510902,0.07380827851356409,0.06523254571369488,0.03815549442375938,0.034661570037503586,0.15282667883625864,0.08326183296035782
8,SYCas,-0.04363823061419289,-0.06547700654012681,-0.03331162642304905,-0.049982447740556324,0.03265474900948817,-0.022455733398557914,0.012370223794778201,-0.026966436615495505,0.015730738218967748,-0.017182256491948468,0.003526067596332512,-0.015519676017154756,-0.002111346402945885,0.032079342462265514
9,XSct,0.4973144556660151,-0.589731090710662,0.37962935547023946,-0.4501764051226447,0.28893349236949695,-0.2861219149628248,0.1076301676522613,-0.15612694925383988,0.07809173391900559,-0.09630701600192323,0.04146205675420301,-0.058794142727644494,0.23217687697187028,0.16641316447688503
10,YLac,0.03677331846480203,-0.3977214075830568,0.028071235469313532,-0.30360412792599967,0.053646853622468155,-0.19368706839257083,0.03432110903040392,-0.1008720712506938,0.028724733133877738,-0.06363494642959899,0.0050763714498873805,-0.04454491220134352,0.03110227019512546,0.011831812259180662
11,TVul,0.0827759413201331,-0.024290732276677218,0.06318774146574921,-0.01854254372265632,0.08310126305256926,-0.0072999231743944015,0.04840193192686182,-0.012907768874305538,0.040508384486583275,-0.007704970057553752,0.015348691030699808,-0.009748715475496324,0.055553992213766085,0.0200581201624534
12,XYCas,-0.06376298752803258,0.23032541954456848,-0.04867403628094208,0.17582093095005025,0.05581507429376914,0.14048989317361452,0.047477143637316366,0.05783222866095574,0.04125699704040197,0.03616218366910064,0.021995309392328695,0.0172065693378376,0.009017916759140251,0.05544030023328151
13,TVel,0.43753800001472837,0.2269878536751611,0.33399847329368526,0.17327317074439574,0.2490336906802015,0.09990041079040865,0.1340544296842694,0.036089355145240774,0.0905665349858647,0.020422091298833343,0.045348244815285106,0.007791678064651756,0.2150898955790057,0.1335489956718349
14,VZCyg,0.3600614480276108,-0.07023712967447704,0.27485606719664857,-0.05361612952250311,0.2157458264926718,-0.03488200798281185,0.13385960441508538,-0.01681042028035632,0.099275941684981,-0.009281404280852869,0.05073799527290213,-0.009334927706438009,0.18908948051498328,0.10043433310010934
15,CFCas,0.5605083845932479,0.33072945612911203,0.4278689958727079,0.25246523368634344,0.312761871857269,0.15050583793109848,0.1803387458167739,0.0656420056483599,0.11948375877095568,0.038244665679292654,0.06606175360285305,0.019976660957730655,0.2778372517523012,0.1681800979118306
16,VLac,-0.1545551668091896,-0.26448816993117163,-0.1179810433657943,-0.20189936635967431,-0.05845076418604225,-0.1298081454380966,-0.037741211129703994,-0.07350086828643076,-0.02234302566160496,-0.04687898211043715,-0.01901029022567618,-0.03238464366318028,-0.06834691689633522,0.05227344432731226
17,V0386Cyg,0.3092141538153335,0.5499662859581382,0.23604133879033037,0.419821592334455,0.13747313071947556,0.24070713455610218,0.09750999739195504,0.11426525965616088,0.06413903793947057,0.0690731676079114,0.035800674579512255,0.039087852030554426,0.14669638887267955,0.09604544965223365
18,CRSer,-0.08676914325249624,-0.5268883127853048,-0.06623598721564686,-0.40220481892008153,-0.014274481917243204,-0.23938977730561567,0.00408284347320495,-0.10782666630508633,0.008043756012370278,-0.06599811192101665,0.0024249498538449,-0.04023712441499688,-0.025454677174327697,0.040062578833392114
19,V1162Aql,0.39585787553217383,0.45591857467074665,0.30218158437570397,0.3480294463135449,0.25760146317500954,0.23064117569618406,0.1559060135817733,0.10514894455778404,0.11069115311328542,0.06537961683961316,0.06265137790345626,0.036422259577616134,0.21414824461356707,0.10729468597880494
20,CVMon,0.47605849514058945,0.10791830165664545,0.3634034314050294,0.08238038294400218,0.21554381344702575,-0.00036260311381972055,0.09367049302022895,-0.028081049261858372,0.06307927458723994,-0.021069180049777515,0.024093403738128745,-0.020627928255736668,0.20597481855637376,0.16615714527070816
21,SWCas,0.2168971849461772,-0.06595770952277691,0.16557037018792084,-0.05034939658227364,0.12255319491426728,-0.038136180430587446,0.07541433480734933,-0.019702439033788578,0.05287537208024256,-0.0129511966828472,0.028067357008032097,-0.009719388718083307,0.11022963565733156,0.06285805090779434
22,XLac,-0.529087932604674,-0.5731818266270761,-0.4038839180188359,-0.4375433791046393,-0.2844487151893191,-0.2808114695155527,-0.15124739833545864,-0.13396138707604938,-0.09927892589697973,-0.08352995610849318,-0.06834933469487342,-0.0542776169804178,-0.2560493707900235,0.16446510707809564
23,VCen,0.180028003551148,-0.0034910298264710926,0.13742595690927226,-0.0026649082644839006,0.11669649505860505,-0.016933079458771844,0.05705991527551535,-0.02727077904075379,0.041677407670727466,-0.01921875084424394,0.01324643538577381,-0.01882806627484834,0.09102236897517367,0.054515834788799816
24,FMCas,0.19880437727099687,0.3141061508712792,0.15175906661908087,0.23977568768799762,0.11485334760267649,0.14067037782058853,0.07193195192630075,0.058750010075431035,0.049436925685480186,0.03472017088896264,0.025564477741863552,0.01720124714354854,0.10205835780773313,0.05679186744931463
25,CSVel,0.36601376475046693,0.04475596923116126,0.27939982042020284,0.03416486200851787,0.20629261570680377,0.0007687598010578667,0.09443902986711239,-0.02229969110042538,0.067992646547676,-0.015540355297128362,0.028725732259650257,-0.016159076214019016,0.17381060159198536,0.11773494245540594
26,MWCyg,-0.1018464292807171,0.5310254393229128,-0.07774536586314376,0.40536293078084745,-0.07428923399198574,0.242211882225383,-0.025144206689739754,0.11392840512036675,-0.016113472006221312,0.0701817296956129,-0.009228969011690815,0.04051703206754853,-0.050727946140583076,0.0337368577986987
27,FMAql,0.1461346513583235,-0.27824268897608595,0.1115531689758181,-0.21239899921838779,0.052490514705739316,-0.14327649502034548,0.07431051762767543,-0.04486661988918684,0.054842234589134335,-0.02630507329523677,0.029806034069148342,-0.015435322295416522,0.07818952022097317,0.0400161200302429
28,CRCep,0.3976595095493927,0.6182254922114039,0.3035568775186197,0.47192785664992426,0.18086375627506415,0.25837402300919976,0.10286521940988613,0.10693763855525676,0.06228191734735721,0.06132901064860299,0.03662792140585026,0.03315841824376142,0.18064253358436166,0.13062701035914231
29,RSCas,0.040373896595389924,0.22719937033175153,0.0308197683934269,0.17343463384102964,0.05958125381673521,0.10944557496021648,0.017595440532804568,0.03096491150112437,0.01306996096251286,0.017010732789884984,0.003778375247072814,0.005597744233826422,0.02753644925799038,0.018036583603665106
30,RRLac,-0.24348068032803222,0.17917112837736343,-0.1858631147542237,0.13677185372317563,-0.08772304580988963,0.08029173866972353,-0.05789468309605983,0.011403220726651585,-0.031868486017297616,0.005443102305398594,-0.026136242038853917,-0.004677713417231329,-0.10549437534072616,0.08378679116371067
31,XXSgr,0.22149268980912878,-0.0431832435378528,0.16907838916727327,-0.03296430804416478,0.11094655983295518,-0.05271952762540469,0.05019440290831434,-0.04619483627862062,0.03678860806481559,-0.03121708872867477,0.013553381681371386,-0.025193711113938196,0.10034233857730977,0.07421138257470938
32,BBSgr,0.23275698436858988,0.03664157110155103,0.17767708730426637,0.027970664963014202,0.1348439103137318,0.017596603236760572,0.08564103463395789,0.010346848284412617,0.06113211479544788,0.00667693764790591,0.02980668623193756,0.0016858799576749996,0.12030963627465524,0.0658570185943717
33,VCar,0.20810288133658483,0.4864925575985047,0.15885716132563663,0.3713683645790093,0.13553353943310162,0.2294776260877787,0.0825979709443036,0.09759912236710414,0.059045242881057995,0.05931878535847126,0.028774777838481376,0.030517615291477788,0.11215192895986102,0.056586438602922125
34,V0495Cyg,-0.46858652504599363,-0.9211834975184938,-0.3576996374396901,-0.7031935095561022,-0.23206682647940566,-0.4196418330051762,-0.13859896225152885,-0.19015244599185407,-0.08913409459325794,-0.11539509589940386,-0.0570086802139163,-0.06775350121621693,-0.2238491210039654,0.14590020385347127
35,USgr,0.23553288563931957,0.07471971651461862,0.17979609590787657,0.057037951537875026,0.137947025855763,0.03294624259737189,0.08823559574335493,0.015020150234477357,0.0650119381084045,0.009776022854318743,0.0332485655686447,0.003132423941354715,0.12329535113722723,0.0656381297933647
36,TWCMa,0.3616979117911225,0.42538947498062113,0.2761052761764289,0.3247247900615409,0.2078015885527942,0.17874498414475806,0.11976081994388005,0.06314932977349677,0.0820107173597463,0.03535953763195756,0.041893561978187284,0.01377670606752535,0.18154497930035987,0.10712541797716998
37,xSgr,-0.2894750620406514,-0.46767389492773215,-0.22097332980202494,-0.35700297322727853,-0.12840898580042068,-0.24463070095248465,-0.08310908721955784,-0.14265786673800265,-0.04721639033864956,-0.09031753515601351,-0.04404780713814698,-0.06480749517822681,-0.1355384437232419,0.09191744776150788
38,V0600Aql,0.015740403349971344,-0.03770444170091261,0.01201557507631365,-0.028782016565583268,-0.027066225109958097,-0.04195272654300275,0.034622618793044346,-0.004574388664161412,0.03165936842352101,-0.0014493426988996042,0.01828110160667868,-0.0023194693956921607,0.014208807023261822,0.023062458901055804
39,V0459Cyg,0.19658043559533278,0.2427839858973399,0.15006140121781095,0.18533128694453244,0.07062064475763999,0.0867560145567626,0.06940933396546944,0.04409099311980993,0.04611164821838692,0.02530202727940669,0.026770030913540972,0.012929155398233586,0.09325891577803018,0.06120284445375155
40,CKSct,0.7063995035170048,1.1425231865600738,0.53923626222672,0.8721551042443285,0.4012144452427826,0.5486682584496542,0.23479375451039142,0.2529070260553353,0.15620688846189978,0.1548129132574987,0.10102858065220333,0.09333301095244151,0.35647990576850025,0.20775725567615355
41,TZMon,0.5401526009872879,-1.2867181984237832,0.4123302297612881,-0.9822276323845693,0.1375364573664308,-0.7829781831254905,-0.012645734300493983,-0.44710858787585894,-0.022229143347136666,-0.29156072503864366,-0.049978521389302914,-0.19594629858469684,0.16752764817967888,0.24090432680041085
42,V1344Aql,0.24657299117970682,-0.5718372101006242,0.18822365738908828,-0.43651695427528686,0.18238961959647246,-0.21866029420590147,0.12042467454220343,-0.06939743411213647,0.0895501615714466,-0.036802252805909964,0.05899238374372729,-0.01363162134311113,0.14769224800377415,0.057809222178880404
43,RSOri,0.06668490947712241,-0.32324758350805555,0.050904511051237195,-0.24675388054050285,0.04089010325344672,-0.1742598930457629,0.026771126199777007,-0.09291429296485679,0.023505213690694853,-0.05885177069485587,0.005969586618358343,-0.0407317229415842,0.03578757504843942,0.017961759190249182
44,BKAur,0.2821054094066419,0.3487869770022464,0.21534764076842824,0.2662496007650715,0.2005477196962843,0.1568754062530863,0.1143092374302378,0.04950207010669918,0.08354795101946844,0.028049461789150486,0.04334965633737876,0.008781995894667553,0.15653460244307324,0.07574156220225721
45,GHLup,0.4814122602506486,0.39112110113945403,0.36749027500049425,0.29856572606065096,0.29107698922118697,0.21073008631666193,0.17470152493465535,0.10940078784128002,0.11753722278460704,0.06845774999561491,0.07000340881510814,0.04277683169383001,0.2503702801677834,0.13645538321253103
46,FNAql,0.3216904191092496,0.42629108895325324,0.2455652054269075,0.3254130450024813,0.1587266513892828,0.1717400140970762,0.11366738635627605,0.07228518365691164,0.07919998996100153,0.04214670069694706,0.04255709371337558,0.019428486271217963,0.16023445765934882,0.09423392384350776
47,YZSgr,0.30849351468588354,0.2163049051712576,0.23549123258464325,0.16511824822233206,0.18565407715672497,0.09755624561198031,0.11481297463698936,0.039622129868920906,0.08333654150928826,0.02420162991026422,0.046137457074371675,0.010971454751764646,0.16232096627465017,0.08590946559283924
48,SNor,0.2688436170997361,0.2036414980224967,0.20522413519063745,0.15545152520801092,0.17619967413874713,0.10358550829487614,0.09449708789724087,0.04075596041477655,0.06526904959976276,0.02434404690282945,0.0326517548308139,0.011383939929161539,0.1404475531261564,0.07757450328477251
49,DDCas,0.49499129084836563,0.22962560956190609,0.37785594721249205,0.1752867248564151,0.28091276084562267,0.09941652052934732,0.18089891806510688,0.04543907339888711,0.12232634517521013,0.02575395290545681,0.07118853811965498,0.012562695570979557,0.254695633377742,0.14057360960250917
50,BZCyg,0.16436788119634804,-0.18176107583202925,0.12547166503537902,-0.13874891284887914,0.10533757506040273,-0.08868016457317306,0.04173814059049219,-0.05254834936295337,0.023358063584432313,-0.03544446894389371,0.008292421954147151,-0.02360612112461387,0.07809429123686691,0.05420266154870129
51,SYAur,0.18915825635211214,-0.43128771524997167,0.14439561553596245,-0.3292272635495989,0.12907865894430284,-0.23127259656362262,0.07604814822690309,-0.12975325121606537,0.06321594093521476,-0.0816921573666998,0.025146167149420647,-0.05827846494129213,0.10450713119065265,0.05042464145124508
