,0.34,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.340000
0,EVSct,-0.13334651404198647,-0.2146367336312634,-0.10179123209311981,-0.1638448348330263,-0.12230993240347356,-0.1291334942442177,-0.04849414178389612,-0.05279122047704485,-0.02151079729341561,-0.029267642232033528,-0.012728051070152952,-0.01781107901633959,-0.07336344478100741,0.047933454902797726
1,SZTau,-0.22668016925194023,-0.009818371954855368,-0.17303829713888622,-0.0074949404235547246,-0.1235657421001239,0.0013591188482985628,-0.07217936875401632,0.002437844665694619,-0.047621457393339145,0.0026366219946777347,-0.02860332984167352,0.002134023969954199,-0.11194806074666323,0.07035179357576457
2,SSSct,0.4391943818353604,0.1746701571671102,0.33526288689722117,0.13333599783748737,0.2349179747320393,0.08980410260429575,0.14519047028692733,0.05463016905495559,0.09971572073229243,0.035446836805847245,0.06397697435123847,0.024523822002379576,0.21970973480584652,0.13289200419784014
3,QZNor,-0.05608482495252993,0.4958506779870886,-0.04281284347521482,0.3785119679290732,-0.01844955316749433,0.24814841870258242,-0.02242160001782037,0.11126007882984784,-0.010495181506784246,0.07107022427808707,-0.005692563747447366,0.04251253240990527,-0.02599276114454851,0.017843643318197305
4,ADGem,0.6497732725495297,-0.003034925422832249,0.4960101317171975,-0.002316736963996341,0.3875788466078886,2.7194133575492163e-05,0.22788751604759572,-0.003162666987755469,0.15677496477444675,-0.0030687441879747035,0.0893669673225369,-0.004644225923780665,0.33456528316986583,0.19635966617720602
5,YAur,0.5104192317647801,-0.029155164784220866,0.38963300134715995,-0.022255850980322595,0.3277869546873779,-0.002673382641982469,0.15867684766187662,-0.01733773478919373,0.10813128643100667,-0.012024787709352502,0.0599168999711136,-0.009781704045790929,0.25909403697721917,0.16200225696253792
6,STTau,0.18970764425191153,-0.07556101623695416,0.14481499561214545,-0.05768016506637913,0.10603525012218368,-0.056278856511648545,0.037998173125580514,-0.04758293083906079,0.025588823200085375,-0.03204345105050449,0.008721216342269689,-0.024187145533785148,0.08547768377569602,0.06650808173500136
7,BFOph,0.45261531696636753,0.6870715997485511,0.34550787554684487,0.5244821372126323,0.2689770198148831,0.3341875702792365,0.15128784895686137,0.15057955652798483,0.10403862696974764,0.0931125580217046,0.06164739433594324,0.05415975527747052,0.23067901376510794,0.1383356789529572
8,SYCas,0.11704351879952676,0.09806994189837334,0.08934619755688969,0.0748625510674592,0.11555638609207741,0.06050506021721813,0.059520774523259046,0.01700349038738036,0.04596108667515131,0.01069775581606125,0.027017967508516372,0.003978509222812232,0.07574098852590343,0.03415683747247308
9,XSct,0.6579962050797349,-0.4261841422721617,0.5022871794501782,-0.3253314063146291,0.37183512945208624,-0.20316112134704872,0.1547807183807422,-0.11215702225096391,0.1083220823751892,-0.06842700369391352,0.06495395666638693,-0.03929595748767756,0.3100292119007196,0.21859927852979627
10,YLac,0.19745506787852168,-0.23417445914455662,0.15072905944925225,-0.17875912911798414,0.13654849070505737,-0.11072627477679478,0.08147165975888476,-0.05690214424781795,0.05895508159006135,-0.035754934121589324,0.02856827136207124,-0.02504672696137654,0.10895460512397477,0.057815924505630445
11,TVul,0.24345769073385276,0.139256216161823,0.18584556544568795,0.10630245508535921,0.1660029001351585,0.07566087044138162,0.09555248265534266,0.031062158128570327,0.07073873294276684,0.02017504225045591,0.03884059094288367,0.009749469764470664,0.13340632714261538,0.07097714688688668
12,XYCas,0.09691876188568706,0.3938723679830688,0.07398378769899668,0.30066592975806583,0.13871671137635838,0.22345068678939062,0.09462769436579721,0.10180215566383166,0.07148734549658553,0.06404219597711025,0.0454872093045125,0.03670475457780453,0.08687025168798956,0.02876472611334978
13,TVel,0.5982197494284481,0.39053480211366143,0.4566562972736241,0.2981181695524113,0.3319353277627909,0.1828612044061847,0.1812049804127503,0.0800592821481167,0.12079688344204825,0.04830210360684306,0.06884014472746897,0.02728986330461869,0.29294223050785506,0.18879358184499426
14,VZCyg,0.5207431974413305,0.09330981876402314,0.39751389117658736,0.07122886928551242,0.29864746357526106,0.048078785632964166,0.18101015514356628,0.027159506722519558,0.1295062901411646,0.018598608027156793,0.07422989518508599,0.010163257533528952,0.2669418154438326,0.15592739477901685
