,-0.72,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.720000
0,EVSct,-0.1523022002463446,-0.3044625145269007,-0.14893578563953347,-0.2346996626608257,-0.21898116980765053,-0.25668836863862426,-0.13551734121610293,-0.14906916562194117,-0.06621455492226536,-0.0810572631439396,-0.055227957550397055,-0.06075079009935222,-0.12952983489704897,0.04725611890811298
1,SZTau,-0.27069993613522203,-0.0941140715177739,-0.22043893937152798,-0.07309726654853266,-0.1276258059812626,-0.034177618565694984,-0.06483985053439245,-0.02120124259272245,-0.025195745234218782,-0.0006430697429229762,-0.02642445963559048,-0.008640232426485674,-0.12253745614870237,0.09339663523198789
2,SSSct,0.4498229671402149,0.019788098658376996,0.2622956429192001,-0.018377699158938166,0.09902750500126364,-0.047503720909801345,0.037459033411889,-0.023586629841731224,0.030547484745208693,-0.01723200024917241,0.015265838958956224,-0.009612359421800745,0.14906974536278875,0.17192569698095161
3,QZNor,-0.0922822752107264,0.2676206915327723,-0.10548292806576856,0.1922632985613968,-0.04065218815338392,0.14549981844593937,-0.043744544988093076,0.0399233919672498,0.002192236183106634,0.05219611440018825,-0.017827400183502762,0.016270149466105475,-0.04963285006972801,0.035544089178833664
4,ADGem,0.6903279956738226,-0.1494072632367825,0.45977505710694505,-0.10254525520592306,0.2528055375706204,-0.04868632721675084,0.12282643953167433,-0.005961054511660638,0.09867794843345107,0.00331356162253562,0.050055980494074837,-0.002429333859203544,0.2790781598017647,0.2381609996235616
5,YAur,0.5270574263658352,-0.11187965593399307,0.37121119745146675,-0.05338204772612015,0.27615228884373144,0.050310231293003355,0.09697092455684037,0.0012604596190248646,0.08152321833371207,0.009427625438629315,0.039518972678987685,0.0005136804611782543,0.23207233803842894,0.17788427313987723
6,STTau,0.17832489639787868,-0.12918366833671807,0.15488348554971149,-0.029654375990194326,0.10538305384020333,0.01660405297268089,0.028477080462981752,-0.007564373043144404,0.033322997321325105,0.0018053560397925036,0.011605385531147483,-0.003082741068951813,0.08533281651720796,0.06542058013801574
7,BFOph,0.4591584849401344,0.3871804839533725,0.28603663933490225,0.2894876695180473,0.17713603039838735,0.20242946488557254,0.08476325597170137,0.09805810312526651,0.08003503224004932,0.08032132734556666,0.0345439296597016,0.039962035177763505,0.18694556209081273,0.1536687733010592
8,SYCas,0.12390016133800236,-0.11923353973674577,0.036536159382240696,-0.0939609143923229,0.03162047789215619,-0.023431299063666616,-0.033380227619866754,-0.054876971918026554,-0.010288438407151927,-0.0326597072011847,-0.013603585913573968,-0.022364245404948215,0.022464091111967763,0.058501552974676185
9,XSct,0.6771806888090224,-0.3391906427674378,0.49783940602312177,-0.22023740736961722,0.31164443953810883,-0.08955472488229882,0.02775124039721516,-0.14392464834707097,0.0204871492314554,-0.10124898115405798,0.01130958084681094,-0.05865422312774374,0.2577020841409557,0.26898671034981364
10,YLac,0.20298726673972017,-0.3073172774764543,0.12585143125963605,-0.21081043406944688,0.07437979537496467,-0.1032855619183474,0.040402610562041474,-0.034237051645064034,0.05317218515436479,-0.004068014121483034,0.01646544745507944,-0.013952771047131243,0.08554312275763443,0.0662951212562255
11,TVul,0.249136306078292,-0.044904945738171,0.13592098056366064,-0.03560138463458862,0.08242739427458887,0.002343011727692995,0.027205784091491714,-0.0051112990686938,0.04863604525670579,0.01932356702774398,0.011087288722218147,-0.002083029414981088,0.09240229983115951,0.08776318802953319
12,XYCas,0.11751469365516792,0.010709480007731254,-0.02482239734140662,-0.04432751732463602,-0.006550638994515384,0.006514743008595308,-0.03661909753659259,-0.028689880678166593,-0.012691623159109815,-0.016282205016741803,-0.014923536324843278,-0.01169210890651309,0.0036512333831167053,0.062252335265743024
13,TVel,0.6068613032876773,0.2304518844781273,0.4258225733154923,0.19754034537460718,0.2620323513108941,0.1506634186989295,0.14049096829621072,0.09450045862005695,0.11498166694589101,0.0760792562393954,0.05725488091523684,0.03851217320474917,0.26790729067856706,0.19754524372668103
14,VZCyg,0.5453760638884291,-0.06361398634529691,0.34281826001177945,-0.05918673966870236,0.16455466329771165,-0.048042664597114954,0.07785107086952198,-0.012110152249511633,0.08552896401494198,0.01725299064081145,0.031726977511895404,-0.004935301772916258,0.20797599993237992,0.19419007949662456
15,CFCas,0.741426254687517,0.2908797622748049,0.5048678266774393,0.2265257943016713,0.2851269333685982,0.14658491507857127,0.15801874498313911,0.10013094202161764,0.11227867240867034,0.0649200285096301,0.06439805018148542,0.04080678801565937,0.3110194137178082,0.24844862705013185
16,VLac,-0.003989642779874458,-0.21740046343335606,-0.031696920789433036,-0.1531171654220017,-0.026334158451661788,-0.08102677110841519,-0.044105512062769914,-0.0652139620320535,-0.02728801434784805,-0.04814436465067177,-0.017974506628320064,-0.026576922882925593,-0.02523145917665122,0.014581347466368152
17,V0386Cyg,0.46873937272697735,0.4423769061795259,0.2994912639676532,0.33058487346670884,0.1091138206965637,0.1480995493625222,0.08821535638204125,0.10757153448322075,0.06419384403520328,0.06914431983432459,0.03595077879953107,0.04383908425857305,0.17761740610132828,0.16754902595249876
18,CRSer,0.0792978466839192,-0.43923620491138116,-0.010282197860095599,-0.3655440202677766,-0.04501961927370504,-0.23820096957003953,-0.05217967019663444,-0.13333863093839815,-0.03621001275312879,-0.09661395324608668,-0.021265002580134806,-0.05434005849886733,-0.01427644266329658,0.05280601098342666
19,V1162Aql,0.5819994023105686,0.29492712900831936,0.3418907698833891,0.1889599183905637,0.19174845366621776,0.12752564446191014,0.0861691483024894,0.060504959275537326,0.07674729441057487,0.05059853881624545,0.03511687893149523,0.0246578429924281,0.2189453245841225,0.20328122678283142
20,CVMon,0.6338049828463717,0.21846283070339656,0.5174631023879768,0.2627574409782403,0.28857321671729297,0.16280531768759485,0.13315423371568652,0.0808622032845183,0.11251713115038048,0.06915097978552001,0.0542649103156399,0.03295411709197846,0.28996292952222474,0.22055304615349353
21,SWCas,0.38621043093582536,-0.04123871501611198,0.23743862857795411,-0.03713994810049903,0.09764165840146835,-0.043774230622174864,0.03536130595301151,-0.023536088757959664,0.025553699665424263,-0.02118897718502836,0.014410943179482716,-0.00959176219930499,0.13276944445219438,0.1465522761116744
22,XLac,-0.4105004889411035,-0.41506768504705055,-0.31078958232983656,-0.30034797039061634,-0.1999828977072282,-0.18690388215970802,-0.0806281132183228,-0.07187142217105275,-0.037227191904973,-0.03582438727497583,-0.03285871737321927,-0.029290065884776898,-0.1786644985791139,0.14253996911327638
23,VCen,0.34277995550932056,0.020289779972292366,0.24613840302877515,0.058109706951945284,0.15547907923416018,0.06755814508387056,0.07348282020573743,0.037677814898500736,0.07326122330754997,0.04116496820883699,0.029946765768777805,0.01535499990726694,0.15351470784238685,0.11270475220466174
24,FMCas,0.3626099936942934,0.230703425815663,0.22093219094208666,0.17451930779475489,0.1015571678355334,0.09587870502226889,0.051378745352191724,0.051310571970868066,0.03996620131314727,0.03181365457459164,0.020938598277093157,0.020910815289497984,0.13289714956905763,0.13052356487123098
25,CSVel,0.5332756498925042,0.09624193503228967,0.39735183142254876,0.1259148075104789,0.2457163715854858,0.11000032402308144,0.09723387182744264,0.04063001632380424,0.09403824536472566,0.047842306412702394,0.03962613269680121,0.016558123090866326,0.23454035046491806,0.18352678958371266
26,MWCyg,0.03481065410451084,0.3869844072868223,-0.03176298475638145,0.2696557644145342,-0.07766044248263804,0.11417968734021997,-0.02939084633345926,0.0565806697929455,-0.01717726099366256,0.033461842155085984,-0.011977776416716407,0.02305856063479692,-0.02219310947972448,0.04021642705987778
27,FMAql,0.3167433595216233,-0.215580215536904,0.15851396223153363,-0.2051263225932096,-0.02803561665421747,-0.22537735167544598,0.024462928276115015,-0.05853719127721235,0.027763537950651514,-0.03405415635554967,0.009969481044034001,-0.02385591014379555,0.08490294206162334,0.1374560609519328
28,CRCep,0.561124556941234,0.5044306935660574,0.39444970598736034,0.4136723182463219,0.1733184551994217,0.20943800588153424,0.08647615080828291,0.10439646864003559,0.03409397539339582,0.03705355338449436,0.035241992966390356,0.04254513619234421,0.21411747288268088,0.20669451953798826
29,RSCas,0.19646418327779097,0.1533621295105158,0.10977066054462564,0.1280535174503573,0.08896616548919725,0.12037160467559924,0.0030032896959496513,0.01907224718343835,0.002225521302554108,0.005009452834099502,0.0012239434034869157,0.007772593886402255,0.06694229395226742,0.07613053917809069
