,0.42,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.420000
0,EVSct,-1.4443887531522968,-0.7903118449003141,-1.0675608166187318,-0.6213118296715923,-0.7368050465786068,-0.4908753474462567,-0.36126784103136583,-0.25037356774240616,-0.22146821630737518,-0.14646260777418282,-0.1472290174066177,-0.10203580329228104,-0.6631199485158323,0.4665022908194695
1,SZTau,-1.5627864890411742,-0.5799634018911873,-1.1390639703507264,-0.45970943355929916,-0.6454496827522188,-0.2683645973733274,-0.29059035034965536,-0.12250564471318738,-0.18044940661932868,-0.06604841437316619,-0.11842551949181107,-0.04992524561941439,-0.6561275697674859,0.5452039615954882
2,SSSct,-0.8422635857657375,-0.46606123171503644,-0.6563293880599983,-0.40498986616970467,-0.41879637176969253,-0.2816906997174339,-0.1882914664033738,-0.12489103196219621,-0.12470617663990125,-0.08263734487941563,-0.07673522089726448,-0.050897372614729514,-0.3845203682559946,0.2842048657052433
3,QZNor,-1.3843688281166786,-0.21822863884064123,-1.0241079590449669,-0.19434886844936974,-0.5584760649243402,-0.08868716036169319,-0.2694950448033559,-0.06138101015321519,-0.15306142520200322,-0.01320923023005497,-0.10982846003972341,-0.02501486372682329,-0.5832229636885113,0.48354211070683184
4,ADGem,-0.6017585572321298,-0.6352565936101959,-0.4588499738722533,-0.4891574222166896,-0.26501833920033574,-0.2828733060243833,-0.10292406028358855,-0.10726545663212568,-0.05657571295165885,-0.0620917830077076,-0.041945079362145796,-0.04371434705213226,-0.2545119538170187,0.21530414744214185
5,YAur,-0.765029126540117,-0.5977289863074065,-0.5474138335277317,-0.43999421473688666,-0.24167158792722473,-0.18387674751462915,-0.12877957525842254,-0.10004394250144012,-0.07373044305139781,-0.05597771919161396,-0.05248208717723296,-0.040771332731750515,-0.3015177755803545,0.27781634932526805
6,STTau,-1.1137616565080737,-0.6150329987101315,-0.7637415454294869,-0.41626654300096083,-0.4124408229307529,-0.21758292583495162,-0.1972734193522811,-0.10886877516360939,-0.12193066406378478,-0.06359998859045077,-0.08039567432507316,-0.04436775426188058,-0.4482572971015754,0.3894554178735298
7,BFOph,-0.832928067965818,-0.098668846420041,-0.632588391644296,-0.09712449749271929,-0.3406878463725689,-0.03175751392205996,-0.14098724384356148,-0.0032462989951985433,-0.07521862914506056,0.014915982715323448,-0.05745713019651899,-0.0013229780151652014,-0.34664455152797063,0.30023571931065135
8,SYCas,-1.1681863915679498,-0.6050828701101592,-0.8820888715969577,-0.4805730814030895,-0.48620339887879993,-0.2576182778712991,-0.2591307274351296,-0.15618137403849158,-0.1655420997922618,-0.09806505183142797,-0.10560464576979461,-0.06364925859787698,-0.5111260225068156,0.3979524248897722
9,XSct,-0.61490586409693,-0.8250399731408513,-0.4207856249560765,-0.6068495743803838,-0.2061794372328474,-0.3237417036899314,-0.19799925941804775,-0.24522905046753585,-0.1347665121536545,-0.16665432578430125,-0.0806914790094097,-0.0999392363206725,-0.27588802947782765,0.19160790282462614
10,YLac,-1.089099286166232,-0.7931666078498678,-0.7927735997195622,-0.5974226010802135,-0.44344408139599156,-0.3374725407259799,-0.18534788925322132,-0.13554145376552895,-0.1020814762307451,-0.0694733587517263,-0.07553561240114115,-0.05523778424006001,-0.4480469908611489,0.3869161682238459
