,-0.42,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.420000
0,EVSct,-0.6728633368974952,-0.6430337312002694,-0.5781397402817128,-0.5272773938655038,-0.47747182964014745,-0.37905973483203403,-0.26277695888200403,-0.19477728696773577,-0.17657572538789512,-0.12499118513891905,-0.10709060995533659,-0.07937841489438469,-0.37915303350743185,0.20981220026592184
1,SZTau,-0.3439976128032186,-0.14680765581978106,-0.349056273734074,-0.14424354490385483,-0.32351203499798487,-0.11953590215124354,-0.19209946820029355,-0.06690936393851699,-0.13874302833914243,-0.045755716421002846,-0.07828711204053007,-0.027267857221518033,-0.2376159216858739,0.10672974024094789
2,SSSct,-0.126919257305934,-0.14643441541408275,-0.14947986492761972,-0.14912476945316755,-0.1553133667664484,-0.12812190884883967,-0.089800584254012,-0.06929475118752582,-0.06572498819035938,-0.04765086919655781,-0.03659681344598342,-0.02823998421683316,-0.10397247914839282,0.04365882314035668
3,QZNor,-0.24568722929997433,0.04516236288131814,-0.27742489753292376,0.01754523665473276,-0.2690589589515263,0.002473769453677832,-0.1710041626539941,-0.005784729378544795,-0.12272640322184991,-0.003878470568402348,-0.06969005258844241,-0.002357475328926939,-0.19259861737478512,0.07779786248006522
4,ADGem,-0.07547787461745031,-0.171215345535619,-0.055078184629330555,-0.14675732872199432,-0.025811732717269907,-0.1042528656151559,-0.004433178134226752,-0.051669175857455285,-0.0019408676370496706,-0.03466257081374796,-0.001806671910864685,-0.021056958654235902,-0.02742475160769865,0.028608692208202446
5,YAur,-0.07173220205247649,-0.11219033187291438,-0.06286822054622018,-0.10220993559841429,-0.03349114504879552,-0.07202375081510248,-0.030288693109060738,-0.04444766172676973,-0.02244701185535397,-0.030858919587398836,-0.012343679725951878,-0.01811394433385327,-0.03886182538964313,0.021337641339506212
6,STTau,-0.24693088790856532,-0.16923489316727125,-0.20391809092529478,-0.1343683344034552,-0.1642701675899243,-0.09595174295994419,-0.0987825372029193,-0.053272494388938996,-0.07036247399252654,-0.03578137420945604,-0.04025726687379211,-0.021710365863984227,-0.13742023741550372,0.07367238763685871
7,BFOph,0.012853353600783157,0.21004328401860728,-0.03627753857112781,0.15821605586647206,-0.06302187429512351,0.10425132037432006,-0.04249636169419968,0.05234998177947185,-0.03366549733754004,0.033633597811957947,-0.017318722745237936,0.021334410382732004,-0.029987773507074305,0.023440244628707252
8,SYCas,-0.45688463889311054,-0.37411125220373076,-0.3910919002466671,-0.3006774035042563,-0.27691711805033825,-0.19060594559901753,-0.1606398452857678,-0.1005850932638212,-0.10891050513631645,-0.06415159820648508,-0.06546623831851356,-0.040991870199979796,-0.2433183743217856,0.14440050591486972
9,XSct,-0.24930045106333154,-0.5421620187896821,-0.18898971936246325,-0.45768431483852157,-0.12280032418464351,-0.33045067995916955,-0.09950837726868594,-0.18963276969286547,-0.06661270826947635,-0.12596817991367937,-0.040553071558128595,-0.07728184792277526,-0.12796077528445485,0.0715165600158271
10,YLac,-0.2622168459227559,-0.26163269526975386,-0.223083375773445,-0.22077774512392723,-0.16676713949598787,-0.15653588362826443,-0.08685700710385952,-0.07994517299085857,-0.05937229992140042,-0.052885837186254614,-0.035397204949860095,-0.032580395842163656,-0.13894897886121813,0.08447524794048276
