,0.18,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.180000
0,EVSct,-0.4438751142030869,-0.5099701350438827,-0.35369779201133905,-0.4041609017555038,-0.27364832415154927,-0.28097780740960104,-0.14396090634765513,-0.1414591805885437,-0.09048360949134766,-0.08853136828340602,-0.05866899950469412,-0.057649460582316875,-0.22738912428494532,0.14090767957597164
1,SZTau,-0.11500939010881028,-0.013744059663394315,-0.12461432546370022,-0.021127052793854934,-0.11968852950938663,-0.02145397472881047,-0.07328341566594465,-0.013591257559324943,-0.05265091244259501,-0.009295899565489735,-0.0298655015898876,-0.005538902909450305,-0.0858520124633874,0.0362683322241596
2,SSSct,0.1020689653884744,-0.013370819257695954,0.07496208334275409,-0.026008277343167602,0.048510138722149765,-0.030039981426406626,0.029015468280336867,-0.01597664480833369,0.02036712770618805,-0.011191052341044783,0.011824797004659104,-0.006511029904765403,0.047791430074093706,0.0318408531527467
3,QZNor,-0.016699006605565947,0.17822595903770494,-0.05298294926254993,0.1406617287647327,-0.06523545346292811,0.10055569687611088,-0.05218811011964525,0.0475333770006473,-0.03663428732530244,0.032581346287110735,-0.02126844213779988,0.019371478983140844,-0.040834708152298595,0.017582615751768862
4,ADGem,0.15351034807695807,-0.03815174937923223,0.16936376364104327,-0.023640836611994398,0.1780117727713283,-0.006170938192722873,0.11438287440012213,0.0016489305217368272,0.08415124825949771,0.0017972460417651215,0.04661493853977783,0.000671995657831867,0.12433915761478787,0.047459057764143095
5,YAur,0.1572560206419319,0.020873264283472387,0.16157372772415363,0.02090655651158564,0.17033236043980265,0.02605817660733056,0.08852735942528817,0.008870444652422364,0.06364510404119345,0.0056008972681142605,0.03607793072469062,0.003615009978214463,0.11290208383284339,0.0525305705432928
6,STTau,-0.01794266521415694,-0.03617129701088443,0.020523857345078958,-0.011251842293455279,0.03955333789867388,0.002130184462488846,0.02003351533142958,4.561199025308882e-05,0.01572964190402089,0.0006784426460570148,0.008164343576850405,1.8588448083528553e-05,0.014343671806982795,0.017265615375657066
7,BFOph,0.24184157629519157,0.3431068801749941,0.18816440969924608,0.281332547976472,0.14080163119347466,0.2023332477967531,0.0763196908401492,0.10566808815866391,0.05242661855900735,0.07009341466747099,0.031102887705404536,0.043063364694799766,0.12177613571541224,0.07558920143067568
8,SYCas,-0.2278964161987022,-0.24104765604734402,-0.16664995197629337,-0.17756091139425634,-0.07309361256174013,-0.09252401817658451,-0.04182379275141898,-0.0472669868846291,-0.022818389239769005,-0.027691781350972056,-0.01704462786787103,-0.019262915887912013,-0.0915544650992991,0.07886567334851871
9,XSct,-0.020312228368923102,-0.40909842263329527,0.03545222890791061,-0.3345678227285217,0.0810231813039547,-0.23236875253673656,0.019307675265662905,-0.13631466331367348,0.019479407627071066,-0.08950836305816634,0.007868538892513877,-0.05555289361070748,0.023803133938031674,0.030683370911079637
