,-0.9,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.900000
0,EVSct,-1.8451647332369487,-0.8224537216051113,-1.3278037110034857,-0.5963867459855681,-0.8073046562901192,-0.36260314155922524,-0.42814404198308964,-0.0952095399596431,-0.28604543258923365,0.01661661830794281,-0.20529828630154268,0.0673466690759017,-0.8166268102340699,0.595180226093242
1,SZTau,-1.9175676486988993,-0.7467638984501153,-1.4570549989247248,-0.6065730887159635,-0.8858894393462335,-0.3687964379393057,-0.607474429330584,-0.23293896199360642,-0.5145659967269169,-0.17970830865002085,-0.46336593635313394,-0.1640169907315676,-0.9743197415634155,0.5381438223843504
2,SSSct,-1.1310671988317869,-0.5691973936961167,-0.8675141424654402,-0.47695973288888216,-0.5274485986189885,-0.28999151759643993,-0.3179435432962545,-0.129363262910426,-0.26274512799447247,-0.08648934654509022,-0.2134139118418802,-0.05266723572530263,-0.5533554205081371,0.3387602613889128
3,QZNor,-1.7155107412444661,-0.3174665643232064,-1.333730304954837,-0.2970191170755741,-0.8109080254125411,-0.18058762318194888,-0.6053551995047846,-0.16875932990988118,-0.5087965419162701,-0.12765836120861362,-0.4778625724236164,-0.14096712700460112,-0.9086938975760859,0.46164909746891214
4,ADGem,-0.7663846890012292,-0.749709442166361,-0.5852582998920335,-0.596151342732922,-0.3558370463343564,-0.36246001638161596,-0.21477704571781625,-0.19788206801711117,-0.1827627371203363,-0.15764910837208546,-0.16654785380633835,-0.13993710675530102,-0.3785946119786851,0.22500336160848958
5,YAur,-0.9158913963541594,-0.8073988537535363,-0.717952261979639,-0.6586962900031712,-0.4365149752836211,-0.400487344321928,-0.39272759394464213,-0.3481953406020438,-0.36307616231938483,-0.31475492035882147,-0.3506748711930707,-0.3039417284871847,-0.529472876845753,0.21285393588429075
6,STTau,-1.347966550350198,-0.7544083457512518,-0.9790698806346583,-0.554001096760127,-0.5952744874258729,-0.336832666830157,-0.43831536182773256,-0.24537468897850223,-0.3820252027339973,-0.20687198713931632,-0.34712230097053554,-0.1894400360830395,-0.681628963990499,0.3653292131474826
7,BFOph,-1.072311923186747,-0.14027720724562376,-0.846656099671032,-0.15281993848883668,-0.514766908599988,-0.09291452260121241,-0.36896609257658497,-0.0792530054356555,-0.321069736174573,-0.0693562566942077,-0.30901273271723495,-0.08702888912098522,-0.57213058215436,0.28935980647811355
8,SYCas,-1.397684310683972,-0.7075917932937527,-1.0919556075466228,-0.5884963299459629,-0.6639090093883474,-0.35780576860714536,-0.4930271201592179,-0.2733597683507606,-0.4182795279107585,-0.22282752691681296,-0.3645265122025989,-0.19019292154731926,-0.7382303479819196,0.38027894512295285
9,XSct,-0.7841073763987125,-1.1029275373520981,-0.5772334738875206,-0.8598142634373386,-0.35095795212361275,-0.5227670721699016,-0.3879810164327261,-0.4643491443680128,-0.3440950672444052,-0.39019162769891036,-0.29370190251921385,-0.32569030859674863,-0.45634613143436514,0.1716950237896499
10,YLac,-1.3137925833417847,-0.9566350887771861,-0.9899976199549166,-0.7492472187369212,-0.6019185529325901,-0.4555423089920483,-0.391606959572984,-0.26796096928813384,-0.3255917972974163,-0.2069130521821969,-0.303392778603887,-0.19391882191775411,-0.6543833819505965,0.3765102317884796
11,TVul,-1.281306322232258,-0.6439042878040004,-0.9933613455718731,-0.5335471168568102,-0.603963698107699,-0.3243966470489401,-0.418579575054124,-0.21306914187425152,-0.34404743364126733,-0.15891634200532723,-0.323517092716202,-0.15743886809092233,-0.6607959112205706,0.3586126489014939
12,XYCas,-1.3992742710202717,-0.5164049560195497,-1.1484612365759215,-0.4900293011084025,-0.6982644318381608,-0.29793781507390893,-0.49103368202329367,-0.21720415925654019,-0.4153731454177657,-0.17799538403924425,-0.3602197934154362,-0.15110753717075698,-0.7521044267151415,0.3902874428981515
13,TVel,-0.9016722737647929,-0.3677168880957293,-0.6866056966210196,-0.3031648616198961,-0.4174562635455801,-0.18432423586489666,-0.2966947989982241,-0.12365903223312102,-0.2697828263234053,-0.11315148088714644,-0.2690204930164668,-0.12819764961037283,-0.47353872537824815,0.24029809961773618
14,VZCyg,-0.9760926958699117,-0.6528010202347265,-0.7467436442224544,-0.5305642696655816,-0.4540201356872525,-0.3225830759566738,-0.269953434807509,-0.1571557566967432,-0.20307348645621948,-0.09410658609523748,-0.1922178077002461,-0.09143115476349606,-0.4736835341239322,0.29476604994153394
15,CFCas,-0.767617764822617,-0.2727547999296855,-0.5898184414517146,-0.23541417851690893,-0.35860961240264316,-0.14313182053828066,-0.2271697195542735,-0.0663181112721718,-0.21694766109916785,-0.07093149456071524,-0.20280621286155454,-0.07135725972548301,-0.3938282353653284,0.21405697689461706
16,VLac,-1.5707003295279438,-0.8350600553268741,-1.1879226001072007,-0.6597002595286532,-0.7222569408651781,-0.40109775779342083,-0.501372833704739,-0.26295249088701855,-0.43014082174879886,-0.21430159379094715,-0.3632400756946609,-0.16917605482346743,-0.7959389336080869,0.44104822090031764
17,V0386Cyg,-1.1429036851810856,-0.021604478777310143,-0.8482676691221425,-0.019945499558464086,-0.5157467428262628,-0.012126863731545812,-0.2628279036705611,0.0889363173196448,-0.22267454864874436,0.08582040546314063,-0.18576521155314052,0.08752093673064931,-0.5296976268336562,0.35624787600822766
18,CRSer,-1.4932865537220672,-1.1004639365890583,-1.1485765365501746,-0.8921962184244745,-0.6983345342225058,-0.54245530080208,-0.44713436219631075,-0.3069147464107942,-0.3722039460411348,-0.23423626224365712,-0.2953961764298457,-0.1668202142003714,-0.7424886848603399,0.4387085302356853
19,V1162Aql,-0.9326795947907572,-0.23288627890618127,-0.7619191132385321,-0.24645596764342315,-0.4632468208490281,-0.14984522832720043,-0.3150148177668307,-0.09473519022110305,-0.2692303271600937,-0.07538744316456247,-0.24987958893396145,-0.07788088132016135,-0.4986617104565339,0.26050837583225733
20,CVMon,-0.8882016036701057,-0.3450412891049086,-0.5855680109953746,-0.19605521809216048,-0.3560253506851881,-0.11920157260003328,-0.2524393998613892,-0.07615018368070348,-0.21639544993101612,-0.0565879558029434,-0.2125503824523488,-0.06877705822732005,-0.41853003293257046,0.2460596168371844
21,SWCas,-1.1748151979672552,-0.6278441816422516,-0.8848828070600026,-0.5017083818604053,-0.5380087466924821,-0.30503869617112644,-0.33467479825614055,-0.15259051087497189,-0.2845043132538273,-0.1155540144528473,-0.2321847497113967,-0.0785914045212166,-0.5748451021568507,0.3456491663346158
