,0.48,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.480000
0,EVSct,-1.6729676428839249,-0.8296230253681303,-1.2037444221894562,-0.5944483312903335,-0.7318766086911892,-0.3614245854245225,-0.3478900267741258,-0.0859950712988797,-0.19989162202237887,0.029836318233704508,-0.12676546144144832,0.07851124996931397,-0.7138559640004205,0.5688017503670668
1,SZTau,-1.7453705583458754,-0.7539332022131342,-1.3329957101106953,-0.6046346740207289,-0.8104613917473036,-0.367617881804603,-0.5272204141216201,-0.22372449333284314,-0.42841218616006205,-0.16648860872425916,-0.38483311149303967,-0.15285240983815546,-0.871548895329766,0.5241162198627205
2,SSSct,-0.9588701084787632,-0.5763666974591356,-0.7434548536514107,-0.4750213181936475,-0.45202055102005845,-0.2888129614617372,-0.23768952808729055,-0.1201487942496626,-0.17659131742761752,-0.07326964661932853,-0.13488108698178572,-0.04150265483189058,-0.45058457427448767,0.31203106718077983
3,QZNor,-1.5433136508914422,-0.3246358680862253,-1.2096710161408075,-0.29508070238033945,-0.7354799778136112,-0.17940906704724607,-0.5251011842958206,-0.15954486124911776,-0.4226427313494153,-0.11443866128285193,-0.399329747563522,-0.12980254611118897,-0.8059230513424365,0.44457295886102977
4,ADGem,-0.5941875986482054,-0.7568787459293801,-0.461199011078004,-0.5942129280376874,-0.28040899873542635,-0.3612814602469133,-0.13452303050885234,-0.18866759935634778,-0.09660892655348147,-0.14442940844632376,-0.088015028946244,-0.12877252586188886,-0.2758237657450356,0.19729827281486637
5,YAur,-0.7436943060011355,-0.8145681575165553,-0.5938929731656095,-0.6567578753079366,-0.3610869276846911,-0.39930878818722537,-0.3124735787356782,-0.3389808719412805,-0.27692235175253,-0.30153522043305986,-0.27214204633297634,-0.2927771475937726,-0.42670203061210343,0.19091254206999173
6,STTau,-1.1757694599971744,-0.7615776495142708,-0.8550105918206287,-0.5520626820648924,-0.5198464398269428,-0.33565411069545426,-0.35806134661876865,-0.23616022031773895,-0.2958713921671425,-0.1936522872135548,-0.2685894761104411,-0.1782754551896274,-0.5788581177568496,0.34813680202752106
7,BFOph,-0.9001148328337234,-0.14744651100864264,-0.7225968108570024,-0.15088152379360203,-0.4393388610010579,-0.09173596646650964,-0.28871207736762106,-0.07003853677489205,-0.23491592560771818,-0.056136556768445964,-0.2304799078571406,-0.07586430822757306,-0.4693597359207105,0.2660891763631524
8,SYCas,-1.2254872203309484,-0.7147610970567715,-0.9678963187325934,-0.5865579152507282,-0.5884809617894173,-0.3566272124724426,-0.412773104950254,-0.2641452996899972,-0.33212571734390367,-0.2096078269910513,-0.28599368734250447,-0.1790283406539071,-0.6354595017482702,0.3572265249523394
9,XSct,-0.6119102860456888,-1.110096841115117,-0.45317418507349105,-0.8578758487421039,-0.27552990452468273,-0.5215885160351988,-0.3077270012237622,-0.4551346757072494,-0.2579412566775503,-0.37697192777314864,-0.2151690776591195,-0.3145257277033366,-0.35357528520071574,0.14564516822223936
10,YLac,-1.1415954929887608,-0.963804392540205,-0.8659383311408871,-0.7473088040416866,-0.5264905053336602,-0.45436375285734565,-0.31135294436402017,-0.25874650062737037,-0.23943798673056135,-0.1936933522564351,-0.22485995374379267,-0.18275424102434196,-0.5516125357169471,0.3553999096749117
11,TVul,-1.1091092318792342,-0.6510735915670194,-0.8693020567578436,-0.5316087021615756,-0.528535650508769,-0.32321809091423737,-0.33832555984516005,-0.20385467321348807,-0.25789362307441244,-0.14569664207956554,-0.24498426785610763,-0.14627428719751012,-0.5580250649869211,0.33530755387075184
12,XYCas,-1.227077180667248,-0.5235742597825686,-1.024401947761892,-0.48809088641316783,-0.6228363842392308,-0.2967592589392061,-0.41077966681432976,-0.20798969059577677,-0.3292193348509108,-0.16477568411348253,-0.28168696855534175,-0.1399429562773448,-0.6493335804814923,0.3647170200390311
13,TVel,-0.729475183411769,-0.37488619185874816,-0.56254640780699,-0.3012264469246615,-0.34202821594665,-0.18314567973019394,-0.21644078378926018,-0.11444456357235758,-0.18362901575655044,-0.0999317809613848,-0.19048766815637247,-0.11703306871696068,-0.3707678791445987,0.2179981392077001
14,VZCyg,-0.8038956055168878,-0.6599703239977455,-0.6226843554084249,-0.528625854970347,-0.3785920880883225,-0.32140451982197116,-0.1896994195985451,-0.1479412880359797,-0.11691967588936461,-0.08088688616947579,-0.11368498284015177,-0.08026657387008401,-0.3709126878902827,0.26634582844193766
15,CFCas,-0.5954206744695932,-0.2799241036927044,-0.465759152637685,-0.23347576382167431,-0.28318156480371315,-0.14195326440357783,-0.1469157043453096,-0.05710364261140836,-0.130793850532313,-0.05771179463495348,-0.1242733880014602,-0.06019267883207085,-0.291057389131679,0.18973439957984367
16,VLac,-1.3985032391749201,-0.842229359089893,-1.0638633112931712,-0.6577618448334186,-0.6468288932662482,-0.3999192016587181,-0.4211188184957751,-0.2537380222262551,-0.343987011181944,-0.20108189386518546,-0.2847072508345665,-0.15801147393005538,-0.6931680873744375,0.42162505588780574
