,-0.48,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.480000
0,EVSct,-1.3861177205548525,-0.5780456169753009,-0.9112846054481183,-0.40117078162176245,-0.554061040112456,-0.243911835226032,-0.2431387391660147,-0.0891340648935044,-0.14973639028513397,-0.05004863960169281,-0.0801181850491407,-0.025433165785238798,-0.5540761134359526,0.46631533023732885
1,SZTau,-1.4212859764839822,-0.5317815626253353,-1.0405358933693574,-0.411357124352158,-0.6326458231685701,-0.2501051316061125,-0.32439720423690943,-0.11317927332031585,-0.21500255887077102,-0.06995428843193807,-0.12414783953168873,-0.04081197207889575,-0.6263358826102132,0.4683485196837983
2,SSSct,-0.6059363253410074,-0.3577305218788381,-0.45099503691007276,-0.28174376852507654,-0.27420498244132485,-0.17130021126324668,-0.1252254835685031,-0.06667427292489025,-0.0831969703860802,-0.04076003769564274,-0.043539868074823906,-0.020694315575060296,-0.26384977778696866,0.20515943896552444
3,QZNor,-1.1991486618060092,-0.10123457360598968,-0.9172111993994696,-0.10180315271176849,-0.5576644092348777,-0.06189631684875557,-0.3005480176254053,-0.03436884383769456,-0.19696770301434585,-0.019899898874460586,-0.11505698247066609,-0.012151693334172986,-0.5477661622584623,0.39418700633807063
4,ADGem,-0.21231976395294405,-0.5218892053105735,-0.16873919433666607,-0.40093537836911647,-0.10259343015669252,-0.24376871004842282,-0.04790817374309018,-0.11113757148807618,-0.03197518726445914,-0.06992577762934726,-0.022052422132993865,-0.04312567985431659,-0.09759802859780764,0.07156544056385669
5,YAur,-0.35554748215298765,-0.5883730126188271,-0.30143315642427154,-0.4634803256393657,-0.18327135910595724,-0.28179603798873487,-0.12801342853956793,-0.14652105732190124,-0.08722488585450544,-0.09302160802802228,-0.056148901834187526,-0.05811269975566158,-0.18527320231857955,0.1095868846452113
6,STTau,-0.8404962539839682,-0.5026379006459216,-0.5625507750792907,-0.3587851323963214,-0.34203087124820875,-0.2181413604969631,-0.18777864204976963,-0.10685642835125786,-0.1251465790613317,-0.06709732373226374,-0.0746676923475657,-0.04103448229467588,-0.3554451356283557,0.27028772529792566
7,BFOph,-0.5274350764952873,0.08657206392414639,-0.4301369941156645,0.04239602587496893,-0.2615232924223242,0.025776783731980855,-0.13949877573137448,0.008923705496651033,-0.09352955135156504,0.005457621429094235,-0.05599279394958656,0.00231442084724639,-0.25135274734430035,0.17505888671127845
8,SYCas,-0.8521530163436818,-0.4876698699558072,-0.6754365019912555,-0.39328036558215723,-0.410665393210684,-0.2391144622739521,-0.22789461029417313,-0.12229855351573943,-0.14905927070531444,-0.07623290369860009,-0.08919473593468813,-0.04782921414368413,-0.4007339214132995,0.27976465184800514
9,XSct,-0.24483973517561936,-0.8852669063357081,-0.16071436833215313,-0.664598299073533,-0.09771433594594925,-0.40407576583670834,-0.09744992231566152,-0.20156045215876395,-0.06280077799099135,-0.12502175256329662,-0.03408538126757607,-0.07199355068129609,-0.11626742017132512,0.0693027848052945
10,YLac,-0.7845182226541751,-0.7299668305489257,-0.5734785143995492,-0.5540312543731156,-0.348674936754926,-0.3368510026588545,-0.17714668474969075,-0.15617204190089817,-0.11594804835356232,-0.0973686144287711,-0.07238162781226815,-0.06035165207688009,-0.3453580057873619,0.25831238987785393
11,TVul,-0.742133065959611,-0.42351774878402076,-0.5768422400165056,-0.3383311524930046,-0.35072008193003534,-0.20570534071574686,-0.18461124455839312,-0.09850704808707611,-0.11946272028947058,-0.06056596067734038,-0.07335989631799211,-0.03811688697943044,-0.34118820817866796,0.24555752906057413
12,XYCas,-0.8253394406754107,-0.3139036845315766,-0.731942131020554,-0.29481333674459687,-0.44502081566049667,-0.17924650874071435,-0.23927107164099443,-0.09544354102017841,-0.15687418906283845,-0.059948072969455445,-0.09524619456468797,-0.03974861765428557,-0.41561564043749705,0.2797266025092554
13,TVel,-0.36513023392232113,-0.13620299718525536,-0.2700865910656521,-0.1079488972560905,-0.16421264736791663,-0.06563292953170341,-0.08729432078340077,-0.029365040047066027,-0.06118550332310091,-0.019173944296883294,-0.03727146616713101,-0.011453631689441801,-0.1641967937715871,0.11847802320274628
14,VZCyg,-0.4374547061719938,-0.4322021197490723,-0.33022453866708695,-0.335348305301776,-0.20077651950958875,-0.20389176962348,-0.09153608263948734,-0.08694912377714259,-0.05639384880677553,-0.05241519776123882,-0.03488768032665868,-0.031361171563663914,-0.19187889602026517,0.148659164475524
15,CFCas,-0.22639176223095464,-0.0433418558031273,-0.1732993358963471,-0.040198214153103345,-0.10536599622497939,-0.024440514205086694,-0.047196732446117134,-0.005104119868856893,-0.03685941840616139,-0.004732022838847771,-0.020276884814771134,-0.0014105336692067927,-0.10156502166988846,0.07582046949255333
16,VLac,-1.0536654778828467,-0.6086133110098602,-0.7714034945518333,-0.46448429516484757,-0.46901332468751483,-0.2824064514602275,-0.2459064887687537,-0.13381923043543187,-0.16329189044227443,-0.08378679320178029,-0.09433980411799447,-0.050093195304429905,-0.4662700800752029,0.345648015888779
17,V0386Cyg,-0.6388793567779899,0.22096521085825038,-0.431748563566775,0.17527046480534156,-0.2625031266485991,0.10656444260164807,-0.1018342249716096,0.0686038687463002,-0.07092557097507374,0.04293413055894435,-0.03508331183723268,0.029504086620065206,-0.2568290257962133,0.2176947939868671
18,CRSer,-0.9655084021308862,-0.8986635622139121,-0.7320574309948071,-0.6969802540606689,-0.44509091804484224,-0.42376399446888613,-0.22180147692140972,-0.1912807236745735,-0.1460494426749137,-0.11906048069488073,-0.08280654916798158,-0.06963749574589584,-0.43221903665580674,0.3221604071874996
19,V1162Aql,-0.37092920928667583,-0.02001245344532749,-0.34540000768316464,-0.05124000327961752,-0.21000320467136427,-0.03115392199400717,-0.10815361733487938,-0.015127150500883188,-0.07192853955415124,-0.009404661602000902,-0.04295418271146639,-0.00626977549092568,-0.19156146020695028,0.12879713565624581
20,CVMon,-0.39721128516425186,-0.06836866545014358,-0.1690489054400071,-0.0008392537283548607,-0.10278173450752398,-0.0005102662668393654,-0.05285913432709832,0.004438657969005444,-0.03554627806430649,0.0034594824672599667,-0.019562932590793558,0.003846830503853871,-0.12950171168233024,0.1295727574031562
21,SWCas,-0.6532928068031826,-0.40344585479808304,-0.468363701504635,-0.30649241749659983,-0.28476513051481833,-0.1863473898379332,-0.13541376980179975,-0.07806411590006801,-0.09090903230904257,-0.048637274250897256,-0.04941641851085066,-0.026639929682997887,-0.2803601432407215,0.21782243991495245
22,XLac,-1.5715542805748088,-0.8643966701541901,-1.1165463143898586,-0.6466926809359023,-0.678860159149035,-0.3931891500090289,-0.33383968978575373,-0.17427243305852824,-0.22058580682479956,-0.10824212111099607,-0.1287878306074004,-0.06443627414217645,-0.675029013555276,0.5196181244855587
