,0.92,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.920000
0,EVSct,0.5363227803163457,0.277202731752239,0.4771124130697732,0.2495490995909229,0.29008434714642284,0.15172585255128104,0.183235357101925,0.08703236136710235,0.13468407942764254,0.059720397994714625,0.08242220991573873,0.03791699172809976,0.28397686449630805,0.17033230681371644
1,SZTau,0.501154524387216,0.3234667861022046,0.3478611251485341,0.23936275686052738,0.21149956409030882,0.14553255617120053,0.10197689203103019,0.06298715294029095,0.0694179108420056,0.03981474916446942,0.038392555433190645,0.02253818543444286,0.2117170953220476,0.16565155989345487
2,SSSct,1.3165041755301907,0.49751782684870177,0.9374019816078186,0.36897611268760877,0.569940404817554,0.22433747651406633,0.3011486126994366,0.1094921533357166,0.20122349932669636,0.0690089999007647,0.11900052689005547,0.04265584193827843,0.5742032001452919,0.4289180968871779
3,QZNor,0.7232918390651888,0.7540137751215501,0.4711858191184218,0.5489167285009168,0.2864809780240013,0.3337413709285574,0.12582607864253437,0.1417975824229123,0.08745276669843066,0.0898691387219469,0.047483412494213284,0.051198464179165626,0.2902868156737983,0.24061544774939453
4,ADGem,1.7101207369182538,0.33335914341696643,1.2196578241812253,0.2497845028435689,0.7415519571021862,0.1518689777288902,0.37846592252484945,0.06502885477253062,0.25244528244831743,0.039843259967060174,0.14048797283188552,0.020224477659022022,0.740454949334453,0.5625889858052797
5,YAur,1.5668930187182104,0.26687533610871267,1.0869638620936197,0.18723955557331967,0.6608740281529216,0.11384164978857814,0.29836066772837166,0.029645368938705507,0.19719558385827107,0.016747429568385264,0.10639149313069196,0.005237457757677033,0.6527797756136811,0.5253402665799929
6,STTau,1.08194424688723,0.35261044808161823,0.8258462434386007,0.29193474881636394,0.5021145160106701,0.17749632728034992,0.23859545421817008,0.06930999790934889,0.15927389065144482,0.0426717138641437,0.08787270261731372,0.022315675218662734,0.4826078423039049,0.36453165306672686
7,BFOph,1.3950054243759107,0.9418204126516864,0.9582600244022269,0.6931159070876542,0.5826220948365547,0.4214144715092938,0.28687532053656517,0.18509013175725775,0.19089091836121153,0.11522665902550178,0.10654760101529281,0.06566457836058492,0.5867002305879603,0.4598074114766909
8,SYCas,1.0702874845275163,0.3675784787717327,0.712960516526636,0.25743951563052814,0.43347999404819487,0.15652322550336095,0.19847948597376652,0.053867872744867484,0.13536119900746213,0.03353613389780752,0.0733456590301913,0.015520943369654594,0.43731905651896125,0.35527958614357613
9,XSct,1.6776007656955787,-0.030018557608168316,1.2276826501857383,-0.013878417860847647,0.7464310513129295,-0.008438078059395351,0.32892417395227813,-0.02539402589815725,0.2216196917217852,-0.015252714966889208,0.12845501369730328,-0.008643393167957498,0.7217855577609354,0.5666670208557268
10,YLac,1.137922278217023,0.12528151817861405,0.8149185041183423,0.09668862683956969,0.4954704505039529,0.058786685118458526,0.249227411518249,0.019994384359708572,0.16847242135921425,0.012400423167636343,0.09015876715261129,0.0029985054364585206,0.4926949721448988,0.37562971487528185
11,TVul,1.1803074349115872,0.4317305999435191,0.8115547785013858,0.3123887287196807,0.49342530532884354,0.18993234706156614,0.2417628517095466,0.07765937817353064,0.164957749423306,0.04920307691906711,0.08918049864688726,0.025233270533908225,0.4968647697535926,0.3889261351725552
12,XYCas,1.0971010601957876,0.5413446641959632,0.6564548874973374,0.35590654446808845,0.3991245715983822,0.21639117903659866,0.18710302462694528,0.08072288524042848,0.12754628064993812,0.04982096462695207,0.0672942004001914,0.023601539859053,0.42243733749476364,0.3603120082042671
