,-0.78,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.780000
0,EVSct,-1.486927864249199,-0.7039666195205269,-1.0710089952440809,-0.5529517187538598,-0.7155763827229319,-0.43637080829636954,-0.332748391063175,-0.20424001173058937,-0.20544748672829805,-0.1087923505521804,-0.12745007043404422,-0.06580125453170793,-0.6565265317402882,0.4921171035474204
1,SZTau,-1.619756049085073,-0.5143353326168141,-1.1655480240884106,-0.41545821305665054,-0.655017129101191,-0.24313740497365977,-0.29846342977597096,-0.11012557373509657,-0.2023138551897894,-0.06333275267902261,-0.1387002148665204,-0.04943952735374113,-0.6799664503511592,0.5456314564063255
2,SSSct,-0.8583223697008202,-0.39312483542943577,-0.6470391402065478,-0.3533438927643542,-0.4012949120274161,-0.2487670049137497,-0.1755664129959611,-0.1044295421986925,-0.12722727795611755,-0.07170281391645617,-0.07699765768457789,-0.04204792323895701,-0.3810746284285735,0.2881105968294707
3,QZNor,-1.438842587636133,-0.13186607034972214,-1.0470574982125196,-0.13304676259696413,-0.5636343165825024,-0.05093801257385344,-0.2723310741196736,-0.03961322817311985,-0.16971419347807437,-0.0017290505091424047,-0.12459984228728982,-0.015832564749039046,-0.6026965853860321,0.48705137259313447
4,ADGem,-0.5789436383533305,-0.5649021780712673,-0.42418153170114437,-0.4440501661971843,-0.23936750559973813,-0.26197638208152363,-0.09471383632848274,-0.10319021103385417,-0.06640435583695259,-0.06860453794185783,-0.050477602272435584,-0.05284196977746469,-0.24234807834868063,0.19829910156323846
5,YAur,-0.7602119138674206,-0.5297597125853909,-0.5262103827797961,-0.39585720103737143,-0.223292706497341,-0.16207055324114672,-0.12327546910475218,-0.09363267402020004,-0.0852909177942362,-0.05982716435063795,-0.0626190355507954,-0.04710700692344638,-0.29681673759905697,0.258995053024487
6,STTau,-1.1287776687095472,-0.5394536605847855,-0.7566635148485275,-0.3647997613937505,-0.4006215959032744,-0.1886402944947504,-0.1927583571099376,-0.0953185893675107,-0.1332741103409275,-0.06026288087617249,-0.09004295826697406,-0.04341117160585506,-0.45035636752986474,0.3771111073217377
7,BFOph,-0.8457489194057423,-0.009181730167884011,-0.6262731645633245,-0.03679392143430352,-0.3328874035637764,-0.0005158194900603541,-0.14286691607665902,0.007732624191440662,-0.09352245049329033,0.014600251279260956,-0.07452650658303439,-0.004378476650681307,-0.3526375601143044,0.290664596685582
8,SYCas,-1.1835351773995777,-0.5155012891971569,-0.8716100404614741,-0.41566930968074894,-0.46707416376981964,-0.21566224897991637,-0.24446080802628878,-0.12966649372196326,-0.16603464253469813,-0.08168837131192241,-0.10372159481491494,-0.049464647852008214,-0.5060727378344622,0.39582128033044767
9,XSct,-0.614721825421022,-0.7537549405297034,-0.38885096442332856,-0.5496690677886209,-0.16071375081665085,-0.2754755465031258,-0.1534949451391044,-0.20176107090164996,-0.1044384346792962,-0.13088624204116228,-0.04627326476637578,-0.06541061906684464,-0.24474886420762962,0.19668679228304908
10,YLac,-1.0946022805562898,-0.7307383299358247,-0.781306448662973,-0.5585127135398521,-0.4333455585564967,-0.32060223333998517,-0.18703019172067614,-0.13394978388278467,-0.12064406467904132,-0.07814877632309436,-0.09297546739089402,-0.06646301291124201,-0.45165066859439523,0.3720734816057493
11,TVul,-1.055679463586011,-0.45337214140833154,-0.7744855336016526,-0.36988120201125857,-0.4238166900606963,-0.20327516598540607,-0.19528062092755927,-0.09417552222989711,-0.11944178499158464,-0.044267959259870704,-0.09216377849859592,-0.044015863039339354,-0.44347797861101657,0.35934344673561164
