,0.94,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.940000
0,EVSct,-2.1255928599878433,-1.0357061069571407,-1.5512216597124884,-0.8081584033477425,-1.0014950532673086,-0.5905137346679215,-0.4659811567937384,-0.2758768278280465,-0.2885590474940037,-0.1526061867134685,-0.1845953775057847,-0.0961708499983798,-0.9362408591268611,0.7103101196893364
1,SZTau,-2.2584210448237174,-0.8460748200534279,-1.6457606885568181,-0.6706648976505332,-0.9409357996455677,-0.39728033134521173,-0.4316961955065344,-0.1817623898325535,-0.28542541595549503,-0.10714658884031095,-0.1958455219382611,-0.079809122820413,-0.9596807777377322,0.7804727763762215
2,SSSct,-1.4969873654394643,-0.7248643228660496,-1.1272518046749553,-0.6085505773582368,-0.6872135825717929,-0.40290993128530167,-0.3087991787265244,-0.17606635829614942,-0.21033883872182318,-0.1155166500777445,-0.13414296475631837,-0.07241751870562887,-0.6607889558151464,0.5102475952169626
3,QZNor,-2.077507583374777,-0.463605557786336,-1.5272701626809269,-0.38825344719084676,-0.8495529871268791,-0.2050809389454054,-0.40556383985023703,-0.11125004427057689,-0.25282575424378,-0.04554288667043075,-0.1817451493590303,-0.046202160215710796,-0.8824109127726051,0.7198198174732844
4,ADGem,-1.2176086340919747,-0.8966416655078812,-0.9043941961695516,-0.6992568507910669,-0.5252861761441148,-0.4161193084530756,-0.2279466020590461,-0.1748270271313112,-0.14951591660265823,-0.11241837410314617,-0.10762290934417612,-0.08321156524413645,-0.5220624057352535,0.42322471939435047
5,YAur,-1.3988769096060647,-0.8614992000220048,-1.0064230472482036,-0.6510638856312541,-0.5092113770417177,-0.3162134796126986,-0.2565082348353156,-0.16526949011765696,-0.16840247855994178,-0.1036410005119264,-0.11976434262253599,-0.07747660239011814,-0.5765310649856299,0.4919365702965231
6,STTau,-1.7674426644481913,-0.8711931480213992,-1.2368761793169347,-0.6200064459876331,-0.6865402664476511,-0.34278322086630236,-0.3259911228405009,-0.16695540546496773,-0.21638567110663315,-0.10407671703746083,-0.14718826533871454,-0.07378076707252681,-0.7300706949164376,0.6119982845074733
7,BFOph,-1.4844139151443865,-0.34092121760449784,-1.1064858290317319,-0.2920006060281862,-0.6188060741081531,-0.15465874586161232,-0.27609968180722244,-0.06390419190601637,-0.17663401125899597,-0.02921358488202739,-0.13167181365477498,-0.034748072117353056,-0.6323518875008775,0.5191126603603539
8,SYCas,-1.8222001731382218,-0.8472407766337706,-1.3518227049298814,-0.6708759942746315,-0.7529928343141964,-0.36980517535146823,-0.3776935737568521,-0.2013033098194203,-0.24914620330040377,-0.12550220747321075,-0.16086690188665553,-0.07983424331868008,-0.7857870652210353,0.6249328433998654
9,XSct,-1.2533868211596662,-1.0854944279663172,-0.8690636288917359,-0.8048757523825035,-0.4466324213610276,-0.42961847287467786,-0.28672771086966775,-0.2733978869991069,-0.18754999544500178,-0.17470007820245062,-0.10341857183811631,-0.09578021453351651,-0.5244631915942025,0.4220944523193107
10,YLac,-1.733267276294934,-1.0624778173724385,-1.2615191131313803,-0.8137193981337347,-0.7192642291008735,-0.47474515971153713,-0.32026295745123945,-0.2055865999802417,-0.20375562544474685,-0.1219626124843827,-0.1501207744626345,-0.09683260837791366,-0.7313649959809682,0.6029143558317885
11,TVul,-1.6943444593246553,-0.7851116288449453,-1.25469819807006,-0.6250878866051413,-0.709735360605073,-0.35741809235695804,-0.3285133866581226,-0.16581233832735415,-0.20255334575729017,-0.08808179542115904,-0.1493090855703365,-0.07438545850601111,-0.7231923059975895,0.5877047636717384
12,XYCas,-1.8251243242296105,-0.7085660232975168,-1.4125541034392783,-0.6161050835653257,-0.7937681938869302,-0.33942904643586697,-0.3858990300938706,-0.17820368932374453,-0.2570679172709169,-0.1130014534467765,-0.16809393830927355,-0.07331650494427336,-0.8070845845383134,0.6286041774124522
13,TVel,-1.3266935973139344,-0.5161585606071117,-0.9611990444064407,-0.4001234116260004,-0.5339288586018074,-0.21986638126562313,-0.22444034246568179,-0.07913286571951045,-0.1466684222280456,-0.04481664535422528,-0.11438268628436599,-0.04761468598349363,-0.5512188252167126,0.46811537627509786
14,VZCyg,-1.382614781871437,-0.8092348270328135,-1.034906728352748,-0.6526435984483582,-0.6186867686078527,-0.40993096582810423,-0.27188909762871494,-0.17360154692222135,-0.16027744478729938,-0.09065571794723118,-0.1231539006739758,-0.07766458821535263,-0.5985881203203379,0.47754788786805147
15,CFCas,-1.1853732513753388,-0.4528256712001964,-0.8763575520968627,-0.36868956530894603,-0.5065909191669835,-0.22204948894586868,-0.2038216440547469,-0.07198212744313287,-0.14650831157486793,-0.05452759239073338,-0.10428654869952614,-0.04387405827176407,-0.5038230378280543,0.4163235386513954
16,VLac,-1.9610968786914509,-0.9571366070440505,-1.429519977896198,-0.7394226033034843,-0.8179023652874657,-0.43387983143811565,-0.39351122766448243,-0.21607240224768182,-0.270870688326934,-0.14500072868231786,-0.17011287736964653,-0.08799128979311346,-0.8405023358726962,0.6713765190818339
17,V0386Cyg,-1.481941888494174,-0.2890709261456763,-1.098285706958602,-0.2530914244462724,-0.689570079831064,-0.20967324286310385,-0.2735375306486413,-0.053963212867901116,-0.1929684297781175,-0.03971712167013867,-0.13069599912807406,-0.03011787950910607,-0.6444999391397789,0.5115845403520531
18,CRSer,-1.8718792870003795,-1.191462247374532,-1.4017534455689182,-0.9603668952276864,-0.8302853196106849,-0.5944398565542315,-0.3953387613463105,-0.2838085867324495,-0.2735112869915461,-0.19225423560243485,-0.16680866002270078,-0.11428366053209318,-0.8232627934234232,0.6358884096924033
19,V1162Aql,-1.3509497038046747,-0.43398762827875864,-1.0406918142526684,-0.3922251044138403,-0.5958380905490475,-0.2277496371944569,-0.26752659342333085,-0.09847605339297022,-0.17295955962342707,-0.05568003160201077,-0.12384232589606725,-0.04667478742524691,-0.591968014591536,0.46975617776691214
20,CVMon,-1.2993156208420142,-0.5189226667430906,-0.8646753110638188,-0.3245276708005864,-0.49791493417921967,-0.19553316424549044,-0.2189666261004729,-0.078970240408135,-0.13549920577767766,-0.037501163048137366,-0.10289636201659436,-0.03861879282526983,-0.5198780099966329,0.4520614465095523
21,SWCas,-1.5568085449628561,-0.7837476847544921,-1.1499623742383067,-0.6263439277779379,-0.6884750592467406,-0.3997676862120267,-0.31225627822419044,-0.17778092516142302,-0.2170254321117721,-0.12150785034772207,-0.1368455225343571,-0.07453492740557402,-0.6768955352197038,0.5317741560129728
22,XLac,-2.3912839717407297,-1.17767615589008,-1.7323375486815364,-0.9074725875055906,-1.0133792156920132,-0.558335604584199,-0.45040220847871626,-0.24001360072677563,-0.30101334219171366,-0.14979544544011894,-0.2061481682931019,-0.10798923791316309,-1.0157607425129684,0.8254063267505392
