,-0.5,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.500000
0,EVSct,-1.183452846150078,-0.5767206699893884,-0.8283138772719953,-0.4509887362819448,-0.555252631906287,-0.31052473242142475,-0.2673564056038912,-0.145397470580095,-0.17238627989545507,-0.08989033167461402,-0.09856935139536682,-0.053667659617549934,-0.5175552320371789,0.38701892470410415
1,SZTau,-1.32438628455041,-0.3923619817255368,-0.9228529061163251,-0.3134952305847355,-0.5547258505130767,-0.20094061119914508,-0.2840033433883329,-0.09890698437933665,-0.19213012754436365,-0.06332904755849333,-0.10981949582784156,-0.03730593243958136,-0.5646530013233916,0.4339760787318436
2,SSSct,-0.5297865953213516,-0.29321747700190826,-0.40434402223446225,-0.25138091029243925,-0.26310005222465477,-0.17226045253278754,-0.1282179527632431,-0.08145912900631014,-0.08803613087855194,-0.052881955249800994,-0.04811693864589972,-0.02991432832479901,-0.2436002820113606,0.17504686112532772
3,QZNor,-1.1361211102053101,-0.020656049732855786,-0.8043623802404339,-0.03108378012504917,-0.4718655157320689,-0.017109426716926945,-0.25075973314855937,-0.01292083019772372,-0.16763339941444022,-0.007095564093540729,-0.09571912324861087,-0.0036989698348793842,-0.4877435436649038,0.37264997994990035
4,ADGem,-0.24261394575824397,-0.4385679951993789,-0.18148641372905872,-0.34208718372526936,-0.10622727049736076,-0.21375069757126064,-0.048640600386453,-0.10222712635889786,-0.03224626183462944,-0.06559339737072789,-0.021596883233757365,-0.04070837486330503,-0.10546856257325055,0.08186729777309061
5,YAur,-0.44102181665095636,-0.38729928537519054,-0.28351526480771055,-0.29389421856545644,-0.1308378294424241,-0.16978896127432702,-0.08308857009909598,-0.08994198842840306,-0.05646847016043954,-0.05799660936841178,-0.03373831651211723,-0.0349734120092875,-0.17144504461212395,0.14541316906572715
6,STTau,-0.8319172441323559,-0.3706974286902703,-0.5139683968764418,-0.2628367789218355,-0.2944360042910532,-0.16003211874354512,-0.15636681785260031,-0.08107488365257975,-0.1054744060063269,-0.05190910750992672,-0.06116223922829589,-0.03127757669169706,-0.3272208513978456,0.2707451793086886
7,BFOph,-0.5206241427492508,0.10117109745992081,-0.38357804659123884,0.06516906103761146,-0.22100238375636425,0.04440883645416226,-0.11483816524521884,0.020653226731621586,-0.07859484485469598,0.013152620830775869,-0.04564578754435622,0.007755118263478172,-0.22738056179018748,0.17236620025456315
8,SYCas,-0.8624279666323262,-0.39713462789535464,-0.6289149224893884,-0.31370632720883396,-0.36225206263718107,-0.18716259659850892,-0.19439806663533743,-0.09623080679464918,-0.1280314423482597,-0.060306500572104293,-0.07484087577623683,-0.037331052937849496,-0.37514422275312165,0.28458367904780923
9,XSct,-0.3035780333267119,-0.5937369887473357,-0.1461558464512429,-0.44770608531670586,-0.05796069982710933,-0.27785628917355565,-0.06121927094546073,-0.14867739808700042,-0.03902112752497522,-0.09489036999278744,-0.017392545727697578,-0.05327702415268565,-0.10422125396719961,0.09770800547138124
10,YLac,-0.7787648908434006,-0.5941164927924818,-0.5386113306908874,-0.45654973106793717,-0.31707609525766844,-0.283911627132191,-0.1578273273565438,-0.13744363888239008,-0.10422261390328119,-0.08735189505620589,-0.06409474835221579,-0.05432941799708302,-0.3267661677339996,0.2570140579699491
11,TVul,-0.734210321128262,-0.3352907636891103,-0.5317904156295671,-0.26791821953934364,-0.3113583669158312,-0.16453297339292822,-0.16029468866219654,-0.08139217202008175,-0.10496507410764716,-0.05081177947254456,-0.0632830594599178,-0.03188226812517975,-0.3176503209839036,0.24293905804354396
12,XYCas,-0.8455165979681836,-0.2974128838706137,-0.6896463209987853,-0.258935416499528,-0.4006827901036084,-0.1492775784237125,-0.208880795833711,-0.07590582222709635,-0.1376554663148054,-0.0470734292854384,-0.08206791219885479,-0.030813314563442107,-0.3940749805696582,0.2853658115511137
13,TVel,-0.3683458415620714,-0.05293753424206024,-0.23829126196594758,-0.04295374456020279,-0.13265042711774425,-0.026713809661701393,-0.06743007714411947,-0.012731029893519041,-0.048756850094521575,-0.009395324834187924,-0.028356660173947223,-0.005111495602663052,-0.14730518634305856,0.1208254655205581
14,VZCyg,-0.4118312447926239,-0.36453064040134053,-0.3119989459122549,-0.2954739313825606,-0.19686606394192785,-0.1921031174087795,-0.09367559579321622,-0.09103011258933846,-0.059655829428400614,-0.05706225336651227,-0.037127874563557095,-0.03516139783452188,-0.18519259240533006,0.13762218824288402
15,CFCas,-0.21742892665353916,-0.002068806728694972,-0.15344976965636967,-0.011519898243148419,-0.09238026369182925,-0.011636458166963737,-0.0417997558066677,-0.00314183162070103,-0.033920088323273756,-0.004270353801815174,-0.018260522589107375,-0.001370867890933547,-0.09287322112013115,0.07168787732046625
16,VLac,-1.0139614753153112,-0.4937757926680918,-0.706612195455705,-0.38225293623768664,-0.42110520488043085,-0.23850586919137973,-0.21845726498840323,-0.11859405354883046,-0.14713388099521774,-0.07585553917343246,-0.08408685125922788,-0.045488099412282934,-0.4318928121490493,0.3321652221333181
