,0.48,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.480000
0,EVSct,0.04055033087683798,-0.12468311900065641,0.021119035630304303,-0.09411829763024253,-0.040264985135600964,-0.08061228447733756,-0.006212642143632319,-0.033457302279864654,0.005436350908043813,-0.01764470700389137,0.002513165240007026,-0.01120007741799807,0.0038568758959933065,0.02482212021298244
1,SZTau,-0.10038310752349408,0.059675569263195255,-0.07341999321402544,0.043375208066966806,-0.03973820374239058,0.028971836744942144,-0.022859579928074053,0.013033183920893712,-0.014307496740864789,0.008916577112229367,-0.008736979192467673,0.005161649759970521,-0.04324089339021944,0.033244896881762666
2,SSSct,0.6942165817055643,0.15882007398682382,0.44508889066783736,0.10548952835926309,0.2518875945460313,0.0576519954112997,0.13292581069701576,0.030481039293920195,0.08978649992494697,0.019363669420921756,0.05296557798947421,0.012553253874752868,0.27781182592181164,0.2269169887260519
3,QZNor,0.08788206682160578,0.43138150125587627,0.04507053266186569,0.3257866585266532,0.04312213103861715,0.21280302122716022,0.010384030311699481,0.09901933810250663,0.01018923138905864,0.06515006057718198,0.005363393386762991,0.03876861236467244,0.03366856426826829,0.02902042372677481
4,ADGem,0.9813892312686721,0.013469555789353133,0.6679464991732409,0.014783254926432954,0.4087603762733253,0.016161750372826578,0.2125031630738059,0.009713041941332545,0.1455763689688695,0.006652227299994817,0.07948563340161652,0.0017592073362468486,0.4159435453599217,0.3191071492188049
5,YAur,0.7829813603759596,0.06473826561354154,0.5659176480945891,0.06297622008624587,0.384149817328262,0.06012348666976014,0.17805519336116282,0.021998179871827256,0.12135416064305937,0.01424901530231093,0.0673442001232567,0.007494170190264382,0.3499670633210483,0.25722808630201743
6,STTau,0.39208593289456006,0.08134012229846177,0.33546451602585775,0.09403365972986685,0.22055164247963283,0.06988032920054205,0.10477694560765854,0.030865284647650537,0.07234822479717201,0.02033651716079604,0.03992027740707804,0.011190005507854817,0.19419125653532654,0.1332012794661652
7,BFOph,0.7033790342776651,0.5532086484486529,0.4658548663110607,0.42203949968931376,0.2939852630143218,0.27432128439824943,0.14630559821504002,0.13259339503185197,0.09922778594880294,0.08539824550149855,0.055436729091017656,0.05022270046303001,0.2940315461429847,0.22868740270616322
8,SYCas,0.36157521039458973,0.05490292309337741,0.22051799041291117,0.04316411144286836,0.15273558413350502,0.042749851345578294,0.06674569682492143,0.01570936150558122,0.04979118845523922,0.011939124098618414,0.026241640859137105,0.005136529261702383,0.14626788518005063,0.1168688612116063
9,XSct,0.920425143700204,-0.14169943775860366,0.7032770664510567,-0.0908356466650036,0.45702694694357676,-0.04794384122946854,0.19992449251479816,-0.036737229786769965,0.1388015032785237,-0.022644745322064785,0.08368997090767627,-0.010809441953133658,0.41719085396597255,0.3089242428808862
10,YLac,0.4452382861835153,-0.1420789418037498,0.31082158221141215,-0.09967929241623484,0.19791155151301765,-0.05399917918810379,0.10331643610371505,-0.025503470582159682,0.07360001690021772,-0.015106270385483178,0.036987768283158085,-0.01186183579753114,0.19464594019917267,0.14384787156209156
11,TVul,0.48979285589865396,0.11674678729962173,0.3176424972727325,0.08895221911235873,0.2036292798548549,0.06537947455115894,0.10084907479806232,0.030547996280148648,0.0728575566958517,0.021433845198178147,0.03779945717545613,0.010585314074372132,0.2037617869492686,0.15814183763884407
12,XYCas,0.3784865790587324,0.1546246671181184,0.15978659190351424,0.09793502215217431,0.11430485666707768,0.08063486952037469,0.05226296762654786,0.03603434607313405,0.04016716448869351,0.025172195385284257,0.01901460443651909,0.011654267636109772,0.1273371273635141,0.12197496722437573
13,TVel,0.8556573354648446,0.39910001674667184,0.611141650936352,0.3139166940914995,0.3823372196529418,0.20319863828238582,0.19371368631613933,0.0992091384067113,0.12906578070897734,0.06285029983653478,0.0727258564614266,0.03735608659688883,0.37410692159011355,0.28034545008507344
14,VZCyg,0.8121719322342921,0.08750691058739155,0.5374339669900446,0.061396507269141726,0.3181215828287582,0.037809330535307745,0.16746816766704264,0.020910055710891884,0.11816680137509827,0.015183371304210436,0.06395464207181678,0.007306184365029944,0.33621951552784207,0.26378579014235715
15,CFCas,1.0065742503733768,0.4499687442600371,0.6959831432459299,0.3453505404085539,0.4226073830788568,0.21827598977712348,0.2193440076535912,0.10879833667952932,0.14390254248022516,0.06797527086890753,0.08282199404626656,0.041096714308618276,0.42853888681304103,0.32913700553817465
16,VLac,0.21004170171160486,-0.04173824167935972,0.14282071744659464,-0.02538249758598432,0.09388244189025524,-0.008593421247292565,0.04268649847185563,-0.0066538852486000555,0.030688749808281207,-0.00360991450270981,0.016995665376146052,-0.0030205172127310553,0.08951929578412293,0.06867768916855163
17,V0386Cyg,0.70171280188458,0.6055666641514375,0.4740549883841906,0.46094868127122757,0.2577395631601521,0.2777366428312119,0.14678434121117384,0.1426005543926664,0.09524485834239571,0.09008776476968516,0.056412543617718525,0.054852893071276276,0.2886581827667018,0.23000615674095318
18,CRSer,0.3144131206465358,-0.3022975737133317,0.17058724977387446,-0.24632678951018647,0.09675441031770987,-0.15536684342091164,0.05002949137501422,-0.07573630589744887,0.03646879493726607,-0.047868279184480694,0.020299882723091744,-0.029312887951710526,0.11475882496224869,0.10209841407985494
19,V1162Aql,0.8519988888092864,0.440277943213584,0.5316488810901242,0.3218150013036597,0.327356610839235,0.20920505842609294,0.16587436819138074,0.10183458351993802,0.1132796234734601,0.06585530926910954,0.06326621684972622,0.0382959851551371,0.34223743154220215,0.2760752995038445
20,CVMon,0.8591040317931846,0.45103160960676747,0.7076653842789739,0.3895124349169135,0.4296130779490442,0.24434991650159626,0.21653968605721946,0.11895615812487692,0.14618284261149916,0.07622005344820082,0.08421218072919823,0.046351979755113404,0.40721953390318655,0.289770451690011
21,SWCas,0.6279298588046858,0.1182181796863222,0.42237832110448587,0.08769617793956203,0.2453728826776381,0.05171577254645501,0.12810332488144982,0.026756271848330848,0.08630597062495121,0.01689277391641797,0.05026302021143547,0.010435845174808472,0.2600588963841077,0.20555168910029367
22,XLac,-0.2362394618628001,-0.25881146228850577,-0.15999685333874386,-0.19343248178809075,-0.10151716601226643,-0.1219128386617605,-0.04464509792515953,-0.05680654970890353,-0.027976713093296215,-0.03565115429004706,-0.019039625547309334,-0.023018465332780513,-0.09823581962992922,0.07847562514324267
23,VCen,0.5794268679883826,0.21018592859153046,0.43073443997105687,0.18039419790699823,0.2750835290551127,0.12368621836047206,0.13777919547310213,0.0593869122591959,0.09490999570607517,0.038778297489238334,0.05125739835655657,0.021466909550934,0.26153190442504765,0.19024690701151717
24,FMCas,0.5995519486591825,0.39977239059651476,0.40030792832235473,0.30652218800728376,0.23628696662168253,0.1933559546789605,0.12404171703817052,0.09605281073923166,0.08250861902354523,0.061190161567808654,0.04763664347036162,0.03647614037286839,0.2483889705225495,0.19571292442869617
25,CSVel,0.7731542780461261,0.29737102830394335,0.5879296544780184,0.2519520320980293,0.3728252505721399,0.1673826235221954,0.1815314692961107,0.07845081961067729,0.1252843562527015,0.0512986151722028,0.06996362888288521,0.02998229181966694,0.35178143958799696,0.2560830431523945
26,MWCyg,0.2319008374176304,0.5485855625863905,0.12522894671732385,0.41051629958890945,0.05094450348096877,0.24944860823539072,0.03453432624251749,0.12549214586171487,0.021645607685921386,0.08021025616036503,0.014902244659362563,0.04885143965108152,0.07985941103395408,0.07710783105357048
27,FMAql,0.5627991171840195,-0.09417841565223808,0.3392813547981334,-0.09326376882262913,0.15205869708852324,-0.08268351441154229,0.10490705013995405,-0.02844854371525901,0.0721501306442926,-0.018062432398212175,0.04037448122097864,-0.011098388489892086,0.2119284718459836,0.18409042051761015
28,CRCep,0.7946788717082013,0.7076928704695938,0.5783166702850838,0.5580163003599488,0.3291057971320364,0.34378200246380264,0.17435517052743177,0.1710731538681669,0.11031314328916214,0.10695753421774534,0.06881968376392666,0.06640393974283576,0.342598222784307,0.2637356366991124
29,RSCas,0.41956830835250003,0.33835002148159693,0.28648295448777866,0.2664984905045208,0.1966586115337931,0.1826371109964655,0.08659378257027112,0.08323937297863515,0.05811997134064106,0.05338288539643299,0.03409147158404674,0.03171332037003949,0.18025251664483846,0.1377663978253697
30,RRLac,0.12032128077124558,0.25323253508748367,0.06985377051572682,0.20722082428903088,0.05947493957719202,0.1478116450978164,0.019982802907434205,0.06707051898865579,0.018706473041451843,0.04539655176426327,0.008312598691371909,0.024659278090396253,0.0494419775840704,0.03882721824003703
31,XXSgr,0.6204085435508719,0.20782326246657712,0.47692812338310947,0.18493749372183693,0.284490732593152,0.11777297909885154,0.14269464656477937,0.05661313139545826,0.09837182339177591,0.037031674369277234,0.056754446682590665,0.022007561752898752,0.27994138602771323,0.20670387033275853
32,BBSgr,0.6345053349885111,0.20152512331429742,0.42233889663422813,0.14709547384320196,0.2520216769410735,0.09069445532119522,0.13387729794402675,0.0469458811469704,0.09089152024223729,0.03017582909356717,0.05025832869947422,0.017504361387341932,0.2639821759082585,0.2061847283239561
33,VCar,0.612286060379001,0.5154477557326088,0.40108962197982323,0.39424696469410425,0.2480244867260248,0.25479184657240284,0.1279243735435504,0.12508655195804286,0.08683382172815146,0.08061087461323568,0.047729665015599665,0.046915388798599134,0.2539813382286918,0.19850567097876073
34,V0495Cyg,-0.1720488988993829,-0.5230086301268697,-0.13502291782140183,-0.41460842842736,-0.07152815070679927,-0.26001396071227867,-0.04568187783556876,-0.1308290542959465,-0.028116776585906847,-0.08320767434877907,-0.016067727220746633,-0.04933840298285408,-0.07807772484496771,0.05701909115585283
35,USgr,0.650848370770517,0.2080056357641068,0.42637512351375717,0.15270137427778507,0.24915454102515985,0.09375345900827264,0.1315022196634869,0.047894521127506307,0.09103326048827115,0.03151304617666156,0.05073863969813891,0.018171463539057908,0.26660869252655517,0.2117980410930492
36,TWCMa,0.8026041464247227,0.49418391469559286,0.5648633663489329,0.3962233473295721,0.3390880402842894,0.2551770835744709,0.17607956646489464,0.1258987639607294,0.1185374158055148,0.08070919790678821,0.06721874059552324,0.04715057833221925,0.34473187932064625,0.2629188143403909
37,xSgr,0.06756832110806699,-0.16659099550116105,0.08681224884820396,-0.09603514920620354,0.06807580558322895,-0.04540717166510899,0.030722524739414836,-0.024502767656907898,0.028878088244165157,-0.012526570887569644,0.010330657612936278,-0.011428182755537752,0.0487312743560027,0.026994682392427947
38,V0600Aql,0.43057101808175674,0.04505753567676263,0.23620484952411036,0.01830155941370043,0.07263751148940328,-0.015095307850833822,0.06601126714407385,0.0047873605565196264,0.04903783545563867,0.004776897527667634,0.02810837709337033,0.002177885570232019,0.1470951431313922,0.14386957715696094
39,V0459Cyg,0.6014181761039538,0.3387187128471833,0.3972411975575141,0.2575486008582142,0.19344178743164778,0.14404859728190034,0.1194039020619651,0.07932757254419909,0.07805544866922154,0.04987267121385752,0.04727170250934437,0.030648283502127116,0.2394720357222744,0.19808564650371657
40,CKSct,1.1869826970093085,0.9657688806360171,0.7528542835590406,0.719654200820258,0.4445086125471906,0.45165724626179293,0.22342202210528134,0.21958698571378688,0.14471457647713515,0.13866726669950258,0.08958965974352728,0.08563884989761106,0.4736786419069139,0.3885791817309519
41,TZMon,0.8506562764283058,-0.15753378755861325,1.020702218375595,0.045447468695072685,0.6234569709237515,0.025726981243998276,0.31738788581977906,0.01350833354436426,0.21086274000041672,0.006549875034514485,0.12146356398669722,0.005408248774715074,0.5240882759224242,0.3331886729324941
42,V1344Aql,0.6913263998400729,-0.38404953778905754,0.3611594588962952,-0.35377881604051276,0.2117704143363986,-0.23151586316546857,0.102821426465174,-0.11464665382649519,0.07179008196310777,-0.0732733742792625,0.04297797560866018,-0.0420996791088184,0.2469742928516181,0.22539240384752385
43,RSOri,0.4728945475009272,-0.07050467472442165,0.33898456521203363,-0.041143948669509656,0.19376263692471318,-0.02665228226799407,0.10258039660177037,-0.011531170968641868,0.07312194284994694,-0.006084264604586026,0.04033916326023257,-0.004896129891670542,0.203613875391604,0.15536456634308743
44,BKAur,0.7484427091605615,0.3638773780179527,0.49587938891611255,0.2904051522640505,0.30787913714363946,0.19698197842845522,0.15278132849073212,0.09394156103637452,0.1069210919038669,0.06183988358882608,0.05900964728101854,0.0345582131194222,0.31181888381598855,0.2434894642524856
45,GHLup,0.9169825914001085,0.4306996374132489,0.5747674443373625,0.3012525618932821,0.3541623724169304,0.19003144125807264,0.18049107837378175,0.09343692498204614,0.11765213282561815,0.05813296293355025,0.06839732587614789,0.035849054865302876,0.3687421575383248,0.29774660632792904
46,FNAql,0.7619675147404454,0.46577444972474924,0.5148240217132979,0.3648339144614582,0.277426227489665,0.2210794219278558,0.1583909755747221,0.11510929900262179,0.10719485627925895,0.07403166836854025,0.06126405858388306,0.043415235820915,0.3135112757302121,0.24939907167778136
47,YZSgr,0.7529848966172799,0.2862090058724304,0.48880527640812343,0.21508748697747276,0.2851103122737241,0.13524618752881368,0.14772274219739373,0.06706202092106206,0.10226810915796924,0.04397288514115538,0.058167827892566804,0.025595410950320474,0.3058431940911762,0.2455024295964041
48,SNor,0.6736231285037093,0.3329015322428107,0.4553164016817869,0.252568397663084,0.29355830984861553,0.16790769917215637,0.14445136496437277,0.08007207119928322,0.09661431642728435,0.050953022190054265,0.054182651800132986,0.030055639321907857,0.2862910288709837,0.21932418533591963
49,DDCas,0.9776839172350082,0.288564366030799,0.6403741210388372,0.21561686315571665,0.3663418197649496,0.1310861008181452,0.19832152846878803,0.06904833524607579,0.13165089912316652,0.04319572690245954,0.07620452040362258,0.025658406715531545,0.3984294676723954,0.31889012172188164
50,BZCyg,0.535072438323503,0.10882338909381327,0.40068935657527965,0.09237490542941208,0.26465692106246286,0.06621021941742398,0.1263230131566776,0.02909894897937422,0.08037065856990722,0.016468854433437652,0.04768203343245914,0.010992613746101592,0.24246573685338157,0.17741217640920745
51,SYAur,0.6559085117741263,-0.18716782321265918,0.4680234714311622,-0.1200574691099961,0.27529579031472656,-0.06971080251967193,0.14276444177618375,-0.03349853904230965,0.10601938842785197,-0.01797753965422738,0.05569479310030867,-0.014286838824088932,0.28395106613739324,0.21447772866765935
52,YSct,0.6781831369552803,0.36640907054193655,0.4395624847082904,0.27015363314867924,0.2606253781997913,0.16832795139488943,0.13677227383222912,0.08418117234243139,0.08826026871581893,0.0523327005334161,0.05230793568028752,0.032148282344694246,0.27595191301528293,0.22113684799712036
53,TWNor,0.5365459906286233,0.6934002519723806,0.4659495349472392,0.5627106566274638,0.2698557113119285,0.34459401459337435,0.13015934594415957,0.165897570676369,0.08720656852947857,0.10642132820440675,0.05544799465872241,0.06696256813866941,0.2575275243366919,0.18597089396010563
54,ZLac,0.505758526579753,0.19890036855509974,0.33727291027841766,0.15626525040228367,0.18879683137405473,0.09622903389205456,0.10888878593887408,0.052284989576847685,0.07386014517415374,0.033642634182663556,0.04013547632313258,0.01859556479787383,0.20911877927806424,0.16417871810939577
55,XXCen,0.4326325621913987,0.21378840213907735,0.2901656573009631,0.1719475116741584,0.1840743196139776,0.11820103639385593,0.09266666885203056,0.05695727409613205,0.06688629864936968,0.03831959020654452,0.03452971321881515,0.02046175388922644,0.1834925366377591,0.1399324368127378
56,TYSct,0.38472823975402687,0.2754904556693623,0.24926351874296002,0.21749820231211037,0.14330245357125768,0.14044397564118516,0.06773844673818624,0.0659614643943125,0.048702917862080475,0.043639895269516615,0.02966235873041312,0.025882286075142202,0.15389965589982071,0.12676317539913515
57,V340Nor,0.6365390344501484,0.5442652617999558,0.4214641039945171,0.4105970991797208,0.28815790587720824,0.273693791771222,0.13670258970328336,0.12965211536535426,0.08674312980245918,0.08106925196492809,0.0501542283753485,0.048861054802388115,0.2699601653671608,0.20708507992578581
58,AAGem,1.2387337832453733,0.40556410155021744,0.8421116747726046,0.31255324700950926,0.5339577393804154,0.211680486310731,0.26123486861770806,0.0989895172359544,0.1714708946210204,0.06128081196432522,0.10021128929794054,0.03719383639413221,0.5246200416558436,0.40518625843157713
59,RXAur,0.6976877073945553,0.25640470546815697,0.49208986636065766,0.21376724571030625,0.3055733854992829,0.14504913737613012,0.14612379781086715,0.06650864154853908,0.10282686198507551,0.044298739610417526,0.05855869409691883,0.025438302239527144,0.3004767188578929,0.22946777717974848
60,UUMus,0.8862258628320857,0.6064341450056776,0.656563951893009,0.49072467327255753,0.41761105115385394,0.3220701007727512,0.20415628804516062,0.15377341759751317,0.13834966399415005,0.0989572669995753,0.0781311102752692,0.05839623611943545,0.39683965469892146,0.2923770720441986
