,-0.1,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.100000
0,EVSct,-0.15901071639678532,-0.1434985557760002,-0.15901071639678543,-0.14349855577600046,-0.23029849353887624,-0.21023671088779675,-0.3063822979404231,-0.27113436318771933,-0.3567471090485585,-0.3059086206933979,-0.48179061272524976,-0.4055862040955812,-0.2822066576744464,0.09169705417947327
1,SZTau,-0.18109730656097284,-0.09503008850906394,-0.18109730656097303,-0.09503008850906425,-0.21375512311492106,-0.09990447774878593,-0.3485267951460453,-0.14293260563604232,-0.49495511778382384,-0.1807634209786428,-0.7577822492436721,-0.2895847445585835,-0.3628689830684014,0.1487636769722945
2,SSSct,-0.023523939509779535,-0.0513724976481408,-0.02352393950977973,-0.051372497648141204,-0.016885778212700715,-0.05347514855529007,0.04598822027661965,-0.018822644588873685,0.10444818439980152,0.0022692003770495555,0.1865046461549866,0.03591787640289341,0.04550123226652464,0.05792522099947823
3,QZNor,-0.14072741592523452,0.02463205308025101,-0.14072741592523488,0.024632053080250432,-0.15074271876589104,0.06158704736689461,-0.27168773695647547,0.09290716929769467,-0.3539557678881841,0.19433314107320904,-0.584515947743268,0.22532774623999746,-0.2737261672007147,0.11236816660920425
4,ADGem,0.02630770638441316,-0.09342484543660046,0.026307706384412904,-0.09342484543660112,0.07532862173059471,-0.08940844769817696,0.23411309038175357,-0.0806803014585533,0.40113663835375124,-0.09767517923667197,0.598200306742328,-0.148661008575807,0.2268990116628756,0.16085658950025997
5,YAur,-0.006669204030298553,-0.09960597078166189,-0.006669204030298734,-0.09960597078166225,0.04763866383405912,-0.0809148488898485,0.07382372982451864,-0.1736326308870093,0.13868364765136876,-0.25507178489128846,0.18718845486439742,-0.40274585947838654,0.07233268135229111,0.05721584901656397
6,STTau,-0.08256278580815295,-0.11058750814833924,-0.0825627858081532,-0.11058750814833976,-0.09043331673454758,-0.1366798485059451,-0.16340226727906637,-0.2727865021261779,-0.2313524809396716,-0.41838553247038335,-0.35542667871918626,-0.6415705610881999,-0.16762338588146297,0.0714960418254469
7,BFOph,-0.020347993028396186,0.06988280555815438,-0.020347993028396374,0.06988280555815378,0.009846997777338327,0.1174414666045504,0.06134516999653204,0.22175008663229823,0.1296209602360539,0.3539999028559279,0.143066650808081,0.4660006996721667,0.050530632126868785,0.054359155946863774
8,SYCas,-0.09975811320528216,-0.06949926614684952,-0.09975811320528248,-0.06949926614684988,-0.06800224113622617,-0.03566535464862047,-0.07036811120654866,-0.03384736262030825,-0.03506274197122479,0.005344695852760618,0.004108380090790586,0.05758987330444936,-0.06147349010562895,0.027627719804181616
9,XSct,0.028253591181637314,-0.19355939293529678,0.02825359118163696,-0.19355939293529736,0.0603414858086027,-0.23037771702671284,-0.003999566529213046,-0.5197444668135016,0.02894260311309195,-0.7641021490453865,0.11181718611853977,-1.0634610401130595,0.04226814847904927,0.026740244047121685
