,0.58,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.580000
0,EVSct,-0.32793690009015575,-0.24550744743196887,-0.3279369000901559,-0.24550744743196903,-0.45445302774910906,-0.33600456366871106,-0.7123633374691968,-0.47135476277371363,-0.9837134875610525,-0.5988096084166248,-1.4146186895661035,-0.8319035032535984,-0.7035037237542956,0.2933451976810713
1,SZTau,-0.35002349025434326,-0.1970389801650326,-0.3500234902543435,-0.19703898016503277,-0.4379096573251539,-0.2256723305297002,-0.7545078346748189,-0.3431530052220366,-1.121921496296318,-0.47366440870186965,-1.6906103260845258,-0.7159020437166009,-0.7841660491482506,0.35275084034272736
2,SSSct,-0.19245012320314997,-0.15338138930410944,-0.19245012320315014,-0.15338138930410974,-0.2410403124229335,-0.17924300133620436,-0.359992819252154,-0.21904304417486786,-0.5225181941126924,-0.2906317873461772,-0.746323430685867,-0.39039942275512346,-0.37579583381332454,0.14632163631253958
3,QZNor,-0.3096535996186049,-0.07737683857571762,-0.30965359961860534,-0.07737683857571812,-0.3748972529761238,-0.0641808054140197,-0.677668776485249,-0.10731323028829962,-0.9809221464006782,-0.09856784665001782,-1.5173440245841217,-0.2009895529180197,-0.6950232332805638,0.3161492248662187
4,ADGem,-0.14261847730895724,-0.19543373709256912,-0.1426184773089575,-0.19543373709256967,-0.14882591247963806,-0.21517630047909128,-0.17186794914702003,-0.28090070104454756,-0.22582974015874266,-0.39057616695989883,-0.33462777009852546,-0.5749783077338242,-0.19439805441697353,0.04457206236871315
5,YAur,-0.17559538772366895,-0.20161486243763055,-0.17559538772366912,-0.2016148624376308,-0.17651587037617364,-0.2066827016707628,-0.33215730970425494,-0.3738530304730036,-0.4882827308611251,-0.5479727726145154,-0.7456396219764563,-0.8290631586364037,-0.34896438472755803,0.15011211319969112
6,STTau,-0.25148896950152333,-0.2125963998043079,-0.2514889695015236,-0.21259639980430828,-0.31458785094478037,-0.2624477012868594,-0.5693833068078399,-0.4730069017121723,-0.8583188594521656,-0.7112865201936102,-1.2882547555600399,-1.0678878602462172,-0.5889204519613122,0.2753906710163149
7,BFOph,-0.1892741767217666,-0.03212608609781426,-0.18927417672176677,-0.032126086097814775,-0.2143075364328945,-0.008326386176363889,-0.3446358695322415,0.021529687046303925,-0.4973454182764401,0.061098915132701014,-0.7897614260327727,0.039683400514149474,-0.37076643395298037,0.1508650654392106
8,SYCas,-0.2686842968986526,-0.17150815780281817,-0.26868429689865286,-0.17150815780281842,-0.29215677534645895,-0.1614332074295348,-0.4763491507353222,-0.23406776220630257,-0.6620291204837186,-0.2875562918704662,-0.928719696750063,-0.36872742585356777,-0.48277055618547804,0.17891387643539033
9,XSct,-0.14067259251173309,-0.29556828459126544,-0.14067259251173347,-0.2955682845912659,-0.16381304840163008,-0.3561455698076271,-0.40998060605798653,-0.719964866399496,-0.5980237753994019,-1.0570031367686135,-0.8210108907223138,-1.4897783392710768,-0.3790289176007999,0.20056380081749206
10,YLac,-0.2496556097120202,-0.2501308786603054,-0.2496556097120205,-0.2501308786603059,-0.2888622960074827,-0.2833479142515777,-0.4367501294201846,-0.4086893613798828,-0.6172135317760383,-0.5661416188837879,-0.9441634878906624,-0.8610268494993445,-0.4643834440864015,0.17591713902616707
11,TVul,-0.23876949285312507,-0.161761787557269,-0.23876949285312543,-0.16176178755726947,-0.26941793301913397,-0.16377695798576364,-0.42090967969545123,-0.2192297107759595,-0.5763869914664745,-0.26176075198479654,-0.8886969308144594,-0.41608803359843954,-0.4388250867836283,0.16512436743519623
12,XYCas,-0.27344664395459933,-0.10150911040872994,-0.2734466439545997,-0.10150911040873035,-0.2672208333735831,-0.039510741780922315,-0.3618330998118538,0.04973480106432336,-0.46460876022303577,0.16752845175474687,-0.6155456352371395,0.32562107982515887,-0.3760169360924685,0.09093830716060905
13,TVel,-0.15481816598646508,-0.10229891607248284,-0.15481816598646525,-0.10229891607248329,-0.18583267332121958,-0.11471604434499998,-0.3089829487917705,-0.17566557940083413,-0.4741653407292377,-0.26856328288046005,-0.7782400024409323,-0.46984679202707996,-0.3428095495426817,0.15529608749850304
14,VZCyg,-0.17315231187654637,-0.17263459915522164,-0.17315231187654664,-0.17263459915522195,-0.2018238728006017,-0.194712170726629,-0.27274721624014947,-0.24098959773259088,-0.34616476298813276,-0.28890827507798983,-0.5561085572339435,-0.4634939812626505,-0.28719150550265343,0.09152341991429941
15,CFCas,-0.1257183039869681,-0.0777493765604792,-0.12571830398696832,-0.07774937656047964,-0.15111524110816685,-0.08598852871967813,-0.218767741260338,-0.09616092859834478,-0.3540959555358609,-0.16495274501747517,-0.5570221448262221,-0.2730696424405875,-0.2554062817840874,0.10707117607833248
16,VLac,-0.2949318161509037,-0.21860240257474478,-0.2949318161509039,-0.21860240257474506,-0.3521020989294659,-0.24554997948363846,-0.5864269047831031,-0.37789136720545535,-0.8637264593846526,-0.5354342462468736,-1.2225242402096568,-0.7277935875713212,-0.602440555934781,0.2510224243797485
17,V0386Cyg,-0.18518487768250508,-0.025868905379564582,-0.18518487768250524,-0.025868905379564905,-0.25842401013681315,-0.04774416209390221,-0.37736659393312616,0.002545625403487066,-0.5891630191372601,-0.006392170536293954,-0.894852509092141,-0.02741398101444902,-0.4150293146107251,0.18138400721391237
18,CRSer,-0.27889084874435793,-0.28069709286847094,-0.2788908487443582,-0.2806970928684714,-0.3245933393426466,-0.3129378226481578,-0.48702594164955737,-0.4251172815215193,-0.6924116878988844,-0.5756265382093756,-0.9319253221110976,-0.7432076386261478,-0.49895633141515033,0.17846737834313903
19,V1162Aql,-0.16468140155103908,-0.04812447064604656,-0.16468140155103944,-0.04812447064604704,-0.16985666676950043,-0.014671847558182181,-0.22714297415594334,0.05583250273374764,-0.30087258104212145,0.1343103594385395,-0.459621539835454,0.18945748985363867,-0.24780942748418297,0.07128161156162872
20,CVMon,-0.14570262897194833,-0.13047568029060488,-0.14570262897194858,-0.13047568029060527,-0.22392593404775124,-0.20718853905845774,-0.44349994870580867,-0.4227395662031605,-0.6926113472009041,-0.6691539625061418,-1.1160102185853111,-1.0834543157290615,-0.4612421177472787,0.25286562318808653
21,SWCas,-0.207030877949252,-0.17162191194375062,-0.2070308779492523,-0.17162191194375098,-0.25758006621023494,-0.20386214135540892,-0.39740389214158156,-0.28035034884817567,-0.5896676607498259,-0.40016356092092553,-0.8362735564631013,-0.5465912665054147,-0.41583115524387465,0.16776328770204507
22,XLac,-0.38356170729334665,-0.291652046525684,-0.3835617072933469,-0.29165204652568427,-0.48328251922548165,-0.3501656777856712,-0.7830140499052652,-0.5094356442326167,-1.1602143756421581,-0.7214615950639554,-1.7283672047027487,-1.0634702180541769,-0.8203335940103912,0.3523263889629226
23,VCen,-0.215755646065633,-0.1568397205652355,-0.2157556460656333,-0.15683972056523593,-0.25830144877113576,-0.18065388891584522,-0.43058677702621817,-0.29106535426543734,-0.6323454575947436,-0.42048902869809246,-0.98705286189875,-0.671287114710587,-0.4566329729036856,0.1975206134519379
