,-0.52,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.520000
0,EVSct,-0.05467395588029181,-0.0804930638708431,-0.05467395588029194,-0.08049306387084341,-0.08656727946399792,-0.09927937981439781,-0.0804474733247318,-0.09496641970282146,-0.06530875472647733,-0.09030787538765131,-0.0734628368797705,-0.09086186540964858,-0.06918904269259356,0.014578501842773213
1,SZTau,-0.07676054604447934,-0.03202459660390685,-0.07676054604447953,-0.03202459660390721,-0.08720757717117163,-0.03274531721788458,-0.1055927485327361,-0.03633282314717339,-0.11002866981474414,-0.03566521289991382,-0.11481860510810141,-0.03890403410081601,-0.09519478211928535,0.01459070995309836
2,SSSct,0.08081282100671396,0.011632994257016301,0.08081282100671376,0.011632994257015836,0.09557194950312213,0.012349986999811347,0.12517660113401916,0.01907683630717902,0.14231677338385135,0.020529077660652772,0.1263569772431819,0.019422330521468606,0.10850799054626703,0.022244260880310448
3,QZNor,-0.03639065540874102,0.08763754498540811,-0.036390655408741396,0.08763754498540745,-0.03361215189302168,0.09308475343150355,-0.05276772007992536,0.07919763093120853,-0.046442230451031345,0.08154150924294197,-0.05513509679541145,0.06628367696124123,-0.04345641833947871,0.008418134198818244
4,ADGem,0.13064446690090667,-0.030419353531443354,0.13064446690090642,-0.030419353531444118,0.17340890720297947,-0.0334244235691414,0.2129714099895232,-0.042278571820356714,0.2400425504726238,-0.04543683453871079,0.1924989757398416,-0.05656165987441107,0.18003512953446352,0.03875429170867495
5,YAur,0.09766755648619495,-0.036600478876504784,0.09766755648619475,-0.036600478876505256,0.1429229096777191,-0.03480136238562655,0.13949433053893112,-0.05732744517119868,0.1567301731993288,-0.060775914602949004,0.11578031289159632,-0.06994500624267311,0.12504380654666084,0.022513318875548558
6,STTau,0.021773974708340554,-0.04758201624318213,0.021773974708340298,-0.04758201624318277,0.029858718205333878,-0.062133100707331294,0.011376559627109891,-0.08943707111455072,0.015359103577308911,-0.09506202308779504,-0.01758659404068629,-0.10747178658954881,0.013759289464291205,0.009916392569720926
7,BFOph,0.0839887674880973,0.13288829746331152,0.08398876748809712,0.13288829746331074,0.11293758104207209,0.1369533997946002,0.13164984561237378,0.12094091204909363,0.14972064594523876,0.11929357256073995,0.1202883234218245,0.09662518191036107,0.1137623218329506,0.02287778825074358
8,SYCas,0.004578647311211323,-0.006493774241692416,0.004578647311211004,-0.006493774241692887,0.03471324476893103,-0.00258866948044203,0.03422589672738499,-0.020869295154972784,0.05025082555117874,-0.021858851106384015,0.030077211518443725,-0.0340990725177405,0.0264040788647268,0.016453890100023315
9,XSct,0.1325903516981308,-0.13055390103013967,0.13259035169813044,-0.13055390103014028,0.1653816829952513,-0.13702372915959127,0.13535802890485,-0.15799175720253006,0.15705695078328774,-0.15737639501849549,0.12890205722382064,-0.1468308765534702,0.14197990388391182,0.013854781433798107
10,YLac,0.023607334497843715,-0.08511649509917966,0.023607334497843406,-0.08511649509918034,0.045416456002522795,-0.08989411988857363,0.05752991872411092,-0.09933075658275181,0.07250573396898048,-0.10141870680070271,0.03411581819577153,-0.10971103232529106,0.042797099314512144,0.01549525043886819
11,TVul,0.034493451356738855,0.0032525960038567434,0.034493451356738467,0.003252596003856115,0.06043432923168621,0.0051387995483255225,0.07247873755254226,-0.005943997210558775,0.09268767827471915,-0.005627034561288189,0.060875642313854186,-0.019065477829386602,0.059243881681046516,0.01871995043921675
12,XYCas,-0.0001836997447354746,0.06350527315239582,-0.0001836997447358266,0.06350527315239515,0.04652196325269271,0.08049215985734326,0.07149694176569606,0.06915668510427349,0.09396983237241967,0.06950455469430765,0.07819036241557649,0.05115417168434014,0.04830195005281893,0.03620391023823004
13,TVel,0.11844477822339883,0.0627154674886429,0.11844477822339868,0.06271546748864226,0.14503803410761712,0.05979686456327448,0.16341118380184497,0.0460734974677267,0.17842263216851606,0.04254638544136384,0.13902574040815216,0.026627984334024368,0.14379785782215462,0.020443690245931154
14,VZCyg,0.10011063233331757,-0.0076202155940959,0.10011063233331731,-0.007620215594096391,0.1280656033541069,-0.008924434482282046,0.16320434875579337,-0.010087223018352416,0.1933392955758423,-0.008327004777988334,0.1530662668103478,-0.01798754330494897,0.13964946319378754,0.03088550118684446
15,CFCas,0.1475446402228958,0.08726500700064656,0.14754464022289565,0.08726500700064604,0.1775310212209246,0.085598973796192,0.21254864270964077,0.0774478867004901,0.227949369038009,0.07307123659021661,0.19298530111526194,0.05837037674456575,0.18435060242160461,0.029795108116031206
16,VLac,-0.0216688719410398,-0.05358801901361905,-0.02166887194104003,-0.053588019013619474,-0.011738579393263764,-0.057324274303233155,-0.018974599254085785,-0.07027228768233554,-0.014958383305050761,-0.07272064636456915,-0.0286309475136799,-0.0780330218477231,-0.019606708891360004,0.004207495017206717
17,V0386Cyg,0.08807806652735883,0.13914547818156117,0.08807806652735867,0.13914547818156064,0.08815682754869433,0.1315897664832827,0.12461401253260705,0.1290684645854843,0.13316006816640458,0.12587143326354175,0.11415391878555062,0.10815583248049351,0.10604016001466234,0.01809748036564741
18,CRSer,-0.005627904534494043,-0.11568270930734521,-0.005627904534494317,-0.11568270930734573,0.010785511895104188,-0.11319648791989584,0.025427650495577797,-0.10671405955145619,0.037085275915569815,-0.1054661173108655,0.027208753533811986,-0.09848906414237125,0.014875230461845905,0.015563068912330153
19,V1162Aql,0.10858154265882486,0.11688991291507918,0.10858154265882448,0.11688991291507851,0.1494064707414831,0.12645745193299548,0.18660978314508536,0.11939018485775557,0.2128902101768057,0.11954546233441214,0.18410112912523655,0.10121185214090607,0.15836177975104335,0.03819126623038809
20,CVMon,0.12756031523791556,0.03453870327052089,0.12756031523791536,0.034538703270520256,0.12796260328149134,0.00867591997394751,0.12053782638454173,-0.02205261680008399,0.13134500386147918,-0.028516013001008353,0.08365598634161009,-0.04740628423169338,0.11977034172415886,0.006875128304579654
21,SWCas,0.06623206626061189,-0.00660752838262487,0.06623206626061168,-0.006607528382625254,0.08054962343748616,-0.010583634250062365,0.10115628855579961,-0.013157516900420907,0.11386870675004722,-0.014612284582509013,0.09400830158253508,-0.018989080394108994,0.08700784214118194,0.016621919651859073
22,XLac,-0.1102987630834827,-0.12663766296455828,-0.11029876308348292,-0.12663766296455864,-0.12696779783243453,-0.1343161007243045,-0.13947774320540066,-0.13445982475350599,-0.14672705221646615,-0.13549303277007946,-0.15716123142503396,-0.13506513721195523,-0.13182189180771683,0.015879738891935412
23,VCen,0.057507298144230945,0.008174662995890241,0.05750729814423061,0.008174662995889582,0.07756347712950051,0.00022715736385678904,0.08167043220351017,-0.02119239841466474,0.09468987267850211,-0.025346769610315484,0.05539917802875284,-0.042717568147026305,0.07072292605478786,0.011357229768110882
24,FMCas,0.06195056215427152,0.08333124774115942,0.0619505621542713,0.08333124774115885,0.07662371444637901,0.08058418327932017,0.09745923823687812,0.07013104208539452,0.10797965491371386,0.0670348090487676,0.08748819593117164,0.051140307144595824,0.08224198797278091,0.016481911498016418
25,CSVel,0.10151919583261941,0.019591891780520825,0.10151919583261909,0.019591891780520114,0.12324570969683868,0.009252766196993648,0.12135373879047957,-0.015914873546507866,0.1397601713075299,-0.019046755137355105,0.0957233967758258,-0.03576473689612668,0.11385356803931873,0.010591722731433864
26,MWCyg,-0.009195811915218064,0.13466329309994296,-0.009195811915218358,0.13466329309994232,-0.019814114985109942,0.13235698980150148,-0.005601067143164857,0.12871084504405916,-0.004288982016824622,0.12777007551319602,-0.0031501947713650073,0.11187890652644454,-0.008540997124483475,0.005843456584397661
27,FMAql,0.049486733884860246,-0.056842905199820146,0.04948673388485984,-0.056842905199820645,0.044826875304848565,-0.06419136043891925,0.0999844278513513,-0.03987291438389167,0.11723736629566296,-0.037483564968369604,0.09853762838040094,-0.03387932752833845,0.0765932942669973,0.027503553113828596
