,0.96,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.960000
0,EVSct,-0.42233682627174507,-0.3025124162985396,-0.42233682627174524,-0.30251241629853953,-0.5321365592699663,-0.3178457761405328,-0.6007445539561517,-0.2863663355142549,-0.6402561261617773,-0.2770178426185712,-0.5887903830185577,-0.2470101433993038,-0.5344335458249906,0.08592696755937974
1,SZTau,-0.4444234164359326,-0.2540439490316033,-0.4444234164359328,-0.2540439490316033,-0.5327768569771401,-0.2513117135440196,-0.625889829164156,-0.22773273895860663,-0.6849760412500441,-0.22237518013083357,-0.6301461512468887,-0.19505231209047116,-0.5604392852516823,0.08939847212149278
2,SSSct,-0.2868500493847393,-0.21038635817068016,-0.2868500493847395,-0.2103863581706803,-0.34999733030284624,-0.20621640932632362,-0.3951204794974007,-0.1723230795042544,-0.4326305980514486,-0.166180889570267,-0.3889705688956054,-0.13672594746818692,-0.35673651258613,0.0531201020596052
3,QZNor,-0.40405352580019427,-0.13438180744228834,-0.40405352580019466,-0.13438180744228867,-0.4791814316989901,-0.12548164289463143,-0.5730648007113451,-0.11220228488022484,-0.6213896018863312,-0.10516845798797782,-0.570462642934199,-0.08986460102841379,-0.5087009214718757,0.08203088453280162
4,ADGem,-0.2370184034905466,-0.2524387059591398,-0.23701840349054684,-0.25243870595914025,-0.27216037260298886,-0.2519908198952764,-0.3073256706418967,-0.23367848763178994,-0.3349048209626761,-0.23214680176963068,-0.3228285703989457,-0.21270993786406622,-0.28520937359793347,0.036414784846559814
5,YAur,-0.2699953139052583,-0.25861983130420124,-0.2699953139052585,-0.25861983130420135,-0.3026463701282493,-0.2533677587117616,-0.3808027500924888,-0.24872736098263198,-0.41821719823597114,-0.24748588183386888,-0.39954723324719127,-0.22609328423232825,-0.34020069658573626,0.05682527100521691
6,STTau,-0.3458888956831127,-0.2696013686708786,-0.345888895683113,-0.2696013686708789,-0.41571056160063447,-0.2806994970334663,-0.50892052100431,-0.2808369869259841,-0.559588267857991,-0.2817719903187148,-0.5329141401794736,-0.2636200645792041,-0.4514852136681058,0.08197530878765927
7,BFOph,-0.28367410290335593,-0.08913105496438499,-0.28367410290335615,-0.08913105496438539,-0.33263169876389626,-0.0816129965315348,-0.38864723501904613,-0.07045900376233961,-0.4252267254900612,-0.06741639467018004,-0.3950392227169628,-0.05952309607929421,-0.3514821812994464,0.05227918539281311
8,SYCas,-0.3630842230802419,-0.2285131266693889,-0.3630842230802423,-0.228513126669389,-0.4108560350370374,-0.22115506580657707,-0.4860711839040349,-0.21226921096640602,-0.5246965458841212,-0.2085688183373038,-0.4852503346203437,-0.1902473505073958,-0.4388404242676702,0.060191101362950215
9,XSct,-0.23507251869332244,-0.35257325345783613,-0.23507251869332282,-0.35257325345783647,-0.28018759681071703,-0.35559012548572627,-0.3849390517265699,-0.34939167301396334,-0.41789042065201204,-0.3440863622494153,-0.3864254889149669,-0.30297915454312535,-0.3232645992484852,0.07282693933701935
10,YLac,-0.34405553589360954,-0.3071358475268761,-0.3440555358936099,-0.30713584752687645,-0.40015282380344563,-0.30846051621470866,-0.46276716190730893,-0.29073067239418515,-0.5024416374663194,-0.2881286740316225,-0.48121172794301575,-0.2658593103149466,-0.42244740381788487,0.060027704236718715
