,-0.76,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.760000
0,EVSct,-0.01412602182032602,-0.03795635445882638,-0.020189675815309414,-0.038256237959871514,-0.05713891545794351,-0.07069988771000786,-0.07559642086012436,-0.08621243205144682,-0.05808122121248526,-0.07528113042748125,-0.07559642086012275,-0.08621243205144609,-0.05012144600438522,0.026878433037819404
1,SZTau,-0.02976175335374265,-0.010177514275178344,-0.03255972141094446,-0.010299023432444824,-0.03114470831655353,-0.007386795995177658,-0.033722428093220555,-0.01045506669509464,-0.018875397587998756,0.0015788444806727545,-0.03372242809321912,-0.010455066695093896,-0.029964406142613174,0.0023607505002607608
2,SSSct,0.0653912712772883,0.004864528045794252,0.05095336132535147,-0.0008325382740449833,0.033347105499198164,-0.011178598142431622,0.026886157258514686,-0.011868326948788194,0.03440404322106721,-0.014276873627510402,0.026886157258516716,-0.011868326948787233,0.03964468263998943,0.015757636940710695
3,QZNor,-0.006199726376690946,0.03759356512004645,-0.012672331455048081,0.03560835433157296,-0.006397280875397274,0.04373852736504062,-0.02122418199900894,0.025759185972286176,0.007302065313643752,0.05208259507049734,-0.021224181999007562,0.025759185972286425,-0.01006927289858484,0.006317927401263707
4,ADGem,0.09715262237371128,-0.017479592265551232,0.08511729997983136,-0.015393525470173367,0.07710302595067633,-0.011515096318586642,0.07746342184318201,-0.001425777181314868,0.09952321569656958,0.005360597111746492,0.0774634218431851,-0.0014257771813139131,0.08563716794785926,0.008254054433274961
5,YAur,0.0755909365032672,-0.012523656339304997,0.0697957522594336,-0.006888290576167456,0.08374609827016351,0.016653332336326945,0.062144914683434506,0.002852722628988529,0.08312670571173628,0.011204426063040465,0.06214491468343655,0.0028527226289888747,0.07275822035191194,0.007908479884782486
6,STTau,0.02953694590444543,-0.014808842710046542,0.03237105810042994,-0.0027834033658522893,0.03515551002080436,0.007062594097156247,0.02156465773741553,-0.002375688503050113,0.037056881208184,0.003919052549235011,0.021564657737416774,-0.0023756885030489527,0.029541618451449342,0.005078223886006631
7,BFOph,0.06662412973483493,0.05338275908093487,0.05506055370526796,0.05242817050707349,0.05557206420594553,0.05993725900000206,0.0549122891175816,0.060202011418645396,0.0817042957990088,0.07896470468127338,0.054912289117583675,0.06020201141864641,0.061464270280037085,0.006026572100621807
8,SYCas,0.02234955722859918,-0.013494818093408988,0.01189697067345752,-0.013908434509420541,0.014167145482955425,-0.00432904390002814,-0.015083678900710466,-0.03040678304193577,-0.004626977250526084,-0.0290226929794338,-0.015083678900707678,-0.030406783041934473,0.0022698897221779825,0.015318002263656701
9,XSct,0.0954163749785888,-0.042542588188301894,0.09170243234232994,-0.03575426779449245,0.09384501614866231,-0.023143768680658688,0.021134622355985323,-0.0831644817481847,0.02478836342062898,-0.094580396812843,0.02113462235598634,-0.08316448174818333,0.05800357193369695,0.03598353648161447
10,YLac,0.03279388488852069,-0.03833335750483614,0.027348512708246904,-0.03412340141356299,0.026333859174609807,-0.027050733824139604,0.02863012591254338,-0.018178337126790168,0.05602875687180756,-0.0016947211408239276,0.028630125912544744,-0.01817833712678871,0.033294210911378845,0.005143001031202046
11,TVul,0.03888837634315651,-0.0036789045348185724,0.029090544737843158,-0.003812235861332501,0.028623718729930508,0.003004764927118558,0.020811458174854653,-0.0009223261825708171,0.05169310934531581,0.020662977968658243,0.02081145817485564,-0.0009223261825703426,0.031653110917659384,0.006812386924308729
12,XYCas,0.02150628554224013,0.003665595964449433,0.0012819403602665272,-0.005321856816710712,0.0033059559740834174,0.00419178715013846,-0.0170025984061679,-0.014891828300511889,-0.006923943891900091,-0.013369058294855681,-0.017002598406166424,-0.014891828300511983,-0.0024724931379407227,0.014435996944544324
13,TVel,0.08612992177615166,0.03268501273802081,0.07924352028391003,0.03652128343025836,0.07972841867611605,0.04520777546334212,0.08792905018655461,0.058094228886449314,0.11510632786591825,0.0749101284306234,0.08792905018655507,0.058094228886449106,0.08934438149586761,0.007190793631075634
14,VZCyg,0.0780101153516708,-0.006149640431790169,0.0648837740823677,-0.007892502282234188,0.05199216863289141,-0.011331948895565262,0.050817056163208196,-0.005068907005452615,0.08695540186009415,0.01868391877009842,0.050817056163209966,-0.005068907005450884,0.0639125953755737,0.011327764326503755
15,CFCas,0.1039007130678862,0.04066518285926144,0.09291834911552685,0.04153576609464044,0.08629973889977194,0.044047280189786216,0.09831365760723479,0.0614300974771,0.11252280270050855,0.06424412623587536,0.09831365760723562,0.06143009747710007,0.09871148649969398,0.007326292709135241
16,VLac,0.005460293020665836,-0.026458846947999496,9.264780375795754e-05,-0.024142465937554973,-0.002323236239874357,-0.020717229202234556,-0.021438042628868847,-0.036531095677985945,-0.02087519071870514,-0.04382294567977221,-0.02143804262886797,-0.03653109567798546,-0.01008692856531542,0.011559223407146688
17,V0386Cyg,0.06788939201508212,0.06067205758866352,0.05738820376673387,0.059537986790191934,0.036217060458551636,0.04447825343176571,0.05695754038809123,0.06583839369578952,0.06656327060874159,0.06828170855174368,0.056957540388092066,0.0658383936957897,0.05699550127088209,0.01173217919247057
18,CRSer,0.01645932788878515,-0.05575471204395242,0.0037973948705333337,-0.06089231182587401,-0.007639987427725479,-0.0654394929092428,-0.02622170481091872,-0.0768926289683888,-0.02940284665303435,-0.09015023201682625,-0.02622170481091797,-0.07689262896838822,-0.011538253490546338,0.017676586878702442
19,V1162Aql,0.08284663256314417,0.041199682435519455,0.06472331829015616,0.03503686956201885,0.059729875431824904,0.03862416535971655,0.05574523217657588,0.03795305975425105,0.07856187234873774,0.05055563056208792,0.05574523217657778,0.03795305975425125,0.0662253604978361,0.010374816043375151
20,CVMon,0.08968813289344488,0.03110172548380064,0.09509733181344983,0.04780384096968688,0.08728034254997621,0.04866262501110378,0.0835822862056276,0.05001402966368156,0.11275072182932531,0.06828807414045521,0.08358228620562844,0.05001402966368176,0.09199685024957538,0.005195995926877265
21,SWCas,0.05699053176327351,-0.00319473818755429,0.04665309784431591,-0.004078407340935013,0.03295277743708534,-0.010117410938879991,0.025643325579111243,-0.011838383087512578,0.029630977923814795,-0.018058956555151724,0.025643325579114213,-0.011838383087511891,0.03625233935445251,0.01286163562383948
22,XLac,-0.04822396376245829,-0.05256299148171639,-0.048190382642731844,-0.0496133951971253,-0.05173315711357993,-0.05084344665597413,-0.04307643303952176,-0.0404754128151328,-0.030375067610321858,-0.03204749769084738,-0.043076433039519794,-0.0404754128151307,-0.04411257286802225,0.0048134955498425405
23,VCen,0.05125505676420074,0.004930780616257885,0.048158158824307976,0.01239978298313785,0.04940980672007168,0.021561044648530953,0.048229017242541326,0.024428758462376632,0.07522988173645417,0.041539013351691995,0.04822901724254321,0.024428758462378304,0.053418489755019845,0.0043402675159147685
24,FMCas,0.05387383279931546,0.03271823155587858,0.04379748413331087,0.03253864392894391,0.03406689443065977,0.02961936186784495,0.035133109880680344,0.03250570015251207,0.04340646292412452,0.03260101744713694,0.03513310988068217,0.03250570015251251,0.04090181567479552,0.008010184752130804
25,CSVel,0.07641212174762883,0.014961103383723175,0.0743180819364308,0.024130065379764185,0.0750858783924061,0.033637519905905064,0.062300701936222835,0.02617783670408042,0.0950885823767381,0.0479212205852207,0.062300701936224286,0.026177836704081612,0.07425101138760849,0.006086497255118983
26,MWCyg,0.010584301693183893,0.05335686498680267,8.12187374758913e-05,0.04899725092416573,-0.016927590084214635,0.03482671374449879,-0.012720107111160821,0.03562805262929076,-0.011211321490671554,0.03417635695777529,-0.012720107111158492,0.03562805262929195,-0.007152267561090953,0.011107058348519348
27,FMAql,0.047816636072695685,-0.026218463065490947,0.0329991305663852,-0.03314005012817393,-0.002807368261325234,-0.06179066742278772,0.01918641003766229,-0.0325753376622753,0.03174314379864515,-0.030355509022003593,0.01918641003766356,-0.03257533766227547,0.024687393708621108,0.018643159463064322
28,CRCep,0.08008987817467479,0.06886694706795356,0.0738160142361432,0.073912114737065,0.054485813368081955,0.06193146556628719,0.05592712064747409,0.06395727591883392,0.037793782901378664,0.03760931851958551,0.055927120647475737,0.06395727591883517,0.05967328832920473,0.012823781674771863
29,RSCas,0.03193243951530409,0.022504457311000352,0.024566539374550105,0.02450006219936313,0.030484257249876627,0.036588558644203746,0.006472309098043806,0.013405596768178709,0.0073338792675907314,0.006981531805672192,0.006472309098044693,0.013405596768180067,0.01787695560056834,0.011525159173203552
30,RRLac,-0.0062833778873387985,0.009006310103657152,-0.012455355479108969,0.012292562213939559,-0.009691738089045858,0.02058272086982191,-0.03755989178203911,-0.008804135069622722,-0.0270429005666241,-0.004209387531206508,-0.03755989178203829,-0.008804135069621414,-0.021765525931032523,0.013431441912351294
31,XXSgr,0.05714474572657055,0.0016238298910909756,0.05497826915575294,0.010629717212548129,0.04292752509821476,0.00709847247951668,0.023764522464984117,-0.007278232137474964,0.03264675468620861,-0.009065304209497464,0.023764522464985973,-0.007278232137474563,0.03920438993278616,0.014343316166699902
32,BBSgr,0.058246485305428294,0.009982343715010077,0.04797596668167042,0.008206598426822176,0.04066465012509662,0.007666429917493375,0.051167706847751245,0.022838114906927033,0.0787156979880846,0.041260292995011834,0.05116770684775311,0.02283811490692779,0.05465636896596405,0.008146405181241314
33,VCar,0.055110151143973204,0.048320475592316975,0.044278841470491076,0.047795668836739705,0.04182821988170057,0.051985627967591846,0.048072162537050905,0.05861054097774287,0.07381148617008637,0.07681487642889841,0.048072162537051495,0.05861054097774266,0.05186217062339227,0.006765733280372178
