,0.72,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.720000
0,EVSct,-0.23565129368723373,-0.12125410626598372,-0.2265096345275146,-0.12508797413657033,-0.24842415525543254,-0.15720905503154844,-0.2492360446666009,-0.16413234048368625,-0.2507299924688753,-0.15644030673419573,-0.24923604466660013,-0.1641323404836847,-0.24329786087870953,0.010023166348119587
1,SZTau,-0.25128702522065033,-0.09347526608233567,-0.23887968012314964,-0.09713075960914364,-0.2224299481140426,-0.09389596331671825,-0.20736205189969711,-0.08837497512733401,-0.21152416884438877,-0.07958033182604182,-0.2073620518996964,-0.08837497512733235,-0.22314082101693747,0.017954076084426826
2,SSSct,-0.1561340005896194,-0.07843322376136308,-0.1553665973868537,-0.08766427445074379,-0.15793813429829087,-0.09768776546397222,-0.14675346654796184,-0.08978823538102759,-0.15824472803532283,-0.09543604993422498,-0.14675346654796068,-0.08978823538102577,-0.1535317322343349,0.004344530917865038
3,QZNor,-0.22772499824359863,-0.04570418668711089,-0.21899229016725327,-0.05122338184512586,-0.1976825206728863,-0.04277063995649995,-0.19486380580548543,-0.052160722459953235,-0.18534670594274621,-0.02907658123621724,-0.1948638058054849,-0.052160722459952034,-0.2032456877729091,0.01539802667214677
4,ADGem,-0.1243726494931964,-0.10077734407270857,-0.12120265873237383,-0.10222526164687218,-0.11418221384681271,-0.09802426364012724,-0.09617620196329452,-0.07934568561355428,-0.09312555555982048,-0.07579857919496809,-0.09617620196329237,-0.07934568561355237,-0.10753924692646505,0.012681680335146382
5,YAur,-0.1459343353636405,-0.09582140814646233,-0.13652420645277158,-0.09372002675286628,-0.10753914152732554,-0.06985583498521364,-0.11149470912304205,-0.07506718580325088,-0.10952206554465381,-0.06995475024367412,-0.11149470912304091,-0.07506718580324959,-0.12041819452241238,0.016999821039155778
6,STTau,-0.19198832596246226,-0.09810659451720388,-0.17394890061177523,-0.08961513954255113,-0.15612972977668468,-0.07944657322438435,-0.15207496606906099,-0.08029559693528951,-0.15559189004820603,-0.07724012375747946,-0.15207496606906076,-0.08029559693528741,-0.163634796422875,0.01658507676907507
7,BFOph,-0.1549011421320728,-0.029914992726222472,-0.15125940500693721,-0.03440356566962533,-0.1357131755915435,-0.026571908321538537,-0.11872733468889492,-0.01771789701359405,-0.11094447545738124,-0.0021944716254411836,-0.11872733468889371,-0.017717897013591954,-0.13171214459428723,0.01661654697709152
8,SYCas,-0.1991757146383085,-0.09679256990056631,-0.1944229880387477,-0.10074017068611935,-0.1771180943145336,-0.09083821122156874,-0.18872330270718699,-0.10832669147417517,-0.19727574850691612,-0.11018186928614827,-0.18872330270718507,-0.10832669147417293,-0.19090652515214632,0.008301088651476737
9,XSct,-0.1261088968883189,-0.1258403399954592,-0.11461752636987525,-0.12258600397119128,-0.09744022364882672,-0.10965293600219927,-0.15250500145049123,-0.16108439018042403,-0.16786040783576106,-0.17573957311955765,-0.15250500145049112,-0.1610843901804217,-0.13517284294062737,0.02360524536302264
