,-0.42,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.420000
0,EVSct,-0.10365110715018727,-0.09166851888416183,-0.10579459792309928,-0.094564865964886,-0.1140597947121803,-0.10218391308881147,-0.11548660470755817,-0.10411295155615051,-0.11216399280363251,-0.10357525153277139,-0.11548660470755671,-0.10411295155614955,-0.11110711700070236,0.0052847223220154746
1,SZTau,-0.06022074816674466,-0.026136373051471394,-0.06616315821035776,-0.028300010094520763,-0.07025215577617022,-0.028339138329310228,-0.07361261194065437,-0.028355586199798284,-0.07600345916034959,-0.02784190297918292,-0.07361261194065313,-0.02835558619979734,-0.0699774575324883,0.0055459909768833535
2,SSSct,-0.031553148547637605,-0.02608708252461199,-0.03163643948684118,-0.029144461941551854,-0.022392995243183715,-0.030782196156093344,-0.013004026588919089,-0.02976884645349183,-0.00621273570322545,-0.02965329209614988,-0.01300402658891714,-0.029768846453490684,-0.01963389535978736,0.009188273153365713
3,QZNor,-0.04723777385677422,-0.0007846072230056196,-0.05377093012755877,-0.00031055088488511,-0.054758106177424624,0.006377429413537446,-0.06111436584644274,0.007858666467582529,-0.06069475117531307,0.012184414879932432,-0.06111436584644155,0.007858666467583056,-0.05644838217165916,0.0053998261909231245
4,ADGem,-0.024759744574272966,-0.029359678639898842,-0.015304948795237161,-0.02873489469505889,0.014455331550414756,-0.0239905111570353,0.03757323799574821,-0.019326296686018547,0.054752197201319144,-0.01723906215014928,0.037573237995751164,-0.019326296686017364,0.01738155189562052,0.028550670520373436
5,YAur,-0.024265087052333677,-0.021564772255434798,-0.01665262500885906,-0.021028195684679545,0.012270235607398431,-0.014820055794520105,0.02225473083600066,-0.015047796875715119,0.035152401898740984,-0.01360352810507523,0.02225473083600262,-0.015047796875713244,0.008502397852824993,0.021850666500169844
6,STTau,-0.04740201274172555,-0.02909813798362085,-0.041054252584438976,-0.02659159867795162,-0.024941558635389844,-0.021628514085733287,-0.018325526110018243,-0.02027620800775376,-0.010645249757230527,-0.01830841567201391,-0.01832552611001724,-0.020276208007752324,-0.02678235432313673,0.013264274061086675
7,BFOph,-0.013094628175987177,0.020989743431002787,-0.012052437027168066,0.024025500838745793,0.003867577450137336,0.035337160185364896,0.015022105270147829,0.04230149191394168,0.024429761078750986,0.04803849128768007,0.015022105270149742,0.04230149191394434,0.005532413977671776,0.013684111276828623
8,SYCas,-0.07512872947479908,-0.05615432890980978,-0.07343532159703639,-0.0553630676323902,-0.05699406263152739,-0.048561371086653794,-0.05497386274814431,-0.04830730254663942,-0.047489500518974465,-0.04542470711668807,-0.05497386274814161,-0.04830730254663656,-0.060499223286437205,0.010297825633497317
9,XSct,-0.04771493978430155,-0.0783472927413896,-0.03847164430406911,-0.0825252632932181,-0.013141751219084633,-0.08835271819899969,-0.018755561491448483,-0.10106500125288834,-0.007061219535751669,-0.10450906421803952,-0.018755561491447595,-0.10106500125288558,-0.02398344630435051,0.015148966928530629
10,YLac,-0.049420692693217895,-0.04130029047501741,-0.04436984686316895,-0.041540426732593276,-0.02565204570734545,-0.03886709358510731,-0.011260057934890395,-0.036078856631493815,-0.00014082923620948026,-0.03465688028519702,-0.011260057934889108,-0.03607885663149212,-0.023683921728286882,0.01766716433062388
11,TVul,-0.046195315350709316,-0.02780005882632348,-0.044209104952680996,-0.027398326944593765,-0.028249054288171593,-0.021750604073567083,-0.019078725672579157,-0.018822845687274464,-0.00876016329679655,-0.015421309317270848,-0.019078725672578293,-0.01882284568727379,-0.02759518153891932,0.013180904740479374
12,XYCas,-0.07870711735907414,-0.049683280337347153,-0.08019666535755422,-0.048427773673227245,-0.06259608452061892,-0.03694760376311929,-0.05689278225360167,-0.03279234780521554,-0.04899321596840464,-0.027838294158989117,-0.05689278225360036,-0.03279234780521535,-0.06404644128547567,0.011500473172906913
13,TVel,0.00609017350837799,0.024988317673739033,0.010998221502823743,0.02686826839933125,0.031169628146900552,0.03416440374732334,0.0480388663391208,0.040193709381745664,0.05946931486476772,0.0435695192259358,0.04803886633912113,0.04019370938174574,0.03396751178351866,0.019432996791404623
14,VZCyg,-0.02932188591003771,-0.027183515393545393,-0.024793784129547924,-0.028190381533524985,-0.00567705595487778,-0.02627576367364259,0.010926872315774423,-0.022969426510156262,0.025766955217282693,-0.020399075385341376,0.010926872315776031,-0.022969426510154333,-0.0020286710242717106,0.019002149676643855
15,CFCas,0.011923314847364622,0.027582511829069498,0.01695414075794545,0.02920074902467782,0.037960970778710745,0.03624595567270894,0.05842347375980101,0.043529577972396385,0.06966468263299458,0.04644300769370127,0.05842347375980184,0.043529577972396705,0.04222500942276971,0.02143234570486881
16,VLac,-0.07348014208515063,-0.05573270280317669,-0.07259587138138122,-0.05619669308841474,-0.06304309584740059,-0.054000197257881945,-0.06132822647630266,-0.05443161518268961,-0.057990306662472256,-0.05384411965110641,-0.061328226476301984,-0.05443161518268895,-0.06496097815483488,0.006077476983819115
17,V0386Cyg,-0.004206543984848943,0.030195307381234063,-0.004418595450484985,0.03240068888171145,0.0008692398456873904,0.0384638120787886,0.017067356540657403,0.04793787419108587,0.022389621903536376,0.05198098221172585,0.01706735654065813,0.047937874191087464,0.008128072565867561,0.010513837242026173
18,CRSer,-0.07963081412569392,-0.08232992429487114,-0.07987913034142045,-0.08721257422649671,-0.07031197075681699,-0.09175938528741044,-0.06611188865835249,-0.09479314847309245,-0.06163511909106607,-0.09704811823314018,-0.06611188865835191,-0.09479314847309167,-0.07061346860528363,0.006846899492000308
19,V1162Aql,-0.018579583120130257,0.003285905870528603,-0.01727778426761294,0.004532814602425725,0.002029114539296583,0.013919100993892593,0.01585504832914204,0.0200525402495474,0.027457131678510025,0.024908098767668526,0.015855048329143927,0.02005254024954788,0.004223162581391563,0.01675089952653088
20,CVMon,0.0010009718634066884,0.0175087151395836,0.011321211688801307,0.022121959476899152,0.02969286343366682,0.027723551148775137,0.04369210235819376,0.03211351015897784,0.05626083239779249,0.03576216203215742,0.0436921023581945,0.032113510158978155,0.030943347350009264,0.01901097394908588
21,SWCas,-0.03885823069851611,-0.030697935567634286,-0.03658030656743137,-0.03195249385368105,-0.024385923894843425,-0.03141812141373799,-0.014246858268322563,-0.029738902592216225,-0.007206800700697973,-0.029230779162043526,-0.01424685826831972,-0.02973890259221534,-0.022587496399688527,0.011547035516824835
22,XLac,-0.0790330201072199,-0.05347671177563462,-0.08245855560027933,-0.05610231946644094,-0.08528762513964681,-0.05896657608851283,-0.08296661688695554,-0.05837593231983645,-0.08430865722811735,-0.05927028626500457,-0.08296661688695381,-0.05837593231983416,-0.08283684864152879,0.002271308124447733
23,VCen,-0.029580237187577213,-0.008649675528158908,-0.02379914706949468,-0.005815270007343532,-0.004661292340334327,0.001760491219206465,0.008338833395107518,0.006528238957672949,0.01924773071080631,0.010203357320183013,0.00833883339510927,0.006528238957674854,-0.0036858798493971862,0.01746858908415652
24,FMCas,-0.028396129810376432,-0.00029341919551932247,-0.027267581043312315,0.001623663211972974,-0.015938263344911538,0.008634983870036283,-0.004757073966753465,0.01460518064780842,0.0015862847464618455,0.018143584142677603,-0.004757073966750553,0.01460518064781027,-0.013254972897607077,0.011236348979603943
