,0.7,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.700000
0,EVSct,-0.16009990871414218,-0.12447055754988892,-0.17827438441787863,-0.13432328515027533,-0.22231868293441379,-0.15427918243467395,-0.24688956326381065,-0.16307936874811543,-0.26576627987651485,-0.16862547357627233,-0.24688956326381004,-0.1630793687481138,-0.2200397304117617,0.03893338381105171
1,SZTau,-0.11666954973069957,-0.05893841171719849,-0.13864294470513713,-0.06805842927991007,-0.1785110439984037,-0.08043440767517268,-0.2050155704969069,-0.0873220033917632,-0.22960574623323188,-0.09289212502268393,-0.2050155704969066,-0.08732200339176177,-0.1789100709435476,0.039296883673455796
2,SSSct,-0.08800195011159251,-0.058889121190339094,-0.10411622598162054,-0.06890288112694117,-0.1306518834654172,-0.08287746550195578,-0.14440698514517158,-0.0887352636454568,-0.15981502277610782,-0.09470351413965093,-0.14440698514517056,-0.08873526364545486,-0.12856650877084672,0.024992845111528942
3,QZNor,-0.10368657542072914,-0.03358664588873272,-0.12625071662233814,-0.040068970070274414,-0.1630169943996581,-0.04571783993232499,-0.19251732440269526,-0.05110775072438243,-0.2142970382481955,-0.05286580716356858,-0.1925173244026948,-0.051107750724381285,-0.1653809955827185,0.03898509027198948
4,ADGem,-0.08120854613822787,-0.062161717305625946,-0.08778473529001654,-0.0684933138804482,-0.09380355667181871,-0.07608578050289774,-0.09382972056050429,-0.07829271387798346,-0.09885008987156318,-0.08228928419365031,-0.09382972056050216,-0.07829271387798162,-0.09155106151543879,0.0057319032405764156
5,YAur,-0.08071388861628857,-0.0543668109211619,-0.08913241150363845,-0.06078661487006885,-0.09598865261483505,-0.06691532514038254,-0.10914822772025183,-0.07401421406768008,-0.11844988517414133,-0.07865375014857623,-0.10914822772025079,-0.07401421406767754,-0.10043021555823435,0.01237037935933053
6,STTau,-0.10385081430568044,-0.06190017664934796,-0.11353403907921834,-0.06635001786334092,-0.13320044685762333,-0.07372378343159573,-0.14972848466627073,-0.07924262519971871,-0.1642475368301129,-0.083358637715515,-0.14972848466627048,-0.07924262519971666,-0.13571496773419603,0.020676190061018593
7,BFOph,-0.06954342973994208,-0.011812295234724313,-0.08453222352194743,-0.01573291834664352,-0.10439131077209614,-0.016758109160497536,-0.11638085328610466,-0.016664925278023244,-0.12917252599413132,-0.017011730755820922,-0.11638085328610359,-0.016664925278019913,-0.10340019943338753,0.02044358729039174
8,SYCas,-0.131577531038754,-0.08895636757553688,-0.14591510809181577,-0.0951214868177795,-0.16525295085376088,-0.10065664043251626,-0.18637682130439678,-0.10727371973860436,-0.20109178759185684,-0.11047492916018915,-0.18637682130439495,-0.10727371973860089,-0.16943183669749654,0.02393000507439255
9,XSct,-0.10416374134825644,-0.1111493314071167,-0.11095143079884846,-0.1222836824786074,-0.1214006394413181,-0.14044798754486212,-0.150158520047701,-0.16003141844485322,-0.160663506608634,-0.16955928626154057,-0.15015852004770092,-0.16003141844484983,-0.13291605971540985,0.02085094768426599
10,YLac,-0.10586949425717279,-0.07410232914074451,-0.11684963335794833,-0.08129884591798259,-0.13391093392957892,-0.09096236293096976,-0.14266301649114288,-0.09504527382345873,-0.1537431163090918,-0.09970710232869805,-0.14266301649114252,-0.09504527382345634,-0.1326165351393462,0.016329472155561686
11,TVul,-0.10264411691466423,-0.06060209749205059,-0.11668889144746036,-0.06715674612998308,-0.13650794251040507,-0.07384587341942953,-0.15048168422883168,-0.07778926287923942,-0.16236245036967886,-0.08047153136077193,-0.15048168422883162,-0.07778926287923806,-0.13652779494997866,0.02083504949303534
12,XYCas,-0.13515591892302906,-0.08248531900307425,-0.15267645185233358,-0.08818619285861656,-0.17085497274285238,-0.08904287310898175,-0.18829574080985417,-0.09175876499718053,-0.20259550304128696,-0.09288851620249011,-0.1882957408098537,-0.09175876499717957,-0.17297905469653496,0.022813909570864557
13,TVel,-0.05035862805557691,-0.007813720991988066,-0.06148156499195561,-0.012890150786058043,-0.0770892600753329,-0.017930865598539087,-0.08336409221713166,-0.018772707810219225,-0.09413297220811465,-0.021480702817565166,-0.0833640922171322,-0.018772707810218593,-0.07496510162754065,0.014682807921905466
14,VZCyg,-0.08577068747399261,-0.0599855540592725,-0.0972735706243273,-0.06794880071891429,-0.11393594417711127,-0.07837103301950504,-0.12047608624047809,-0.08193584370212122,-0.12783533185559967,-0.0854492974288424,-0.1204760862404773,-0.0819358437021186,-0.11096128443533106,0.015176459885387749
15,CFCas,-0.04452548671659029,-0.005219526836657594,-0.05552564573683391,-0.010557670160711475,-0.07029791744352273,-0.015849313673153505,-0.07297948479645147,-0.015436839219568607,-0.08393760443988774,-0.01860721434979975,-0.07297948479645157,-0.01543683921956763,-0.06670760398828962,0.012935506914799833
16,VLac,-0.12992894364910554,-0.08853474146890379,-0.14507565787616059,-0.09595511227380406,-0.1713019840696341,-0.1060954666037444,-0.19273118503255515,-0.11339803237465454,-0.21159259373535458,-0.11889434169460748,-0.1927311850325554,-0.11339803237465317,-0.17389359156589423,0.027950558695770896
17,V0386Cyg,-0.06065534554880384,-0.0026067312844930282,-0.07689838194526435,-0.0073577303036778405,-0.10738964837654608,-0.013631457267073863,-0.1143356020155951,-0.011028543000879059,-0.13121266516934593,-0.013069239831775117,-0.1143356020155952,-0.011028543000876787,-0.10080454084519175,0.024545445473105453
18,CRSer,-0.13607961568964883,-0.11513196296059824,-0.15235891683619981,-0.12697099341188603,-0.17857085897905048,-0.14385465463327288,-0.197514847214605,-0.1537595656650574,-0.21523740616394843,-0.16209834027664113,-0.19751484721460524,-0.15375956566505594,-0.17954608201634295,0.027167550626550605
19,V1162Aql,-0.07502838468408515,-0.0295161327951985,-0.08975757076239231,-0.03522560458296359,-0.10622977368293689,-0.038176168351969846,-0.11554791022711045,-0.038913876942417526,-0.1261451553943723,-0.04014212327583249,-0.11554791022710949,-0.038913876942416374,-0.10470945082966777,0.01749505636439067
20,CVMon,-0.055447829700548214,-0.015293323526143491,-0.061158574805978055,-0.01763645970849014,-0.07856602478856664,-0.024371718197087288,-0.08771085619805873,-0.026852907032987046,-0.09734145467508983,-0.02928806001134359,-0.08771085619805884,-0.02685290703298594,-0.07798926606105004,0.014884811778620695
21,SWCas,-0.09530703226247102,-0.06349997423336139,-0.10906009306221073,-0.07171091303907037,-0.1326448121170769,-0.08351339075960044,-0.1456498168245751,-0.08870531978418118,-0.16080908777358033,-0.09428100120554453,-0.14564981682457306,-0.0887053197841796,-0.13152010981074783,0.022454136108056674
22,XLac,-0.1354818216711748,-0.08627875044136173,-0.1549383420950587,-0.09586073865183026,-0.1935465133618803,-0.11106184543437528,-0.214369575443208,-0.11734234951180143,-0.23791094430099977,-0.12432050830850556,-0.21436957544320703,-0.11734234951179853,-0.19176946205258813,0.03549208677176494
23,VCen,-0.08602903875153213,-0.041451714193886,-0.09627893356427406,-0.04557368919273284,-0.1129201805625678,-0.050334778126655974,-0.123064125161145,-0.05243817823429198,-0.13435455636207605,-0.054846864723318005,-0.12306412516114407,-0.0524381782342894,-0.11261849326045653,0.016455869341820008
24,FMCas,-0.08484493137433134,-0.03309545786124642,-0.0997473675380917,-0.03813475597341634,-0.12419715156714503,-0.04346028547582617,-0.13616003252300599,-0.0443612365441565,-0.1520160023264205,-0.04690663790082342,-0.1361600325230038,-0.0443612365441539,-0.1221875863086664,0.02289817078806061
25,CSVel,-0.07411099264374378,-0.036547028265257846,-0.0825877174341487,-0.04077302283492359,-0.09689686824888251,-0.04651084821941821,-0.10899244046746343,-0.05068909999258819,-0.11800461641709993,-0.05310547122654363,-0.10899244046746298,-0.0506890999925861,-0.0982641792798002,0.015379312470331146
26,MWCyg,-0.10012591217583396,-0.028542220299395252,-0.12237938561178975,-0.03414263157095332,-0.16350542334108675,-0.040716326249506316,-0.1840132495148471,-0.04123888406737778,-0.2078318498995051,-0.04334026951550228,-0.18401324951484593,-0.041238884067375914,-0.1603115116763181,0.03752707696882563
27,FMAql,-0.09817425217437725,-0.07504603837230732,-0.11465658521399548,-0.08677802327507589,-0.14761376068866552,-0.10646486861990091,-0.15210673236602404,-0.10944227435894391,-0.16708571716670134,-0.11663150808321161,-0.15210673236602257,-0.10944227435894195,-0.1386239633292977,0.0248657186890836
28,CRCep,-0.06675421886765433,-0.00873659316139763,-0.07916745749164528,-0.01083571995282259,-0.1050185190089697,-0.014252348949755663,-0.11536602175621216,-0.012909660777834637,-0.1339286339989347,-0.015278328087283523,-0.11536602175621023,-0.012909660777831245,-0.10260014547993773,0.022376535973408298
29,RSCas,-0.10601636803517368,-0.05126757062275925,-0.12109906541226777,-0.05575840115644058,-0.14280330728225032,-0.058604489469436465,-0.1648208333056425,-0.06346133992848993,-0.1828572117700948,-0.06617426032625102,-0.16482083330564257,-0.06346133992848756,-0.14706960318517862,0.02594775712858819
30,RRLac,-0.14328944645108746,-0.07847846539277485,-0.1590233371578183,-0.08119030404970243,-0.1841103066404285,-0.0818322766603973,-0.20885303418572543,-0.08567107176629135,-0.226533451025389,-0.08619421702862275,-0.20885303418572557,-0.0856710717662891,-0.18844376827436238,0.02889546491742562
31,XXSgr,-0.1036613885585896,-0.06676452665186397,-0.11269003269356462,-0.07106489600841999,-0.13275768375773114,-0.07919473785519958,-0.14752861993870217,-0.08414516883414357,-0.1603410386794608,-0.08772318841009871,-0.14752861993870128,-0.08414516883414228,-0.13408456392779158,0.0197850879407177
32,BBSgr,-0.07205998731583482,-0.033047365187685,-0.08722550797453664,-0.041215085402614184,-0.11099383892005726,-0.05143885184134452,-0.12012543555593508,-0.054028821789741575,-0.1334881421705516,-0.058226353888493176,-0.12012543555593416,-0.05402882178973984,-0.10733639124880824,0.02136474244094261
33,VCar,-0.0754197118469402,-0.014716120136723045,-0.09073698684865968,-0.018361204654437024,-0.11272004751177662,-0.01954832473397074,-0.12322097986663536,-0.018256395718925775,-0.13678682398197853,-0.018518152025617275,-0.12322097986663577,-0.018256395718925077,-0.11035092165377103,0.02107217960274625
34,V0495Cyg,-0.14368488449613018,-0.12034858906048951,-0.16540634811654487,-0.13606537877022085,-0.20361401156667883,-0.15969896664249597,-0.2355583873299767,-0.17574533210633356,-0.26084002765827535,-0.187377417466184,-0.2355583873299768,-0.17574533210633045,-0.20744367441626377,0.04073519207721609
35,USgr,-0.0874583045710382,-0.049828001441173886,-0.10203468682078481,-0.057429608068116526,-0.12536831761370737,-0.06714454470358608,-0.1365217890201657,-0.07043809392379147,-0.14922191068505417,-0.07408669957824889,-0.1365217890201648,-0.0704380939237893,-0.12285446628848584,0.0216764079159153
36,TWCMa,-0.08456543153832446,-0.03262421296145716,-0.0937903889307333,-0.03385893128228244,-0.10888654726432247,-0.033952513120241355,-0.11546107651725385,-0.032245321913217204,-0.1263334395931636,-0.03255492005694771,-0.1154610765172539,-0.03224532191321579,-0.10741632672684193,0.013916798656292998
37,xSgr,-0.14482469931504935,-0.09957466345182814,-0.15533148847059264,-0.1038019307937108,-0.17663074784544536,-0.11070574761530307,-0.19462048645857186,-0.11613455668401251,-0.20781195716756184,-0.11900112029460502,-0.19462048645857255,-0.1161345566840119,-0.17897331095263228,0.022222652577221558
38,V0600Aql,-0.13401082205562986,-0.09916965060510563,-0.1511710078814805,-0.10813603753100069,-0.18886204968687229,-0.12460269361105349,-0.1989502715842452,-0.12681991747466004,-0.21529884838317742,-0.1315300237720246,-0.1989502715842447,-0.12681991747465815,-0.18120721186260833,0.02959343453711285
39,V0459Cyg,-0.09562536349672636,-0.049736596137503135,-0.11062466142903422,-0.05570805778164884,-0.14268818061187877,-0.06631192184089726,-0.15065198974676705,-0.06603828193721858,-0.168513723261816,-0.07008737705060632,-0.15065198974676616,-0.06603828193721777,-0.13645931804883144,0.025372583558739784
40,CKSct,-0.059309035263135815,-0.003797200747149404,-0.07496328363475303,-0.007005698426254928,-0.09372263656812212,-0.005810863296260004,-0.10625928712197712,-0.004921998684950254,-0.12143774133977633,-0.0052462026301942025,-0.10625928712197578,-0.004921998684948667,-0.0936585451749567,0.02054376085677217
41,TZMon,-0.050263064911224474,-0.0449436613670651,-0.03142159864837065,-0.041457243477367484,-0.03478373711823179,-0.05659058429808498,-0.0324482800721661,-0.0627165667996522,-0.03648223377468367,-0.0707405335535888,-0.03244828007216552,-0.06271656679965092,-0.03630786576614036,0.007678583192713032
42,V1344Aql,-0.10613566864096942,-0.11287135107439704,-0.1274214148610672,-0.13276669645825628,-0.15381190307404569,-0.1589120803298738,-0.17529040929637296,-0.17503414639781767,-0.19166463202351602,-0.1872189269929928,-0.1752904092963716,-0.1750341463978138,-0.15493573953205717,0.029807971126338605
43,RSOri,-0.12280657695812444,-0.09375291591390937,-0.13358029759920267,-0.10069285895581885,-0.15556412028336639,-0.11260755889265549,-0.16907662293548534,-0.11853601317736927,-0.18223882518521256,-0.1236738857637271,-0.16907662293548437,-0.11853601317736684,-0.15539051098281262,0.020764982331645265
