,-0.18,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.180000
0,EVSct,-0.2409076777312565,-0.13298026776438152,-0.21529204447616052,-0.11277071181770644,-0.2152920444761603,-0.11277071181770618,-0.11056143231747995,0.031817285576720845,0.05854765991297499,0.2516428841162302,0.23632318224760784,0.4968806924406321,-0.08119705947341242,0.12483256584581866
1,SZTau,-0.2625732829687257,-0.11033109930884072,-0.2659585493412862,-0.1167637581680215,-0.2659585493412866,-0.11676375816802126,-0.35130633587986976,-0.15307974674284655,-0.43636980495979755,-0.1735470129419011,-0.6137820179223401,-0.2652584222192671,-0.36599142340221763,0.08792626932839914
2,SSSct,-0.027223530031391267,-0.05719669483283504,-0.03485853360924667,-0.06595532268380559,-0.034858533609247046,-0.06595532268380516,0.03737896317991527,-0.014032917836658968,0.1090101980408558,0.028341567970434755,0.2095893569382614,0.10154077074254658,0.04317298681819124,0.06551159564327111
3,QZNor,-0.20211045264648306,0.018130393040585453,-0.21761526930509026,0.004581398715011183,-0.21761526930509018,0.004581398715011473,-0.3484613424150978,-0.06692078860305091,-0.42387463211022003,-0.06082005494725136,-0.6615356426251056,-0.18932945935396586,-0.34520210140118107,0.11515494132250342
4,ADGem,0.08190283932248554,-0.11121251391706084,0.07578575667952878,-0.11267843374266924,0.07578575667952892,-0.11267843374266873,0.17587645307973643,-0.10601706715796243,0.28223172965776927,-0.1257723913454886,0.36397166576122225,-0.18593645147391852,0.17592570019671186,0.08499458419143813
5,YAur,0.03716495437412786,-0.12847529967444457,0.023769723541187407,-0.1371960530726069,0.023769723541187216,-0.13719605307260677,-0.06301606371792016,-0.30780748788842005,-0.10828132381199308,-0.46602365266482876,-0.2425643915127197,-0.7261869701201239,-0.05485956293102174,0.07228445488587067
6,STTau,-0.09212776346285478,-0.11261859804322664,-0.07858838297158012,-0.09615553732133358,-0.07858838297158034,-0.09615553732133325,-0.1242160808760416,-0.16977428433900807,-0.14932012957181703,-0.23237663707341435,-0.23086180725025066,-0.3490049245535278,-0.12561709118402076,0.037238745592999174
7,BFOph,-0.00964179869333354,0.07115194111265598,-0.026682180833838623,0.061107476721012244,-0.026682180833838772,0.061107476721012605,-0.031117061881350352,0.05323838671851242,-0.01730608044864391,0.06544748632151741,-0.10532440594526064,-0.011650558090289923,-0.03612561810604431,0.015040240533059643
8,SYCas,-0.10700513907418253,-0.0986093701322803,-0.12283958792107028,-0.10967766873018121,-0.12283958792107054,-0.10967766873018102,-0.19766474274570686,-0.20734329500313559,-0.22783778409828329,-0.26693228123241236,-0.2881933266029301,-0.35148501784762565,-0.1777300280605406,0.053444652700530254
9,XSct,0.07659956187224627,-0.21690831033905233,0.07893148847329783,-0.21603429865880056,0.07893148847329783,-0.21603429865880017,-0.05664394596219726,-0.4637399915742413,-0.06717309580430238,-0.6294003890035843,-0.054888729998838204,-0.7978293516575109,0.009292794508917348,0.06814864281661391
10,YLac,-0.08190166035804708,-0.1731322493914451,-0.08287205678512143,-0.1726920171362369,-0.08287205678512176,-0.17269201713623686,-0.061511650451858677,-0.20009559215193798,-0.027099715587619186,-0.23246557351987351,-0.0868116159248205,-0.363758572009058,-0.07051145931543144,0.011361139676408637
11,TVul,-0.07218058069779178,-0.07955173490175901,-0.08419063722696836,-0.08813757719923339,-0.0841906372269683,-0.0881375771992329,-0.0977214630155808,-0.1264051937059042,-0.06706993352568347,-0.12851689733571392,-0.1531034741771521,-0.24358931234420028,-0.09307612097835748,0.01241074584031857
12,XYCas,-0.10748091346489207,-0.04139926310061041,-0.14498979450055535,-0.07107859342585754,-0.14498979450055546,-0.07107859342585754,-0.19498862031665792,-0.13195631293144244,-0.2215432982571054,-0.16983725356386567,-0.27400648824521756,-0.2227331634307144,-0.18133315154749727,0.04550358255126271
13,TVel,0.04141983685888487,0.0030936549346091465,0.03605757716176623,0.0021722668536369536,0.036057577161766295,0.0021722668536372095,0.0659046747032985,-0.006375183502742711,0.09376833204670279,-0.02940183900241635,0.026414736598446124,-0.1472652985259197,0.0499371224218108,0.013349067687236805
14,VZCyg,0.019150519709872204,-0.0822139632321748,0.012483501702003765,-0.08696830110027176,0.012483501702003779,-0.08696830110027176,0.10180404032919001,-0.05134338894705739,0.23824380844414395,0.011844562977850755,0.2794118176401143,-0.026152139030325833,0.11059619825455465,0.0832042916788368
15,CFCas,0.08153385785532219,0.03150979124078407,0.07399818118813381,0.02873053463000792,0.0739981811881335,0.0287305346300081,0.15923971286093083,0.07060303915716178,0.20819587220085242,0.062035921439357426,0.24453236534403955,0.039973632859599706,0.1402496951062354,0.05609522375229514
16,VLac,-0.1587778714305466,-0.13675254472539755,-0.16045864900481682,-0.13758960912659585,-0.16045864900481668,-0.13758960912659546,-0.20886857736846126,-0.1933718814216736,-0.2535263320790115,-0.24846727689352063,-0.2839556534003108,-0.28225298628670215,-0.20434095538132727,0.03856101530629132
17,V0386Cyg,-0.030765440450417996,0.10666316978409028,-0.027313916058673924,0.1131942567817183,-0.02731391605867385,0.11319425678171863,0.11136982185550372,0.2790267926091894,0.19579288922055424,0.40152069939157553,0.30066742847763867,0.5633371035386235,0.0870728111643218,0.1008028335436586
