,0.58,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.580000
0,EVSct,-0.5399625426615595,-0.265719265140573,-0.5107429300167678,-0.251243902539766,-0.5107429300167677,-0.2512439025397657,-0.5210409036575194,-0.137757972084903,-0.5073784084826045,0.03628076113913855,-0.5166566353626538,0.22252599122503777,-0.517754058366312,0.012271226182906008
1,SZTau,-0.5616281478990287,-0.24307009668503213,-0.5614094348818935,-0.255236948890081,-0.5614094348818941,-0.25523694889008075,-0.7617858072199092,-0.32265500440447037,-1.0022958733553773,-0.38890913591899295,-1.3667618355326019,-0.5396131234348612,-0.8025484222951174,0.20976188399242474
2,SSSct,-0.3262783949616943,-0.18993569220902648,-0.33030941914985396,-0.204428513405865,-0.33030941914985446,-0.20442851340586465,-0.3731005081601242,-0.18360817549828248,-0.4569158703547238,-0.1870205550066565,-0.5433904606720004,-0.1728139304730471,-0.3933840120747085,0.05672608069583952
3,QZNor,-0.5011653175767861,-0.11460860433560598,-0.5130661548456976,-0.13389179200704823,-0.5130661548456976,-0.13389179200704807,-0.7589408137551372,-0.23649604626467455,-0.9898007005057997,-0.2761821779243429,-1.4145154602353671,-0.4636841605695598,-0.7817591002940808,0.23645577967541276
4,ADGem,-0.21715202560781743,-0.24395151129325232,-0.21966512886107853,-0.25115162446472866,-0.21966512886107847,-0.2511516244647282,-0.23460301826030303,-0.275592324819586,-0.28369433873781036,-0.34113451432258013,-0.3890081518490394,-0.46029115268951243,-0.2606312986961879,0.03848497340735802
5,YAur,-0.2618899105561751,-0.26121429705063604,-0.2716811619994199,-0.2756692437946664,-0.27168116199942016,-0.27566924379466623,-0.4734955350579597,-0.4773827455500438,-0.6742073922075728,-0.6813857756419202,-0.9955442091229814,-1.0005416713357178,-0.49141656182392146,0.19337201110463154
6,STTau,-0.3911826283931578,-0.24535759541941807,-0.3740392685121874,-0.234628728043393,-0.3740392685121877,-0.23462872804339277,-0.5346955522160811,-0.3393495420006318,-0.7152461979673966,-0.44773876005050606,-0.9838416248605124,-0.6233596257691215,-0.5621740900769204,0.15873135495398114
7,BFOph,-0.3086966636236365,-0.061587056263535445,-0.32213306637444594,-0.07736571400104719,-0.32213306637444616,-0.07736571400104694,-0.4415965332213898,-0.11633687094311126,-0.5832321488442236,-0.14991463665557414,-0.8583042235555224,-0.28600525930588383,-0.47268261699894404,0.1352664702499387
8,SYCas,-0.40606000400448555,-0.23134836750847174,-0.41829047346167764,-0.24815085945224064,-0.41829047346167797,-0.24815085945224058,-0.6081442140857464,-0.3769185526647594,-0.7937638524938628,-0.4822944042095039,-1.0411731442131917,-0.6258397190632196,-0.6142870269534403,0.17336776314918717
9,XSct,-0.22245530305805672,-0.3496473077152438,-0.21651939706730944,-0.35450748938085996,-0.21651939706730952,-0.35450748938085974,-0.4671234173022368,-0.6333152492358651,-0.6330991641998821,-0.844762511980676,-0.8078685476091,-1.0721840528731046,-0.42726420438398244,0.1819080746824332
10,YLac,-0.38095652528835006,-0.30587124676763655,-0.3783229423257287,-0.3111652078582964,-0.37832294232572916,-0.31116520785829643,-0.4719911217918981,-0.36967084981356174,-0.5930257839831988,-0.4478276964969652,-0.8397914335350821,-0.6381132732246521,-0.5070684582083312,0.11212209291063052
11,TVul,-0.37123544562809474,-0.21229073227795045,-0.3796415227675756,-0.22661076792129284,-0.3796415227675757,-0.22661076792129242,-0.5082009343556202,-0.2959804513675279,-0.632996001921263,-0.34387902031280554,-0.9060832917874139,-0.5179440135597942,-0.5296331198712572,0.13280071553369538
12,XYCas,-0.4065357783951951,-0.17413826047680184,-0.4404406800411626,-0.209551784147917,-0.4404406800411629,-0.20955178414791706,-0.6054680916566973,-0.30153157059306607,-0.787469366652685,-0.38519937654095726,-1.0269863058554793,-0.49708786464630844,-0.6178901504403971,0.1641657753743033
13,TVel,-0.25763502807141814,-0.1296453424415823,-0.259393308378841,-0.1363009238684225,-0.2593933083788411,-0.13630092386842232,-0.34457479663674095,-0.1759504411643664,-0.47215773634887687,-0.24476396197950792,-0.7265650810118156,-0.4216199997415137,-0.3866198764710889,0.11266995951897017
14,VZCyg,-0.2799043452204308,-0.21495296060836622,-0.28296738383860354,-0.2254414918223312,-0.28296738383860365,-0.2254414918223313,-0.30867543101084943,-0.22091864660868107,-0.3276822599514358,-0.20351755999924087,-0.4735679999701474,-0.3005068402459196,-0.3259608006383451,0.03910514309222659
15,CFCas,-0.2175210070749808,-0.10122920613540737,-0.22145270435247347,-0.10974265609205153,-0.22145270435247388,-0.10974265609205142,-0.2512397584791086,-0.09897221850446193,-0.3577301961947272,-0.15332620153773413,-0.5084474522662222,-0.23438106835599426,-0.29630730378666437,0.06972228177293166
16,VLac,-0.45783273636084965,-0.269491542101589,-0.4559095345454241,-0.27606279984865534,-0.45590953454542404,-0.27606279984865495,-0.6193480487085007,-0.36294713908329734,-0.8194524004745911,-0.4638293998706121,-1.0369354710105725,-0.556607687502296,-0.640897954274227,0.16001461129150332
17,V0386Cyg,-0.329820305380721,-0.026075827592101142,-0.32276480159928117,-0.025278933940341117,-0.3227648015992813,-0.025278933940340864,-0.2991096494845357,0.10945153494756577,-0.3701331791750255,0.18615857641448397,-0.4523123891326231,0.2889824023230299,-0.349484187728578,0.032985275360923355
18,CRSer,-0.4346676981044347,-0.34891010809760137,-0.44048587763106983,-0.36720121573581727,-0.4404858776310696,-0.3672012157358168,-0.5465347581903368,-0.4219649615672703,-0.6939758519806448,-0.5070028254698514,-0.8134496851970638,-0.5488472713320972,-0.5615999581224366,0.10685972097662705
19,V1162Aql,-0.2669135546685006,-0.08929908381387022,-0.28891616769290596,-0.11407103742964507,-0.28891616769290623,-0.11407103742964447,-0.3691687944356923,-0.13712117380576685,-0.4709611635752959,-0.16297665376264087,-0.6635126910929745,-0.25587064537375814,-0.39139808985971253,0.09617124026811133
20,CVMon,-0.2536041099972828,-0.12285997236188632,-0.21978653561358819,-0.09431394360555011,-0.2197865356135884,-0.09431394360554984,-0.28516343889140094,-0.1121714389981072,-0.3565342471454703,-0.12226174190764263,-0.5405458932711914,-0.22588158106792805,-0.31257012675542034,0.07322176459623542
21,SWCas,-0.3393693992831473,-0.20748496005245007,-0.33711793567092235,-0.21412998380270215,-0.33711793567092263,-0.214129983802702,-0.3955616449555876,-0.2147899604369881,-0.5040407356678019,-0.2499672390941751,-0.605223808948055,-0.25821119238899903,-0.4197385766994062,0.07193064255765147
22,XLac,-0.6029029759691575,-0.34500369079837856,-0.59120551992193,-0.34748848707090874,-0.5912055199219304,-0.3474884870709085,-0.7321349096276618,-0.3719137500475303,-0.9410182414132019,-0.4300715758467162,-1.2467015182082894,-0.5516505147552325,-0.7841947808436952,0.16588147754342225
23,VCen,-0.33774666875750303,-0.1905739041487162,-0.3318551636022549,-0.18925631409690694,-0.33185516360225487,-0.1892563140969066,-0.44559980160893076,-0.25159931254010726,-0.5811227778870187,-0.3201367099129605,-0.8465742492711245,-0.49785552202660743,-0.47912563745484776,0.12697359902419345
24,FMCas,-0.3476674559618421,-0.10617920595200997,-0.3489992150059458,-0.11262954507957,-0.3489992150059457,-0.11262954507956946,-0.41729323706184246,-0.09485502578011097,-0.546770561789277,-0.11019564079673655,-0.703281912906714,-0.12192145256167097,-0.45216859962192785,0.09141201204443015
25,CSVel,-0.27608481768316373,-0.1707918469823882,-0.2667202171185049,-0.1659942336573551,-0.2667202171185049,-0.16599423365735452,-0.3940313350450848,-0.2566579757520401,-0.5041671403091842,-0.3200016819511283,-0.7632095160571928,-0.5158752665189459,-0.41182220722193924,0.12333929738283818
