,-0.28,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,-0.280000
0,EVSct,-0.21423792577947223,-0.1068604677604669,-0.17641692795765954,-0.09455055514375127,-0.17641692795765934,-0.09455055514375138,-0.14156316108001285,-0.06881673381239063,-0.12127395589828101,-0.05772457509080441,-0.10800239681092975,-0.049599807637624206,-0.1563185492473358,0.03309178641070527
1,SZTau,-0.22476155656131866,-0.09301656752750008,-0.22708343282278523,-0.0985436014940663,-0.22708343282278542,-0.09854360149406646,-0.2506498676135429,-0.10109660265934294,-0.2626238900726992,-0.10083515156293774,-0.25304125863579413,-0.10025940484025889,-0.24087390642148762,0.013560342541747128
2,SSSct,0.019220934467724164,-0.04093411869343375,0.004016582909254303,-0.04773516600985039,0.004016582909254214,-0.047735166009850366,0.016731346434454706,-0.038665232265483865,0.022833517032266378,-0.03760782400145845,0.012490882633878429,-0.03398947753350651,0.013218307731138699,0.0073776088278170344
3,QZNor,-0.15828993262714663,0.035818867354624695,-0.17874015278658925,0.02280155538896639,-0.178740152786589,0.022801555388966267,-0.21863315134056469,0.004703699933765115,-0.22356497573171227,0.007569935213477537,-0.22309490596419013,-0.005849074857642518,-0.19684387853946536,0.025576693134968763
4,ADGem,0.13700543222659506,-0.09005641175086906,0.11466087319802973,-0.09445827706871404,0.1146608731980303,-0.09445827706871392,0.12052718702199533,-0.0983556878708568,0.13376688158295957,-0.10077340441036543,0.08327305750108313,-0.10788103045340988,0.1173157174547822,0.010150059120907889
5,YAur,0.09414645090261253,-0.10995080294539995,0.06264484005968839,-0.11897589639865172,0.06264484005968857,-0.11897589639865197,0.012988625788367677,-0.1458568058395535,0.01411007579678195,-0.15079310339534108,-0.029044757985201734,-0.1572500371872522,0.0362483457703229,0.03635503738509166
6,STTau,-0.05096799074452057,-0.08429571600388928,-0.03971326645307914,-0.07793538064737837,-0.0397132664530788,-0.07793538064737804,-0.06724412659519077,-0.09260839982416927,-0.0680186741318142,-0.09464769210286957,-0.09004783261750623,-0.10099237966871097,-0.05928419283253161,0.014988012554825866
7,BFOph,0.042711384504000735,0.09201749476822269,0.01219293568466235,0.07932763339496744,0.012192935684662532,0.07932763339496736,-0.0024300594828246414,0.0628224647935715,0.0004557726208295996,0.06248787973830355,-0.028530520247692766,0.04180400715173907,0.006098741460606302,0.01928408983227317
8,SYCas,-0.05445612116055702,-0.079816732774481,-0.08396447140256932,-0.09145751205622601,-0.08396447140256945,-0.09145751205622622,-0.12109844012877356,-0.1133389240175828,-0.11980748697403092,-0.11443303656034945,-0.13790162325743893,-0.1233750257595616,-0.10019876905432319,0.027641865565862074
9,XSct,0.12727426526530594,-0.19879233450037503,0.11780660499179879,-0.19781414198484534,0.117806604991799,-0.19781414198484534,0.05401908619854341,-0.2197453084972597,0.0670064861973207,-0.2200972838253277,0.043635074469518455,-0.20297519317757748,0.08792468701904771,0.03348072997493574
10,YLac,-0.03421731266720846,-0.15232086144051346,-0.04399694026662044,-0.15447186046228173,-0.043996940266620224,-0.15447186046228167,-0.0529710880279616,-0.15881292212368642,-0.048096994366921345,-0.16020761449530557,-0.08251726708946731,-0.1646254095395012,-0.05096609044746656,0.009768312046057862
11,TVul,-0.02153412074028548,-0.06062006750780904,-0.04531552070846737,-0.06991742052527819,-0.045315520708467,-0.0699174205252781,-0.0629920039355346,-0.08139964275718553,-0.05570888054855698,-0.08050241963032843,-0.0857397986377345,-0.09138147745378473,-0.05276764087984099,0.017256437713936243
12,XYCas,-0.04643251683844839,-0.027819523090283745,-0.10611467798205437,-0.052858436751902355,-0.10611467798205394,-0.05285843675190192,-0.13637094988204046,-0.07728698943450099,-0.13673261402458023,-0.07916423188728476,-0.15783583992096792,-0.09675659026507236,-0.11493354610502422,0.03642628913717325
13,TVel,0.09127894044949901,0.02535503373395894,0.07493269368026721,0.020392423527592154,0.0749326936802674,0.020392423527592,0.06765263346103044,0.011421135159540411,0.0705047606161774,0.00914216833176648,0.033139735976866806,-0.0035495776749986142,0.06874024297735139,0.012102362058882073
14,VZCyg,0.06963680829539846,-0.06321874950651148,0.05135861822050474,-0.06874814442631656,0.051358618220505116,-0.06874814442631655,0.061958213435051174,-0.06588352519042535,0.080882266529987,-0.0628499386186609,0.04099220698077566,-0.06912735608420092,0.059364455280370355,0.00775299412950506
15,CFCas,0.1327945747266102,0.05314248978113008,0.11287329770663478,0.046950691303963114,0.11287329770663483,0.0469506913039633,0.12148227259875373,0.04399058964535541,0.12318887822634471,0.040419699887290925,0.08912188631405245,0.029533568744599063,0.11538903454650512,0.009390663483183492
16,VLac,-0.11475603331578804,-0.11600744185325106,-0.12158353248631584,-0.11936945245264063,-0.12158353248631565,-0.11936945245264065,-0.14527877013574475,-0.12880503823853987,-0.1506317241944084,-0.1307928414512149,-0.15485008315538948,-0.1308328460537829,-0.13478061262899368,0.014658793745495788
17,V0386Cyg,0.009363172388871396,0.13223284865995458,0.011561200459827049,0.13141441345567353,0.011561200459827382,0.13141441345567384,0.04813331003028434,0.14294104011501835,0.0494102494583135,0.14365247409687376,0.040347773769472975,0.13136996499161271,0.028396151094432776,0.018156547352158055
18,CRSer,-0.08837620606787312,-0.20280110480896732,-0.10615987557196158,-0.21050786833980256,-0.10615987557196091,-0.21050786833980206,-0.11291861724478981,-0.20594512505273008,-0.11328896438885358,-0.20718668397770876,-0.11685818449652342,-0.19521407103743546,-0.10729362055699375,0.009900503952742511
19,V1162Aql,0.08954367453894399,0.060123501784380105,0.04540983436620228,0.042622309966369544,0.04540983436620246,0.04262230996636983,0.03964974220014135,0.030535014276333792,0.04723807441412365,0.030299951847754924,0.014420199124938473,0.013526654508348654,0.0469452265017587,0.02163658201051969
20,CVMon,0.08167911442901288,0.04565355132187025,0.11453946644552006,0.062379403790464534,0.11453946644552056,0.06237940379046487,0.11388069199140907,0.056801442085225404,0.12603280648052775,0.05816041856129222,0.0914737289342137,0.04685194484409302,0.10702421245436733,0.014162833320524003
21,SWCas,0.005050140014920611,-0.054613821368505525,-0.0027919336118141054,-0.05743663640668751,-0.002791933611813986,-0.057436636406687704,0.003053921080166049,-0.053955706396544484,0.0061311508786683865,-0.05466791643051798,-0.006867165861268608,-0.05357502988906566,0.00029736314814305786,0.0035098079904795944
22,XLac,-0.26972733915948965,-0.1925471951239208,-0.2568795178628217,-0.1907951396748941,-0.25687951786282204,-0.19079513967489412,-0.2633260810900735,-0.18311207737639526,-0.27471578619413123,-0.18375686653636727,-0.2683259351204913,-0.17808063516635966,-0.2649756962149716,0.0062529102934576804
23,VCen,0.007949093565452299,-0.03217175706542339,0.0024708384568533216,-0.032562966700892315,0.0024708384568538307,-0.032562966700892274,-0.012904039596260792,-0.04544868145013757,-0.00888338633959404,-0.046738972289840544,-0.04307137533090761,-0.0599280003784452,-0.008661338464600498,0.011637844421742208
24,FMCas,-0.00259914263703321,0.04951989953944112,-0.014673212946837511,0.04406380231644461,-0.014673212946837275,0.04406380231644446,-0.010683207698417657,0.040129311080252174,-0.011090103716020077,0.039093665132113695,-0.025399944167573407,0.027713102776479565,-0.013186470685453191,0.005540276299307963
25,CSVel,0.0696214040439601,-0.011304283023638693,0.06760578494060335,-0.009300886261340468,0.0676057849406036,-0.009300886261340222,0.0459277610519879,-0.024799886110939813,0.056893356842077476,-0.02424173539536546,0.017814970921940274,-0.036406983467005063,0.054244843790195445,0.012870916511278228
26,MWCyg,-0.13957968089783185,0.11335344245827635,-0.14174463709509355,0.10748020230802073,-0.14174463709509355,0.10748020230802087,-0.12723530012199008,0.11194674856994613,-0.1336409220733059,0.11392542760219564,-0.11881213547829826,0.10301694063276462,-0.13379288546026888,0.007123019637570894
27,FMAql,-0.04539880361751998,-0.10240090373241582,-0.03732242021788804,-0.10036006348910774,-0.03732242021788761,-0.10036006348910778,0.02624548224786604,-0.0628264101048352,0.03852658649820214,-0.059088362298330775,0.030376281714002546,-0.04912333447104375,-0.00414921559887082,0.03473574951794282
28,CRCep,0.045597191545693555,0.1662221412011485,0.05799482275232288,0.1712986174763141,0.057994822752323164,0.17129861747631447,0.07945263451086179,0.17135206440913636,0.07342520116853758,0.16813093917197316,0.07247037678213647,0.1562356290006082,0.0644891749186459,0.012895400137764542
29,RSCas,-0.03883062920058846,0.010052356062748562,-0.06321334149930996,-0.00027159751598170744,-0.06321334149930968,-0.00027159751598164944,-0.10419254062307093,-0.025748406813810232,-0.11244802227958808,-0.029263276336244766,-0.12260239114783207,-0.041302489297240175,-0.08408337770828321,0.028824063312455895
30,RRLac,-0.13494363835657777,0.0009662576059140863,-0.15116520880122442,-0.006773330568631945,-0.15116520880122394,-0.0067733305686316055,-0.18998377556079665,-0.033967446475119914,-0.19200649662293431,-0.03387138031078196,-0.2008739770398411,-0.05265233831429825,-0.17002305086376635,0.024187972872854097
31,XXSgr,0.0076409434258483296,-0.021162525878085977,0.02266306069964647,-0.012893683036850559,0.022663060699646864,-0.01289368303685007,0.018472069877608258,-0.01914794582062928,0.02707107619636813,-0.018462083517818206,0.007922385081581721,-0.02448303192767772,0.017738765996783295,0.0061441254849045265
32,BBSgr,0.009488576424634434,-0.0342523899801654,-0.006375335327937532,-0.04104287777701654,-0.006375335327937378,-0.041042877777016686,-0.0002098402117775559,-0.03746217822795501,0.004419508701378575,-0.037114864457562735,-0.02094673868203192,-0.04225388480355581,-0.003333194070611896,0.006940143817301435
33,VCar,0.009470477218035869,0.08665178756580061,-0.014666597156560875,0.07617079638775144,-0.01466659715656044,0.07617079638775127,-0.019790587433338235,0.06422137771726301,-0.01781230747426164,0.06400974376925579,-0.044137125011816665,0.04311548319342156,-0.016933789502416998,0.013375602021303095
34,V0495Cyg,-0.24049603982001683,-0.31585535166346373,-0.24932752323032975,-0.3230252240496508,-0.24932752323032994,-0.32302522404965067,-0.28781544030222306,-0.3195184903387477,-0.30024708161802516,-0.3206629219493705,-0.2850823594737458,-0.2964493719377373,-0.2687159946124451,0.02186881523547674
35,USgr,0.013068082213298981,-0.02156046007451934,-0.0017045498332571376,-0.027585729010723353,-0.0017045498332568562,-0.027585729010722947,0.005820498009812515,-0.025401778098499143,0.014997991970445292,-0.023638737357465297,-0.007949570417777595,-0.029606429907801247,0.0037546503515441996,0.006136234042680181
36,TWCMa,0.06926541922232418,0.09378874141461489,0.06316633097333686,0.09355898998563164,0.06316633097333751,0.0935589899856317,0.06902601401263128,0.081891003475082,0.07487079058674019,0.08031300894129453,0.04545088364324879,0.05994119154489391,0.06415762823526981,0.0035970838664006544
37,xSgr,-0.15033938604442942,-0.15429598687192342,-0.13910349538496106,-0.14843515731875276,-0.1391034953849609,-0.14843515731875323,-0.16706790805411265,-0.16370057188207496,-0.1613218523124152,-0.16262889451787643,-0.1869313488739108,-0.1726179837590602,-0.15731124767579832,0.014202497696828785
38,V0600Aql,-0.09737028549618768,-0.023564659318197394,-0.0782961603369913,-0.01788158096883476,-0.07829616033699158,-0.017881580968834812,-0.006281997167285566,0.017752843739996343,0.012064827696667483,0.025143050545091607,0.017462914423933492,0.02855455779627695,-0.03845281020280918,0.04382127110816893
39,V0459Cyg,-0.030502337584497347,0.057513847452017354,-0.014575992142849556,0.0628621285130554,-0.014575992142849577,0.06286212851305573,0.03722804554451374,0.08411532528293196,0.040908756110425756,0.08522412300636552,0.042863958013813375,0.08233953864333028,0.010224406299759398,0.030074838842872473
40,CKSct,0.18088319736411707,0.25956949723241984,0.13530290844654022,0.2408593101057233,0.13530290844654036,0.2408593101057233,0.14126877274493752,0.22661564034603915,0.14166308265659608,0.22404271167595052,0.1326850913029089,0.20477703583032655,0.14451766016027337,0.019383181265295184
41,TZMon,0.08311534897513742,-0.19435421226252161,0.2567478385916947,-0.11036905086749776,0.2567478385916949,-0.1103690508674975,0.2650242138189387,-0.10467020215415218,0.27818443275914145,-0.10871078637161562,0.2243067884022505,-0.10088704996659016,0.22735441018980962,0.07738195550640439
42,V1344Aql,0.02798743855112408,-0.2575632164746209,-0.030886150479717253,-0.2830009902183474,-0.030886150479717274,-0.2830009902183474,-0.0409386468257669,-0.26930067353037646,-0.03484999012343325,-0.26874487974035444,-0.04026490518417632,-0.24081274478363304,-0.024973067423614482,0.027971610702654807
43,RSOri,-0.04115583881798045,-0.11126462089336359,-0.03238773405663279,-0.10612935810967236,-0.032387734056632436,-0.10612935810967208,-0.027304056774444512,-0.10373219029477834,-0.01813759178430995,-0.1027314297370523,-0.03550554140074173,-0.10244639652013275,-0.03114641614845698,0.005432172862551109
44,BKAur,0.06467455072720873,0.05210468092716397,0.04005290851747151,0.04488863524860825,0.040052908517471876,0.044888635248608186,0.0268373070842977,0.022204555640388413,0.03687448622558681,0.021332481744404174,0.003716533111102979,-0.0006491800891910623,0.03536811569718993,0.015616789020925819
45,GHLup,0.10463577977118867,0.03467441956133576,0.05524385326721368,0.013740404231126734,0.05524385326721365,0.013740404231127013,0.052164772226024426,0.010796960313741848,0.0493910585479645,0.007667539923446532,0.02454039009819107,0.0015174198220131883,0.05686995119629934,0.024026035240640436
46,FNAql,0.03377079505538634,0.10609620728380227,0.041384286691810865,0.11007116545487003,0.041384286691810525,0.11007116545487025,0.08349990042107769,0.11815184730486396,0.09499688156389455,0.11993170835331064,0.07619701002972687,0.10404608005729056,0.061872193408951136,0.02289626030233223
47,YZSgr,0.047656083623409645,0.01813277536894055,0.02960022933158921,0.011737117269134862,0.029600229331589102,0.011737117269135264,0.03632943533707103,0.008238667149706136,0.047679153747320256,0.009652124027899701,0.02546840181354621,0.0001938649560688445,0.03605558886408757,0.007382238887008816
