,0.78,E0B,A0_B,E0V,A0_V,E0I,A0_I,E0J,A0_J,E0H,A0_H,E0K,A0_K,avg_EBV,0.780000
0,EVSct,-0.6497954377325803,-0.3006297119607217,-0.5884931630537698,-0.2876842158876763,-0.5884931630537699,-0.28768421588767656,-0.5749461466016722,-0.24787904653207582,-0.5876606708748118,-0.23772153839806276,-0.5133972642527465,-0.20760255343559814,-0.5837976409282252,0.033459505341923795
1,SZTau,-0.6603190685144268,-0.2867858117277549,-0.6391596679188954,-0.2916772622379913,-0.639159667918896,-0.2916772622379916,-0.6840328531352021,-0.2801589153790282,-0.7290106050492301,-0.2808321148701959,-0.6584361260776113,-0.25826215063823316,-0.6683529981023769,0.02244383508270179
2,SSSct,-0.416336577485384,-0.23470336289368857,-0.40805965218685597,-0.2408688267537754,-0.40805965218685636,-0.24086882675377555,-0.4166516390872046,-0.21772754498516902,-0.44355319794426434,-0.21760478730871674,-0.39290398480793853,-0.19199222333148033,-0.4142607839497507,0.004661898148083715
3,QZNor,-0.5938474445802548,-0.15795037684563012,-0.5908163878826995,-0.17033210535495863,-0.5908163878826996,-0.17033210535495888,-0.6520161368622239,-0.17435861278592016,-0.689951690708243,-0.1724270280937807,-0.6284897734060073,-0.16385182065561663,-0.6243229702203548,0.03138889637114873
4,ADGem,-0.2985520797265131,-0.2838256559511239,-0.2974153618980805,-0.2875919378126391,-0.29741536189808027,-0.2875919378126391,-0.31285579849966394,-0.2774180005905421,-0.3326198333935712,-0.28077036771762354,-0.32212180994073364,-0.2658837762513838,-0.3101633742261071,0.010806189719972811
5,YAur,-0.34141106105049557,-0.30372004714565476,-0.34943139503642184,-0.3121095571425767,-0.349431395036422,-0.31210955714257715,-0.4203943597332916,-0.3249191185592387,-0.45227663917974886,-0.33079006670259925,-0.4344396254270187,-0.31525278298522613,-0.3912307459105664,0.04131249459230676
6,STTau,-0.48652550269762873,-0.2780649602041441,-0.45178950154918934,-0.2710690413913034,-0.4517895015491894,-0.2710690413913032,-0.5006271121168501,-0.2716707125438546,-0.5344053891083451,-0.2746446554101277,-0.4954427000593231,-0.25899512546668496,-0.48676328451342094,0.025683619515499915
7,BFOph,-0.3928461274491074,-0.10175174943203216,-0.39988329941144785,-0.11380602734895759,-0.399883299411448,-0.11380602734895776,-0.4358130450044839,-0.11623984792611378,-0.46593094235570115,-0.1175090835689548,-0.4339253876895096,-0.11619873864623503,-0.42138035022028303,0.022061000288089005
8,SYCas,-0.4900136331136652,-0.2735859769747358,-0.49604070649867954,-0.28459117280015106,-0.49604070649868004,-0.2845911728001514,-0.5544814256504328,-0.29240123673726814,-0.5861942019505617,-0.29442999986760765,-0.5432964906992558,-0.2813777715575357,-0.5276778607352125,0.03216692474757447
9,XSct,-0.30828324668780216,-0.39256157870062985,-0.2942696301043114,-0.3909478027287703,-0.29426963010431156,-0.39094780272877055,-0.3793638993231158,-0.3988076212169451,-0.3993802287792101,-0.4000942471325859,-0.3617597929722985,-0.36097793897555197,-0.33955440466184156,0.04081697808411347
10,YLac,-0.4697748246203166,-0.34609010564076825,-0.4560731753627307,-0.34760552120620675,-0.45607317536273084,-0.3476055212062068,-0.48635407354962085,-0.33787523484337173,-0.5144837093434521,-0.34020457780256375,-0.48791213453128407,-0.32262815533747496,-0.4784451821283558,0.016872603802265643
11,TVul,-0.4570916326933936,-0.25438931170806384,-0.45739175580457764,-0.26305108126920324,-0.4573917558045776,-0.2630510812692033,-0.49637498945719394,-0.2604619554768709,-0.5220955955250878,-0.2604993829375867,-0.4911346660795515,-0.24938422325175902,-0.4802467325607303,0.02145331702460731
12,XYCas,-0.48199002879155656,-0.22158876729053859,-0.5181909130781646,-0.2459920974958274,-0.5181909130781646,-0.24599209749582707,-0.5697539354036997,-0.25634930215418616,-0.603119329001111,-0.259161195194543,-0.5632307073627849,-0.2547593360630463,-0.5424126377859135,0.0373223194909737
13,TVel,-0.3442785715036092,-0.16841421046629593,-0.337143541415843,-0.1727412372163329,-0.33714354141584324,-0.1727412372163331,-0.3657303520606288,-0.16764117756014493,-0.3958819543603534,-0.17085479497549175,-0.37225513146495,-0.16155232347297271,-0.3587388487035379,0.017253226724231303
14,VZCyg,-0.3659207036577096,-0.25698799370676634,-0.3607176168756055,-0.2618818051702416,-0.36071761687560544,-0.26188180517024173,-0.37142477208660807,-0.24494583791011065,-0.3855044484465438,-0.24284690192591907,-0.3644026604610413,-0.22713010188217497,-0.36811463640051895,0.005594687990500319
15,CFCas,-0.30276293722649794,-0.14062675441912476,-0.29920293738947545,-0.1461829694399619,-0.2992029373894758,-0.14618296943996187,-0.3119007129229056,-0.13507172307432994,-0.3431978367501861,-0.13957726341996718,-0.31627298112776453,-0.12846917705337485,-0.31209005713438426,0.01023702505181239
16,VLac,-0.5503135452688962,-0.3097766860535059,-0.5336597675824261,-0.31250311319656565,-0.5336597675824263,-0.31250311319656576,-0.5786617556574041,-0.3078673509582252,-0.6170184391709391,-0.3107898047584732,-0.5602449505972064,-0.28883559185175706,-0.562259704309883,0.022625487651475824
17,V0386Cyg,-0.4261943395642367,-0.06153639554030028,-0.40051503463628313,-0.06171924728825151,-0.40051503463628324,-0.061719247288251275,-0.38524967549137495,-0.036121272604666965,-0.4169764655182173,-0.03634448921038436,-0.3650470936723439,-0.026632780806361382,-0.3990829405864566,0.015251958599293706
18,CRSer,-0.5239337180209813,-0.39657034900922217,-0.5182361106680718,-0.40364152908372763,-0.5182361106680715,-0.40364152908372725,-0.546301602766449,-0.3850074377724154,-0.5796756793653844,-0.38718364728496696,-0.5222530519383403,-0.3532168168354092,-0.534772712237883,0.01411840549965772
19,V1162Aql,-0.34601383741416414,-0.13364574241587474,-0.3666664007299079,-0.15051135077755548,-0.36666640072990814,-0.1505113507775553,-0.3937332433215179,-0.14852729844335147,-0.41914864056240714,-0.14969701145950332,-0.3909746683168783,-0.14447609128962546,-0.38053386517913057,0.020919303530117152
20,CVMon,-0.3538783975240952,-0.14811569287838458,-0.2975367686505902,-0.1307542569534605,-0.29753676865059003,-0.1307542569534603,-0.31950229353025017,-0.12226087063445987,-0.34035390849600294,-0.12183654474596602,-0.3139211385076033,-0.11115080095388127,-0.320454879226522,0.02328367765000965
21,SWCas,-0.4305073719381875,-0.24838306556876036,-0.4148681687079243,-0.2505702971506125,-0.41486816870792453,-0.25057029715061285,-0.4303290644414932,-0.2330180191162297,-0.4602555640978624,-0.23466487973777625,-0.4122620333030855,-0.21157777568703984,-0.4271817285327462,0.009002959770286298
22,XLac,-0.7052848511125979,-0.3863164393241756,-0.668955752958932,-0.38392880041881905,-0.6689557529589326,-0.3839288004188193,-0.6967090666117327,-0.36217439009608055,-0.7411025011706621,-0.3637538298436256,-0.6737208025623082,-0.3360833809643336,-0.692454787895861,0.017938218246747482
23,VCen,-0.42760841838765584,-0.22594100126567826,-0.40960539663925694,-0.2256966274448173,-0.4096053966392567,-0.22569662744481742,-0.44628702511792,-0.22451099416982284,-0.47527010131612474,-0.2267359355970988,-0.4484662427727244,-0.2179307461764193,-0.4361404301454898,0.019899526505197163
24,FMCas,-0.4381566545901413,-0.14424934466081374,-0.4267494480429477,-0.1490698584274804,-0.42674944804294784,-0.1490698584274807,-0.44406619322007695,-0.13893300163943317,-0.4774768186925508,-0.14090329817514455,-0.4307948116093902,-0.13028964302149437,-0.4406655623663424,0.010064484390126914
25,CSVel,-0.3659361079091481,-0.20507352722389352,-0.34447045015550687,-0.20243454700526547,-0.344470450155507,-0.2024345470052654,-0.3874552244696714,-0.2038621988306251,-0.4094933581344533,-0.2042386987026237,-0.3875798965198769,-0.19440972926497918,-0.373234247890694,0.02185298116019624
26,MWCyg,-0.57513719285094,-0.08041580174197847,-0.5538208721912038,-0.08565345843590427,-0.5538208721912041,-0.08565345843590425,-0.5606182856436492,-0.0671155641497392,-0.6000276370498369,-0.06607153570506247,-0.524207002920115,-0.05498580516520947,-0.5612719771411582,0.008713630833400631
27,FMAql,-0.4809563155706281,-0.29617014793267066,-0.4493986553139982,-0.2934937242330327,-0.44939865531399814,-0.2934937242330329,-0.4071375032737933,-0.2418887228245204,-0.4278601284783287,-0.23908532560558926,-0.3750185857278143,-0.20712608026901805,-0.4316283072797602,0.030268062464082954
28,CRCep,-0.3899603204074146,-0.027547102999106336,-0.3540814123437873,-0.02183504326761091,-0.3540814123437874,-0.02183504326761066,-0.3539303510107975,-0.00771024831054897,-0.3929615138079932,-0.011866024135285065,-0.3329244906596803,-0.001767116797365809,-0.3629899167622434,0.015557966659685441
29,RSCas,-0.4743881411536966,-0.18371688813750628,-0.4752895765954202,-0.19340525825990673,-0.47528957659542026,-0.1934052582599068,-0.5375755261447301,-0.20481071953349544,-0.578834737256119,-0.209260239643503,-0.5279972585896491,-0.19930523509521428,-0.5115624693891725,0.03424198922660909
30,RRLac,-0.5705011503096858,-0.19280298659434075,-0.5632414438973347,-0.19990699131255693,-0.5632414438973344,-0.1999069913125568,-0.6233667610824558,-0.21302975919480527,-0.6583932115994652,-0.21386834361804025,-0.6062688444816582,-0.21065508411227218,-0.5975021425446556,0.0306007476108996
31,XXSgr,-0.42791656852725984,-0.21493177007834083,-0.3894131743964637,-0.20602734378077558,-0.3894131743964637,-0.20602734378077522,-0.41491091564405097,-0.19821025854031454,-0.4393156387801628,-0.1984590468250763,-0.3974724823602351,-0.18248577772565164,-0.40974032568410595,0.01720099534451842
32,BBSgr,-0.4260689355284737,-0.22802163418042026,-0.4184515704240478,-0.23417653852094153,-0.41845157042404796,-0.23417653852094183,-0.43359282573343677,-0.21652449094764023,-0.46196720627515236,-0.21711182776482094,-0.4263416061238488,-0.20025663060152973,-0.43081228575150127,0.00916249612199263
33,VCar,-0.42608703473507226,-0.10711745663445423,-0.42674283225267107,-0.11696286435617359,-0.42674283225267107,-0.11696286435617387,-0.45317357295499744,-0.11484093500242226,-0.4841990224507925,-0.11598721953800237,-0.44953199245363346,-0.11488726260455237,-0.4444128811833063,0.016101611928506687
34,V0495Cyg,-0.676053551773125,-0.5096245958637184,-0.6614037583264399,-0.5161588847935756,-0.6614037583264405,-0.5161588847935759,-0.7211984258238825,-0.49858080305843305,-0.7666337965945559,-0.5006598852566283,-0.6904772269155631,-0.4544521177357117,-0.6961950862933345,0.029375676179062903
